file,phys,histories,nodes,noise_median,noise_worst,nodes_empty,cone,created,seconds,stamp,body_sha256,fingerprint
AS80_lu_front.rmx,16,3000000,142,0.6927,0.9975,30,0,2026-09-06 11:26,246.7,phys=16;c8d2437d8415ed3ce1cd25e005379a26cb02b7df60345675e8259784e39339b6,7f2acfb0cc674ce91a6567d01e478eb853d5494dcc6a6c630e41c6ed855bc9b4,сходится
AS80_point0.rmx,16,3000000,140,0.5411,0.7002,24,0,2026-09-06 11:11,187.2,phys=16;57a1ae63e9a1f41189667d8b8c65d94ed17263054d0ef4c2f30f53c89dc465a3,aeca58a3cc70b9acb69c625c9892d32c7e218327b73a2e401e5f5e7e7b0feb6f,сходится
ASN16_lu_side.rmx,16,3000000,142,1.1364,1.5546,29,0,2026-09-06 11:33,199.4,phys=16;00b75f630cd0626918df723918989055eec5b961ccd6771638105791da1c3a31,8d69ae080766c61cd132ca00596757a81aec8a20bc570c34e0a4a544f38468b5,сходится
G1S_denta100_oisn10_100_p16.rmx,16,3000000,142,0.8863,1.1774,29,0,2026-09-06 11:37,259.3,phys=16;f3f136299cbf73a08433731481a85cfdf4b9b0fe91af0b4b34c9bab599e23cf0,8ae43bf47692c15e28cb369fd51fb8d668761512f4dc35bd1e9bb9e905bd2e47,сходится
G1S_denta100_risn379_100_p16.rmx,16,3000000,140,0.7474,1.1802,24,0,2026-09-06 11:42,275.5,phys=16;d505728500442b585a56f2b4a52f3c69f308d42ed44063f9fe28e5b5f74a64d2,d13c475165ac834a17c6c24b76464fa05c9bad2d92dc80606be773211bd21d41,сходится
G1S_denta120_oisn06_057_p24.rmx,16,3000000,142,0.8904,1.2364,26,0,2026-09-06 11:46,255.5,phys=16;2431953b7ae3bd611141b5ecb03d1693b3301a793b921a02da8800c6f3b8c7f6,bc8e957642777b153ed5b1859b234b05bd79b5e4e345b66662389b55211afada,сходится
G1S_denta120_oisn06_062_p24.rmx,16,3000000,142,0.8813,1.2311,26,0,2026-09-06 11:50,244.2,phys=16;7896f507b8f849d70149ce3de84e267c948afb1cc01341d87b1ee387520a18a1,47a8613c53257cba706e030cf40139d44abd8ab9cbcb78805dededbd1b476312,сходится
G1S_denta120_oisn06_064_p24.rmx,16,3000000,142,0.8726,1.2313,26,0,2026-09-06 11:54,256.9,phys=16;249974db7a964232f38c7f2370ffe72558995b009dbcab1ef04a993c7c5e8f13,76fffa403d8aab5c569322904c58ca4650d5616c2f23ff0d1f4cd1dcf3b8c9d5,сходится
G1S_denta120_oisn06_066_p24.rmx,16,3000000,142,0.8654,1.2306,26,0,2026-09-06 11:58,252.3,phys=16;08d8b68acb10af290ef2b0cff7189ebc804bd24c7cf7dbfd84540713415839d6,560a688e92c70296e2d83cd933d427882faa98b2fc58317442f40e37e3ca3bd5,сходится
G1S_denta120_oisn16_155_p24.rmx,16,3000000,142,1.0327,1.1900,29,0,2026-09-06 12:03,282.4,phys=16;c0fca462f3d70183f744268959a2a99da263e1df0fcf80333aff151aa1022298,75cbdaf89f9d83950a4ddcebfc439af0fef1e0fcc69c3cec7c4086501d52f6fa,сходится
G1S_denta120_oisn16_160_p24.rmx,16,3000000,142,1.0405,1.1964,29,0,2026-09-06 12:08,274.5,phys=16;6a62e4708a150f6db69033d8a4232b6c1951253ed8cbf3fc8ed7235677601670,40f0d74779c5d7c08b5ecdda03eacdaa366e14e6e72263c48c0878e02002b23a,сходится
