"scene","peak","bias"
"AS80_lu_front","пик : 0.286 / 20.887 (узел 57, 63 кэВ)",""
"AS80_point0","пик : 0.197 / 100.000 (узел 9, 8 кэВ)","пик : -11.497 ± 2.701 — СМЕЩЕНИЕ, это не пересдача карт"
"ASN16_lu_side","пик : 0.590 / 15.299 (узел 57, 63 кэВ)",""
"G1S_denta100_oisn10_100_p16","пик : 0.295 / 11.807 (узел 14, 9 кэВ)",""
"G1S_denta100_risn379_100_p16","пик : 0.262 / 11.516 (узел 7, 7 кэВ)","пик : 0.476 ± 0.154 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_denta120_oisn06_057_p24","пик : 0.269 / 12.092 (узел 10, 7 кэВ)","пик : 0.418 ± 0.131 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_denta120_oisn06_062_p24","пик : 0.298 / 12.591 (узел 10, 7 кэВ)","пик : 0.519 ± 0.144 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_denta120_oisn06_064_p24","пик : 0.293 / 11.343 (узел 10, 7 кэВ)","пик : 0.556 ± 0.143 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_denta120_oisn06_066_p24","пик : 0.289 / 11.414 (узел 10, 7 кэВ)","пик : 0.545 ± 0.140 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_denta120_oisn16_155_p24","пик : 0.336 / 19.338 (узел 14, 9 кэВ)","пик : 0.855 ± 0.284 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_denta120_oisn16_160_p24","пик : 0.313 / 21.295 (узел 11, 8 кэВ)",""
"G1S_denta120_oisn16_166_p24","пик : 0.351 / 18.705 (узел 14, 9 кэВ)",""
"G1S_denta120_oisn16_167_p24","пик : 0.357 / 17.693 (узел 14, 9 кэВ)",""
"G1S_mar1l_oisn06_055_p16","пик : 0.264 / 9.658 (узел 6, 7 кэВ)","пик : 0.627 ± 0.149 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_mar1l_oisn06_057_p16","пик : 0.237 / 11.522 (узел 6, 7 кэВ)","пик : 0.613 ± 0.152 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_mar1l_oisn06_057_p24","пик : 0.303 / 21.642 (узел 10, 7 кэВ)",""
"G1S_mar1l_oisn06_062_p16","пик : 0.235 / 9.155 (узел 6, 7 кэВ)","пик : 0.581 ± 0.147 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_mar1l_oisn06_062_p24","пик : 0.331 / 25.272 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn06_064_p24","пик : 0.333 / 21.761 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn06_066_p16","пик : 0.251 / 8.942 (узел 6, 7 кэВ)","пик : 0.621 ± 0.147 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_mar1l_oisn06_066_p24","пик : 0.316 / 23.334 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn16_155_p16","пик : 0.346 / 35.483 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn16_155_p24","пик : 0.356 / 27.714 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn16_160_p16","пик : 0.330 / 29.995 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn16_160_p24","пик : 0.354 / 28.999 (узел 6, 7 кэВ)",""
"G1S_mar1l_oisn16_166_p16","пик : 0.372 / 36.598 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn16_166_p24","пик : 0.316 / 29.245 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn16_167_p16","пик : 0.371 / 39.068 (узел 5, 6 кэВ)",""
"G1S_mar1l_oisn16_167_p24","пик : 0.343 / 40.846 (узел 10, 7 кэВ)",""
"G1S_mar1l_risn379_100_p16","пик : 0.305 / 31.462 (узел 5, 6 кэВ)",""
"G1S_petri60_oisn06_057_p24","пик : 0.225 / 6.129 (узел 9, 7 кэВ)","пик : 0.428 ± 0.098 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_petri60_oisn06_062_p24","пик : 0.298 / 5.115 (узел 6, 7 кэВ)","пик : 0.418 ± 0.099 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_petri60_oisn06_064_p24","пик : 0.293 / 5.400 (узел 6, 7 кэВ)","пик : 0.396 ± 0.112 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_petri60_oisn06_067_p24","пик : 0.284 / 6.142 (узел 9, 7 кэВ)","пик : 0.405 ± 0.117 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_petri60_oisn10_100_p16","пик : 0.261 / 9.263 (узел 7, 7 кэВ)","пик : 0.457 ± 0.148 — СМЕЩЕНИЕ, это не пересдача карт"
"G1S_petri60_oisn16_155_p24","пик : 0.294 / 24.099 (узел 14, 9 кэВ)",""
"G1S_petri60_oisn16_160_p24","пик : 0.325 / 23.540 (узел 14, 9 кэВ)",""
"G1S_petri60_oisn16_167_p24","пик : 0.343 / 27.650 (узел 13, 8 кэВ)",""
"G1S_petri60_risn379_100_p16","пик : 0.250 / 99.988 (узел 8, 7 кэВ)",""
"G1S_point25","пик : 0.099 / 4.204 (узел 21, 13 кэВ)",""
"G1S_point5","пик : 0.087 / 0.872 (узел 45, 40 кэВ)",""
"RC103_lu_front","пик : 0.643 / 61.736 (узел 1, 5 кэВ)",""
"RC103_marinelli05_kcl","пик : 0.911 / 43.348 (узел 5, 6 кэВ)",""
"RC103_point0","пик : 0.370 / 100.000 (узел 1, 5 кэВ)","пик : -10.768 ± 2.540 — СМЕЩЕНИЕ, это не пересдача карт"
