node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct
0,5.000,3000000,100.000,9.978,0,0,0.000,0,0.000
1,5.235,3000000,100.000,9.911,0,0,0.000,0,0.000
2,5.482,3000000,100.000,10.063,0,0,0.000,0,0.000
3,5.740,3000000,100.000,9.981,0,0,0.000,0,0.000
4,6.011,3000000,100.000,10.150,0,0,0.000,0,0.000
5,6.294,3000000,100.000,10.303,0,0,0.000,0,0.000
6,6.590,3000000,100.000,10.242,0,0,0.000,0,0.000
7,6.900,3000000,100.000,16.758,0,0,0.000,0,0.000
8,7.098,3000000,100.000,17.480,0,0,0.000,0,0.000
9,7.126,3000000,100.000,22.128,0,0,0.000,0,0.000
10,7.225,3000000,100.000,21.839,0,0,0.000,0,0.000
11,7.566,3000000,100.000,21.829,0,0,0.000,0,0.000
12,7.922,3000000,100.000,21.915,0,0,0.000,0,0.000
13,8.295,3000000,100.000,22.357,0,0,0.000,0,0.000
14,8.686,3000000,100.000,22.334,0,0,0.000,0,0.000
15,9.095,3000000,100.000,22.990,0,0,0.000,0,0.000
16,9.523,3000000,100.000,23.082,0,0,0.000,0,0.000
17,9.972,3000000,100.000,23.047,0,0,0.000,0,0.000
18,10.441,3000000,100.000,23.192,0,0,0.000,0,0.000
19,10.933,3000000,100.000,23.101,0,0,0.000,0,0.000
20,11.448,3000000,100.000,22.887,0,0,0.000,0,0.000
21,11.987,3000000,100.000,23.323,0,0,0.000,0,0.000
22,12.552,3000000,100.000,22.222,0,0,0.000,0,0.000
23,13.143,3000000,100.000,22.421,0,0,0.000,0,0.000
24,13.762,3000000,100.000,22.455,1,0,100.000,0,0.000
25,14.410,3000000,100.000,22.517,3,0,100.000,0,0.000
26,15.089,3000000,100.000,22.783,5,0,100.000,0,0.000
27,15.799,3000000,100.000,23.042,14,0,100.000,2,14.286
28,16.543,3000000,100.000,23.508,32,0,100.000,1,3.125
29,17.323,3000000,100.000,23.564,43,0,100.000,1,2.326
30,18.138,3000000,100.000,23.915,96,0,100.000,6,6.250
31,18.993,3000000,99.398,24.931,169,2,98.830,3,1.754
32,19.887,3000000,100.000,25.549,244,1,99.592,13,5.306
33,20.824,3000000,65.793,27.230,401,3,99.257,21,5.198
34,21.804,3000000,54.726,28.526,618,13,97.940,29,4.596
35,22.831,3000000,55.653,29.718,825,8,99.040,64,7.683
36,23.907,3000000,68.115,30.519,1108,29,97.449,81,7.124
37,25.033,3000000,33.114,31.276,1476,181,89.077,0,0.000
38,26.211,3000000,32.598,31.996,2174,71,96.837,130,5.791
39,27.446,3000000,28.956,32.723,2845,202,93.371,99,3.249
40,28.739,3000000,24.049,33.139,3915,125,96.906,316,7.822
41,30.092,3000000,23.945,32.752,4921,279,94.635,309,5.942
42,31.509,3000000,18.504,33.905,6006,565,91.402,193,2.937
43,32.993,3000000,16.685,34.036,7995,373,95.543,660,7.887
44,34.547,3000000,3.841,34.567,7161,2947,70.845,563,5.570
45,36.174,3000000,3.208,35.060,8749,3762,69.930,480,3.837
46,37.878,3000000,2.449,34.909,10652,4731,69.245,513,3.335
47,39.662,3000000,2.324,35.079,12752,5975,68.094,415,2.216
48,41.530,3000000,2.065,35.470,14916,6855,68.513,386,1.773
49,43.486,3000000,1.819,35.874,17680,8480,67.584,391,1.495
50,45.534,3000000,1.665,35.783,21002,9850,68.073,517,1.676
51,47.678,3000000,1.514,36.374,24862,11463,68.443,689,1.897
52,49.923,3000000,1.390,35.534,29782,13299,69.130,1185,2.751
53,52.275,3000000,1.356,36.385,34974,14853,70.191,1840,3.693
54,54.737,3000000,1.233,37.067,40700,16774,70.815,2635,4.585
55,57.315,3000000,1.118,37.090,44605,22029,66.940,494,0.741
56,60.014,3000000,1.057,37.724,52293,24164,68.395,1898,2.482
57,62.840,3000000,0.995,37.543,60724,25782,70.196,3934,4.548
58,65.800,3000000,0.941,38.465,64957,32313,66.780,1743,1.792
59,68.899,3000000,0.952,38.603,75577,33907,69.030,4759,4.347
60,72.144,3000000,0.989,39.131,81238,40797,66.569,2814,2.306
61,75.541,3000000,0.986,39.252,88212,48328,64.605,1265,0.926
62,79.099,3000000,0.911,40.189,95920,55658,63.281,172,0.113
63,82.824,3000000,1.079,40.237,108093,56985,65.480,5362,3.248
64,86.725,3000000,1.157,40.648,115507,63320,64.591,5059,2.829
65,90.810,3000000,1.189,40.948,123259,69906,63.810,5495,2.845
66,95.086,3000000,1.086,41.098,125263,82078,60.414,120,0.058
67,99.565,3000000,1.195,41.397,133435,88122,60.226,1422,0.642
68,104.254,3000000,1.187,42.406,140962,92558,60.364,3382,1.448
