run,line,keV,window_keV,sum_net,sum_model,model_minus_net,in_sigma
radon1_front_noeq,Ac-228 911,911.20,±103.5,5359,5267,-92,-1.3
radon1_front_noeq,Ac-228 969,968.97,±106.7,4640,4736,96,1.4
radon1_front_noeq,Bi-214 1120,1120.29,±114.7,5377,5354,-23,-0.3
radon1_front_noeq,Bi-214 1764,1764.49,±144.0,2287,2273,-14,-0.3
radon1_front_noeq,Tl-208 2614,2614.51,±175.2,237,101,-136,-8.8
radon1_front_r010_noeq,Pb-210 46.5,46.54,±23.4,44178,45804,1626,7.7
radon1_front_r010_noeq,Ra-226 186,186.21,±46.8,13587,18858,5271,45.2
radon1_front_r010_noeq,Pb-212 239,238.63,±52.9,22181,24905,2724,18.3
radon1_front_r010_noeq,Pb-214 295,295.22,±58.9,33912,33727,-184,-1.0
radon1_front_r010_noeq,Ac-228 338,338.32,±63.0,33957,33830,-127,-0.7
radon1_front_r010_noeq,Pb-214 352,351.93,±64.3,31642,31336,-306,-1.7
radon1_front_r010_noeq,Tl-208 583,583.19,±82.8,15860,15644,-216,-1.7
radon1_front_r010_noeq,Bi-214 609,609.32,±84.6,15768,15544,-224,-1.8
radon1_front_r010_noeq,Bi-212 727,727.33,±92.4,7279,7494,215,2.5
radon1_front_r010_noeq,Ac-228 911,911.20,±103.5,5359,5268,-91,-1.2
radon1_front_r010_noeq,Ac-228 969,968.97,±106.7,4640,4733,92,1.4
radon1_front_r010_noeq,Bi-214 1120,1120.29,±114.7,5377,5355,-21,-0.3
radon1_front_r010_noeq,Bi-214 1764,1764.49,±144.0,2287,2273,-14,-0.3
radon1_front_r010_noeq,Tl-208 2614,2614.51,±175.2,237,103,-134,-8.7
radon1_front_r025_noeq,Pb-210 46.5,46.54,±23.4,44178,45783,1605,7.6
radon1_front_r025_noeq,Ra-226 186,186.21,±46.8,13587,19556,5969,51.2
radon1_front_r025_noeq,Pb-212 239,238.63,±52.9,22181,25226,3045,20.4
radon1_front_r025_noeq,Pb-214 295,295.22,±58.9,33912,33773,-138,-0.7
radon1_front_r025_noeq,Ac-228 338,338.32,±63.0,33957,33780,-177,-1.0
radon1_front_r025_noeq,Pb-214 352,351.93,±64.3,31642,31269,-373,-2.1
radon1_front_r025_noeq,Tl-208 583,583.19,±82.8,15860,15605,-254,-2.0
radon1_front_r025_noeq,Bi-214 609,609.32,±84.6,15768,15503,-265,-2.1
radon1_front_r025_noeq,Bi-212 727,727.33,±92.4,7279,7506,226,2.7
radon1_front_r025_noeq,Ac-228 911,911.20,±103.5,5359,5266,-93,-1.3
radon1_front_r025_noeq,Ac-228 969,968.97,±106.7,4640,4739,99,1.4
radon1_front_r025_noeq,Bi-214 1120,1120.29,±114.7,5377,5352,-24,-0.3
radon1_front_r025_noeq,Bi-214 1764,1764.49,±144.0,2287,2270,-17,-0.4
radon1_front_r025_noeq,Tl-208 2614,2614.51,±175.2,237,95,-142,-9.2
radon1_front_singles,Pb-210 46.5,46.54,±23.4,44178,43305,-873,-4.2
radon1_front_singles,Ra-226 186,186.21,±46.8,13587,16823,3235,27.8
