run,line,keV,window_keV,sum_net,sum_model,model_minus_net,in_sigma
radon2_side_b092_noeq,Pb-214 352,351.93,±64.3,1324,750,-573,-15.8
radon2_side_b092_noeq,Tl-208 583,583.19,±82.8,2001,1672,-330,-7.4
radon2_side_b092_noeq,Bi-214 609,609.32,±84.6,1832,1452,-380,-8.9
radon2_side_b092_noeq,Bi-212 727,727.33,±92.4,937,380,-556,-18.2
radon2_side_b092_noeq,Ac-228 911,911.20,±103.5,677,229,-448,-17.2
radon2_side_b092_noeq,Ac-228 969,968.97,±106.7,665,156,-509,-19.7
radon2_side_b092_noeq,Bi-214 1120,1120.29,±114.7,652,136,-516,-20.2
radon2_side_b092_noeq,Bi-214 1764,1764.49,±144.0,507,302,-205,-9.1
radon2_side_b092_noeq,Tl-208 2614,2614.51,±175.2,367,232,-135,-7.1
radon2_side_b092_shpb_noeq,Pb-210 46.5,46.54,±23.4,18766,20829,2063,15.1
radon2_side_b092_shpb_noeq,Ra-226 186,186.21,±46.8,4037,3208,-829,-13.0
radon2_side_b092_shpb_noeq,Pb-212 239,238.63,±52.9,7375,6683,-692,-8.1
radon2_side_b092_shpb_noeq,Pb-214 295,295.22,±58.9,4912,4670,-242,-3.5
radon2_side_b092_shpb_noeq,Ac-228 338,338.32,±63.0,1433,751,-681,-18.0
radon2_side_b092_shpb_noeq,Pb-214 352,351.93,±64.3,1324,487,-837,-23.0
radon2_side_b092_shpb_noeq,Tl-208 583,583.19,±82.8,2001,1690,-312,-7.0
radon2_side_b092_shpb_noeq,Bi-214 609,609.32,±84.6,1832,1513,-319,-7.5
radon2_side_b092_shpb_noeq,Bi-212 727,727.33,±92.4,937,405,-531,-17.4
radon2_side_b092_shpb_noeq,Ac-228 911,911.20,±103.5,677,182,-495,-19.0
radon2_side_b092_shpb_noeq,Ac-228 969,968.97,±106.7,665,118,-546,-21.2
radon2_side_b092_shpb_noeq,Bi-214 1120,1120.29,±114.7,652,146,-506,-19.8
radon2_side_b092_shpb_noeq,Bi-214 1764,1764.49,±144.0,507,308,-199,-8.8
radon2_side_b092_shpb_noeq,Tl-208 2614,2614.51,±175.2,367,215,-152,-7.9
radon2_side_eq,Pb-210 46.5,46.54,±23.4,14646,15192,546,4.5
radon2_side_eq,Ra-226 186,186.21,±46.8,980,1094,113,3.6
radon2_side_eq,Pb-212 239,238.63,±52.9,3960,2361,-1599,-25.4
radon2_side_eq,Pb-214 295,295.22,±58.9,2660,1670,-990,-19.2
radon2_side_eq,Ac-228 338,338.32,±63.0,458,555,97,4.5
radon2_side_eq,Pb-214 352,351.93,±64.3,439,395,-44,-2.1
radon2_side_eq,Tl-208 583,583.19,±82.8,1409,841,-568,-15.1
radon2_side_eq,Bi-214 609,609.32,±84.6,1309,777,-533,-14.7
radon2_side_eq,Bi-212 727,727.33,±92.4,657,153,-504,-19.6
radon2_side_eq,Ac-228 911,911.20,±103.5,487,90,-397,-18.0
radon2_side_eq,Ac-228 969,968.97,±106.7,494,80,-414,-18.6
radon2_side_eq,Bi-214 1120,1120.29,±114.7,509,18,-491,-21.8
radon2_side_eq,Bi-214 1764,1764.49,±144.0,461,230,-231,-10.8
radon2_side_eq,Tl-208 2614,2614.51,±175.2,352,191,-162,-8.6
radon2_side_noeq,Pb-210 46.5,46.54,±23.4,14646,14845,199,1.6
radon2_side_noeq,Ra-226 186,186.21,±46.8,980,1446,465,14.9
radon2_side_noeq,Pb-212 239,238.63,±52.9,3960,4195,234,3.7
radon2_side_noeq,Pb-214 295,295.22,±58.9,2660,2964,304,5.9
radon2_side_noeq,Ac-228 338,338.32,±63.0,458,215,-243,-11.4
radon2_side_noeq,Pb-214 352,351.93,±64.3,439,205,-234,-11.2
radon2_side_noeq,Tl-208 583,583.19,±82.8,1409,839,-570,-15.2
radon2_side_noeq,Bi-214 609,609.32,±84.6,1309,779,-530,-14.6
radon2_side_noeq,Bi-212 727,727.33,±92.4,657,91,-566,-22.1
radon2_side_noeq,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_side_noeq,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_side_noeq,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_side_noeq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_side_noeq,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_side_r010_noeq,Pb-210 46.5,46.54,±23.4,14646,14839,193,1.6
radon2_side_r010_noeq,Ra-226 186,186.21,±46.8,980,1419,438,14.0
radon2_side_r010_noeq,Pb-212 239,238.63,±52.9,3960,4193,233,3.7
radon2_side_r010_noeq,Pb-214 295,295.22,±58.9,2660,2971,311,6.0
radon2_side_r010_noeq,Ac-228 338,338.32,±63.0,458,216,-242,-11.3
radon2_side_r010_noeq,Pb-214 352,351.93,±64.3,439,206,-233,-11.1
radon2_side_r010_noeq,Tl-208 583,583.19,±82.8,1409,839,-570,-15.2
radon2_side_r010_noeq,Bi-214 609,609.32,±84.6,1309,779,-530,-14.6
radon2_side_r010_noeq,Bi-212 727,727.33,±92.4,657,91,-566,-22.1
radon2_side_r010_noeq,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_side_r010_noeq,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_side_r010_noeq,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_side_r010_noeq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_side_r010_noeq,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_side_r025_noeq,Pb-210 46.5,46.54,±23.4,14646,14856,210,1.7
radon2_side_r025_noeq,Ra-226 186,186.21,±46.8,980,1498,518,16.5
radon2_side_r025_noeq,Pb-212 239,238.63,±52.9,3960,4196,236,3.7
radon2_side_r025_noeq,Pb-214 295,295.22,±58.9,2660,2949,289,5.6
radon2_side_r025_noeq,Ac-228 338,338.32,±63.0,458,214,-244,-11.4
radon2_side_r025_noeq,Pb-214 352,351.93,±64.3,439,204,-235,-11.2
radon2_side_r025_noeq,Tl-208 583,583.19,±82.8,1409,839,-570,-15.2
radon2_side_r025_noeq,Bi-214 609,609.32,±84.6,1309,779,-530,-14.6
radon2_side_r025_noeq,Bi-212 727,727.33,±92.4,657,91,-566,-22.1
radon2_side_r025_noeq,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_side_r025_noeq,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_side_r025_noeq,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_side_r025_noeq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_side_r025_noeq,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_side_shpb_noeq,Pb-210 46.5,46.54,±23.4,14646,16466,1820,15.0
radon2_side_shpb_noeq,Ra-226 186,186.21,±46.8,980,1291,311,9.9
radon2_side_shpb_noeq,Pb-212 239,238.63,±52.9,3960,3313,-647,-10.3
radon2_side_shpb_noeq,Pb-214 295,295.22,±58.9,2660,2247,-413,-8.0
radon2_side_shpb_noeq,Ac-228 338,338.32,±63.0,458,170,-288,-13.5
radon2_side_shpb_noeq,Pb-214 352,351.93,±64.3,439,161,-278,-13.3
radon2_side_shpb_noeq,Tl-208 583,583.19,±82.8,1409,839,-570,-15.2
radon2_side_shpb_noeq,Bi-214 609,609.32,±84.6,1309,779,-530,-14.6
radon2_side_shpb_noeq,Bi-212 727,727.33,±92.4,657,91,-566,-22.1
radon2_side_shpb_noeq,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_side_shpb_noeq,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_side_shpb_noeq,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_side_shpb_noeq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_side_shpb_noeq,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_side_singles,Pb-210 46.5,46.54,±23.4,14646,15456,810,6.7
radon2_side_singles,Ra-226 186,186.21,±46.8,980,1530,550,17.6
radon2_side_singles,Pb-212 239,238.63,±52.9,3960,4639,679,10.8
radon2_side_singles,Pb-214 295,295.22,±58.9,2660,3131,471,9.1
radon2_side_singles,Ac-228 338,338.32,±63.0,458,260,-198,-9.3
radon2_side_singles,Pb-214 352,351.93,±64.3,439,247,-192,-9.2
radon2_side_singles,Tl-208 583,583.19,±82.8,1409,837,-571,-15.2
radon2_side_singles,Bi-214 609,609.32,±84.6,1309,779,-530,-14.7
radon2_side_singles,Bi-212 727,727.33,±92.4,657,90,-567,-22.1
radon2_side_singles,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_side_singles,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_side_singles,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_side_singles,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_side_singles,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
