run,chi2ndf,residual_pct,Pb-212,Bi-212,Tl-208,Pb-214,Bi-214,Ra-226,Rn-222,Pb-210,Ac-228,Ra-224,Ra-228,Th-228,K-40,Bi212/Pb212,Tl208/Bi212(FSA),Tl208/Bi212(phys),Bi214/Pb214
as80_th_eq,14.115,21.3,865.3 ± 4.7,865.3 ± 4.7,865.3 ± 4.7,-,-,-,-,-,865.3 ± 4.7,865.3 ± 4.7,-,865.3 ± 4.7,-,1.000 ± 0.008,1.000 ± 0.008,0.359 ± 0.003,-
as80_th_noeq,11.911,17.9,414.2 ± 26,655.1 ± 23,864.9 ± 6.3,-,-,-,-,-,681.8 ± 5.9,8571 ± 2.8e+02,-,1.821e+04 ± 5.8e+02,-,1.582 ± 0.112,1.320 ± 0.048,0.475 ± 0.017,-
radon1_front_b092_noeq,1.029,54.4,< 22.7,< 108,34.79 ± 4.2,321.3 ± 4.4,327 ± 5.2,99.13 ± 22,< 5.87e+03,< 234,< 19.2,312.5 ± 25,-,3486 ± 1.3e+02,-,-,-,-,1.018 ± 0.021
radon1_front_eq,1.259,57.3,17.54 ± 1.8,17.54 ± 1.8,17.54 ± 1.8,303.6 ± 2.6,303.6 ± 2.6,303.6 ± 2.6,303.6 ± 2.6,303.6 ± 2.6,17.54 ± 1.8,17.54 ± 1.8,-,17.54 ± 1.8,-,1.000 ± 0.144,1.000 ± 0.144,0.359 ± 0.052,1.000 ± 0.012
radon1_front_noeq,1.088,59.5,14.98 ± 2.4,< 111,21.36 ± 4.3,306.1 ± 4.6,304.8 ± 5.2,< 75.4,< 6.05e+03,< 213,< 18.8,< 244,-,3241 ± 1.4e+02,-,-,-,-,0.996 ± 0.023
radon1_front_r010_noeq,1.083,59.5,15.66 ± 2.4,< 111,22.03 ± 4.3,304.8 ± 4.6,305.7 ± 5.2,< 74.7,< 5.99e+03,< 210,< 18.7,< 242,-,3245 ± 1.4e+02,-,-,-,-,1.003 ± 0.023
radon1_front_r025_noeq,1.095,59.6,13.96 ± 2.4,< 113,19.97 ± 4.4,306.1 ± 4.7,305.1 ± 5.3,< 76.7,< 6.12e+03,< 215,< 18.9,< 248,-,3255 ± 1.4e+02,-,-,-,-,0.997 ± 0.023
radon1_front_singles,1.159,58.8,30.88 ± 2.3,< 114,8.35 ± 1.6,315 ± 3.3,305.5 ± 5.1,-,-,-,-,-,-,-,-,-,-,-,0.970 ± 0.019
radon1_side_b0906_noeq,1.034,53.5,< 10.2,< 49.1,18.48 ± 2,136.3 ± 1.9,151.2 ± 2.4,54.47 ± 11,< 2.59e+03,< 99.2,< 9.07,146.4 ± 10,-,1484 ± 55,-,-,-,-,1.109 ± 0.023
radon1_side_b092_noeq,1.037,54.2,< 10.2,< 49.2,17.88 ± 2,135.9 ± 1.9,150.6 ± 2.4,53.08 ± 11,< 2.59e+03,< 99.5,< 9.08,132.3 ± 10,-,1485 ± 55,-,-,-,-,1.108 ± 0.024
radon1_side_eq,1.260,56.9,7.794 ± 0.77,7.794 ± 0.77,7.794 ± 0.77,134.5 ± 1.2,134.5 ± 1.2,134.5 ± 1.2,134.5 ± 1.2,134.5 ± 1.2,7.794 ± 0.77,7.794 ± 0.77,-,7.794 ± 0.77,-,1.000 ± 0.140,1.000 ± 0.140,0.359 ± 0.050,1.000 ± 0.012
radon1_side_noeq,1.080,59.4,6.518 ± 0.97,< 49.8,11.66 ± 2.1,131.6 ± 2,141.8 ± 2.4,< 30.1,< 2.64e+03,< 92.5,< 8.32,< 103,-,1336 ± 59,-,-,-,-,1.078 ± 0.024
radon1_side_r010_noeq,1.074,59.4,6.803 ± 0.96,< 49.5,12.14 ± 2.1,131.4 ± 1.9,141.4 ± 2.4,< 29.8,< 2.63e+03,< 91,< 8.3,< 103,-,1334 ± 58,-,-,-,-,1.076 ± 0.024
radon1_side_r025_noeq,1.086,59.5,5.967 ± 0.99,< 50.1,11.11 ± 2.1,132 ± 2,141.8 ± 2.4,< 30.7,< 2.68e+03,< 94.5,< 8.38,< 105,-,1335 ± 60,-,-,-,-,1.074 ± 0.024
radon1_side_shpb_noeq,1.087,59.3,6.044 ± 0.98,< 49.9,11.4 ± 2.1,131.1 ± 2,142 ± 2.4,< 30.2,< 2.65e+03,< 91.7,< 8.35,< 103,-,1391 ± 59,-,-,-,-,1.083 ± 0.025
radon1_side_singles,1.160,58.6,12.04 ± 0.92,< 51.4,4.766 ± 0.77,136 ± 1.4,143.6 ± 2.4,-,-,-,-,-,-,-,-,-,-,-,1.056 ± 0.021
radon2_front_b092_noeq,0.970,70.1,50.99 ± 1.9,< 49.5,25.65 ± 3.2,< 5.02,< 6.89,< 51.8,< 4.02e+03,103.9 ± 21,< 7.53,< 146,-,< 282,-,-,-,-,-
radon2_front_eq,1.130,74.7,1.713 ± 1.2,1.713 ± 1.2,1.713 ± 1.2,-,-,< 4.04,-,-,1.713 ± 1.2,1.713 ± 1.2,-,1.713 ± 1.2,-,1.000 ± 1.006,1.000 ± 1.006,0.359 ± 0.361,-
radon2_front_noeq,1.278,80.6,41.27 ± 1.7,< 42,< 11,< 5.63,< 6.46,< 60.7,< 3.71e+03,< 188,< 7.11,< 152,-,< 319,-,-,-,-,-
radon2_front_r010_noeq,1.278,80.6,41.28 ± 1.7,< 42,< 11,< 5.6,< 6.45,< 60.4,< 3.69e+03,< 188,< 7.09,< 151,-,< 316,-,-,-,-,-
radon2_front_r025_noeq,1.279,80.6,41.41 ± 1.7,< 42.5,< 11.1,< 5.67,< 6.49,< 61.4,< 3.74e+03,< 189,< 7.12,< 153,-,< 323,-,-,-,-,-
radon2_front_singles,1.317,80.6,42.2 ± 1.7,< 42.6,< 3.97,< 5.69,< 6.4,-,-,-,-,-,-,-,-,-,-,-,-
radon2_side_b0906_noeq,1.108,74.6,21.67 ± 0.81,< 23.4,14.74 ± 1.6,< 2.21,< 3.37,< 33.9,< 1.85e+03,< 75.7,< 3.56,< 66,-,116.8 ± 39,-,-,-,-,-
radon2_side_b092_noeq,0.967,70.0,20.61 ± 0.76,< 22.3,12.62 ± 1.5,< 2.11,< 3.21,< 20.9,< 1.76e+03,42.13 ± 8.9,< 3.37,< 61.2,-,< 118,-,-,-,-,-
radon2_side_b092_shpb_noeq,1.112,74.2,14.76 ± 0.86,< 24.7,< 5.23,< 2.31,< 3.81,< 21.8,< 1.88e+03,< 72.4,< 3.67,< 99.3,-,< 125,-,-,-,-,-
radon2_side_eq,1.129,74.8,1.707 ± 0.54,1.707 ± 0.54,1.707 ± 0.54,-,-,< 1.77,-,-,1.707 ± 0.54,1.707 ± 0.54,-,1.707 ± 0.54,-,1.000 ± 0.448,1.000 ± 0.448,0.359 ± 0.161,-
radon2_side_noeq,1.085,74.6,16.14 ± 0.64,< 17.9,< 4.83,< 2.2,< 2.88,< 22.5,< 1.5e+03,51.57 ± 9.3,< 3,< 60.4,-,< 124,-,-,-,-,-
radon2_side_r010_noeq,1.087,74.7,16.09 ± 0.63,< 17.9,< 4.85,< 2.2,< 2.87,< 22.4,< 1.49e+03,51.19 ± 9.3,< 3,< 60.1,-,< 124,-,-,-,-,-
radon2_side_r025_noeq,1.083,74.5,16.23 ± 0.64,< 17.9,< 4.87,< 2.22,< 2.89,< 22.8,< 1.51e+03,52.04 ± 9.4,< 3,< 60.9,-,< 126,-,-,-,-,-
radon2_side_shpb_noeq,1.233,80.0,12.75 ± 0.7,< 19,< 5.16,< 2.36,< 3.08,< 24.1,< 1.6e+03,< 83.4,< 3.22,< 100,-,< 132,-,-,-,-,-
radon2_side_singles,1.318,80.6,17.06 ± 0.7,< 19.6,< 1.89,< 2.41,< 3.03,-,-,-,-,-,-,-,-,-,-,-,-

scene_mode,Pb212_spec1/spec2,Bi212_spec1/spec2,expected_Pb212
front_b092_noeq,-,-,2.329
front_eq,10.235 ± 7.352,10.235 ± 7.352,2.329
front_noeq,0.363 ± 0.060,-,2.329
front_r010_noeq,0.379 ± 0.060,-,2.329
front_r025_noeq,0.337 ± 0.061,-,2.329
front_singles,0.732 ± 0.061,-,2.329
side_b0906_noeq,-,-,2.329
side_b092_noeq,-,-,2.329
side_eq,4.565 ± 1.515,4.565 ± 1.515,2.329
side_noeq,0.404 ± 0.062,-,2.329
side_r010_noeq,0.423 ± 0.062,-,2.329
side_r025_noeq,0.368 ± 0.063,-,2.329
side_shpb_noeq,0.474 ± 0.081,-,2.329
side_singles,0.705 ± 0.061,-,2.329
