geometry,spectrum,preset,vessel
ASN16_rn_side,radon2_side,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.15 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
ASN16_rn_side,radon1_side,Atom Spectra Nano 16,"ватный диск Ø40×20 мм ρ 0.15 г/см³ (целлюлоза), ВПРИТЫК к широкой грани 18×60"
