scene,stamp_live_in,stamp_generated_in,stamp_rmx,verdict
AS80_lu_front,phys=18;7337e3284dbeccb8498d5c1f45115096cf092883c6f1d3c64b3269e7348fa591,phys=18;7337e3284dbeccb8498d5c1f45115096cf092883c6f1d3c64b3269e7348fa591,phys=18;7337e3284dbeccb8498d5c1f45115096cf092883c6f1d3c64b3269e7348fa591,СОШЛОСЬ
AS80_point0,phys=18;1f5aeaf1eeae43b63d6a7b0817f68eaccc4167c12243909b95293aeb63a1d205,phys=18;1f5aeaf1eeae43b63d6a7b0817f68eaccc4167c12243909b95293aeb63a1d205,phys=18;1f5aeaf1eeae43b63d6a7b0817f68eaccc4167c12243909b95293aeb63a1d205,СОШЛОСЬ
AS80_th_disk,phys=18;24850bda7e3634e8c4f8fea7ec0647703b3c5c60b633f6806df442e888702ef7,phys=18;24850bda7e3634e8c4f8fea7ec0647703b3c5c60b633f6806df442e888702ef7,phys=18;24850bda7e3634e8c4f8fea7ec0647703b3c5c60b633f6806df442e888702ef7,СОШЛОСЬ
ASN16_lu_side,phys=18;15af9ddbed843ac6a6123338f348b9cd3d71d115cb457905aac1f1f52cd0728f,phys=18;15af9ddbed843ac6a6123338f348b9cd3d71d115cb457905aac1f1f52cd0728f,phys=18;15af9ddbed843ac6a6123338f348b9cd3d71d115cb457905aac1f1f52cd0728f,СОШЛОСЬ
G1S_denta100_oisn10_100_p16,phys=18;c37315487e70462d79ec6885b512d56f9d0c72b62ed78e1d9f7e713b4a24eae5,phys=18;c37315487e70462d79ec6885b512d56f9d0c72b62ed78e1d9f7e713b4a24eae5,phys=18;c37315487e70462d79ec6885b512d56f9d0c72b62ed78e1d9f7e713b4a24eae5,СОШЛОСЬ
G1S_denta100_risn379_100_p16,phys=18;0a58a956ba28527e57680f7a1817eb9e7eb4d07b9416e81bea403a95962fee17,phys=18;0a58a956ba28527e57680f7a1817eb9e7eb4d07b9416e81bea403a95962fee17,phys=18;0a58a956ba28527e57680f7a1817eb9e7eb4d07b9416e81bea403a95962fee17,СОШЛОСЬ
G1S_denta120_oisn06_057_p24,phys=18;5eb72b9c8cd502125a77575c5fb8b968b7e2cb652ec460fc21d8aed5d0e040f8,phys=18;5eb72b9c8cd502125a77575c5fb8b968b7e2cb652ec460fc21d8aed5d0e040f8,phys=18;5eb72b9c8cd502125a77575c5fb8b968b7e2cb652ec460fc21d8aed5d0e040f8,СОШЛОСЬ
G1S_denta120_oisn06_062_p24,phys=18;cab447bbd383b51cbee88dee02160066db8a1178ff505d155b483b4a4da4bbe8,phys=18;cab447bbd383b51cbee88dee02160066db8a1178ff505d155b483b4a4da4bbe8,phys=18;cab447bbd383b51cbee88dee02160066db8a1178ff505d155b483b4a4da4bbe8,СОШЛОСЬ
G1S_denta120_oisn06_064_p24,phys=18;c01ab956ae4ad886748f313c513fc9db732646abf19066af442b2f4b90131ff2,phys=18;c01ab956ae4ad886748f313c513fc9db732646abf19066af442b2f4b90131ff2,phys=18;c01ab956ae4ad886748f313c513fc9db732646abf19066af442b2f4b90131ff2,СОШЛОСЬ
G1S_denta120_oisn06_066_p24,phys=18;f86860ad908b529d63bf0e996ff267bb1bec9ca80f724c771e376bad1e2ad072,phys=18;f86860ad908b529d63bf0e996ff267bb1bec9ca80f724c771e376bad1e2ad072,phys=18;f86860ad908b529d63bf0e996ff267bb1bec9ca80f724c771e376bad1e2ad072,СОШЛОСЬ
