spectrum,peak_kev,fwhm_kev,nuclide,line_kev,intensity_pct,one_line_nuclide,image_within_window,image_name,image_kev
AS1Pro_Ra226,45.849,10.063,Pb-210,46.539,4.250,1,1,W x-ray,57.981
AS1Pro_Ra226,78.295,14.589,Pb x-ray,74.969,100.000,0,1,Pb x-ray,74.969
AS1Pro_Ra226,153.165,14.625,U-235,145.000,10.960,0,0,,
AS1Pro_Ra226,186.578,20.490,Ra-226,186.211,3.640,1,0,,
AS1Pro_Ra226,241.339,23.182,Pb-214,241.000,7.262,0,0,,
AS1Pro_Ra226,296.649,25.676,Pb-214,295.000,18.467,0,0,,
AS1Pro_Ra226,354.495,32.976,Pb-214,353.000,35.717,0,0,,
AS1Pro_Ra226,476.280,33.705,Ac-228,463.000,4.400,0,1,Annihilation,511.000
AS1Pro_Ra226,611.259,49.317,Bi-214,609.000,45.440,0,0,,
AS1Pro_Ra226,773.852,55.625,Bi-214,768.360,4.890,0,0,,
AS1Pro_Ra226,935.279,55.112,Ac-228,911.000,25.800,0,0,,
AS1Pro_Ra226,1115.235,70.572,Eu-152,1111.000,13.670,0,0,,
AS1Pro_Ra226,1246.956,46.112,Bi-214,1238.000,5.830,0,0,,
AS1Pro_Ra226,1395.321,81.327,Bi-214,1377.000,3.985,0,0,,
AS1Pro_Ra226,1763.223,107.541,Bi-214,1764.000,15.290,0,0,,
AS1Pro_Ra226,2217.449,136.183,Bi-214,2204.000,4.920,0,0,,
AS1Pro_Ra226,2495.744,119.709,Bi-214,2447.000,1.545,0,0,,
AS80_Charoite,81.826,12.156,Pb x-ray,84.936,23.000,0,1,Pb x-ray,84.936
AS80_Charoite,135.914,14.109,Ac-228,129.065,2.420,0,0,,
AS80_Charoite,364.662,30.183,I-131,364.000,81.500,0,0,,
AS80_Charoite,621.975,47.592,Ag-108m,614.000,89.800,0,0,,
AS80_Charoite,768.327,35.533,Bi-214,768.360,4.890,0,0,,
AS80_Charoite,958.535,61.402,Ac-228,964.000,4.990,0,0,,
AS80_Charoite,1171.210,82.205,Co-60,1173.000,99.850,0,0,,
AS80_Charoite,1515.997,83.892,K-40,1460.000,10.660,1,0,,
AS80_Charoite,1841.824,77.232,Bi-214,1764.000,15.290,0,0,,
AS80_Charoite,2218.848,106.172,Bi-214,2204.000,4.920,0,0,,
AS80_Cs137_0cm,64.589,8.151,W x-ray,67.244,22.000,0,1,W x-ray,67.244
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,84.936,23.000,0,1,Pb x-ray,84.936
AS80_Cs137_0cm,130.554,16.535,Ac-228,129.065,2.420,0,0,,
AS80_Cs137_0cm,203.654,24.084,Lu-176,202.000,77.969,0,0,,
AS80_Cs137_0cm,655.435,50.545,Cs-137,662.000,85.100,1,0,,
