ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
4555,1521.882,38.335,26.970,9.475,7.634,17.363,0.000,1.973,0.000,0.000,0.000,0.000,0.000,0.000
4556,1522.207,36.779,26.964,9.465,7.623,17.370,0.000,1.971,0.000,0.000,0.000,0.000,0.000,0.000
4557,1522.532,45.001,26.959,9.455,7.612,17.378,0.000,1.969,0.000,0.000,0.000,0.000,0.000,0.000
4558,1522.858,41.186,26.954,9.446,7.603,17.385,0.000,1.966,0.000,0.000,0.000,0.000,0.000,0.000
4559,1523.183,44.224,26.950,9.436,7.593,17.393,0.000,1.964,0.000,0.000,0.000,0.000,0.000,0.000
4560,1523.509,46.557,26.946,9.426,7.584,17.401,0.000,1.961,0.000,0.000,0.000,0.000,0.000,0.000
4561,1523.834,43.371,26.944,9.417,7.576,17.409,0.000,1.959,0.000,0.000,0.000,0.000,0.000,0.000
4562,1524.160,43.742,26.941,9.407,7.568,17.417,0.000,1.956,0.000,0.000,0.000,0.000,0.000,0.000
4563,1524.485,43.779,26.940,9.397,7.561,17.426,0.000,1.953,0.000,0.000,0.000,0.000,0.000,0.000
4564,1524.810,48.557,26.939,9.387,7.554,17.435,0.000,1.950,0.000,0.000,0.000,0.000,0.000,0.000
4565,1525.136,30.964,26.939,9.378,7.548,17.444,0.000,1.947,0.000,0.000,0.000,0.000,0.000,0.000
4566,1525.461,33.779,26.939,9.368,7.543,17.453,0.000,1.944,0.000,0.000,0.000,0.000,0.000,0.000
4567,1525.787,45.409,26.940,9.358,7.538,17.462,0.000,1.941,0.000,0.000,0.000,0.000,0.000,0.000
4568,1526.113,36.186,26.942,9.348,7.533,17.472,0.000,1.938,0.000,0.000,0.000,0.000,0.000,0.000
4569,1526.438,48.779,26.945,9.339,7.529,17.482,0.000,1.934,0.000,0.000,0.000,0.000,0.000,0.000
4570,1526.764,43.557,26.949,9.329,7.526,17.492,0.000,1.931,0.000,0.000,0.000,0.000,0.000,0.000
4571,1527.089,34.964,26.953,9.319,7.524,17.502,0.000,1.928,0.000,0.000,0.000,0.000,0.000,0.000
4572,1527.415,26.557,26.959,9.309,7.522,17.513,0.000,1.924,0.000,0.000,0.000,0.000,0.000,0.000
4573,1527.740,41.964,26.965,9.300,7.521,17.523,0.000,1.921,0.000,0.000,0.000,0.000,0.000,0.000
4574,1528.066,39.075,26.972,9.290,7.520,17.535,0.000,1.917,0.000,0.000,0.000,0.000,0.000,0.000
4575,1528.391,38.112,26.980,9.280,7.520,17.546,0.000,1.913,0.000,0.000,0.000,0.000,0.000,0.000
4576,1528.717,48.186,26.988,9.271,7.521,17.557,0.000,1.910,0.000,0.000,0.000,0.000,0.000,0.000
4577,1529.043,29.668,26.998,9.261,7.523,17.569,0.000,1.906,0.000,0.000,0.000,0.000,0.000,0.000
4578,1529.368,32.557,27.009,9.251,7.525,17.582,0.000,1.902,0.000,0.000,0.000,0.000,0.000,0.000
4579,1529.694,45.150,27.020,9.241,7.528,17.594,0.000,1.898,0.000,0.000,0.000,0.000,0.000,0.000
4580,1530.020,34.298,27.033,9.232,7.532,17.607,0.000,1.895,0.000,0.000,0.000,0.000,0.000,0.000
4581,1530.345,35.335,27.047,9.222,7.536,17.620,0.000,1.891,0.000,0.000,0.000,0.000,0.000,0.000
4582,1530.671,40.557,27.061,9.212,7.541,17.633,0.000,1.887,0.000,0.000,0.000,0.000,0.000,0.000
4583,1530.997,49.594,27.077,9.202,7.548,17.647,0.000,1.883,0.000,0.000,0.000,0.000,0.000,0.000
4584,1531.322,30.779,27.094,9.193,7.554,17.661,0.000,1.879,0.000,0.000,0.000,0.000,0.000,0.000
4585,1531.648,35.445,27.112,9.183,7.562,17.675,0.000,1.875,0.000,0.000,0.000,0.000,0.000,0.000
4586,1531.974,27.223,27.131,9.173,7.570,17.689,0.000,1.871,0.000,0.000,0.000,0.000,0.000,0.000
4587,1532.299,40.186,27.151,9.164,7.580,17.704,0.000,1.867,0.000,0.000,0.000,0.000,0.000,0.000
4588,1532.625,29.557,27.172,9.154,7.590,17.719,0.000,1.863,0.000,0.000,0.000,0.000,0.000,0.000
4589,1532.951,45.557,27.194,9.144,7.601,17.734,0.000,1.859,0.000,0.000,0.000,0.000,0.000,0.000
4590,1533.277,35.483,27.218,9.134,7.613,17.750,0.000,1.855,0.000,0.000,0.000,0.000,0.000,0.000
4591,1533.602,48.594,27.242,9.125,7.625,17.766,0.000,1.851,0.000,0.000,0.000,0.000,0.000,0.000
4592,1533.928,37.261,27.268,9.115,7.639,17.782,0.000,1.847,0.000,0.000,0.000,0.000,0.000,0.000
4593,1534.254,34.335,27.294,9.105,7.653,17.798,0.000,1.843,0.000,0.000,0.000,0.000,0.000,0.000
4594,1534.580,49.186,27.322,9.095,7.669,17.814,0.000,1.839,0.000,0.000,0.000,0.000,0.000,0.000
4595,1534.905,34.520,27.351,9.086,7.685,17.831,0.000,1.835,0.000,0.000,0.000,0.000,0.000,0.000
4596,1535.231,32.038,27.382,9.076,7.702,17.848,0.000,1.831,0.000,0.000,0.000,0.000,0.000,0.000
4597,1535.557,33.186,27.413,9.066,7.721,17.865,0.000,1.827,0.000,0.000,0.000,0.000,0.000,0.000
4598,1535.883,40.038,27.446,9.056,7.740,17.883,0.000,1.824,0.000,0.000,0.000,0.000,0.000,0.000
4599,1536.209,37.112,27.480,9.047,7.760,17.901,0.000,1.820,0.000,0.000,0.000,0.000,0.000,0.000
4600,1536.535,38.297,27.516,9.037,7.781,17.919,0.000,1.816,0.000,0.000,0.000,0.000,0.000,0.000
