E_keV,eps_sim,err_pct,eps_ref,ratio
50,7.55576E-003,0.79,0.00000E+000,-
60,8.61472E-003,0.76,0.00000E+000,-
80,1.00586E-002,0.79,0.00000E+000,-
100,1.02070E-002,0.78,0.00000E+000,-
150,8.77804E-003,0.88,0.00000E+000,-
200,6.49146E-003,1.04,0.00000E+000,-
300,3.31270E-003,1.42,0.00000E+000,-
400,1.89861E-003,1.91,0.00000E+000,-
600,8.87961E-004,3.01,0.00000E+000,-
662,7.89606E-004,3.24,0.00000E+000,-
800,5.65405E-004,3.40,0.00000E+000,-
1000,3.63599E-004,4.11,0.00000E+000,-
1250,2.67849E-004,4.85,0.00000E+000,-
1461,2.55764E-004,6.39,0.00000E+000,-
1800,1.84916E-004,5.96,0.00000E+000,-
2200,1.29958E-004,7.20,0.00000E+000,-
2614,1.25041E-004,9.88,0.00000E+000,-
