E_keV,eps_sim,err_pct,eps_ref,ratio
50,7.50167E-002,0.51,0.00000E+000,-
60,8.07450E-002,0.51,0.00000E+000,-
80,8.45020E-002,0.51,0.00000E+000,-
100,8.36733E-002,0.53,0.00000E+000,-
150,7.50390E-002,0.58,0.00000E+000,-
200,6.16382E-002,0.66,0.00000E+000,-
300,3.96541E-002,0.86,0.00000E+000,-
400,2.69381E-002,1.06,0.00000E+000,-
600,1.46306E-002,1.47,0.00000E+000,-
662,1.31765E-002,1.57,0.00000E+000,-
800,9.82838E-003,1.79,0.00000E+000,-
1000,7.60477E-003,2.09,0.00000E+000,-
1250,5.70894E-003,2.40,0.00000E+000,-
1461,4.79851E-003,2.63,0.00000E+000,-
1800,3.83174E-003,2.87,0.00000E+000,-
2200,3.19403E-003,3.25,0.00000E+000,-
2614,2.83107E-003,3.50,0.00000E+000,-
