E_keV,eps_sim,err_pct,eps_ref,ratio
50,3.99582E-003,0.85,0.00000E+000,-
60,4.76231E-003,0.86,0.00000E+000,-
80,5.43800E-003,0.83,0.00000E+000,-
100,5.59064E-003,0.84,0.00000E+000,-
150,4.94537E-003,0.98,0.00000E+000,-
200,3.59867E-003,1.13,0.00000E+000,-
300,1.84585E-003,1.55,0.00000E+000,-
400,1.04615E-003,2.07,0.00000E+000,-
600,5.29285E-004,3.51,0.00000E+000,-
662,4.53366E-004,3.47,0.00000E+000,-
800,2.80717E-004,3.98,0.00000E+000,-
1000,2.23353E-004,4.43,0.00000E+000,-
1250,1.60524E-004,5.68,0.00000E+000,-
1461,1.20949E-004,6.02,0.00000E+000,-
1800,1.00573E-004,7.68,0.00000E+000,-
2200,6.87159E-005,10.19,0.00000E+000,-
2614,5.72227E-005,8.67,0.00000E+000,-
