E_keV,eps_sim,err_pct,eps_ref,ratio
50,4.56873E-003,0.72,0.00000E+000,-
60,4.94102E-003,0.72,0.00000E+000,-
80,5.14314E-003,0.72,0.00000E+000,-
100,5.20254E-003,0.72,0.00000E+000,-
150,4.92852E-003,0.76,0.00000E+000,-
200,4.38293E-003,0.82,0.00000E+000,-
300,3.28475E-003,0.97,0.00000E+000,-
400,2.41991E-003,1.15,0.00000E+000,-
600,1.36185E-003,1.57,0.00000E+000,-
662,1.24342E-003,1.65,0.00000E+000,-
800,9.54349E-004,1.90,0.00000E+000,-
1000,7.56000E-004,2.15,0.00000E+000,-
1250,5.92187E-004,2.45,0.00000E+000,-
1461,5.04785E-004,2.66,0.00000E+000,-
1800,3.99111E-004,3.00,0.00000E+000,-
2200,3.17606E-004,3.38,0.00000E+000,-
2614,2.87253E-004,3.56,0.00000E+000,-
