ch,keV,net,fit,model,continuum_raw,Co-60
0,-13.057,0.000,0.000,0.000,0.000,0.000
1,-10.200,0.000,0.000,0.000,0.000,0.000
2,-7.342,0.000,0.000,0.000,0.000,0.000
3,-4.483,0.000,0.000,0.040,0.040,0.040
4,-1.624,0.000,0.000,1.725,1.725,1.725
5,1.237,7.133,7.133,14.168,14.168,14.168
6,4.098,129.067,129.067,16.191,16.191,16.191
7,6.959,592.956,592.956,18.326,18.326,18.326
8,9.822,1462.022,1462.022,857.768,857.768,857.768
9,12.685,2934.956,2934.956,1697.088,1697.088,1697.088
10,15.549,4115.245,4115.245,2538.142,2538.142,2538.142
11,18.414,4728.622,4728.622,3378.055,3378.055,3378.055
12,21.279,5102.022,5102.022,4219.435,4219.435,4219.435
13,24.145,5075.822,5075.822,5059.608,5059.608,5059.608
14,27.012,5307.822,5307.822,5899.115,5899.115,5899.115
15,29.880,5167.556,5167.556,5773.708,5773.708,5773.708
16,32.748,5145.311,5145.311,5648.390,5648.390,5648.390
17,35.618,5210.133,5210.133,5523.680,5523.680,5523.680
18,38.487,5360.711,5360.711,5398.706,5398.706,5398.706
19,41.358,5234.489,5234.489,5274.047,5274.047,5274.047
20,44.229,5315.733,5315.733,5149.486,5149.486,5149.486
21,47.101,5294.467,5294.467,5024.489,5024.489,5024.489
22,49.974,5350.645,5350.645,5184.527,5184.527,5184.527
23,52.847,5235.178,5235.178,5344.530,5344.530,5344.530
24,55.721,5406.756,5406.756,5504.702,5504.702,5504.702
25,58.596,5572.800,5572.800,5664.937,5664.937,5664.937
26,61.472,5602.022,5602.022,5825.009,5825.008,5825.009
27,64.348,5684.511,5684.511,5984.878,5984.867,5984.878
28,67.225,5989.689,5989.689,6144.729,6144.589,6144.729
29,70.103,6067.511,6067.511,5943.719,5942.448,5943.719
30,72.981,6006.711,6006.711,5749.037,5740.563,5749.037
31,75.860,6066.734,6066.734,5580.741,5538.699,5580.741
32,78.740,6015.689,6015.689,5493.014,5336.282,5493.014
33,81.621,6388.245,6388.245,5577.087,5132.643,5577.087
34,84.502,6151.356,6151.356,5901.823,4927.435,5901.823
35,87.384,6331.000,6331.000,6410.663,4721.114,6410.663
36,90.267,6508.778,6508.778,6935.836,4542.900,6935.836
37,93.150,6710.556,6710.556,7258.036,4365.949,7258.036
38,96.034,6570.778,6570.778,7333.494,4190.466,7333.494
39,98.919,6756.156,6756.156,7246.706,4015.954,7246.706
40,101.804,6983.311,6983.311,7098.691,3841.868,7098.691
41,104.690,6930.911,6930.911,6943.846,3667.912,6943.846
42,107.577,6931.333,6931.333,6795.012,3493.984,6795.012
43,110.464,7301.289,7301.289,7008.882,3680.518,7008.882
44,113.353,7265.022,7265.022,7220.733,3867.052,7220.733
45,116.241,7454.689,7454.689,7430.194,4053.587,7430.194
46,119.131,7850.156,7850.156,7638.876,4240.122,7638.876
47,122.021,7931.200,7931.200,7848.261,4426.656,7848.261
48,124.912,7935.333,7935.333,8060.341,4613.191,8060.341
49,127.804,8161.067,8161.067,8277.268,4799.726,8277.268
50,130.696,8429.245,8429.245,8351.494,4840.673,8351.494
51,133.589,8178.867,8178.867,8419.517,4881.621,8419.517
52,136.482,8680.556,8680.556,8469.354,4922.568,8469.354
53,139.377,8402.200,8402.200,8494.958,4963.516,8494.958
54,142.272,8511.289,8511.289,8501.380,5004.464,8501.380
55,145.167,8533.556,8533.556,8501.756,5045.411,8501.756
56,148.064,8592.911,8592.911,8509.163,5086.359,8509.163
57,150.960,8625.511,8625.511,8598.290,5195.635,8598.290
58,153.858,8723.956,8723.956,8699.458,5304.912,8699.458
59,156.756,8660.689,8660.689,8807.036,5414.189,8807.036
60,159.655,8845.022,8845.022,8915.286,5523.465,8915.286
61,162.555,8971.267,8971.267,9021.545,5632.742,9021.545
62,165.455,9074.133,9074.133,9127.961,5742.019,9127.961
63,168.356,9125.311,9125.311,9240.197,5851.295,9240.197
64,171.258,9431.778,9431.778,9339.900,5937.943,9339.900
65,174.160,9556.845,9556.845,9447.884,6024.590,9447.884
66,177.063,9525.689,9525.689,9556.557,6111.238,9556.557
67,179.966,9890.111,9890.111,9658.028,6197.885,9658.028
68,182.870,9867.800,9867.800,9750.052,6284.532,9750.052
69,185.775,10148.111,10148.111,9838.079,6371.180,9838.079
70,188.681,10329.733,10329.733,9932.680,6457.827,9932.680
71,191.587,10284.978,10284.978,10652.754,7152.790,10652.754
