ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
0,-15.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-12.812,0.000,0.000,0.016,0.016,0.009,0.005,0.001,0.000,0.000,0.000
2,-10.001,0.000,0.000,0.036,0.036,0.020,0.012,0.003,0.001,0.000,0.000
3,-7.189,0.000,0.000,0.179,0.179,0.099,0.060,0.014,0.005,0.002,0.000
4,-4.375,0.000,0.000,1.170,1.170,0.642,0.388,0.091,0.034,0.014,0.001
5,-1.560,13.616,13.616,1.324,1.324,0.727,0.440,0.103,0.038,0.016,0.001
6,1.257,303.253,303.253,1.619,1.616,0.887,0.537,0.129,0.046,0.019,0.001
7,4.075,2526.506,2526.506,2.269,1.547,0.849,0.513,0.843,0.044,0.019,0.001
8,6.895,11300.862,11300.862,11424.722,11368.701,6241.407,3773.632,941.732,326.064,136.241,5.556
9,9.717,25733.660,25733.660,24037.199,22736.051,12482.097,7546.831,3072.422,652.090,272.467,11.112
10,12.540,51818.515,51818.515,43848.786,34103.027,18723.437,11320.423,12401.130,978.151,408.707,16.669
11,15.364,72362.226,72362.226,73741.232,45469.841,24972.786,15098.857,31797.245,1304.629,545.122,22.232
12,18.190,94755.918,94755.918,99166.180,56836.818,31247.221,18892.458,46683.729,1632.419,682.085,27.818
13,21.018,104545.003,104545.003,114013.611,68204.030,37553.328,22705.210,50939.500,1961.862,819.738,33.432
14,23.847,127476.826,127476.826,129974.904,79571.335,43884.089,26532.923,56267.669,2292.593,957.930,39.068
15,26.677,152060.826,152060.826,136905.556,72809.116,40227.611,24323.042,69338.849,2101.555,878.107,35.813
16,29.509,183384.420,183384.420,161899.165,66046.897,36579.929,22127.810,100449.181,1910.769,798.388,32.561
17,32.342,207401.413,207401.413,194642.089,59284.679,33009.986,20079.809,139082.199,1721.164,719.125,29.329
18,35.177,211808.860,211808.860,212104.046,52522.460,30207.592,19407.266,160288.084,1534.278,640.256,26.111
19,38.014,199551.819,199551.819,212879.256,45760.242,35493.144,29632.565,145790.952,1377.243,561.795,22.882
20,40.851,174727.841,174727.841,194611.467,38998.023,66570.903,61293.807,64846.009,1390.910,488.852,19.620
21,43.691,156861.152,156861.152,158281.468,32235.805,78642.125,60233.464,17507.968,1455.370,424.879,16.311
22,46.531,158981.914,158981.914,154243.377,56535.937,87343.119,54524.297,9207.309,2379.471,759.183,28.740
23,49.373,172427.907,172427.907,163364.170,80836.069,96306.667,54405.802,8139.243,3344.287,1125.641,41.243
24,52.217,194558.929,194558.929,183596.128,105136.200,109119.117,59742.109,8777.773,4352.816,1549.085,53.806
25,55.062,220641.178,220641.178,219239.232,129436.332,132168.499,69584.168,10053.762,5320.944,2043.805,66.436
26,57.908,287297.088,287297.088,297661.209,153736.464,190550.286,86340.026,11842.182,6218.513,2629.161,79.175
27,60.756,442968.463,442968.463,469601.943,178036.596,331014.750,113702.577,14226.836,7130.936,3432.476,92.188
28,63.605,769149.814,769149.814,772305.838,202336.728,592747.769,149314.637,16861.140,8319.460,4954.336,105.938
