ch,keV,net,fit,model,continuum_raw,Ba-133,continuum
0,-6.403,0.000,0.000,0.000,0.000,0.000,0.000
1,-3.631,0.000,0.000,0.000,0.000,0.000,0.000
2,-0.857,0.000,0.000,0.000,0.000,0.000,0.000
3,1.918,0.000,0.000,0.002,0.000,0.002,0.000
4,4.695,0.000,0.000,0.796,0.000,0.796,0.000
5,7.473,5.059,5.059,68.112,0.000,68.112,0.000
6,10.253,104.379,104.379,1125.633,0.000,1125.633,0.000
7,13.034,795.757,795.757,5219.137,0.000,5219.137,0.000
8,15.817,5772.628,5772.628,14867.479,3030.733,14867.479,0.000
9,18.602,42117.411,42117.411,37944.903,6061.467,37944.903,0.000
10,21.387,262119.229,262119.229,171597.309,9092.200,171597.309,0.000
11,24.175,536243.971,536243.971,535842.437,12122.934,535842.437,0.000
12,26.964,670585.388,670585.388,798548.739,15153.667,798548.739,0.000
13,29.754,603830.493,603830.493,587769.278,18184.401,587769.278,0.000
14,32.546,420013.473,420013.473,311240.047,21215.134,311240.047,0.000
15,35.339,201413.473,201413.473,151336.333,20250.354,151336.333,0.000
16,38.133,77127.272,77127.272,63735.991,19285.573,63735.991,0.000
17,40.929,31948.462,31948.462,39525.785,18320.792,39525.785,0.000
18,43.727,30946.248,30946.248,42078.772,17356.012,42078.772,0.000
19,46.526,42470.664,42470.664,49890.282,16391.231,49890.282,0.000
20,49.326,48538.924,48538.924,54413.243,15426.451,54413.243,0.000
21,52.128,48701.274,48701.274,50989.856,14461.670,50989.856,0.000
22,54.931,45971.346,45971.346,40612.618,13059.820,40612.618,0.000
23,57.736,41442.536,41442.536,30103.038,11657.970,30103.038,0.000
24,60.542,38503.797,38503.797,24409.908,10256.120,24409.908,0.000
25,63.350,39217.302,39217.302,25188.038,8854.270,25188.038,0.000
26,66.158,42323.324,42323.324,36051.325,7452.420,36051.325,0.000
27,68.969,48905.518,48905.518,65984.890,6050.570,65984.890,0.000
28,71.780,72049.516,72049.516,121827.542,4648.720,121827.542,0.000
29,74.593,127794.282,127794.282,194685.499,6988.009,194685.499,0.000
30,77.408,222670.698,222670.698,244033.142,9327.297,244033.142,0.000
31,80.224,305137.172,305137.172,237527.069,11666.586,237527.069,0.000
32,83.041,319170.076,319170.076,181291.908,14005.875,181291.908,0.000
33,85.859,262431.735,262431.735,112843.500,16345.164,112843.500,0.000
34,88.679,165229.987,165229.987,63756.672,18684.452,63756.672,0.000
35,91.500,72873.529,72873.529,40281.943,21023.741,40281.943,0.000
36,94.323,29924.899,29924.899,29013.006,19096.395,29013.006,0.000
37,97.147,17102.621,17102.621,24718.267,17169.049,24718.267,0.000
38,99.972,16432.124,16432.124,22667.612,15241.703,22667.612,0.000
39,102.799,16931.969,16931.969,21394.732,13314.357,21394.732,0.000
40,105.626,17800.604,17800.604,20532.853,11387.011,20532.853,0.000
41,108.456,18781.402,18781.402,19776.624,9459.665,19776.624,0.000
42,111.286,20894.643,20894.643,18683.946,7532.319,18683.946,0.000
43,114.118,22977.639,22977.639,20354.562,9072.483,20354.562,0.000
44,116.951,24809.630,24809.630,21283.342,10612.647,21283.342,0.000
45,119.786,25476.172,25476.172,21780.528,12152.811,21780.528,0.000
46,122.621,25238.008,25238.008,22271.737,13692.976,22271.737,0.000
47,125.458,24805.148,24805.148,23044.288,15233.140,23044.288,0.000
48,128.296,24414.317,24414.317,24164.154,16773.304,24164.154,0.000
49,131.136,25368.586,25368.586,25553.257,18313.469,25553.257,0.000
50,133.977,27175.599,27175.599,28540.339,21288.566,28540.339,0.000
51,136.819,29662.023,29662.023,31625.758,24263.664,31625.758,0.000
52,139.662,33405.284,33405.284,34799.648,27238.761,34799.648,0.000
53,142.507,36936.166,36936.166,38087.302,30213.859,38087.302,0.000
54,145.353,40689.124,40689.124,41515.593,33188.956,41515.593,0.000
55,148.200,43924.901,43924.901,45075.830,36164.054,45075.830,0.000
56,151.048,46872.837,46872.837,48695.579,39139.152,48695.579,0.000
57,153.898,50471.371,50471.371,47675.920,37551.154,47675.920,0.000
58,156.748,51456.376,51456.376,46423.160,35963.156,46423.160,0.000
59,159.600,51580.980,51580.980,44830.722,34375.158,44830.722,0.000
60,162.454,49382.929,49382.929,42900.345,32787.161,42900.345,0.000
61,165.308,46283.417,46283.417,40745.941,31199.163,40745.941,0.000
62,168.164,41154.993,41154.993,38538.577,29611.165,38538.577,0.000
63,171.021,36642.199,36642.199,36429.584,28023.167,36429.584,0.000
64,173.879,31698.413,31698.413,33516.441,25452.900,33516.441,0.000
65,176.738,28803.737,28803.737,30783.690,22882.633,30783.690,0.000
66,179.598,25428.540,25428.540,28183.394,20312.366,28183.394,0.000
67,182.460,23654.870,23654.870,25651.243,17742.099,25651.243,0.000
68,185.323,21772.614,21772.614,23128.804,15171.832,23128.804,0.000
69,188.187,20396.820,20396.820,20571.349,12601.565,20571.349,0.000
70,191.052,19629.455,19629.455,17947.427,10031.297,17947.427,0.000
71,193.918,18221.008,18221.008,17393.485,9617.391,17393.485,0.000
72,196.785,17175.080,17175.080,16745.063,9203.486,16745.063,0.000
73,199.654,16146.424,16146.424,16007.699,8789.580,16007.699,0.000
74,202.524,15185.054,15185.054,15201.241,8375.674,15201.241,0.000
