ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-CsI,Xray-Pb,continuum
34,6.433,122015.716,122015.716,1946.675,1946.675,1374.110,445.220,100.190,27.155,0.000
35,6.814,126358.994,126358.994,2003.930,2003.930,1414.525,458.315,103.137,27.954,0.000
36,7.195,131409.033,131409.033,2061.186,2061.185,1454.940,471.409,106.084,28.752,0.000
37,7.576,135296.910,135296.910,2118.441,2118.441,1495.355,484.504,109.031,29.551,0.000
38,7.957,140717.662,140717.662,2175.696,2175.696,1535.770,497.599,111.978,30.350,0.000
39,8.338,146184.069,146184.069,2232.952,2232.951,1576.185,510.694,114.925,31.148,0.000
40,8.719,152918.360,152918.360,2290.208,2290.206,1616.600,523.789,117.872,31.947,0.000
41,9.100,158137.457,158137.457,2347.466,2347.461,1657.015,536.885,120.820,32.746,0.000
42,9.481,165742.227,165742.227,2404.726,2404.716,1697.430,549.983,123.768,33.544,0.000
43,9.862,171892.216,171892.216,2461.990,2461.971,1737.846,563.082,126.719,34.343,0.000
44,10.243,178433.059,178433.059,2519.262,2519.227,1778.262,576.186,129.673,35.142,0.000
45,10.624,181230.432,181230.432,2576.550,2576.482,1818.678,589.298,132.633,35.940,0.000
46,11.005,184661.579,184661.579,2633.865,2633.737,1859.096,602.426,135.604,36.739,0.000
47,11.386,184891.545,184891.545,2691.230,2690.992,1899.517,615.580,138.596,37.538,0.000
48,11.767,184114.937,184114.937,2748.684,2748.247,1939.943,628.782,141.623,38.336,0.000
49,12.148,180870.018,180870.018,2806.294,2805.502,1980.378,642.067,144.713,39.135,0.000
50,12.529,176105.313,176105.313,2864.172,2862.757,2020.832,655.495,147.911,39.934,0.000
51,12.910,170429.944,170429.944,2922.508,2920.013,2061.316,669.167,151.292,40.732,0.000
52,13.291,164346.642,164346.642,2981.613,2977.268,2101.857,683.247,154.979,41.531,0.000
53,13.672,157553.255,157553.255,3041.991,3034.523,2142.497,697.997,159.168,42.330,0.000
54,14.053,152296.631,152296.631,3104.446,3091.778,2183.307,713.837,164.173,43.128,0.000
