ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-CsI,Xray-Pb,continuum
539,200.121,220673.551,220673.551,216905.826,88546.861,71727.268,145178.557,0.000,0.000,0.000
540,200.507,220719.428,220719.428,216317.781,88264.885,71660.850,144656.931,0.000,0.000,0.000
541,200.893,219951.280,219951.280,215690.851,87982.909,71593.743,144097.108,0.000,0.000,0.000
542,201.279,218788.730,218788.730,215028.081,87700.933,71525.894,143502.187,0.000,0.000,0.000
543,201.665,218527.932,218527.932,214332.409,87418.957,71457.253,142875.156,0.000,0.000,0.000
544,202.052,217407.164,217407.164,213606.657,87136.981,71387.775,142218.882,0.000,0.000,0.000
545,202.438,216873.054,216873.054,212853.522,86855.005,71317.416,141536.106,0.000,0.000,0.000
546,202.824,216182.518,216182.518,212075.574,86573.029,71246.139,140829.434,0.000,0.000,0.000
547,203.210,215047.144,215047.144,211275.247,86291.053,71173.907,140101.340,0.000,0.000,0.000
548,203.597,215500.635,215500.635,210454.841,86009.077,71100.686,139354.155,0.000,0.000,0.000
549,203.983,213983.776,213983.776,209616.519,85727.101,71026.447,138590.072,0.000,0.000,0.000
550,204.369,213500.976,213500.976,208762.305,85445.125,70951.162,137811.143,0.000,0.000,0.000
551,204.755,212249.415,212249.415,207894.088,85163.149,70874.805,137019.283,0.000,0.000,0.000
552,205.142,211570.382,211570.382,207013.621,84881.172,70797.354,136216.267,0.000,0.000,0.000
553,205.528,210456.950,210456.950,206122.527,84599.196,70718.788,135403.738,0.000,0.000,0.000
554,205.914,209672.642,209672.642,205222.297,84317.220,70639.090,134583.208,0.000,0.000,0.000
555,206.301,208821.466,208821.466,204314.302,84035.244,70558.241,133756.061,0.000,0.000,0.000
556,206.687,207099.267,207099.267,203399.790,83753.268,70476.227,132923.563,0.000,0.000,0.000
557,207.073,206667.983,206667.983,202479.895,83471.292,70393.035,132086.859,0.000,0.000,0.000
558,207.460,205421.860,205421.860,201555.641,83189.316,70308.654,131246.988,0.000,0.000,0.000
559,207.846,205232.402,205232.402,200627.951,82907.340,70223.071,130404.880,0.000,0.000,0.000
560,208.232,203396.001,203396.001,199697.647,82625.364,70136.279,129561.367,0.000,0.000,0.000
561,208.619,202770.344,202770.344,198765.459,82343.388,70048.270,128717.189,0.000,0.000,0.000
562,209.005,201342.976,201342.976,197832.032,82061.412,69959.035,127872.997,0.000,0.000,0.000
563,209.392,200043.783,200043.783,196897.929,81779.436,69868.568,127029.360,0.000,0.000,0.000
564,209.778,200102.195,200102.195,195963.639,81497.460,69776.865,126186.773,0.000,0.000,0.000
565,210.165,198137.208,198137.208,195029.580,81215.484,69683.920,125345.659,0.000,0.000,0.000
566,210.551,197658.318,197658.318,194096.106,80933.508,69589.729,124506.377,0.000,0.000,0.000
567,210.937,196775.699,196775.699,193163.511,80651.532,69494.288,123669.223,0.000,0.000,0.000
568,211.324,195217.886,195217.886,192552.123,80689.643,69673.983,122878.140,0.000,0.000,0.000
569,211.710,194866.034,194866.034,191942.040,80727.754,69853.585,122088.455,0.000,0.000,0.000
570,212.097,192908.098,192908.098,191333.406,80765.865,70033.089,121300.317,0.000,0.000,0.000
571,212.483,192278.183,192278.183,190726.317,80803.976,70212.489,120513.828,0.000,0.000,0.000
572,212.870,190736.538,190736.538,190120.830,80842.087,70391.780,119729.049,0.000,0.000,0.000
573,213.256,189939.454,189939.454,189516.964,80880.198,70570.958,118946.006,0.000,0.000,0.000
574,213.643,188984.131,188984.131,188914.704,80918.309,70750.016,118164.688,0.000,0.000,0.000
575,214.029,188317.904,188317.904,188314.000,80956.420,70928.951,117385.050,0.000,0.000,0.000
576,214.416,186495.466,186495.466,187714.772,80994.531,71107.756,116607.016,0.000,0.000,0.000
577,214.803,185232.228,185232.228,187116.907,81032.642,71286.426,115830.480,0.000,0.000,0.000
578,215.189,185174.331,185174.331,186520.265,81070.753,71464.957,115055.308,0.000,0.000,0.000
579,215.576,183677.060,183677.060,185924.676,81108.864,71643.341,114281.335,0.000,0.000,0.000
580,215.962,182972.512,182972.512,185329.942,81146.975,71821.573,113508.368,0.000,0.000,0.000
581,216.349,182611.170,182611.170,184735.838,81185.086,71999.648,112736.190,0.000,0.000,0.000
582,216.736,181345.556,181345.556,184142.109,81223.197,72177.557,111964.552,0.000,0.000,0.000
583,217.122,179638.241,179638.241,183548.474,81261.308,72355.295,111193.179,0.000,0.000,0.000
584,217.509,178993.369,178993.369,182954.622,81299.419,72532.854,110421.769,0.000,0.000,0.000
585,217.895,178638.904,178638.904,182360.214,81337.529,72710.225,109649.989,0.000,0.000,0.000
586,218.282,176968.021,176968.021,181764.881,81375.640,72887.401,108877.480,0.000,0.000,0.000
587,218.669,176076.505,176076.505,181168.226,81413.751,73064.373,108103.853,0.000,0.000,0.000
588,219.055,175052.093,175052.093,180569.819,81451.862,73241.130,107328.689,0.000,0.000,0.000
589,219.442,174954.351,174954.351,179969.203,81489.973,73417.663,106551.540,0.000,0.000,0.000
590,219.829,174337.576,174337.576,179365.888,81528.084,73593.959,105771.928,0.000,0.000,0.000
591,220.216,173367.492,173367.492,178759.355,81566.195,73770.009,104989.346,0.000,0.000,0.000
592,220.602,172287.479,172287.479,178149.053,81604.306,73945.797,104203.256,0.000,0.000,0.000
593,220.989,171211.911,171211.911,177534.402,81642.417,74121.312,103413.090,0.000,0.000,0.000
594,221.376,170181.906,170181.906,176914.793,81680.528,74296.538,102618.255,0.000,0.000,0.000
595,221.762,169308.518,169308.518,176289.585,81718.639,74471.459,101818.126,0.000,0.000,0.000
596,222.149,168390.241,168390.241,175658.112,81756.750,74646.058,101012.053,0.000,0.000,0.000
597,222.536,167674.505,167674.505,175019.680,81794.861,74820.318,100199.362,0.000,0.000,0.000
598,222.923,166423.060,166423.060,174373.573,81832.972,74994.219,99379.354,0.000,0.000,0.000
599,223.310,166226.750,166226.750,173719.049,81871.083,75167.741,98551.308,0.000,0.000,0.000
600,223.696,165105.203,165105.203,173055.347,81909.194,75340.861,97714.485,0.000,0.000,0.000
601,224.083,163894.009,163894.009,172381.689,81947.305,75513.557,96868.132,0.000,0.000,0.000
602,224.470,163488.029,163488.029,171697.283,81985.416,75685.803,96011.480,0.000,0.000,0.000
603,224.857,163571.988,163571.988,171001.325,82023.527,75857.574,95143.751,0.000,0.000,0.000
604,225.244,162654.743,162654.743,170293.005,82061.638,76028.841,94264.164,0.000,0.000,0.000
605,225.630,161714.802,161714.802,169571.509,82099.749,76199.576,93371.933,0.000,0.000,0.000
606,226.017,160388.957,160388.957,168836.026,82137.859,76369.747,92466.279,0.000,0.000,0.000
607,226.404,159718.479,159718.479,168085.750,82175.970,76539.321,91546.429,0.000,0.000,0.000
608,226.791,158990.047,158990.047,167319.888,82214.081,76708.266,90611.622,0.000,0.000,0.000
609,227.178,158361.034,158361.034,166537.661,82252.192,76876.544,89661.117,0.000,0.000,0.000
610,227.565,158432.551,158432.551,165738.316,82290.303,77044.119,88694.197,0.000,0.000,0.000
611,227.952,157065.628,157065.628,164921.124,82328.414,77210.952,87710.173,0.000,0.000,0.000
612,228.339,157080.957,157080.957,164085.393,82366.525,77377.001,86708.392,0.000,0.000,0.000
613,228.726,156068.221,156068.221,163230.467,82404.636,77542.225,85688.242,0.000,0.000,0.000
614,229.113,155364.543,155364.543,162355.740,82442.747,77706.581,84649.159,0.000,0.000,0.000
615,229.500,154286.472,154286.472,161460.654,82480.858,77870.023,83590.631,0.000,0.000,0.000
616,229.886,153165.970,153165.970,160544.709,82518.969,78032.504,82512.204,0.000,0.000,0.000
617,230.273,153905.454,153905.454,159607.469,82557.080,78193.978,81413.491,0.000,0.000,0.000
618,230.660,151796.318,151796.318,158648.568,82595.191,78354.396,80294.172,0.000,0.000,0.000
619,231.047,151842.318,151842.318,157667.710,82633.302,78513.707,79154.003,0.000,0.000,0.000
620,231.434,151050.254,151050.254,156664.684,82671.413,78671.861,77992.823,0.000,0.000,0.000
621,231.821,150684.305,150684.305,155639.358,82709.524,78828.806,76810.552,0.000,0.000,0.000
622,232.208,149602.441,149602.441,154591.693,82747.635,78984.490,75607.203,0.000,0.000,0.000
623,232.596,148727.796,148727.796,153521.740,82785.746,79138.860,74382.880,0.000,0.000,0.000
624,232.983,148476.492,148476.492,152429.646,82823.857,79291.863,73137.783,0.000,0.000,0.000
625,233.370,148655.937,148655.937,151315.659,82861.968,79443.445,71872.214,0.000,0.000,0.000
626,233.757,147694.441,147694.441,150180.129,82900.079,79593.554,70586.575,0.000,0.000,0.000
627,234.144,148074.131,148074.131,149023.506,82938.189,79742.136,69281.371,0.000,0.000,0.000
628,234.531,146514.203,146514.203,147846.350,82976.300,79889.138,67957.211,0.000,0.000,0.000
629,234.918,145991.357,145991.357,146649.321,83014.411,80034.509,66614.812,0.000,0.000,0.000
630,235.305,145900.144,145900.144,145433.188,83052.522,80178.197,65254.991,0.000,0.000,0.000
631,235.692,144887.873,144887.873,144811.457,83703.267,80912.359,63899.097,0.000,0.000,0.000
632,236.079,144519.221,144519.221,144172.467,84354.011,81646.262,62526.205,0.000,0.000,0.000
633,236.466,143595.415,143595.415,143517.294,85004.756,82379.817,61137.477,0.000,0.000,0.000
634,236.854,143552.331,143552.331,142847.110,85655.500,83112.933,59734.177,0.000,0.000,0.000
635,237.241,142800.983,142800.983,142163.179,86306.245,83845.521,58317.658,0.000,0.000,0.000
636,237.628,142933.164,142933.164,141466.857,86956.989,84577.495,56889.363,0.000,0.000,0.000
637,238.015,142298.886,142298.886,140759.582,87607.734,85308.767,55450.815,0.000,0.000,0.000
638,238.402,141486.390,141486.390,140042.868,88258.478,86039.252,54003.616,0.000,0.000,0.000
639,238.789,140622.009,140622.009,139318.304,88909.223,86768.867,52549.437,0.000,0.000,0.000
640,239.177,140457.093,140457.093,138587.541,89559.967,87497.531,51090.010,0.000,0.000,0.000
641,239.564,140570.067,140570.067,137852.288,90210.712,88225.166,49627.122,0.000,0.000,0.000
642,239.951,139586.745,139586.745,137114.303,90861.456,88951.695,48162.608,0.000,0.000,0.000
643,240.338,139654.963,139654.963,136375.382,91512.201,89677.046,46698.337,0.000,0.000,0.000
644,240.726,139314.996,139314.996,135637.357,92162.945,90401.148,45236.209,0.000,0.000,0.000
645,241.113,138518.919,138518.919,134902.079,92813.690,91123.936,43778.143,0.000,0.000,0.000
646,241.500,138045.203,138045.203,134171.414,93464.434,91845.347,42326.067,0.000,0.000,0.000
647,241.887,137690.809,137690.809,133447.231,94115.179,92565.322,40881.909,0.000,0.000,0.000
648,242.275,136852.118,136852.118,132731.396,94765.923,93283.806,39447.589,0.000,0.000,0.000
649,242.662,136523.983,136523.983,132025.756,95416.668,94000.750,38025.006,0.000,0.000,0.000
650,243.049,136591.106,136591.106,131332.139,96067.412,94716.107,36616.032,0.000,0.000,0.000
651,243.437,135635.144,135635.144,130652.336,96718.157,95429.835,35222.501,0.000,0.000,0.000
652,243.824,134620.937,134620.937,129988.097,97368.901,96141.897,33846.200,0.000,0.000,0.000
653,244.211,134734.809,134734.809,129341.122,98019.646,96852.262,32488.860,0.000,0.000,0.000
654,244.599,135158.060,135158.060,128713.052,98670.390,97560.901,31152.151,0.000,0.000,0.000
655,244.986,134368.085,134368.085,128105.461,99321.135,98267.792,29837.669,0.000,0.000,0.000
656,245.373,133713.822,133713.822,127519.851,99971.879,98972.916,28546.934,0.000,0.000,0.000
657,245.761,133528.725,133528.725,126957.641,100622.624,99676.261,27281.380,0.000,0.000,0.000
658,246.148,133094.259,133094.259,126420.166,101273.368,100377.817,26042.349,0.000,0.000,0.000
659,246.536,132941.725,132941.725,125908.668,101924.113,101077.580,24831.088,0.000,0.000,0.000
660,246.923,132933.679,132933.679,125424.294,102574.857,101775.550,23648.743,0.000,0.000,0.000
661,247.311,132800.970,132800.970,124968.089,103225.602,102471.733,22496.356,0.000,0.000,0.000
662,247.698,132140.512,132140.512,124540.996,103876.346,103166.137,21374.859,0.000,0.000,0.000
663,248.085,132136.241,132136.241,124143.850,104527.091,103858.774,20285.076,0.000,0.000,0.000
664,248.473,132366.648,132366.648,123777.381,105177.836,104549.663,19227.718,0.000,0.000,0.000
665,248.860,132393.292,132393.292,123442.207,105828.580,105238.823,18203.384,0.000,0.000,0.000
666,249.248,132805.428,132805.428,123138.839,106479.325,105926.279,17212.560,0.000,0.000,0.000
667,249.635,132284.441,132284.441,122867.678,107130.069,106612.058,16255.620,0.000,0.000,0.000
668,250.023,132686.479,132686.479,122629.017,107780.814,107296.190,15332.827,0.000,0.000,0.000
669,250.410,132540.479,132540.479,122423.045,108431.558,107978.710,14444.335,0.000,0.000,0.000
670,250.798,133168.866,133168.866,122249.844,109082.303,108659.652,13590.193,0.000,0.000,0.000
671,251.185,133232.183,133232.183,122109.400,109733.047,109339.055,12770.345,0.000,0.000,0.000
672,251.573,132105.369,132105.369,122001.598,110383.792,110016.960,11984.638,0.000,0.000,0.000
673,251.960,132155.983,132155.983,121926.231,111034.536,110693.409,11232.822,0.000,0.000,0.000
674,252.348,132460.615,132460.615,121883.005,111685.281,111368.445,10514.560,0.000,0.000,0.000
675,252.736,132019.280,132019.280,121871.539,112336.025,112042.114,9829.425,0.000,0.000,0.000
676,253.123,131967.827,131967.827,121891.376,112986.770,112714.462,9176.914,0.000,0.000,0.000
677,253.511,131274.930,131274.930,121941.985,113637.514,113385.537,8556.448,0.000,0.000,0.000
678,253.898,131088.530,131088.530,122022.767,114288.259,114055.386,7967.382,0.000,0.000,0.000
679,254.286,131632.183,131632.183,122133.062,114939.003,114724.057,7409.005,0.000,0.000,0.000
680,254.674,130543.111,130543.111,122272.153,115589.748,115391.599,6880.555,0.000,0.000,0.000
681,255.061,130475.814,130475.814,122439.275,116240.492,116058.060,6381.215,0.000,0.000,0.000
682,255.449,128594.208,128594.208,122633.618,116891.237,116723.490,5910.128,0.000,0.000,0.000
683,255.837,128898.349,128898.349,122854.334,117541.981,117387.935,5466.399,0.000,0.000,0.000
684,256.224,128153.078,128153.078,123100.544,118192.726,118051.443,5049.101,0.000,0.000,0.000
685,256.612,127489.684,127489.684,123371.344,118843.470,118714.062,4657.282,0.000,0.000,0.000
686,257.000,126606.052,126606.052,123665.806,119494.215,119375.836,4289.970,0.000,0.000,0.000
687,257.387,126063.769,126063.769,123982.991,120144.959,120036.812,3946.179,0.000,0.000,0.000
688,257.775,125264.150,125264.150,124321.948,120795.704,120697.033,3624.915,0.000,0.000,0.000
689,258.163,124596.497,124596.497,124681.722,121446.448,121356.543,3325.179,0.000,0.000,0.000
690,258.550,124120.349,124120.349,125061.357,122097.193,122015.382,3045.975,0.000,0.000,0.000
691,258.938,123825.032,123825.032,125459.901,122747.937,122673.590,2786.310,0.000,0.000,0.000
692,259.326,123188.794,123188.794,125876.411,123398.682,123331.208,2545.203,0.000,0.000,0.000
693,259.714,123238.574,123238.574,126309.956,124049.426,123988.272,2321.683,0.000,0.000,0.000
694,260.101,122423.116,122423.116,125852.359,123792.910,123737.961,2114.397,0.000,0.000,0.000
695,260.489,122012.413,122012.413,125409.983,123536.395,123487.086,1922.897,0.000,0.000,0.000
696,260.877,121855.083,121855.083,124981.952,123279.879,123235.691,1746.261,0.000,0.000,0.000
697,261.265,121001.574,121001.574,124567.412,123023.363,122983.816,1583.595,0.000,0.000,0.000
698,261.653,120659.155,120659.155,124165.535,122766.847,122731.502,1434.034,0.000,0.000,0.000
699,262.040,120243.897,120243.897,123775.523,122510.332,122478.783,1296.740,0.000,0.000,0.000
700,262.428,119669.452,119669.452,123396.603,122253.816,122225.695,1170.908,0.000,0.000,0.000
701,262.816,119291.464,119291.464,123028.035,121997.300,121972.268,1055.767,0.000,0.000,0.000
702,263.204,118640.897,118640.897,122669.107,121740.785,121718.532,950.575,0.000,0.000,0.000
703,263.592,118358.393,118358.393,122319.141,121484.269,121464.514,854.626,0.000,0.000,0.000
704,263.980,118091.083,118091.083,121977.489,121227.753,121210.240,767.249,0.000,0.000,0.000
705,264.368,118382.400,118382.400,121643.538,120971.237,120955.733,687.805,0.000,0.000,0.000
706,264.755,117641.935,117641.935,121316.703,120714.722,120701.014,615.689,0.000,0.000,0.000
707,265.143,117619.702,117619.702,120996.434,120458.206,120446.103,550.331,0.000,0.000,0.000
708,265.531,117381.651,117381.651,120682.210,120201.690,120191.020,491.191,0.000,0.000,0.000
709,265.919,116189.334,116189.334,120373.543,119945.174,119935.780,437.764,0.000,0.000,0.000
710,266.307,116155.309,116155.309,120069.974,119688.659,119680.399,389.575,0.000,0.000,0.000
711,266.695,116600.321,116600.321,119771.071,119432.143,119424.890,346.181,0.000,0.000,0.000
712,267.083,116491.393,116491.393,119476.435,119175.627,119169.268,307.167,0.000,0.000,0.000
713,267.471,116319.245,116319.245,119185.691,118919.111,118913.544,272.147,0.000,0.000,0.000
714,267.859,116035.838,116035.838,118898.491,118662.596,118657.728,240.763,0.000,0.000,0.000
715,268.247,115787.800,115787.800,118614.513,118406.080,118401.830,212.683,0.000,0.000,0.000
716,268.635,115581.715,115581.715,118333.457,118149.564,118145.859,187.598,0.000,0.000,0.000
717,269.023,115109.329,115109.329,118055.049,117893.049,117889.822,165.226,0.000,0.000,0.000
718,269.411,115060.232,115060.232,117779.033,117636.533,117633.728,145.305,0.000,0.000,0.000
719,269.799,114948.761,114948.761,117505.178,117380.017,117377.582,127.596,0.000,0.000,0.000
720,270.187,115084.076,115084.076,117233.267,117123.501,117121.390,111.877,0.000,0.000,0.000
721,270.575,114771.316,114771.316,116963.106,116866.986,116865.158,97.948,0.000,0.000,0.000
722,270.963,113749.748,113749.748,116694.515,116610.470,116608.890,85.624,0.000,0.000,0.000
723,271.351,114157.554,114157.554,116427.330,116353.954,116352.590,74.739,0.000,0.000,0.000
724,271.739,114230.380,114230.380,116161.403,116097.438,116096.263,65.140,0.000,0.000,0.000
725,272.127,113716.091,113716.091,115896.599,115840.923,115839.911,56.688,0.000,0.000,0.000
726,272.515,113974.864,113974.864,115632.795,115584.407,115583.537,49.258,0.000,0.000,0.000
727,272.904,112901.367,112901.367,115369.882,115327.891,115327.145,42.738,0.000,0.000,0.000
728,273.292,113121.715,113121.715,115107.760,115071.375,115070.736,37.024,0.000,0.000,0.000
729,273.680,113036.986,113036.986,114846.338,114814.860,114814.312,32.026,0.000,0.000,0.000
730,274.068,112722.902,112722.902,114585.537,114558.344,114557.876,27.661,0.000,0.000,0.000
731,274.456,112573.651,112573.651,114325.283,114301.828,114301.429,23.854,0.000,0.000,0.000
732,274.844,112692.083,112692.083,114065.513,114045.312,114044.972,20.540,0.000,0.000,0.000
733,275.232,112032.825,112032.825,113806.167,113788.797,113788.507,17.660,0.000,0.000,0.000
734,275.621,112206.457,112206.457,113547.195,113532.281,113532.035,15.160,0.000,0.000,0.000
735,276.009,111774.109,111774.109,113288.551,113275.765,113275.557,12.995,0.000,0.000,0.000
736,276.397,111764.702,111764.702,113030.194,113019.250,113019.073,11.121,0.000,0.000,0.000
737,276.785,111600.909,111600.909,112772.088,112762.734,112762.584,9.504,0.000,0.000,0.000
738,277.173,110887.237,110887.237,112514.201,112506.218,112506.092,8.109,0.000,0.000,0.000
739,277.562,111383.083,111383.083,112256.504,112249.702,112249.596,6.908,0.000,0.000,0.000
740,277.950,110895.406,110895.406,111998.973,111993.187,111993.097,5.876,0.000,0.000,0.000
741,278.338,110939.193,110939.193,111741.586,111736.671,111736.595,4.991,0.000,0.000,0.000
742,278.726,110857.644,110857.644,111484.324,111480.155,111480.092,4.232,0.000,0.000,0.000
743,279.115,110748.076,110748.076,111227.170,111223.639,111223.586,3.584,0.000,0.000,0.000
744,279.503,110931.470,110931.470,110970.109,110967.124,110967.079,3.030,0.000,0.000,0.000
745,279.891,109727.690,109727.690,110713.128,110710.608,110710.571,2.557,0.000,0.000,0.000
746,280.280,109692.096,109692.096,110456.217,110454.092,110454.061,2.155,0.000,0.000,0.000
747,280.668,110614.508,110614.508,110199.364,110197.576,110197.551,1.814,0.000,0.000,0.000
748,281.056,110269.431,110269.431,109942.563,109941.061,109941.039,1.524,0.000,0.000,0.000
749,281.445,109738.406,109738.406,109685.806,109684.545,109684.527,1.279,0.000,0.000,0.000
750,281.833,109725.851,109725.851,109429.085,109428.029,109428.014,1.071,0.000,0.000,0.000
751,282.221,110406.541,110406.541,109172.397,109171.514,109171.501,0.896,0.000,0.000,0.000
752,282.610,109383.831,109383.831,108915.736,108914.998,108914.988,0.748,0.000,0.000,0.000
753,282.998,109404.851,109404.851,108659.097,108658.482,108658.474,0.624,0.000,0.000,0.000
754,283.386,108946.562,108946.562,108402.479,108401.966,108401.959,0.519,0.000,0.000,0.000
755,283.775,109040.148,109040.148,108145.876,108145.451,108145.445,0.432,0.000,0.000,0.000
756,284.163,109695.741,109695.741,107889.288,107888.935,107888.930,0.358,0.000,0.000,0.000
757,284.552,109331.419,109331.419,107798.710,107798.417,107798.413,0.297,0.000,0.000,0.000
758,284.940,109194.495,109194.495,107708.142,107707.899,107707.896,0.246,0.000,0.000,0.000
759,285.329,108746.889,108746.889,107617.582,107617.382,107617.379,0.203,0.000,0.000,0.000
760,285.717,108677.902,108677.902,107527.029,107526.864,107526.862,0.167,0.000,0.000,0.000
761,286.105,107623.386,107623.386,107436.482,107436.346,107436.344,0.138,0.000,0.000,0.000
762,286.494,108145.483,108145.483,107345.940,107345.828,107345.827,0.113,0.000,0.000,0.000
763,286.882,108373.677,108373.677,107255.402,107255.310,107255.309,0.093,0.000,0.000,0.000
764,287.271,107369.651,107369.651,107164.868,107164.793,107164.792,0.076,0.000,0.000,0.000
765,287.659,107519.058,107519.058,107074.336,107074.275,107074.274,0.062,0.000,0.000,0.000
766,288.048,108113.677,108113.677,106983.807,106983.757,106983.756,0.051,0.000,0.000,0.000
767,288.436,107474.283,107474.283,106893.280,106893.239,106893.239,0.042,0.000,0.000,0.000
768,288.825,107521.941,107521.941,106802.755,106802.722,106802.721,0.034,0.000,0.000,0.000
769,289.214,106995.283,106995.283,106712.231,106712.204,106712.203,0.028,0.000,0.000,0.000
770,289.602,107110.199,107110.199,106621.708,106621.686,106621.686,0.022,0.000,0.000,0.000
771,289.991,106921.567,106921.567,106531.186,106531.168,106531.168,0.018,0.000,0.000,0.000
772,290.379,106512.102,106512.102,106440.665,106440.650,106440.650,0.015,0.000,0.000,0.000
773,290.768,107214.025,107214.025,106350.144,106350.133,106350.132,0.012,0.000,0.000,0.000
774,291.156,106437.605,106437.605,106259.624,106259.615,106259.615,0.010,0.000,0.000,0.000
775,291.545,105717.406,105717.406,106169.105,106169.097,106169.097,0.008,0.000,0.000,0.000
776,291.934,106319.534,106319.534,106078.585,106078.579,106078.579,0.006,0.000,0.000,0.000
777,292.322,106517.309,106517.309,105988.066,105988.062,105988.061,0.005,0.000,0.000,0.000
778,292.711,106441.728,106441.728,105897.548,105897.544,105897.544,0.004,0.000,0.000,0.000
779,293.099,106440.419,106440.419,105807.029,105807.026,105807.026,0.003,0.000,0.000,0.000
780,293.488,106343.690,106343.690,105716.511,105716.508,105716.508,0.003,0.000,0.000,0.000
781,293.877,106599.690,106599.690,105625.992,105625.990,105625.990,0.002,0.000,0.000,0.000
782,294.265,105732.470,105732.470,105535.474,105535.473,105535.473,0.002,0.000,0.000,0.000
783,294.654,105774.457,105774.457,105444.956,105444.955,105444.955,0.001,0.000,0.000,0.000
784,295.043,105707.508,105707.508,105354.438,105354.437,105354.437,0.001,0.000,0.000,0.000
785,295.432,105950.102,105950.102,105263.920,105263.919,105263.919,0.001,0.000,0.000,0.000
786,295.820,105080.296,105080.296,105173.402,105173.402,105173.402,0.001,0.000,0.000,0.000
787,296.209,104921.470,104921.470,105082.884,105082.884,105082.884,0.001,0.000,0.000,0.000
788,296.598,104912.173,104912.173,104992.366,104992.366,104992.366,0.000,0.000,0.000,0.000
789,296.986,105643.263,105643.263,104901.849,104901.848,104901.848,0.000,0.000,0.000,0.000
790,297.375,104955.360,104955.360,104811.331,104811.330,104811.330,0.000,0.000,0.000,0.000
791,297.764,104917.444,104917.444,104720.813,104720.813,104720.813,0.000,0.000,0.000,0.000
792,298.153,104520.089,104520.089,104630.295,104630.295,104630.295,0.000,0.000,0.000,0.000
793,298.542,105423.928,105423.928,104539.777,104539.777,104539.777,0.000,0.000,0.000,0.000
794,298.930,105186.309,105186.309,104449.259,104449.259,104449.259,0.000,0.000,0.000,0.000
795,299.319,104241.534,104241.534,104358.742,104358.742,104358.742,0.000,0.000,0.000,0.000
796,299.708,104380.644,104380.644,104268.224,104268.224,104268.224,0.000,0.000,0.000,0.000
797,300.097,103920.902,103920.902,104177.706,104177.706,104177.706,0.000,0.000,0.000,0.000
798,300.486,104137.728,104137.728,104087.188,104087.188,104087.188,0.000,0.000,0.000,0.000
799,300.875,104414.966,104414.966,103996.670,103996.670,103996.670,0.000,0.000,0.000,0.000
800,301.263,104786.398,104786.398,103906.153,103906.153,103906.153,0.000,0.000,0.000,0.000
801,301.652,103912.017,103912.017,103815.635,103815.635,103815.635,0.000,0.000,0.000,0.000
802,302.041,103321.831,103321.831,103725.117,103725.117,103725.117,0.000,0.000,0.000,0.000
803,302.430,103421.876,103421.876,103634.599,103634.599,103634.599,0.000,0.000,0.000,0.000
804,302.819,103877.708,103877.708,103544.082,103544.082,103544.082,0.000,0.000,0.000,0.000
805,303.208,103766.030,103766.030,103453.564,103453.564,103453.564,0.000,0.000,0.000,0.000
806,303.597,102895.321,102895.321,103363.046,103363.046,103363.046,0.000,0.000,0.000,0.000
807,303.986,103288.140,103288.140,103272.528,103272.528,103272.528,0.000,0.000,0.000,0.000
808,304.375,104013.657,104013.657,103182.010,103182.010,103182.010,0.000,0.000,0.000,0.000
809,304.764,103342.237,103342.237,103091.493,103091.493,103091.493,0.000,0.000,0.000,0.000
810,305.153,103259.327,103259.327,103000.975,103000.975,103000.975,0.000,0.000,0.000,0.000
811,305.542,103313.657,103313.657,102910.457,102910.457,102910.457,0.000,0.000,0.000,0.000
812,305.931,102710.818,102710.818,102819.939,102819.939,102819.939,0.000,0.000,0.000,0.000
813,306.320,102330.695,102330.695,102729.422,102729.422,102729.422,0.000,0.000,0.000,0.000
814,306.709,102665.212,102665.212,102638.904,102638.904,102638.904,0.000,0.000,0.000,0.000
815,307.098,102458.017,102458.017,102548.386,102548.386,102548.386,0.000,0.000,0.000,0.000
816,307.487,102408.081,102408.081,102457.868,102457.868,102457.868,0.000,0.000,0.000,0.000
817,307.876,102168.547,102168.547,102367.350,102367.350,102367.350,0.000,0.000,0.000,0.000
818,308.265,102299.030,102299.030,102276.833,102276.833,102276.833,0.000,0.000,0.000,0.000
819,308.654,102222.618,102222.618,102186.315,102186.315,102186.315,0.000,0.000,0.000,0.000
820,309.043,102332.276,102332.276,102139.164,102139.164,102139.164,0.000,0.000,0.000,0.000
821,309.432,102422.353,102422.353,102092.012,102092.012,102092.012,0.000,0.000,0.000,0.000
822,309.821,102178.069,102178.069,102044.861,102044.861,102044.861,0.000,0.000,0.000,0.000
823,310.210,102043.191,102043.191,101997.710,101997.710,101997.710,0.000,0.000,0.000,0.000
824,310.599,101845.276,101845.276,101950.558,101950.558,101950.558,0.000,0.000,0.000,0.000
825,310.988,101952.411,101952.411,101903.407,101903.407,101903.407,0.000,0.000,0.000,0.000
826,311.377,101930.076,101930.076,101856.256,101856.256,101856.256,0.000,0.000,0.000,0.000
827,311.767,101944.772,101944.772,101809.104,101809.104,101809.104,0.000,0.000,0.000,0.000
828,312.156,101815.153,101815.153,101761.953,101761.953,101761.953,0.000,0.000,0.000,0.000
829,312.545,101508.386,101508.386,101714.802,101714.802,101714.802,0.000,0.000,0.000,0.000
830,312.934,101043.526,101043.526,101667.650,101667.650,101667.650,0.000,0.000,0.000,0.000
831,313.323,101895.314,101895.314,101620.499,101620.499,101620.499,0.000,0.000,0.000,0.000
