ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
0,6.945,0.000,0.000,0.000,0.000,0.000,0.000
1,9.715,0.000,0.000,0.171,0.171,0.034,0.137
2,12.486,0.000,0.000,0.343,0.343,0.069,0.274
3,15.258,0.000,0.000,0.514,0.514,0.103,0.411
4,18.030,0.000,0.000,0.686,0.686,0.137,0.549
5,20.803,25.567,25.567,0.857,0.857,0.172,0.686
6,23.577,348.033,348.033,1.029,1.029,0.206,0.823
7,26.352,1750.478,1750.478,1.200,1.200,0.240,0.960
8,29.127,4316.511,4316.511,2255.453,2255.453,451.411,1804.042
9,31.903,7900.978,7900.978,4509.707,4509.707,902.582,3607.125
10,34.680,11205.122,11205.122,6763.960,6763.960,1353.752,5410.207
11,37.458,12782.311,12782.311,9018.213,9018.213,1804.923,7213.290
12,40.236,13705.011,13705.011,11272.466,11272.466,2256.094,9016.372
13,43.015,13632.411,13632.411,13526.719,13526.719,2707.265,10819.454
14,45.795,14096.911,14096.911,15780.972,15780.972,3158.435,12622.537
15,48.575,14045.778,14045.778,15498.008,15498.008,3101.802,12396.206
16,51.356,14290.156,14290.156,15215.044,15215.044,3045.169,12169.875
17,54.138,14339.567,14339.567,14932.080,14932.080,2988.536,11943.544
18,56.920,14203.856,14203.856,14649.116,14649.116,2931.903,11717.213
19,59.703,14203.745,14203.745,14366.152,14366.152,2875.270,11490.882
20,62.487,14524.367,14524.367,14083.188,14083.188,2818.637,11264.551
21,65.272,14515.733,14515.733,13800.224,13800.224,2762.005,11038.220
22,68.057,14425.322,14425.322,14134.574,14134.574,2828.922,11305.652
23,70.843,14624.089,14624.089,14468.924,14468.924,2895.840,11573.085
24,73.630,14597.878,14597.878,14803.275,14803.274,2962.757,11840.518
25,76.417,14855.900,14855.900,15137.630,15137.625,3029.675,12107.955
26,79.205,14837.511,14837.511,15472.036,15471.975,3096.598,12375.438
27,81.994,15119.756,15119.756,15806.837,15806.325,3163.558,12643.280
28,84.784,15611.345,15611.345,16144.087,16140.675,3230.748,12913.339
29,87.574,15500.756,15500.756,15350.212,15332.013,3070.300,12279.912
30,90.364,15556.356,15556.356,14601.416,14523.350,2914.145,11687.271
31,93.156,15499.867,15499.867,13985.363,13714.688,2770.725,11214.638
32,95.948,15907.845,15907.845,13669.366,12906.025,2656.342,11013.024
33,98.741,15815.122,15815.122,13862.446,12097.363,2591.802,11270.643
34,101.535,15986.678,15986.678,14671.638,11288.700,2588.663,12082.975
35,104.329,15945.500,15945.500,15935.180,10480.038,2632.561,13302.619
36,107.124,16040.389,16040.389,17425.497,9870.102,2722.318,14703.179
37,109.919,16312.278,16312.278,18495.592,9260.166,2773.405,15722.187
38,112.716,16656.889,16656.889,18944.574,8650.230,2764.499,16180.075
39,115.512,16872.578,16872.578,18864.316,8040.294,2703.960,16160.357
40,118.310,17568.156,17568.156,18476.227,7430.358,2614.475,15861.752
41,121.108,17617.956,17617.956,17961.011,6820.422,2514.950,15446.061
42,123.907,18483.667,18483.667,17401.490,6210.487,2413.171,14988.318
43,126.707,18593.145,18593.145,17920.346,6706.993,2532.802,15387.544
44,129.507,19075.511,19075.511,18411.675,7203.499,2647.929,15763.746
45,132.308,19234.345,19234.345,18886.965,7700.005,2757.822,16129.143
46,135.110,19754.078,19754.078,19365.468,8196.511,2863.752,16501.716
47,137.912,20059.100,20059.100,19860.670,8693.017,2967.412,16893.259
