ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
0,-2.595,0.000,0.000,0.000,0.000,0.000,0.000
1,0.155,0.000,0.000,0.052,0.052,0.050,0.002
2,2.907,0.000,0.000,0.103,0.103,0.100,0.003
3,5.661,0.000,0.000,0.155,0.155,0.150,0.005
4,8.417,0.000,0.000,0.207,0.207,0.200,0.007
5,11.175,0.000,-0.765,0.258,0.258,0.250,0.008
6,13.934,6.671,6.671,0.310,0.310,0.300,0.010
7,16.696,21.189,21.189,0.362,0.362,0.350,0.012
8,19.459,112.357,112.357,146.248,146.248,141.472,4.775
9,22.224,247.609,247.609,292.134,292.134,282.595,9.539
10,24.991,513.496,513.496,438.020,438.020,423.718,14.302
11,27.759,692.710,692.710,583.906,583.906,564.840,19.065
12,30.529,809.136,809.136,729.792,729.792,705.963,23.829
13,33.302,920.835,920.835,875.678,875.678,847.086,28.592
14,36.075,852.257,852.257,1021.564,1021.564,988.208,33.356
15,38.851,988.064,988.064,1017.408,1017.408,984.188,33.220
16,41.628,1032.399,1032.399,1013.252,1013.252,980.167,33.084
17,44.408,1011.076,1011.076,1009.096,1009.096,976.147,32.949
18,47.188,907.504,907.504,1004.940,1004.940,972.127,32.813
19,49.971,1048.451,1048.451,1000.783,1000.783,968.106,32.677
20,52.755,1039.056,1039.056,996.627,996.627,964.086,32.542
21,55.541,949.998,949.998,992.471,992.471,960.065,32.406
22,58.329,1017.015,1017.015,1028.330,1028.330,994.754,33.577
23,61.119,1091.200,1091.200,1064.190,1064.190,1029.442,34.748
24,63.910,1143.438,1143.438,1100.049,1100.049,1064.131,35.918
25,66.702,1167.550,1167.550,1135.913,1135.908,1098.824,37.090
26,69.497,1180.565,1180.565,1171.807,1171.767,1133.544,38.263
27,72.293,1163.924,1163.924,1207.866,1207.626,1168.420,39.446
28,75.091,1088.058,1088.058,1244.664,1243.486,1203.987,40.677
29,77.890,1236.692,1236.692,1205.069,1200.366,1165.572,39.497
30,80.691,1183.267,1183.267,1172.565,1157.247,1133.779,38.785
31,83.494,1208.505,1208.505,1155.073,1114.128,1115.994,39.079
32,86.298,1323.802,1323.802,1161.517,1071.008,1120.509,41.008
33,89.104,1245.778,1245.778,1194.982,1027.889,1150.145,44.838
34,91.912,1243.521,1243.521,1245.854,984.770,1195.854,49.999
35,94.721,1168.400,1168.400,1293.173,941.651,1238.020,55.153
36,97.532,1265.539,1265.539,1351.493,933.775,1291.418,60.075
37,100.344,1338.241,1338.241,1377.707,925.899,1314.719,62.988
38,103.158,1490.972,1490.972,1379.584,918.024,1315.457,64.127
39,105.974,1458.304,1458.304,1373.306,910.148,1309.149,64.157
40,108.791,1307.327,1307.327,1373.715,902.273,1309.990,63.725
41,111.609,1376.214,1376.214,1387.736,894.397,1324.470,63.266
42,114.430,1470.928,1470.928,1412.472,886.521,1349.511,62.961
43,117.251,1455.442,1455.442,1488.207,928.836,1423.834,64.373
44,120.075,1509.219,1509.219,1554.057,971.151,1488.338,65.719
45,122.899,1610.218,1610.218,1604.457,1013.466,1537.587,66.870
46,125.726,1654.067,1654.067,1640.807,1055.781,1572.989,67.818
47,128.554,1631.792,1631.792,1669.066,1098.096,1600.419,68.648
48,131.383,1648.426,1648.426,1696.134,1140.410,1626.652,69.482
49,134.214,1630.597,1630.597,1727.397,1182.725,1656.947,70.450
50,137.046,1822.785,1822.785,1738.222,1197.739,1667.403,70.819
51,139.880,1825.961,1825.961,1755.385,1212.753,1683.824,71.561
52,142.715,1830.980,1830.980,1775.754,1227.767,1703.066,72.689
53,145.552,1823.391,1823.391,1795.395,1242.781,1721.309,74.086
54,148.390,1867.952,1867.952,1811.681,1257.794,1736.146,75.535
55,151.230,1807.751,1807.751,1824.394,1272.808,1747.579,76.815
56,154.071,1744.114,1744.114,1835.298,1287.822,1757.489,77.809
57,156.914,1764.129,1764.129,1836.741,1292.857,1758.518,78.223
58,159.758,1904.538,1904.538,1840.167,1297.892,1761.689,78.479
59,162.603,1916.780,1916.780,1845.533,1302.927,1766.856,78.676
60,165.450,1790.345,1790.345,1851.583,1307.962,1772.736,78.847
61,168.299,1830.035,1830.035,1856.763,1312.997,1777.806,78.957
62,171.148,1955.883,1955.883,1860.100,1318.032,1781.136,78.964
63,174.000,1894.676,1894.676,1861.581,1323.067,1782.706,78.875
64,176.852,1916.365,1916.365,1880.281,1346.435,1800.954,79.327
65,179.706,1876.593,1876.593,1898.923,1369.804,1819.070,79.853
66,182.561,1812.398,1812.398,1918.576,1393.172,1838.046,80.530
67,185.418,1907.768,1907.768,1940.266,1416.540,1858.892,81.373
68,188.276,1877.927,1877.927,1964.944,1439.908,1882.607,82.337
69,191.135,1954.613,1954.613,1993.249,1463.276,1909.905,83.344
70,193.996,2123.511,2123.511,2025.118,1486.644,1940.808,84.310
71,196.858,2017.083,2017.083,2053.461,1503.908,1968.479,84.982
72,199.722,2219.215,2219.215,2082.676,1521.173,1997.180,85.496
73,202.586,2162.002,2162.002,2110.930,1538.437,2025.106,85.824
74,205.452,2135.037,2135.037,2136.910,1555.702,2050.946,85.964
75,208.320,2097.521,2097.521,2160.188,1572.966,2074.246,85.943
76,211.189,2181.090,2181.090,2181.172,1590.231,2095.354,85.818
77,214.059,2178.438,2178.438,2200.776,1607.495,2115.111,85.665
78,216.930,2106.437,2106.437,2182.361,1587.053,2097.935,84.426
79,219.802,2194.321,2194.321,2164.613,1566.611,2081.337,83.276
80,222.676,2230.095,2230.095,2148.287,1546.168,2066.060,82.227
81,225.551,2083.488,2083.488,2133.781,1525.726,2052.522,81.259
82,228.428,2197.942,2197.942,2120.989,1505.284,2040.649,80.341
83,231.306,2111.629,2111.629,2109.229,1484.841,2029.790,79.440
84,234.185,2149.192,2149.192,2097.346,1464.399,2018.808,78.538
85,237.065,2089.817,2089.817,2084.024,1443.957,2006.390,77.635
86,239.946,2047.257,2047.257,2057.583,1412.913,1981.146,76.437
87,242.829,2014.027,2014.027,2028.078,1381.870,1952.789,75.289
