ch,keV,net,fit,model,continuum_raw,Eu-152
498,1477.016,68.933,68.933,75.604,25.816,75.604
499,1480.061,40.933,40.933,64.722,24.039,64.722
500,1483.107,41.067,41.067,55.357,22.262,55.357
501,1486.153,48.333,48.333,47.302,20.486,47.302
502,1489.198,31.933,31.933,40.366,18.709,40.366
503,1492.244,41.267,41.267,34.371,16.933,34.371
504,1495.289,21.333,21.333,29.161,15.156,29.161
505,1498.334,26.267,26.267,24.602,13.380,24.602
506,1501.380,24.667,24.667,21.825,12.853,21.825
507,1504.425,33.800,33.800,19.483,12.326,19.483
508,1507.470,16.133,16.133,17.495,11.799,17.495
509,1510.515,14.600,14.600,15.794,11.273,15.794
510,1513.560,15.400,15.400,14.324,10.746,14.324
511,1516.605,18.333,18.333,13.041,10.219,13.041
512,1519.650,12.400,12.400,11.909,9.692,11.909
513,1522.695,22.600,22.600,10.900,9.166,10.900
514,1525.740,9.733,9.733,9.988,8.639,9.988
515,1528.785,3.867,3.867,9.156,8.112,9.156
516,1531.829,6.867,6.867,8.388,7.586,8.388
517,1534.874,6.467,6.467,7.672,7.059,7.672
518,1537.919,10.800,10.800,6.997,6.532,6.997
519,1540.963,2.133,2.133,6.356,6.005,6.356
520,1544.007,5.933,5.933,5.740,5.479,5.740
521,1547.052,6.867,6.867,5.146,4.952,5.146
522,1550.096,17.867,17.867,4.568,4.425,4.568
523,1553.140,7.800,7.800,4.002,3.898,4.002
524,1556.184,2.333,2.333,3.447,3.372,3.447
525,1559.228,9.600,9.600,2.899,2.845,2.899
526,1562.272,9.667,9.667,2.356,2.318,2.356
527,1565.315,0.000,-1.067,1.818,1.792,1.818
528,1568.359,0.000,-0.867,1.283,1.265,1.283
529,1571.403,5.200,5.200,1.225,1.212,1.225
530,1574.446,0.000,-0.667,1.168,1.159,1.168
531,1577.489,2.467,2.467,1.113,1.107,1.113
532,1580.533,1.200,1.200,1.058,1.054,1.058
533,1583.576,0.000,-0.467,1.004,1.001,1.004
534,1586.619,11.667,11.667,0.950,0.949,0.950
535,1589.662,6.467,6.467,0.897,0.896,0.897
536,1592.704,3.467,3.467,0.844,0.843,0.844
537,1595.747,9.933,9.933,0.791,0.791,0.791
538,1598.790,0.000,-2.600,0.738,0.738,0.738
539,1601.832,0.000,-4.400,0.685,0.685,0.685
540,1604.875,0.000,-0.800,0.633,0.632,0.633
541,1607.917,0.000,-5.667,0.580,0.580,0.580
542,1610.959,3.067,3.067,0.527,0.527,0.527
543,1614.001,1.400,1.400,0.474,0.474,0.474
544,1617.043,1.800,1.800,0.422,0.422,0.422
545,1620.084,2.067,2.067,0.369,0.369,0.369
546,1623.126,0.667,0.667,0.316,0.316,0.316
547,1626.168,2.667,2.667,0.264,0.264,0.264
548,1629.209,0.000,-1.600,0.211,0.211,0.211
549,1632.250,0.000,-5.733,0.158,0.158,0.158
550,1635.291,2.600,2.600,0.105,0.105,0.105
551,1638.332,0.000,-0.733,0.053,0.053,0.053
552,1641.373,0.000,-0.333,0.000,0.000,0.000
553,1644.414,1.333,1.333,0.000,0.000,0.000
554,1647.454,7.533,7.533,0.000,0.000,0.000
555,1650.494,1.333,1.333,0.000,0.000,0.000
556,1653.535,0.000,-2.133,0.000,0.000,0.000
557,1656.575,0.000,-0.533,0.000,0.000,0.000
558,1659.615,0.000,-2.400,0.000,0.000,0.000
559,1662.654,0.000,-0.133,0.000,0.000,0.000
560,1665.694,0.000,-1.867,0.000,0.000,0.000
561,1668.733,0.133,0.133,0.000,0.000,0.000
562,1671.773,3.533,3.533,0.000,0.000,0.000
563,1674.812,0.000,-1.333,0.000,0.000,0.000
564,1677.851,2.800,2.800,0.000,0.000,0.000
565,1680.890,4.400,4.400,0.000,0.000,0.000
566,1683.928,0.000,-3.400,0.000,0.000,0.000
567,1686.967,6.267,6.267,0.000,0.000,0.000
568,1690.005,4.400,4.400,0.000,0.000,0.000
569,1693.043,0.000,-4.333,0.000,0.000,0.000
570,1696.081,1.733,1.733,0.000,0.000,0.000
571,1699.119,5.467,5.467,0.000,0.000,0.000
572,1702.157,0.000,-4.933,0.000,0.000,0.000
573,1705.194,0.000,-2.133,0.000,0.000,0.000
574,1708.232,3.133,3.133,0.000,0.000,0.000
575,1711.269,0.533,0.533,0.000,0.000,0.000
576,1714.306,0.000,-0.800,0.000,0.000,0.000
577,1717.342,0.000,-0.533,0.000,0.000,0.000
578,1720.379,0.000,-4.733,0.000,0.000,0.000
579,1723.415,6.933,6.933,0.000,0.000,0.000
580,1726.451,0.267,0.267,0.000,0.000,0.000
581,1729.487,0.000,-1.467,0.000,0.000,0.000
582,1732.523,0.000,-3.667,0.000,0.000,0.000
583,1735.559,0.000,-1.067,0.000,0.000,0.000
584,1738.594,2.200,2.200,0.000,0.000,0.000
585,1741.629,0.333,0.333,0.000,0.000,0.000
586,1744.664,1.733,1.733,0.000,0.000,0.000
587,1747.699,1.667,1.667,0.000,0.000,0.000
588,1750.734,0.000,-1.800,0.000,0.000,0.000
589,1753.768,3.400,3.400,0.000,0.000,0.000
590,1756.802,0.000,-1.933,0.000,0.000,0.000
591,1759.836,0.000,-2.333,0.000,0.000,0.000
592,1762.870,1.733,1.733,0.000,0.000,0.000
593,1765.903,2.467,2.467,0.000,0.000,0.000
594,1768.937,5.200,5.200,0.000,0.000,0.000
595,1771.970,0.000,-5.667,0.000,0.000,0.000
596,1775.003,0.000,-2.667,0.000,0.000,0.000
597,1778.035,1.867,1.867,0.000,0.000,0.000
598,1781.068,0.000,-1.667,0.000,0.000,0.000
599,1784.100,1.533,1.533,0.000,0.000,0.000
600,1787.132,3.600,3.600,0.000,0.000,0.000
601,1790.164,6.200,6.200,0.000,0.000,0.000
602,1793.195,5.067,5.067,0.000,0.000,0.000
603,1796.226,7.667,7.667,0.000,0.000,0.000
604,1799.257,0.000,-4.800,0.000,0.000,0.000
605,1802.288,0.000,-4.000,0.000,0.000,0.000
606,1805.319,2.067,2.067,0.000,0.000,0.000
607,1808.349,0.000,-4.800,0.000,0.000,0.000
608,1811.379,0.000,-1.000,0.000,0.000,0.000
609,1814.409,0.000,-0.400,0.000,0.000,0.000
610,1817.439,2.800,2.800,0.000,0.000,0.000
611,1820.468,2.133,2.133,0.000,0.000,0.000
612,1823.497,3.333,3.333,0.000,0.000,0.000
613,1826.526,6.867,6.867,0.000,0.000,0.000
614,1829.555,0.267,0.267,0.000,0.000,0.000
615,1832.583,0.000,-3.133,0.000,0.000,0.000
616,1835.611,0.000,-1.200,0.000,0.000,0.000
617,1838.639,1.067,1.067,0.000,0.000,0.000
618,1841.667,1.133,1.133,0.000,0.000,0.000
619,1844.694,6.733,6.733,0.000,0.000,0.000
620,1847.721,0.000,-0.200,0.000,0.000,0.000
621,1850.748,0.733,0.733,0.000,0.000,0.000
622,1853.774,0.000,-0.933,0.000,0.000,0.000
623,1856.801,0.000,-0.133,0.000,0.000,0.000
624,1859.827,0.000,-2.867,0.000,0.000,0.000
625,1862.852,0.133,0.133,0.000,0.000,0.000
626,1865.878,0.000,-1.933,0.000,0.000,0.000
627,1868.903,0.000,-0.133,0.000,0.000,0.000
628,1871.928,7.200,7.200,0.000,0.000,0.000
629,1874.952,2.400,2.400,0.000,0.000,0.000
630,1877.977,0.000,-3.000,0.000,0.000,0.000
631,1881.001,0.267,0.267,0.000,0.000,0.000
632,1884.025,0.000,-0.533,0.000,0.000,0.000
633,1887.048,0.000,-0.733,0.000,0.000,0.000
634,1890.071,1.333,1.333,0.000,0.000,0.000
635,1893.094,0.000,-1.667,0.000,0.000,0.000
636,1896.117,0.000,-2.067,0.000,0.000,0.000
637,1899.139,0.000,0.000,0.000,0.000,0.000
638,1902.161,2.867,2.867,0.000,0.000,0.000
639,1905.183,0.000,-1.333,0.000,0.000,0.000
640,1908.204,0.933,0.933,0.000,0.000,0.000
641,1911.225,0.867,0.867,0.000,0.000,0.000
642,1914.246,0.000,-0.733,0.000,0.000,0.000
643,1917.267,1.533,1.533,0.000,0.000,0.000
644,1920.287,0.000,-1.467,0.000,0.000,0.000
645,1923.307,0.000,-2.267,0.000,0.000,0.000
646,1926.326,2.067,2.067,0.000,0.000,0.000
647,1929.346,0.000,-0.600,0.000,0.000,0.000
648,1932.365,0.000,-0.133,0.000,0.000,0.000
649,1935.383,2.000,2.000,0.000,0.000,0.000
650,1938.402,0.000,-0.933,0.000,0.000,0.000
651,1941.420,1.400,1.400,0.000,0.000,0.000
652,1944.437,0.933,0.933,0.000,0.000,0.000
653,1947.455,0.000,-1.533,0.000,0.000,0.000
654,1950.472,0.000,-1.533,0.000,0.000,0.000
655,1953.488,0.000,-0.467,0.000,0.000,0.000
656,1956.505,0.000,-0.600,0.000,0.000,0.000
657,1959.521,0.000,-0.333,0.000,0.000,0.000
658,1962.537,0.000,-2.933,0.000,0.000,0.000
659,1965.552,4.667,4.667,0.000,0.000,0.000
660,1968.567,0.000,-2.133,0.000,0.000,0.000
661,1971.582,2.467,2.467,0.000,0.000,0.000
662,1974.596,0.000,-0.733,0.000,0.000,0.000
663,1977.610,0.000,-2.400,0.000,0.000,0.000
664,1980.624,0.200,0.200,0.000,0.000,0.000
665,1983.637,0.000,-0.133,0.000,0.000,0.000
666,1986.650,5.867,5.867,0.000,0.000,0.000
667,1989.663,0.000,-3.333,0.000,0.000,0.000
668,1992.675,0.000,-3.133,0.000,0.000,0.000
669,1995.687,1.800,1.800,0.000,0.000,0.000
670,1998.699,4.067,4.067,0.000,0.000,0.000
671,2001.710,0.000,-1.067,0.000,0.000,0.000
672,2004.721,0.133,0.133,0.000,0.000,0.000
673,2007.731,0.000,-1.267,0.000,0.000,0.000
674,2010.742,0.533,0.533,0.000,0.000,0.000
675,2013.751,0.000,-3.067,0.000,0.000,0.000
676,2016.761,0.000,-1.467,0.000,0.000,0.000
677,2019.770,0.000,-1.333,0.000,0.000,0.000
678,2022.779,0.000,-2.800,0.000,0.000,0.000
679,2025.787,0.000,-0.867,0.000,0.000,0.000
680,2028.795,0.000,-2.733,0.000,0.000,0.000
681,2031.803,0.000,-1.200,0.000,0.000,0.000
682,2034.810,0.000,-1.667,0.000,0.000,0.000
683,2037.817,0.000,-3.000,0.000,0.000,0.000
684,2040.823,0.000,-0.533,0.000,0.000,0.000
685,2043.829,0.000,-0.667,0.000,0.000,0.000
686,2046.835,0.000,-3.067,0.000,0.000,0.000
687,2049.840,0.000,-1.133,0.000,0.000,0.000
688,2052.845,0.000,-0.467,0.000,0.000,0.000
689,2055.850,0.000,-1.800,0.000,0.000,0.000
690,2058.854,2.667,2.667,0.000,0.000,0.000
691,2061.858,0.000,-2.867,0.000,0.000,0.000
692,2064.861,1.600,1.600,0.000,0.000,0.000
693,2067.864,0.000,-1.333,0.000,0.000,0.000
694,2070.866,0.000,-1.267,0.000,0.000,0.000
695,2073.869,2.267,2.267,0.000,0.000,0.000
696,2076.870,2.600,2.600,0.000,0.000,0.000
697,2079.872,0.000,-0.733,0.000,0.000,0.000
698,2082.873,1.133,1.133,0.000,0.000,0.000
699,2085.873,1.600,1.600,0.000,0.000,0.000
700,2088.873,3.000,3.000,0.000,0.000,0.000
701,2091.873,0.000,-3.867,0.000,0.000,0.000
702,2094.872,0.000,-0.667,0.000,0.000,0.000
703,2097.871,0.000,-0.933,0.000,0.000,0.000
704,2100.870,0.000,-2.933,0.000,0.000,0.000
705,2103.868,2.933,2.933,0.000,0.000,0.000
706,2106.866,0.000,-1.333,0.000,0.000,0.000
707,2109.863,1.400,1.400,0.000,0.000,0.000
708,2112.860,0.000,-0.467,0.000,0.000,0.000
709,2115.856,3.067,3.067,0.000,0.000,0.000
710,2118.852,0.000,-0.600,0.000,0.000,0.000
711,2121.847,0.000,0.000,0.000,0.000,0.000
712,2124.843,0.000,-0.133,0.000,0.000,0.000
713,2127.837,1.933,1.933,0.000,0.000,0.000
714,2130.831,0.000,-1.733,0.000,0.000,0.000
715,2133.825,1.267,1.267,0.000,0.000,0.000
716,2136.819,0.000,-2.733,0.000,0.000,0.000
717,2139.812,0.933,0.933,0.000,0.000,0.000
718,2142.804,3.933,3.933,0.000,0.000,0.000
719,2145.796,3.467,3.467,0.000,0.000,0.000
720,2148.788,0.000,-1.533,0.000,0.000,0.000
721,2151.779,0.000,-1.000,0.000,0.000,0.000
722,2154.770,1.467,1.467,0.000,0.000,0.000
723,2157.760,3.000,3.000,0.000,0.000,0.000
724,2160.750,0.000,-1.800,0.000,0.000,0.000
725,2163.739,0.000,-2.600,0.000,0.000,0.000
726,2166.728,2.933,2.933,0.000,0.000,0.000
727,2169.716,0.000,-1.867,0.000,0.000,0.000
728,2172.704,0.400,0.400,0.000,0.000,0.000
729,2175.692,0.133,0.133,0.000,0.000,0.000
730,2178.679,0.200,0.200,0.000,0.000,0.000
731,2181.665,6.000,6.000,0.000,0.000,0.000
732,2184.651,2.000,2.000,0.000,0.000,0.000
733,2187.637,0.733,0.733,0.000,0.000,0.000
734,2190.622,2.600,2.600,0.000,0.000,0.000
735,2193.607,0.000,-3.667,0.000,0.000,0.000
736,2196.591,0.067,0.067,0.000,0.000,0.000
737,2199.575,3.067,3.067,0.000,0.000,0.000
738,2202.558,0.000,-2.667,0.000,0.000,0.000
739,2205.541,1.533,1.533,0.000,0.000,0.000
740,2208.523,0.000,-1.267,0.000,0.000,0.000
741,2211.505,0.467,0.467,0.000,0.000,0.000
742,2214.487,1.133,1.133,0.000,0.000,0.000
743,2217.467,2.533,2.533,0.000,0.000,0.000
744,2220.448,1.133,1.133,0.000,0.000,0.000
745,2223.428,0.000,0.000,0.000,0.000,0.000
746,2226.407,0.667,0.667,0.000,0.000,0.000
747,2229.386,0.000,-2.267,0.000,0.000,0.000
748,2232.364,0.533,0.533,0.000,0.000,0.000
749,2235.342,0.000,-2.267,0.000,0.000,0.000
750,2238.320,0.000,-2.667,0.000,0.000,0.000
751,2241.297,0.000,-2.733,0.000,0.000,0.000
752,2244.273,5.867,5.867,0.000,0.000,0.000
753,2247.249,0.000,-0.600,0.000,0.000,0.000
754,2250.224,1.600,1.600,0.000,0.000,0.000
755,2253.199,0.800,0.800,0.000,0.000,0.000
756,2256.174,4.067,4.067,0.000,0.000,0.000
757,2259.148,0.200,0.200,0.000,0.000,0.000
758,2262.121,3.067,3.067,0.000,0.000,0.000
759,2265.094,0.000,-0.333,0.000,0.000,0.000
760,2268.066,0.333,0.333,0.000,0.000,0.000
761,2271.038,5.267,5.267,0.000,0.000,0.000
762,2274.009,0.000,-1.133,0.000,0.000,0.000
763,2276.980,0.200,0.200,0.000,0.000,0.000
764,2279.950,0.267,0.267,0.000,0.000,0.000
765,2282.920,0.000,-1.267,0.000,0.000,0.000
766,2285.889,0.000,-2.867,0.000,0.000,0.000
767,2288.858,2.533,2.533,0.000,0.000,0.000
768,2291.826,0.000,-1.533,0.000,0.000,0.000
769,2294.793,0.000,-2.533,0.000,0.000,0.000
770,2297.760,0.000,-0.333,0.000,0.000,0.000
771,2300.727,0.933,0.933,0.000,0.000,0.000
772,2303.693,0.000,-1.267,0.000,0.000,0.000
773,2306.658,0.000,-0.733,0.000,0.000,0.000
774,2309.623,2.467,2.467,0.000,0.000,0.000
775,2312.587,0.000,-0.400,0.000,0.000,0.000
776,2315.551,2.200,2.200,0.000,0.000,0.000
777,2318.514,1.467,1.467,0.000,0.000,0.000
778,2321.477,1.667,1.667,0.000,0.000,0.000
779,2324.439,0.000,-1.400,0.000,0.000,0.000
780,2327.401,0.000,-0.467,0.000,0.000,0.000
781,2330.362,0.000,-2.067,0.000,0.000,0.000
782,2333.322,0.000,-1.933,0.000,0.000,0.000
783,2336.282,0.933,0.933,0.000,0.000,0.000
784,2339.242,0.333,0.333,0.000,0.000,0.000
785,2342.200,0.000,-0.333,0.000,0.000,0.000
786,2345.159,0.000,-0.867,0.000,0.000,0.000
787,2348.116,0.000,-1.800,0.000,0.000,0.000
788,2351.073,0.467,0.467,0.000,0.000,0.000
789,2354.030,0.000,-2.133,0.000,0.000,0.000
790,2356.986,1.333,1.333,0.000,0.000,0.000
791,2359.941,0.000,-2.067,0.000,0.000,0.000
792,2362.896,0.000,-1.067,0.000,0.000,0.000
793,2365.850,0.267,0.267,0.000,0.000,0.000
794,2368.804,1.800,1.800,0.000,0.000,0.000
795,2371.757,0.000,-2.667,0.000,0.000,0.000
796,2374.709,0.000,-0.333,0.000,0.000,0.000
797,2377.661,0.000,0.000,0.000,0.000,0.000
798,2380.613,1.933,1.933,0.000,0.000,0.000
799,2383.563,0.733,0.733,0.000,0.000,0.000
800,2386.514,1.733,1.733,0.000,0.000,0.000
801,2389.463,0.133,0.133,0.000,0.000,0.000
802,2392.412,0.000,-2.133,0.000,0.000,0.000
803,2395.360,0.667,0.667,0.000,0.000,0.000
804,2398.308,0.267,0.267,0.000,0.000,0.000
805,2401.255,0.867,0.867,0.000,0.000,0.000
806,2404.202,0.200,0.200,0.000,0.000,0.000
807,2407.148,0.000,-1.933,0.000,0.000,0.000
808,2410.093,0.000,-3.133,0.000,0.000,0.000
809,2413.038,0.000,-1.600,0.000,0.000,0.000
810,2415.982,2.533,2.533,0.000,0.000,0.000
811,2418.925,0.000,-0.533,0.000,0.000,0.000
812,2421.868,2.467,2.467,0.000,0.000,0.000
813,2424.811,0.000,-0.400,0.000,0.000,0.000
814,2427.752,0.000,-0.733,0.000,0.000,0.000
815,2430.693,0.000,-0.667,0.000,0.000,0.000
816,2433.634,0.000,-0.867,0.000,0.000,0.000
817,2436.574,5.067,5.067,0.000,0.000,0.000
818,2439.513,0.000,-1.667,0.000,0.000,0.000
819,2442.451,0.000,-1.133,0.000,0.000,0.000
820,2445.389,0.000,-0.400,0.000,0.000,0.000
821,2448.327,0.000,-2.133,0.000,0.000,0.000
822,2451.263,0.000,-1.667,0.000,0.000,0.000
823,2454.199,0.000,-1.000,0.000,0.000,0.000
824,2457.135,0.267,0.267,0.000,0.000,0.000
825,2460.070,0.467,0.467,0.000,0.000,0.000
826,2463.004,0.000,-2.867,0.000,0.000,0.000
827,2465.937,0.067,0.067,0.000,0.000,0.000
828,2468.870,0.000,-0.133,0.000,0.000,0.000
829,2471.802,0.000,-1.133,0.000,0.000,0.000
830,2474.734,0.000,-1.067,0.000,0.000,0.000
831,2477.665,1.867,1.867,0.000,0.000,0.000
832,2480.595,0.000,-1.733,0.000,0.000,0.000
833,2483.525,0.133,0.133,0.000,0.000,0.000
834,2486.454,0.000,-0.333,0.000,0.000,0.000
835,2489.382,0.067,0.067,0.000,0.000,0.000
836,2492.310,0.200,0.200,0.000,0.000,0.000
837,2495.237,0.733,0.733,0.000,0.000,0.000
838,2498.163,0.000,-2.067,0.000,0.000,0.000
839,2501.089,2.200,2.200,0.000,0.000,0.000
840,2504.014,1.533,1.533,0.000,0.000,0.000
841,2506.938,0.000,-2.000,0.000,0.000,0.000
842,2509.862,0.600,0.600,0.000,0.000,0.000
843,2512.785,0.000,-0.600,0.000,0.000,0.000
844,2515.707,0.000,-0.733,0.000,0.000,0.000
845,2518.629,0.000,-0.400,0.000,0.000,0.000
846,2521.550,0.000,-2.067,0.000,0.000,0.000
847,2524.470,0.933,0.933,0.000,0.000,0.000
848,2527.390,0.000,-1.067,0.000,0.000,0.000
849,2530.309,0.000,-1.667,0.000,0.000,0.000
850,2533.227,0.000,-2.067,0.000,0.000,0.000
851,2536.145,0.267,0.267,0.000,0.000,0.000
852,2539.062,0.000,-2.133,0.000,0.000,0.000
853,2541.978,0.667,0.667,0.000,0.000,0.000
854,2544.894,0.600,0.600,0.000,0.000,0.000
855,2547.809,0.000,-3.000,0.000,0.000,0.000
856,2550.723,0.000,-1.067,0.000,0.000,0.000
857,2553.636,0.000,-2.267,0.000,0.000,0.000
858,2556.549,0.000,-0.867,0.000,0.000,0.000
859,2559.461,0.000,-2.467,0.000,0.000,0.000
860,2562.373,3.600,3.600,0.000,0.000,0.000
861,2565.283,1.800,1.800,0.000,0.000,0.000
862,2568.193,0.000,-2.000,0.000,0.000,0.000
863,2571.103,0.000,0.000,0.000,0.000,0.000
864,2574.011,1.200,1.200,0.000,0.000,0.000
865,2576.919,1.400,1.400,0.000,0.000,0.000
866,2579.826,0.000,-5.067,0.000,0.000,0.000
867,2582.733,0.000,-2.400,0.000,0.000,0.000
868,2585.638,0.000,-1.000,0.000,0.000,0.000
869,2588.543,2.333,2.333,0.000,0.000,0.000
870,2591.448,0.000,-2.600,0.000,0.000,0.000
871,2594.351,0.000,-2.400,0.000,0.000,0.000
872,2597.254,1.467,1.467,0.000,0.000,0.000
873,2600.156,2.400,2.400,0.000,0.000,0.000
874,2603.058,0.133,0.133,0.000,0.000,0.000
875,2605.958,0.000,-0.800,0.000,0.000,0.000
876,2608.858,0.000,-2.533,0.000,0.000,0.000
877,2611.758,0.000,-0.933,0.000,0.000,0.000
878,2614.656,0.000,-2.400,0.000,0.000,0.000
879,2617.554,0.000,-1.333,0.000,0.000,0.000
880,2620.451,0.000,-1.800,0.000,0.000,0.000
881,2623.347,0.000,-2.667,0.000,0.000,0.000
882,2626.243,0.000,-2.600,0.000,0.000,0.000
883,2629.137,2.200,2.200,0.000,0.000,0.000
884,2632.032,0.000,-0.400,0.000,0.000,0.000
885,2634.925,0.000,-0.600,0.000,0.000,0.000
886,2637.817,0.333,0.333,0.000,0.000,0.000
887,2640.709,0.800,0.800,0.000,0.000,0.000
888,2643.600,5.800,5.800,0.000,0.000,0.000
889,2646.491,0.000,-1.267,0.000,0.000,0.000
890,2649.380,0.000,-2.600,0.000,0.000,0.000
891,2652.269,0.000,-2.000,0.000,0.000,0.000
892,2655.157,0.000,-0.600,0.000,0.000,0.000
893,2658.044,1.600,1.600,0.000,0.000,0.000
894,2660.931,0.000,-2.000,0.000,0.000,0.000
895,2663.817,0.000,-0.467,0.000,0.000,0.000
896,2666.702,0.000,-0.200,0.000,0.000,0.000
897,2669.586,0.000,-1.467,0.000,0.000,0.000
898,2672.469,0.200,0.200,0.000,0.000,0.000
899,2675.352,2.333,2.333,0.000,0.000,0.000
900,2678.234,1.133,1.133,0.000,0.000,0.000
901,2681.115,0.000,-1.867,0.000,0.000,0.000
902,2683.996,2.800,2.800,0.000,0.000,0.000
903,2686.875,2.600,2.600,0.000,0.000,0.000
904,2689.754,1.467,1.467,0.000,0.000,0.000
905,2692.632,1.067,1.067,0.000,0.000,0.000
906,2695.509,0.000,-0.400,0.000,0.000,0.000
907,2698.386,0.000,-0.133,0.000,0.000,0.000
908,2701.261,0.867,0.867,0.000,0.000,0.000
909,2704.136,0.000,-0.800,0.000,0.000,0.000
910,2707.010,0.000,-0.067,0.000,0.000,0.000
911,2709.884,0.000,-1.267,0.000,0.000,0.000
912,2712.756,1.333,1.333,0.000,0.000,0.000
913,2715.628,0.000,-1.400,0.000,0.000,0.000
914,2718.499,0.000,-0.200,0.000,0.000,0.000
915,2721.369,0.000,0.000,0.000,0.000,0.000
916,2724.238,0.000,-0.733,0.000,0.000,0.000
917,2727.107,1.600,1.600,0.000,0.000,0.000
918,2729.975,0.000,-0.067,0.000,0.000,0.000
919,2732.842,1.200,1.200,0.000,0.000,0.000
920,2735.708,0.467,0.467,0.000,0.000,0.000
921,2738.573,0.000,-0.800,0.000,0.000,0.000
922,2741.438,0.000,-0.867,0.000,0.000,0.000
923,2744.301,1.200,1.200,0.000,0.000,0.000
924,2747.164,0.000,-0.267,0.000,0.000,0.000
925,2750.026,1.067,1.067,0.000,0.000,0.000
926,2752.887,1.267,1.267,0.000,0.000,0.000
927,2755.748,1.400,1.400,0.000,0.000,0.000
928,2758.607,0.133,0.133,0.000,0.000,0.000
929,2761.466,0.000,-1.200,0.000,0.000,0.000
930,2764.324,0.200,0.200,0.000,0.000,0.000
931,2767.181,1.467,1.467,0.000,0.000,0.000
932,2770.037,0.000,-0.400,0.000,0.000,0.000
933,2772.893,0.467,0.467,0.000,0.000,0.000
934,2775.747,0.000,-1.267,0.000,0.000,0.000
935,2778.601,0.000,-0.600,0.000,0.000,0.000
936,2781.454,0.467,0.467,0.000,0.000,0.000
937,2784.306,1.267,1.267,0.000,0.000,0.000
938,2787.157,0.000,-1.133,0.000,0.000,0.000
939,2790.008,0.333,0.333,0.000,0.000,0.000
940,2792.857,0.000,-0.600,0.000,0.000,0.000
941,2795.706,1.467,1.467,0.000,0.000,0.000
942,2798.554,0.000,-1.000,0.000,0.000,0.000
943,2801.401,0.000,-0.400,0.000,0.000,0.000
944,2804.247,0.267,0.267,0.000,0.000,0.000
945,2807.092,0.000,-0.800,0.000,0.000,0.000
946,2809.937,0.000,-0.733,0.000,0.000,0.000
947,2812.781,0.000,-1.000,0.000,0.000,0.000
948,2815.623,0.000,-0.667,0.000,0.000,0.000
949,2818.465,0.267,0.267,0.000,0.000,0.000
950,2821.306,0.000,-0.733,0.000,0.000,0.000
951,2824.146,2.333,2.333,0.000,0.000,0.000
952,2826.986,1.467,1.467,0.000,0.000,0.000
953,2829.824,0.333,0.333,0.000,0.000,0.000
954,2832.662,0.533,0.533,0.000,0.000,0.000
955,2835.498,1.067,1.067,0.000,0.000,0.000
956,2838.334,1.133,1.133,0.000,0.000,0.000
957,2841.169,0.000,-0.467,0.000,0.000,0.000
958,2844.003,0.733,0.733,0.000,0.000,0.000
959,2846.836,0.000,-0.667,0.000,0.000,0.000
960,2849.668,0.000,-0.467,0.000,0.000,0.000
961,2852.500,0.000,-0.667,0.000,0.000,0.000
962,2855.330,0.200,0.200,0.000,0.000,0.000
963,2858.160,0.000,-0.667,0.000,0.000,0.000
964,2860.989,0.600,0.600,0.000,0.000,0.000
965,2863.817,1.800,1.800,0.000,0.000,0.000
966,2866.644,0.133,0.133,0.000,0.000,0.000
967,2869.470,0.267,0.267,0.000,0.000,0.000
968,2872.295,0.000,-0.600,0.000,0.000,0.000
969,2875.119,0.533,0.533,0.000,0.000,0.000
970,2877.942,0.000,-0.533,0.000,0.000,0.000
971,2880.765,0.333,0.333,0.000,0.000,0.000
972,2883.587,0.000,-0.600,0.000,0.000,0.000
973,2886.407,0.200,0.200,0.000,0.000,0.000
974,2889.227,1.267,1.267,0.000,0.000,0.000
975,2892.046,0.000,-0.667,0.000,0.000,0.000
976,2894.864,0.000,-0.733,0.000,0.000,0.000
977,2897.681,1.400,1.400,0.000,0.000,0.000
978,2900.497,0.933,0.933,0.000,0.000,0.000
979,2903.312,0.000,0.000,0.000,0.000,0.000
980,2906.126,0.000,-0.800,0.000,0.000,0.000
981,2908.940,0.000,-0.133,0.000,0.000,0.000
982,2911.752,0.000,-0.867,0.000,0.000,0.000
983,2914.564,2.333,2.333,0.000,0.000,0.000
984,2917.374,0.000,-0.867,0.000,0.000,0.000
985,2920.184,0.200,0.200,0.000,0.000,0.000
986,2922.993,0.200,0.200,0.000,0.000,0.000
987,2925.800,0.000,-0.867,0.000,0.000,0.000
988,2928.607,0.000,-0.933,0.000,0.000,0.000
989,2931.413,0.467,0.467,0.000,0.000,0.000
990,2934.218,0.000,-0.800,0.000,0.000,0.000
991,2937.022,0.467,0.467,0.000,0.000,0.000
992,2939.826,0.400,0.400,0.000,0.000,0.000
993,2942.628,0.000,-0.600,0.000,0.000,0.000
994,2945.429,0.000,-0.600,0.000,0.000,0.000
995,2948.229,1.467,1.467,0.000,0.000,0.000
996,2951.029,0.000,-0.867,0.000,0.000,0.000
997,2953.827,0.000,-0.067,0.000,0.000,0.000
998,2956.624,0.000,-0.600,0.000,0.000,0.000
999,2959.421,0.600,0.600,0.000,0.000,0.000
1000,2962.217,0.000,-0.667,0.000,0.000,0.000
1001,2965.011,1.067,1.067,0.000,0.000,0.000
1002,2967.805,0.000,-0.867,0.000,0.000,0.000
1003,2970.597,0.000,-0.933,0.000,0.000,0.000
1004,2973.389,0.000,-0.400,0.000,0.000,0.000
1005,2976.180,2.467,2.467,0.000,0.000,0.000
