ch,keV,net,fit,model,continuum_raw,Eu-152
120,339.051,6725.801,6725.801,7486.535,1153.019,7486.535
121,341.984,7381.267,7381.267,7941.203,1259.606,7941.203
122,344.916,7687.334,7687.334,8031.190,1366.194,8031.190
123,347.850,7631.801,7631.801,7760.558,1472.782,7760.558
124,350.784,7229.201,7229.201,7002.989,1385.520,7002.989
125,353.719,6563.601,6563.601,6063.705,1298.258,6063.705
126,356.655,5738.867,5738.867,5067.726,1210.995,5067.726
127,359.591,4817.334,4817.334,4124.109,1123.733,4124.109
128,362.528,3781.801,3781.801,3306.336,1036.471,3306.336
129,365.465,3011.001,3011.001,2646.713,949.209,2646.713
130,368.403,2333.734,2333.734,2142.894,861.947,2142.894
131,371.342,1758.867,1758.867,1770.953,774.685,1770.953
132,374.281,1438.934,1438.934,1498.946,687.422,1498.946
133,377.221,1365.734,1365.734,1356.227,659.476,1356.227
134,380.161,1194.867,1194.867,1260.571,631.529,1260.571
135,383.102,1145.734,1145.734,1197.031,603.582,1197.031
136,386.044,1152.334,1152.334,1157.056,575.635,1157.056
137,388.987,970.400,970.400,1136.044,547.688,1136.044
138,391.930,1070.000,1070.000,1131.046,519.741,1131.046
139,394.873,1146.000,1146.000,1139.098,491.794,1139.098
140,397.817,1143.934,1143.934,1156.292,463.847,1156.292
141,400.762,1243.334,1243.334,1177.558,435.900,1177.558
142,403.708,1211.600,1211.600,1227.703,438.564,1227.703
143,406.654,1293.200,1293.200,1270.488,441.228,1270.488
144,409.600,1351.800,1351.800,1301.616,443.892,1301.616
145,412.547,1402.934,1402.934,1319.155,446.556,1319.155
146,415.495,1328.467,1328.467,1324.092,449.220,1324.092
147,418.444,1298.334,1298.334,1320.140,451.884,1320.140
148,421.393,1363.334,1363.334,1312.755,454.548,1312.755
149,424.342,1307.867,1307.867,1307.623,457.212,1307.623
150,427.293,1312.067,1312.067,1309.013,459.876,1309.013
151,430.243,1252.467,1252.467,1318.530,462.540,1318.530
152,433.195,1313.534,1313.534,1323.805,454.389,1323.805
153,436.147,1281.800,1281.800,1331.346,446.238,1331.346
154,439.099,1345.134,1345.134,1335.271,438.088,1335.271
155,442.052,1344.134,1344.134,1329.708,429.937,1329.708
156,445.006,1307.667,1307.667,1310.315,421.786,1310.315
157,447.960,1325.334,1325.334,1275.339,413.635,1275.339
158,450.915,1216.534,1216.534,1225.945,405.484,1225.945
159,453.871,1199.600,1199.600,1165.819,397.333,1165.819
160,456.827,1152.467,1152.467,1100.218,389.182,1100.218
161,459.783,997.067,997.067,1034.793,381.031,1034.793
162,462.741,1005.600,1005.600,972.054,370.435,972.054
163,465.698,880.134,880.134,917.959,359.840,917.959
164,468.657,917.467,917.467,874.254,349.244,874.254
165,471.615,819.867,819.867,841.013,338.648,841.013
166,474.575,779.600,779.600,816.998,328.052,816.998
167,477.535,816.134,816.134,800.166,317.456,800.166
168,480.495,726.800,726.800,788.163,306.860,788.163
169,483.456,752.734,752.734,778.737,296.265,778.737
170,486.418,792.534,792.534,770.019,285.669,770.019
171,489.380,722.867,722.867,760.674,275.073,760.674
172,492.343,734.200,734.200,749.936,264.477,749.936
173,495.306,809.134,809.134,745.140,261.470,745.140
174,498.270,774.334,774.334,738.841,258.463,738.841
175,501.235,754.867,754.867,731.429,255.456,731.429
176,504.200,709.867,709.867,723.408,252.449,723.408
177,507.165,728.267,728.267,715.268,249.442,715.268
178,510.131,680.400,680.400,707.411,246.435,707.411
179,513.098,725.534,725.534,700.117,243.428,700.117
180,516.065,716.600,716.600,693.548,240.421,693.548
181,519.033,693.600,693.600,687.777,237.414,687.777
182,522.001,691.134,691.134,682.831,234.407,682.831
183,524.969,609.000,609.000,678.725,231.400,678.725
184,527.939,666.534,666.534,672.916,225.816,672.916
185,530.908,715.267,715.267,668.044,220.232,668.044
186,533.879,629.067,629.067,664.194,214.647,664.194
187,536.850,666.800,666.800,661.451,209.063,661.451
188,539.821,665.534,665.534,659.870,203.478,659.870
189,542.793,654.334,654.334,659.438,197.894,659.438
190,545.765,659.134,659.134,660.044,192.310,660.044
191,548.738,699.267,699.267,661.457,186.725,661.457
192,551.711,670.134,670.134,663.323,181.141,663.323
193,554.685,700.000,700.000,665.187,175.556,665.187
194,557.660,688.067,688.067,666.529,169.972,666.529
195,560.635,633.734,633.734,666.815,164.388,666.815
196,563.610,647.134,647.134,667.770,161.018,667.770
197,566.586,707.800,707.800,666.785,157.648,666.785
198,569.563,647.867,647.867,663.599,154.278,663.599
199,572.540,629.667,629.667,658.096,150.908,658.096
200,575.517,644.467,644.467,650.311,147.538,650.311
201,578.495,641.067,641.067,640.411,144.168,640.411
202,581.474,613.067,613.067,628.670,140.798,628.670
203,584.453,581.467,581.467,615.444,137.428,615.444
204,587.432,598.600,598.600,601.149,134.058,601.149
205,590.412,613.067,613.067,586.230,130.688,586.230
206,593.392,533.067,533.067,571.140,127.318,571.140
207,596.373,536.334,536.334,556.316,123.948,556.316
