ch,keV,net,fit,model,continuum_raw,Lu-176,Xray-Lu
0,-4.817,0.000,0.000,0.022,0.022,0.022,0.000
1,-4.449,0.000,0.000,0.057,0.057,0.057,0.001
2,-4.080,0.000,0.000,0.142,0.142,0.140,0.001
3,-3.712,0.000,0.000,0.329,0.329,0.326,0.003
4,-3.344,0.000,-0.059,0.721,0.721,0.714,0.007
5,-2.976,0.000,-0.229,1.490,1.490,1.475,0.014
6,-2.608,0.000,-1.521,2.902,2.902,2.874,0.027
7,-2.239,1.539,1.539,5.334,5.334,5.284,0.050
8,-1.871,0.000,-0.809,9.257,9.257,9.170,0.087
9,-1.503,2.374,2.374,15.180,15.180,15.037,0.143
10,-1.134,2.963,2.963,23.549,23.549,23.326,0.222
11,-0.766,0.910,0.910,34.607,34.607,34.280,0.327
12,-0.398,4.912,4.912,48.271,48.271,47.816,0.456
13,-0.029,0.000,-1.738,64.064,64.064,63.459,0.605
14,0.339,0.000,-2.266,81.151,81.151,80.385,0.766
15,0.708,0.794,0.794,98.499,98.499,97.569,0.930
16,1.076,0.000,-3.261,115.100,115.100,114.013,1.087
17,1.444,0.150,0.150,130.203,130.203,128.974,1.229
18,1.813,0.859,0.859,143.450,143.450,142.096,1.354
19,2.181,0.683,0.683,154.881,154.881,153.418,1.462
20,2.550,7.620,7.620,164.821,164.821,163.265,1.556
21,2.918,6.031,6.031,173.719,173.719,172.079,1.640
22,3.287,39.916,39.916,181.993,181.993,180.275,1.718
23,3.655,87.624,87.624,189.961,189.961,188.167,1.793
24,4.024,175.217,175.217,197.842,197.842,195.974,1.868
25,4.392,332.165,332.165,205.808,205.808,203.865,1.943
26,4.761,491.475,491.475,214.041,214.041,212.020,2.021
27,5.129,717.848,717.848,222.767,222.767,220.664,2.103
28,5.498,915.589,915.589,232.267,232.267,230.075,2.193
29,5.867,1122.925,1122.925,242.869,242.869,240.576,2.293
30,6.235,1261.143,1261.143,254.937,254.937,252.530,2.407
31,6.604,1353.998,1353.998,268.871,268.871,266.333,2.538
32,6.973,1453.806,1453.806,285.118,285.118,282.427,2.692
33,7.341,1536.362,1536.362,304.181,304.181,301.310,2.872
34,7.710,1762.908,1762.908,326.631,326.631,323.547,3.084
