ch,keV,net,fit,model,continuum_raw,Mn-54,continuum
0,-43.745,0.000,0.000,0.000,0.000,0.000,0.000
1,-40.764,0.000,0.000,0.329,0.329,0.329,0.000
2,-37.782,0.000,0.000,0.657,0.657,0.657,0.000
3,-34.799,0.000,0.000,0.986,0.986,0.986,0.000
4,-31.815,0.000,0.000,1.314,1.314,1.314,0.000
5,-28.831,4.567,4.567,1.643,1.643,1.643,0.000
6,-25.845,34.033,34.033,1.971,1.971,1.971,0.000
7,-22.859,160.478,160.478,2.300,2.300,2.300,0.000
8,-19.872,426.511,426.511,316.779,316.779,316.779,0.000
9,-16.885,805.978,805.978,631.259,631.259,631.259,0.000
10,-13.897,1313.123,1313.123,945.738,945.738,945.738,0.000
11,-10.907,1824.312,1824.312,1260.218,1260.218,1260.218,0.000
12,-7.917,2233.012,2233.012,1574.697,1574.697,1574.697,0.000
13,-4.927,2145.412,2145.412,1889.176,1889.176,1889.176,0.000
14,-1.935,1938.912,1938.912,2203.656,2203.656,2203.656,0.000
15,1.057,1734.778,1734.778,2088.907,2088.907,2088.907,0.000
16,4.050,1664.156,1664.156,1974.158,1974.158,1974.158,0.000
17,7.044,1731.567,1731.567,1859.409,1859.409,1859.409,0.000
18,10.038,1595.856,1595.856,1744.660,1744.660,1744.660,0.000
19,13.033,1560.745,1560.745,1629.911,1629.911,1629.911,0.000
20,16.029,1549.367,1549.367,1515.161,1515.161,1515.161,0.000
21,19.026,1598.734,1598.734,1400.412,1400.412,1400.412,0.000
22,22.024,1524.323,1524.323,1476.716,1476.716,1476.716,0.000
23,25.022,1650.089,1650.089,1553.019,1553.019,1553.019,0.000
24,28.021,1633.878,1633.878,1629.322,1629.322,1629.322,0.000
25,31.021,1701.901,1701.901,1705.625,1705.625,1705.625,0.000
26,34.021,1635.512,1635.512,1781.929,1781.929,1781.929,0.000
27,37.022,1653.756,1653.756,1858.232,1858.232,1858.232,0.000
28,40.024,1768.345,1768.345,1934.537,1934.535,1934.537,0.000
29,43.027,1846.756,1846.756,1846.371,1846.328,1846.371,0.000
30,46.030,1974.356,1974.356,1758.662,1758.122,1758.662,0.000
