ch,keV,net,fit,model,continuum_raw,Cd-109,Esc-NaI,continuum
487,1458.048,0.000,-3.219,0.000,0.000,0.000,0.000,0.000
488,1461.107,0.000,-0.688,0.000,0.000,0.000,0.000,0.000
489,1464.167,3.625,3.625,0.000,0.000,0.000,0.000,0.000
490,1467.226,2.031,2.031,0.000,0.000,0.000,0.000,0.000
491,1470.285,0.156,0.156,0.000,0.000,0.000,0.000,0.000
492,1473.343,0.125,0.125,0.000,0.000,0.000,0.000,0.000
493,1476.402,4.969,4.969,0.000,0.000,0.000,0.000,0.000
494,1479.460,6.156,6.156,0.000,0.000,0.000,0.000,0.000
495,1482.518,0.000,-1.375,0.000,0.000,0.000,0.000,0.000
496,1485.576,1.875,1.875,0.000,0.000,0.000,0.000,0.000
497,1488.634,0.000,-3.125,0.000,0.000,0.000,0.000,0.000
498,1491.692,3.031,3.031,0.000,0.000,0.000,0.000,0.000
499,1494.749,0.687,0.687,0.000,0.000,0.000,0.000,0.000
500,1497.806,2.750,2.750,0.000,0.000,0.000,0.000,0.000
501,1500.863,0.000,-5.594,0.000,0.000,0.000,0.000,0.000
502,1503.919,0.000,-0.031,0.000,0.000,0.000,0.000,0.000
503,1506.976,0.000,-2.125,0.000,0.000,0.000,0.000,0.000
504,1510.032,3.500,3.500,0.000,0.000,0.000,0.000,0.000
505,1513.088,0.000,-2.000,0.000,0.000,0.000,0.000,0.000
506,1516.144,0.000,-2.281,0.000,0.000,0.000,0.000,0.000
507,1519.200,6.562,6.562,0.000,0.000,0.000,0.000,0.000
508,1522.255,0.000,-1.406,0.000,0.000,0.000,0.000,0.000
509,1525.310,0.375,0.375,0.000,0.000,0.000,0.000,0.000
510,1528.365,0.094,0.094,0.000,0.000,0.000,0.000,0.000
511,1531.420,0.344,0.344,0.000,0.000,0.000,0.000,0.000
512,1534.474,0.281,0.281,0.000,0.000,0.000,0.000,0.000
513,1537.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000
514,1540.582,1.500,1.500,0.000,0.000,0.000,0.000,0.000
515,1543.636,0.437,0.437,0.000,0.000,0.000,0.000,0.000
516,1546.690,0.000,-1.938,0.000,0.000,0.000,0.000,0.000
517,1549.743,0.000,-0.750,0.000,0.000,0.000,0.000,0.000
518,1552.796,0.000,-2.406,0.000,0.000,0.000,0.000,0.000
519,1555.849,0.000,-0.656,0.000,0.000,0.000,0.000,0.000
520,1558.902,0.281,0.281,0.000,0.000,0.000,0.000,0.000
521,1561.954,0.000,-0.438,0.000,0.000,0.000,0.000,0.000
522,1565.006,2.312,2.312,0.000,0.000,0.000,0.000,0.000
523,1568.058,0.125,0.125,0.000,0.000,0.000,0.000,0.000
524,1571.110,0.000,-1.281,0.000,0.000,0.000,0.000,0.000
525,1574.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000
526,1577.212,0.000,-2.469,0.000,0.000,0.000,0.000,0.000
527,1580.263,0.000,-1.656,0.000,0.000,0.000,0.000,0.000
528,1583.314,2.562,2.562,0.000,0.000,0.000,0.000,0.000
529,1586.364,0.000,-0.531,0.000,0.000,0.000,0.000,0.000
530,1589.415,1.344,1.344,0.000,0.000,0.000,0.000,0.000
531,1592.465,0.000,-1.719,0.000,0.000,0.000,0.000,0.000
532,1595.514,0.000,-1.250,0.000,0.000,0.000,0.000,0.000
533,1598.564,0.000,-0.438,0.000,0.000,0.000,0.000,0.000
534,1601.613,2.594,2.594,0.000,0.000,0.000,0.000,0.000
535,1604.662,0.000,-0.281,0.000,0.000,0.000,0.000,0.000
536,1607.711,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
537,1610.759,0.656,0.656,0.000,0.000,0.000,0.000,0.000
538,1613.807,0.000,-2.063,0.000,0.000,0.000,0.000,0.000
539,1616.855,0.437,0.437,0.000,0.000,0.000,0.000,0.000
540,1619.903,0.000,-2.156,0.000,0.000,0.000,0.000,0.000
541,1622.951,0.000,-1.375,0.000,0.000,0.000,0.000,0.000
542,1625.998,1.250,1.250,0.000,0.000,0.000,0.000,0.000
543,1629.045,4.687,4.687,0.000,0.000,0.000,0.000,0.000
544,1632.091,0.000,-1.969,0.000,0.000,0.000,0.000,0.000
545,1635.138,0.625,0.625,0.000,0.000,0.000,0.000,0.000
546,1638.184,0.000,-1.094,0.000,0.000,0.000,0.000,0.000
547,1641.230,0.000,-2.156,0.000,0.000,0.000,0.000,0.000
548,1644.276,0.000,-0.844,0.000,0.000,0.000,0.000,0.000
549,1647.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000
550,1650.366,0.000,-2.188,0.000,0.000,0.000,0.000,0.000
551,1653.411,0.000,-0.063,0.000,0.000,0.000,0.000,0.000
552,1656.455,0.000,-0.250,0.000,0.000,0.000,0.000,0.000
553,1659.500,2.531,2.531,0.000,0.000,0.000,0.000,0.000
554,1662.544,0.031,0.031,0.000,0.000,0.000,0.000,0.000
555,1665.588,0.219,0.219,0.000,0.000,0.000,0.000,0.000
556,1668.631,0.000,-0.750,0.000,0.000,0.000,0.000,0.000
557,1671.674,0.062,0.062,0.000,0.000,0.000,0.000,0.000
558,1674.717,0.000,-0.188,0.000,0.000,0.000,0.000,0.000
559,1677.760,1.906,1.906,0.000,0.000,0.000,0.000,0.000
560,1680.802,0.125,0.125,0.000,0.000,0.000,0.000,0.000
561,1683.845,0.594,0.594,0.000,0.000,0.000,0.000,0.000
562,1686.886,2.094,2.094,0.000,0.000,0.000,0.000,0.000
563,1689.928,0.000,-1.813,0.000,0.000,0.000,0.000,0.000
564,1692.969,0.000,-1.594,0.000,0.000,0.000,0.000,0.000
565,1696.010,0.000,-0.469,0.000,0.000,0.000,0.000,0.000
566,1699.051,0.000,-1.188,0.000,0.000,0.000,0.000,0.000
567,1702.092,0.000,-0.844,0.000,0.000,0.000,0.000,0.000
568,1705.132,4.156,4.156,0.000,0.000,0.000,0.000,0.000
569,1708.172,0.031,0.031,0.000,0.000,0.000,0.000,0.000
570,1711.211,0.000,-0.031,0.000,0.000,0.000,0.000,0.000
571,1714.251,2.094,2.094,0.000,0.000,0.000,0.000,0.000
572,1717.290,0.844,0.844,0.000,0.000,0.000,0.000,0.000
573,1720.329,0.656,0.656,0.000,0.000,0.000,0.000,0.000
574,1723.367,2.562,2.562,0.000,0.000,0.000,0.000,0.000
575,1726.406,0.000,-1.875,0.000,0.000,0.000,0.000,0.000
576,1729.444,1.875,1.875,0.000,0.000,0.000,0.000,0.000
577,1732.481,0.687,0.687,0.000,0.000,0.000,0.000,0.000
578,1735.519,0.000,-0.219,0.000,0.000,0.000,0.000,0.000
579,1738.556,1.875,1.875,0.000,0.000,0.000,0.000,0.000
580,1741.593,0.000,-2.313,0.000,0.000,0.000,0.000,0.000
581,1744.629,1.375,1.375,0.000,0.000,0.000,0.000,0.000
582,1747.665,1.031,1.031,0.000,0.000,0.000,0.000,0.000
583,1750.701,0.000,-0.969,0.000,0.000,0.000,0.000,0.000
584,1753.737,0.000,-0.438,0.000,0.000,0.000,0.000,0.000
585,1756.772,1.031,1.031,0.000,0.000,0.000,0.000,0.000
586,1759.808,0.844,0.844,0.000,0.000,0.000,0.000,0.000
587,1762.842,0.000,-2.125,0.000,0.000,0.000,0.000,0.000
588,1765.877,0.656,0.656,0.000,0.000,0.000,0.000,0.000
589,1768.911,2.000,2.000,0.000,0.000,0.000,0.000,0.000
590,1771.945,0.000,-0.750,0.000,0.000,0.000,0.000,0.000
591,1774.979,0.000,-1.063,0.000,0.000,0.000,0.000,0.000
592,1778.012,3.719,3.719,0.000,0.000,0.000,0.000,0.000
593,1781.045,0.000,-1.563,0.000,0.000,0.000,0.000,0.000
594,1784.078,2.719,2.719,0.000,0.000,0.000,0.000,0.000
595,1787.110,1.375,1.375,0.000,0.000,0.000,0.000,0.000
596,1790.143,0.000,-1.250,0.000,0.000,0.000,0.000,0.000
597,1793.174,0.000,-0.031,0.000,0.000,0.000,0.000,0.000
598,1796.206,0.000,-0.875,0.000,0.000,0.000,0.000,0.000
599,1799.237,0.000,-0.188,0.000,0.000,0.000,0.000,0.000
600,1802.268,1.125,1.125,0.000,0.000,0.000,0.000,0.000
601,1805.299,0.812,0.812,0.000,0.000,0.000,0.000,0.000
602,1808.330,1.906,1.906,0.000,0.000,0.000,0.000,0.000
603,1811.360,0.000,-1.188,0.000,0.000,0.000,0.000,0.000
604,1814.389,0.750,0.750,0.000,0.000,0.000,0.000,0.000
605,1817.419,3.187,3.187,0.000,0.000,0.000,0.000,0.000
606,1820.448,0.000,-0.125,0.000,0.000,0.000,0.000,0.000
607,1823.477,0.000,-0.750,0.000,0.000,0.000,0.000,0.000
608,1826.506,0.000,-1.344,0.000,0.000,0.000,0.000,0.000
609,1829.534,0.000,-0.406,0.000,0.000,0.000,0.000,0.000
610,1832.562,1.406,1.406,0.000,0.000,0.000,0.000,0.000
611,1835.590,2.437,2.437,0.000,0.000,0.000,0.000,0.000
612,1838.617,1.219,1.219,0.000,0.000,0.000,0.000,0.000
613,1841.644,0.000,-0.844,0.000,0.000,0.000,0.000,0.000
614,1844.671,0.000,-1.656,0.000,0.000,0.000,0.000,0.000
615,1847.698,0.000,-1.375,0.000,0.000,0.000,0.000,0.000
616,1850.724,0.000,-1.844,0.000,0.000,0.000,0.000,0.000
617,1853.750,0.250,0.250,0.000,0.000,0.000,0.000,0.000
618,1856.776,0.000,-0.531,0.000,0.000,0.000,0.000,0.000
619,1859.801,0.000,-0.344,0.000,0.000,0.000,0.000,0.000
620,1862.826,0.000,-1.156,0.000,0.000,0.000,0.000,0.000
621,1865.851,3.500,3.500,0.000,0.000,0.000,0.000,0.000
622,1868.875,1.500,1.500,0.000,0.000,0.000,0.000,0.000
623,1871.899,1.406,1.406,0.000,0.000,0.000,0.000,0.000
624,1874.923,0.000,-1.906,0.000,0.000,0.000,0.000,0.000
625,1877.947,1.406,1.406,0.000,0.000,0.000,0.000,0.000
626,1880.970,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
627,1883.993,0.312,0.312,0.000,0.000,0.000,0.000,0.000
628,1887.015,0.687,0.687,0.000,0.000,0.000,0.000,0.000
629,1890.038,2.781,2.781,0.000,0.000,0.000,0.000,0.000
630,1893.060,0.562,0.562,0.000,0.000,0.000,0.000,0.000
631,1896.081,0.000,-1.313,0.000,0.000,0.000,0.000,0.000
632,1899.103,0.000,-1.969,0.000,0.000,0.000,0.000,0.000
633,1902.124,0.531,0.531,0.000,0.000,0.000,0.000,0.000
634,1905.145,3.844,3.844,0.000,0.000,0.000,0.000,0.000
635,1908.165,0.000,-1.094,0.000,0.000,0.000,0.000,0.000
636,1911.185,0.000,-0.250,0.000,0.000,0.000,0.000,0.000
637,1914.205,0.000,-0.281,0.000,0.000,0.000,0.000,0.000
638,1917.225,2.719,2.719,0.000,0.000,0.000,0.000,0.000
639,1920.244,0.406,0.406,0.000,0.000,0.000,0.000,0.000
640,1923.263,1.844,1.844,0.000,0.000,0.000,0.000,0.000
641,1926.282,1.031,1.031,0.000,0.000,0.000,0.000,0.000
642,1929.300,1.812,1.812,0.000,0.000,0.000,0.000,0.000
643,1932.318,0.000,-1.219,0.000,0.000,0.000,0.000,0.000
644,1935.336,2.062,2.062,0.000,0.000,0.000,0.000,0.000
645,1938.353,0.000,-0.094,0.000,0.000,0.000,0.000,0.000
646,1941.370,0.000,-0.031,0.000,0.000,0.000,0.000,0.000
647,1944.387,0.812,0.812,0.000,0.000,0.000,0.000,0.000
648,1947.404,0.000,-0.875,0.000,0.000,0.000,0.000,0.000
649,1950.420,0.375,0.375,0.000,0.000,0.000,0.000,0.000
650,1953.436,0.000,-0.094,0.000,0.000,0.000,0.000,0.000
651,1956.452,0.000,-0.375,0.000,0.000,0.000,0.000,0.000
652,1959.467,0.000,-1.219,0.000,0.000,0.000,0.000,0.000
653,1962.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000
654,1965.497,1.937,1.937,0.000,0.000,0.000,0.000,0.000
655,1968.511,1.656,1.656,0.000,0.000,0.000,0.000,0.000
656,1971.525,0.000,-1.438,0.000,0.000,0.000,0.000,0.000
657,1974.539,2.844,2.844,0.000,0.000,0.000,0.000,0.000
658,1977.552,0.156,0.156,0.000,0.000,0.000,0.000,0.000
659,1980.566,0.000,-0.219,0.000,0.000,0.000,0.000,0.000
660,1983.578,0.000,-1.281,0.000,0.000,0.000,0.000,0.000
661,1986.591,0.969,0.969,0.000,0.000,0.000,0.000,0.000
662,1989.603,0.000,-0.344,0.000,0.000,0.000,0.000,0.000
663,1992.615,0.000,-0.156,0.000,0.000,0.000,0.000,0.000
664,1995.627,0.031,0.031,0.000,0.000,0.000,0.000,0.000
665,1998.638,0.000,-0.219,0.000,0.000,0.000,0.000,0.000
666,2001.649,0.000,-1.000,0.000,0.000,0.000,0.000,0.000
667,2004.660,1.969,1.969,0.000,0.000,0.000,0.000,0.000
668,2007.671,0.000,-0.781,0.000,0.000,0.000,0.000,0.000
669,2010.681,0.000,-0.969,0.000,0.000,0.000,0.000,0.000
670,2013.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000
671,2016.700,0.000,-1.156,0.000,0.000,0.000,0.000,0.000
672,2019.709,0.656,0.656,0.000,0.000,0.000,0.000,0.000
