ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,continuum
347,998.853,15647.065,15647.065,15104.433,479.160,15104.433,0.000,0.000
348,1001.762,15810.252,15810.252,15038.550,414.491,15038.550,0.000,0.000
349,1004.672,15764.096,15764.096,14949.724,349.821,14949.724,0.000,0.000
350,1007.582,15037.158,15037.158,14834.973,285.151,14834.973,0.000,0.000
351,1010.491,14909.690,14909.690,14691.484,220.482,14691.484,0.000,0.000
352,1013.401,15048.190,15048.190,14516.719,155.812,14516.719,0.000,0.000
353,1016.311,14914.315,14914.315,14308.518,91.143,14308.518,0.000,0.000
354,1019.221,14460.252,14460.252,14065.212,26.473,14065.212,0.000,0.000
355,1022.131,14163.283,14163.283,13849.123,25.212,13849.123,0.000,0.000
356,1025.041,13753.908,13753.908,13596.423,23.952,13596.423,0.000,0.000
357,1027.951,13059.096,13059.096,13307.424,22.691,13307.424,0.000,0.000
358,1030.861,12738.034,12738.034,12983.205,21.430,12983.205,0.000,0.000
359,1033.771,12480.783,12480.783,12625.621,20.170,12625.621,0.000,0.000
360,1036.681,11768.440,11768.440,12237.274,18.909,12237.274,0.000,0.000
361,1039.591,11564.752,11564.752,11821.458,17.649,11821.458,0.000,0.000
362,1042.502,10863.315,10863.315,11382.067,16.388,11382.067,0.000,0.000
363,1045.412,10355.409,10355.409,10923.482,15.127,10923.482,0.000,0.000
364,1048.323,9773.908,9773.908,10450.435,13.867,10450.435,0.000,0.000
365,1051.233,9247.690,9247.690,9967.854,12.606,9967.854,0.000,0.000
366,1054.144,8741.033,8741.033,9480.712,11.346,9480.712,0.000,0.000
367,1057.054,8037.565,8037.565,8993.871,10.085,8993.871,0.000,0.000
368,1059.965,7758.783,7758.783,8511.938,8.824,8511.938,0.000,0.000
369,1062.876,7256.689,7256.689,8039.142,7.564,8039.142,0.000,0.000
370,1065.786,7094.627,7094.627,7579.230,6.303,7579.230,0.000,0.000
371,1068.697,6760.721,6760.721,7135.391,5.042,7135.391,0.000,0.000
372,1071.608,6321.502,6321.502,6710.208,3.782,6710.208,0.000,0.000
373,1074.519,6043.346,6043.346,6305.643,2.521,6305.643,0.000,0.000
374,1077.429,5582.908,5582.908,5923.043,1.261,5923.043,0.000,0.000
375,1080.340,5337.002,5337.002,5563.169,0.000,5563.169,0.000,0.000
376,1083.251,5194.752,5194.752,5285.048,57.533,5285.048,0.000,0.000
377,1086.162,5001.534,5001.534,5029.651,115.067,5029.651,0.000,0.000
378,1089.073,4798.315,4798.315,4796.354,172.600,4796.354,0.000,0.000
379,1091.984,4438.065,4438.065,4584.224,230.134,4584.224,0.000,0.000
380,1094.895,4382.877,4382.877,4392.095,287.667,4392.095,0.000,0.000
381,1097.806,4223.689,4223.689,4218.653,345.201,4218.653,0.000,0.000
382,1100.716,4011.252,4011.252,4062.499,402.734,4062.499,0.000,0.000
383,1103.627,3920.408,3920.408,3922.211,460.268,3922.211,0.000,0.000
384,1106.538,3924.939,3924.939,3796.401,517.801,3796.401,0.000,0.000
385,1109.449,3654.940,3654.940,3683.754,575.335,3683.754,0.000,0.000
386,1112.360,3650.158,3650.158,3583.057,632.868,3583.057,0.000,0.000
387,1115.271,3450.158,3450.158,3493.230,690.402,3493.230,0.000,0.000
388,1118.182,3362.377,3362.377,3413.337,747.935,3413.337,0.000,0.000
389,1121.093,3260.627,3260.627,3342.602,805.469,3342.602,0.000,0.000
390,1124.004,3341.096,3341.096,3280.415,863.002,3280.415,0.000,0.000
391,1126.915,3273.627,3273.627,3226.347,920.535,3226.347,0.000,0.000
392,1129.825,3084.596,3084.596,3180.156,978.069,3180.156,0.000,0.000
393,1132.736,3156.315,3156.315,3141.808,1035.602,3141.808,0.000,0.000
394,1135.647,3062.908,3062.908,3111.506,1093.136,3111.506,0.000,0.000
395,1138.558,2978.939,2978.939,3089.720,1150.669,3089.720,0.000,0.000
396,1141.469,3012.814,3012.814,3077.247,1208.203,3077.247,0.000,0.000
397,1144.379,3019.502,3019.502,3075.276,1265.736,3075.276,0.000,0.000
398,1147.290,3067.752,3067.752,3093.529,1331.322,3093.529,0.000,0.000
399,1150.201,3156.377,3156.377,3126.211,1396.908,3126.211,0.000,0.000
400,1153.111,3211.377,3211.377,3176.297,1462.494,3176.297,0.000,0.000
401,1156.022,3259.564,3259.564,3247.632,1528.080,3247.632,0.000,0.000
402,1158.933,3444.627,3444.627,3345.089,1593.666,3345.089,0.000,0.000
403,1161.843,3654.345,3654.345,3474.752,1659.252,3474.752,0.000,0.000
404,1164.754,3611.408,3611.408,3644.092,1724.838,3644.092,0.000,0.000
405,1167.664,3960.939,3960.939,3862.141,1790.423,3862.141,0.000,0.000
406,1170.574,4220.408,4220.408,4139.642,1856.009,4139.642,0.000,0.000
407,1173.485,4564.408,4564.408,4489.154,1921.595,4489.154,0.000,0.000
408,1176.395,5166.939,5166.939,4925.105,1987.181,4925.105,0.000,0.000
409,1179.305,5405.939,5405.939,5463.750,2052.767,5463.750,0.000,0.000
410,1182.216,6197.064,6197.064,6123.035,2118.353,6123.035,0.000,0.000
411,1185.126,6810.814,6810.814,6922.316,2183.939,6922.316,0.000,0.000
412,1188.036,7965.877,7965.877,7881.936,2249.525,7881.936,0.000,0.000
413,1190.946,9086.658,9086.658,9022.636,2315.111,9022.636,0.000,0.000
414,1193.856,9975.283,9975.283,10364.792,2380.697,10364.792,0.000,0.000
415,1196.766,11851.095,11851.095,11927.478,2446.283,11927.478,0.000,0.000
416,1199.676,13321.689,13321.689,13727.387,2511.868,13727.387,0.000,0.000
417,1202.585,15245.939,15245.939,15777.623,2577.454,15777.623,0.000,0.000
418,1205.495,17820.126,17820.126,18086.420,2643.040,18086.420,0.000,0.000
419,1208.405,20069.095,20069.095,20655.853,2708.626,20655.853,0.000,0.000
420,1211.314,23018.064,23018.064,23480.607,2774.212,23480.607,0.000,0.000
421,1214.224,25980.564,25980.564,26360.694,2653.594,26360.694,0.000,0.000
422,1217.133,28654.970,28654.970,29459.225,2532.976,29459.225,0.000,0.000
423,1220.042,32811.439,32811.439,32743.281,2412.358,32743.281,0.000,0.000
424,1222.952,35825.251,35825.251,36170.014,2291.740,36170.014,0.000,0.000
425,1225.861,40119.251,40119.251,39687.007,2171.122,39687.007,0.000,0.000
426,1228.770,44349.783,44349.783,43233.160,2050.505,43233.160,0.000,0.000
427,1231.679,47548.158,47548.158,46740.082,1929.887,46740.082,0.000,0.000
428,1234.588,50763.595,50763.595,50133.997,1809.269,50133.997,0.000,0.000
429,1237.497,55505.345,55505.345,53338.086,1688.651,53338.086,0.000,0.000
430,1240.405,58757.876,58757.876,56275.172,1568.033,56275.172,0.000,0.000
431,1243.314,61464.220,61464.220,58870.631,1447.415,58870.631,0.000,0.000
432,1246.223,63625.283,63625.283,61055.368,1326.797,61055.368,0.000,0.000
433,1249.131,66960.720,66960.720,62768.706,1206.179,62768.706,0.000,0.000
434,1252.039,68406.095,68406.095,63961.006,1085.561,63961.006,0.000,0.000
435,1254.948,67801.220,67801.220,64595.873,964.943,64595.873,0.000,0.000
436,1257.856,68494.814,68494.814,64651.805,844.325,64651.805,0.000,0.000
437,1260.764,67551.626,67551.626,64123.180,723.707,64123.180,0.000,0.000
438,1263.672,66669.532,66669.532,63020.524,603.090,63020.524,0.000,0.000
439,1266.579,64506.376,64506.376,61370.030,482.472,61370.030,0.000,0.000
440,1269.487,62510.595,62510.595,59212.378,361.854,59212.378,0.000,0.000
441,1272.395,59857.814,59857.814,56600.910,241.236,56600.910,0.000,0.000
442,1275.302,56142.939,56142.939,53599.286,120.618,53599.286,0.000,0.000
443,1278.210,51644.658,51644.658,50278.769,0.000,50278.769,0.000,0.000
444,1281.117,47937.376,47937.376,46878.546,42.649,46878.546,0.000,0.000
445,1284.024,43711.595,43711.595,43312.953,85.299,43312.953,0.000,0.000
446,1286.931,39618.282,39618.282,39658.399,127.948,39658.399,0.000,0.000
447,1289.838,34844.814,34844.814,35987.496,170.598,35987.496,0.000,0.000
448,1292.745,31016.814,31016.814,32366.820,213.247,32366.820,0.000,0.000
449,1295.651,27190.470,27190.470,28855.148,255.897,28855.148,0.000,0.000
450,1298.558,23729.470,23729.470,25502.197,298.546,25502.197,0.000,0.000
451,1301.464,20130.439,20130.439,22347.894,341.195,22347.894,0.000,0.000
452,1304.370,16913.251,16913.251,19422.152,383.845,19422.152,0.000,0.000
453,1307.276,14788.532,14788.532,16745.106,426.494,16745.106,0.000,0.000
454,1310.182,12425.282,12425.282,14327.733,469.144,14327.733,0.000,0.000
455,1313.088,10293.439,10293.439,12172.780,511.793,12172.780,0.000,0.000
456,1315.994,8220.376,8220.376,10275.907,554.442,10275.907,0.000,0.000
457,1318.900,7200.720,7200.720,8626.948,597.092,8626.948,0.000,0.000
458,1321.805,5868.689,5868.689,7211.222,639.741,7211.222,0.000,0.000
459,1324.710,4809.470,4809.470,6010.803,682.391,6010.803,0.000,0.000
460,1327.616,3872.845,3872.845,5005.705,725.040,5005.705,0.000,0.000
461,1330.521,3383.970,3383.970,4174.933,767.690,4174.933,0.000,0.000
462,1333.425,2974.970,2974.970,3497.374,810.339,3497.374,0.000,0.000
463,1336.330,2521.095,2521.095,2952.517,852.988,2952.517,0.000,0.000
464,1339.235,2184.033,2184.033,2520.993,895.638,2520.993,0.000,0.000
465,1342.139,1956.970,1956.970,2184.960,938.287,2184.960,0.000,0.000
466,1345.043,1935.095,1935.095,1928.338,980.937,1928.338,0.000,0.000
467,1347.947,1723.658,1723.658,1736.921,1023.586,1736.921,0.000,0.000
468,1350.851,1650.251,1650.251,1594.727,1062.582,1594.727,0.000,0.000
469,1353.755,1601.376,1601.376,1494.896,1101.578,1494.896,0.000,0.000
470,1356.659,1641.533,1641.533,1428.602,1140.574,1428.602,0.000,0.000
471,1359.562,1579.970,1579.970,1388.549,1179.570,1388.549,0.000,0.000
472,1362.466,1519.251,1519.251,1368.793,1218.566,1368.793,0.000,0.000
473,1365.369,1553.658,1553.658,1364.558,1257.561,1364.558,0.000,0.000
474,1368.272,1546.189,1546.189,1372.061,1296.557,1372.061,0.000,0.000
475,1371.175,1561.252,1561.252,1388.342,1335.553,1388.342,0.000,0.000
476,1374.077,1518.189,1518.189,1411.117,1374.549,1411.117,0.000,0.000
477,1376.980,1567.002,1567.002,1438.642,1413.545,1438.642,0.000,0.000
478,1379.882,1507.033,1507.033,1469.607,1452.541,1469.607,0.000,0.000
479,1382.784,1626.377,1626.377,1503.034,1491.537,1503.034,0.000,0.000
480,1385.686,1606.752,1606.752,1538.207,1530.533,1538.207,0.000,0.000
481,1388.588,1752.565,1752.565,1574.604,1569.529,1574.604,0.000,0.000
482,1391.490,1628.065,1628.065,1611.850,1608.524,1611.850,0.000,0.000
483,1394.391,1635.127,1635.127,1649.680,1647.520,1649.680,0.000,0.000
484,1397.292,1650.315,1650.315,1687.905,1686.516,1687.905,0.000,0.000
485,1400.193,1680.440,1680.440,1726.397,1725.512,1726.397,0.000,0.000
486,1403.094,1648.752,1648.752,1765.067,1764.508,1765.067,0.000,0.000
487,1405.995,1727.784,1727.784,1803.854,1803.504,1803.854,0.000,0.000
488,1408.896,1765.315,1765.315,1842.717,1842.500,1842.717,0.000,0.000
489,1411.796,1777.627,1777.627,1881.629,1881.496,1881.629,0.000,0.000
490,1414.696,1874.034,1874.034,1920.573,1920.492,1920.573,0.000,0.000
491,1417.596,1798.159,1798.159,1959.536,1959.487,1959.536,0.000,0.000
492,1420.496,1879.127,1879.127,1998.513,1998.483,1998.513,0.000,0.000
493,1423.395,1836.971,1836.971,1987.638,1987.621,1987.638,0.000,0.000
494,1426.295,1884.159,1884.159,1976.768,1976.758,1976.768,0.000,0.000
495,1429.194,1930.627,1930.627,1965.901,1965.895,1965.901,0.000,0.000
496,1432.093,1916.878,1916.878,1955.035,1955.032,1955.035,0.000,0.000
497,1434.992,1895.877,1895.877,1944.171,1944.169,1944.171,0.000,0.000
498,1437.891,1894.033,1894.033,1933.307,1933.306,1933.307,0.000,0.000
499,1440.789,1892.689,1892.689,1922.444,1922.443,1922.444,0.000,0.000
500,1443.687,1997.752,1997.752,1911.581,1911.581,1911.581,0.000,0.000
501,1446.585,1985.408,1985.408,1900.718,1900.718,1900.718,0.000,0.000
502,1449.483,2046.970,2046.970,1889.855,1889.855,1889.855,0.000,0.000
503,1452.381,1955.877,1955.877,1878.992,1878.992,1878.992,0.000,0.000
504,1455.278,1991.502,1991.502,1868.129,1868.129,1868.129,0.000,0.000
505,1458.175,1989.001,1989.001,1857.266,1857.266,1857.266,0.000,0.000
506,1461.072,2000.720,2000.720,1846.404,1846.404,1846.404,0.000,0.000
507,1463.969,1914.564,1914.564,1835.541,1835.541,1835.541,0.000,0.000
508,1466.866,1940.595,1940.595,1824.678,1824.678,1824.678,0.000,0.000
509,1469.762,1862.376,1862.376,1813.815,1813.815,1813.815,0.000,0.000
510,1472.658,1936.095,1936.095,1802.952,1802.952,1802.952,0.000,0.000
511,1475.554,1853.345,1853.345,1792.089,1792.089,1792.089,0.000,0.000
512,1478.450,1856.282,1856.282,1781.226,1781.226,1781.226,0.000,0.000
513,1481.345,1757.001,1757.001,1770.364,1770.364,1770.364,0.000,0.000
514,1484.241,1780.501,1780.501,1759.501,1759.501,1759.501,0.000,0.000
515,1487.136,1799.438,1799.438,1748.638,1748.638,1748.638,0.000,0.000
516,1490.031,1709.063,1709.063,1737.775,1737.775,1737.775,0.000,0.000
517,1492.925,1655.251,1655.251,1726.912,1726.912,1726.912,0.000,0.000
518,1495.820,1600.594,1600.594,1716.049,1716.049,1716.049,0.000,0.000
519,1498.714,1683.344,1683.344,1686.462,1686.462,1686.462,0.000,0.000
520,1501.608,1558.282,1558.282,1656.874,1656.874,1656.874,0.000,0.000
521,1504.502,1611.563,1611.563,1627.287,1627.287,1627.287,0.000,0.000
522,1507.395,1557.313,1557.313,1597.699,1597.699,1597.699,0.000,0.000
523,1510.289,1537.126,1537.126,1568.112,1568.112,1568.112,0.000,0.000
524,1513.182,1442.719,1442.719,1538.524,1538.524,1538.524,0.000,0.000
525,1516.075,1495.000,1495.000,1508.937,1508.937,1508.937,0.000,0.000
526,1518.967,1456.532,1456.532,1479.349,1479.349,1479.349,0.000,0.000
527,1521.860,1408.344,1408.344,1449.762,1449.762,1449.762,0.000,0.000
528,1524.752,1441.563,1441.563,1420.174,1420.174,1420.174,0.000,0.000
529,1527.644,1332.469,1332.469,1390.587,1390.587,1390.587,0.000,0.000
530,1530.536,1306.344,1306.344,1360.999,1360.999,1360.999,0.000,0.000
531,1533.427,1340.282,1340.282,1331.412,1331.412,1331.412,0.000,0.000
532,1536.318,1353.751,1353.751,1301.824,1301.824,1301.824,0.000,0.000
533,1539.209,1307.563,1307.563,1272.237,1272.237,1272.237,0.000,0.000
534,1542.100,1157.594,1157.594,1242.649,1242.649,1242.649,0.000,0.000
535,1544.991,1225.719,1225.719,1213.062,1213.062,1213.062,0.000,0.000
536,1547.881,1202.501,1202.501,1183.474,1183.474,1183.474,0.000,0.000
537,1550.771,1096.657,1096.657,1153.887,1153.886,1153.887,0.000,0.000
538,1553.661,1132.938,1132.938,1124.299,1124.299,1124.299,0.000,0.000
539,1556.550,1108.438,1108.438,1094.712,1094.711,1094.712,0.000,0.000
540,1559.440,1059.844,1059.844,1065.124,1065.124,1065.124,0.000,0.000
541,1562.329,1060.626,1060.626,1035.537,1035.536,1035.537,0.000,0.000
542,1565.218,1039.251,1039.251,1005.950,1005.949,1005.950,0.000,0.000
543,1568.106,1025.688,1025.688,976.363,976.361,976.363,0.000,0.000
544,1570.995,988.032,988.032,946.777,946.774,946.777,0.000,0.000
545,1573.883,961.626,961.626,923.969,923.965,923.969,0.000,0.000
546,1576.771,939.907,939.907,901.162,901.156,901.162,0.000,0.000
547,1579.658,912.844,912.844,878.357,878.347,878.357,0.000,0.000
548,1582.546,829.157,829.157,855.552,855.538,855.552,0.000,0.000
549,1585.433,857.000,857.000,832.750,832.729,832.750,0.000,0.000
550,1588.320,824.813,824.813,809.951,809.920,809.951,0.000,0.000
551,1591.206,733.938,733.938,787.156,787.111,787.156,0.000,0.000
552,1594.093,784.751,784.751,764.368,764.302,764.368,0.000,0.000
553,1596.979,710.532,710.532,741.587,741.493,741.587,0.000,0.000
554,1599.865,678.032,678.032,718.818,718.684,718.818,0.000,0.000
555,1602.750,702.219,702.219,696.065,695.875,696.065,0.000,0.000
556,1605.636,675.250,675.250,673.333,673.066,673.333,0.000,0.000
557,1608.521,676.063,676.063,650.631,650.257,650.631,0.000,0.000
558,1611.406,647.813,647.813,627.967,627.448,627.967,0.000,0.000
559,1614.290,569.907,569.907,605.356,604.639,605.356,0.000,0.000
560,1617.174,515.125,515.125,582.813,581.830,582.813,0.000,0.000
561,1620.059,554.594,554.594,560.361,559.021,560.361,0.000,0.000
562,1622.942,539.094,539.094,538.027,536.212,538.027,0.000,0.000
563,1625.826,523.188,523.188,515.845,513.403,515.845,0.000,0.000
564,1628.709,501.407,501.407,493.860,490.594,493.860,0.000,0.000
565,1631.592,411.532,411.532,472.125,467.785,472.125,0.000,0.000
566,1634.475,424.813,424.813,450.707,444.976,450.707,0.000,0.000
567,1637.357,444.157,444.157,429.687,422.167,429.687,0.000,0.000
568,1640.240,415.157,415.157,409.163,399.358,409.163,0.000,0.000
569,1643.122,423.032,423.032,389.254,376.549,389.254,0.000,0.000
570,1646.003,422.969,422.969,370.098,353.740,370.098,0.000,0.000
571,1648.885,413.094,413.094,351.861,330.931,351.861,0.000,0.000
572,1651.766,384.844,384.844,345.723,319.112,345.723,0.000,0.000
573,1654.647,375.657,375.657,340.914,307.293,340.914,0.000,0.000
574,1657.528,435.563,435.563,337.685,295.474,337.685,0.000,0.000
575,1660.408,384.125,384.125,336.316,283.655,336.316,0.000,0.000
576,1663.288,334.876,334.876,337.122,271.836,337.122,0.000,0.000
577,1666.168,376.688,376.688,340.446,260.017,340.446,0.000,0.000
578,1669.047,334.782,334.782,346.659,248.198,346.659,0.000,0.000
579,1671.927,391.876,391.876,356.156,236.379,356.156,0.000,0.000
580,1674.806,364.688,364.688,369.352,224.560,369.352,0.000,0.000
581,1677.685,375.376,375.376,386.671,212.741,386.671,0.000,0.000
582,1680.563,394.032,394.032,408.540,200.922,408.540,0.000,0.000
583,1683.441,418.032,418.032,435.376,189.103,435.376,0.000,0.000
584,1686.319,395.563,395.563,467.572,177.284,467.572,0.000,0.000
585,1689.197,443.032,443.032,505.482,165.465,505.482,0.000,0.000
586,1692.074,425.844,425.844,549.407,153.646,549.407,0.000,0.000
587,1694.951,462.876,462.876,599.574,141.827,599.574,0.000,0.000
588,1697.828,522.657,522.657,656.120,130.008,656.120,0.000,0.000
589,1700.705,563.000,563.000,719.073,118.190,719.073,0.000,0.000
590,1703.581,533.251,533.251,788.339,106.371,788.339,0.000,0.000
591,1706.457,603.938,603.938,863.678,94.552,863.678,0.000,0.000
592,1709.333,633.719,633.719,944.702,82.733,944.702,0.000,0.000
593,1712.208,674.438,674.438,1030.858,70.914,1030.858,0.000,0.000
594,1715.083,781.719,781.719,1121.427,59.095,1121.427,0.000,0.000
595,1717.958,774.376,774.376,1215.524,47.276,1215.524,0.000,0.000
596,1720.833,869.751,869.751,1312.102,35.457,1312.102,0.000,0.000
597,1723.707,983.969,983.969,1409.965,23.638,1409.965,0.000,0.000
598,1726.581,989.126,989.126,1507.784,11.819,1507.784,0.000,0.000
599,1729.455,1149.813,1149.813,1604.121,0.000,1604.121,0.000,0.000
600,1732.329,1262.125,1262.125,1723.256,13.975,1723.256,0.000,0.000
601,1735.202,1347.813,1347.813,1837.831,27.951,1837.831,0.000,0.000
602,1738.075,1450.907,1450.907,1946.275,41.926,1946.275,0.000,0.000
603,1740.948,1554.813,1554.813,2047.049,55.901,2047.049,0.000,0.000
604,1743.820,1666.751,1666.751,2138.687,69.877,2138.687,0.000,0.000
605,1746.692,1732.188,1732.188,2219.837,83.852,2219.837,0.000,0.000
606,1749.564,1940.876,1940.876,2289.299,97.828,2289.299,0.000,0.000
607,1752.435,2087.250,2087.250,2346.063,111.803,2346.063,0.000,0.000
608,1755.307,2176.657,2176.657,2389.338,125.778,2389.338,0.000,0.000
609,1758.178,2292.594,2292.594,2418.576,139.754,2418.576,0.000,0.000
610,1761.048,2334.407,2334.407,2433.489,153.729,2433.489,0.000,0.000
611,1763.919,2378.438,2378.438,2434.060,167.704,2434.060,0.000,0.000
612,1766.789,2544.219,2544.219,2420.541,181.680,2420.541,0.000,0.000
613,1769.659,2600.157,2600.157,2393.447,195.655,2393.447,0.000,0.000
614,1772.528,2624.344,2624.344,2353.538,209.630,2353.538,0.000,0.000
615,1775.397,2726.625,2726.625,2301.799,223.606,2301.799,0.000,0.000
616,1778.266,2572.157,2572.157,2239.405,237.581,2239.405,0.000,0.000
617,1781.135,2643.250,2643.250,2167.692,251.557,2167.692,0.000,0.000
618,1784.004,2598.469,2598.469,2088.112,265.532,2088.112,0.000,0.000
619,1786.872,2632.657,2632.657,2002.197,279.507,2002.197,0.000,0.000
620,1789.740,2553.844,2553.844,1911.518,293.483,1911.518,0.000,0.000
621,1792.607,2429.500,2429.500,1817.639,307.458,1817.639,0.000,0.000
622,1795.474,2369.500,2369.500,1722.085,321.433,1722.085,0.000,0.000
623,1798.341,2325.407,2325.407,1626.306,335.409,1626.306,0.000,0.000
624,1801.208,2161.094,2161.094,1531.645,349.384,1531.645,0.000,0.000
625,1804.074,2074.407,2074.407,1439.317,363.359,1439.317,0.000,0.000
626,1806.941,1892.500,1892.500,1350.389,377.335,1350.389,0.000,0.000
627,1809.806,1698.313,1698.313,1265.768,391.310,1265.768,0.000,0.000
628,1812.672,1610.688,1610.688,1186.196,405.286,1186.196,0.000,0.000
629,1815.537,1513.782,1513.782,1085.830,392.846,1085.830,0.000,0.000
630,1818.402,1401.563,1401.563,991.497,380.406,991.497,0.000,0.000
631,1821.267,1195.688,1195.688,903.453,367.966,903.453,0.000,0.000
632,1824.131,1080.032,1080.032,821.811,355.526,821.811,0.000,0.000
633,1826.995,954.532,954.532,746.559,343.086,746.559,0.000,0.000
634,1829.859,876.844,876.844,677.573,330.646,677.573,0.000,0.000
635,1832.723,749.907,749.907,614.635,318.206,614.635,0.000,0.000
636,1835.586,641.750,641.750,557.455,305.766,557.455,0.000,0.000
637,1838.449,537.719,537.719,505.684,293.326,505.684,0.000,0.000
638,1841.312,434.719,434.719,458.932,280.886,458.932,0.000,0.000
639,1844.174,399.407,399.407,416.785,268.446,416.785,0.000,0.000
640,1847.036,387.844,387.844,378.818,256.006,378.818,0.000,0.000
641,1849.898,276.031,276.031,344.604,243.567,344.604,0.000,0.000
642,1852.759,221.813,221.813,313.728,231.127,313.728,0.000,0.000
643,1855.621,200.782,200.782,285.791,218.687,285.791,0.000,0.000
644,1858.481,197.063,197.063,260.419,206.247,260.419,0.000,0.000
645,1861.342,171.907,171.907,237.264,193.807,237.264,0.000,0.000
646,1864.203,129.969,129.969,216.009,181.367,216.009,0.000,0.000
647,1867.063,104.813,104.813,196.368,168.927,196.368,0.000,0.000
648,1869.922,90.125,90.125,178.088,156.487,178.088,0.000,0.000
649,1872.782,91.375,91.375,160.944,144.047,160.944,0.000,0.000
650,1875.641,72.907,72.907,144.741,131.607,144.741,0.000,0.000
651,1878.500,65.625,65.625,129.312,119.167,129.312,0.000,0.000
652,1881.359,59.782,59.782,114.514,106.727,114.514,0.000,0.000
653,1884.217,53.000,53.000,100.226,94.287,100.226,0.000,0.000
654,1887.075,40.938,40.938,86.349,81.847,86.349,0.000,0.000
655,1889.933,38.657,38.657,72.798,69.408,72.798,0.000,0.000
656,1892.790,45.563,45.563,59.505,56.968,59.505,0.000,0.000
657,1895.647,52.844,52.844,46.415,44.528,46.415,0.000,0.000
658,1898.504,42.156,42.156,33.482,32.088,33.482,0.000,0.000
659,1901.361,51.782,51.782,33.695,32.671,33.695,0.000,0.000
660,1904.217,50.719,50.719,34.002,33.254,34.002,0.000,0.000
661,1907.073,49.969,49.969,34.379,33.837,34.379,0.000,0.000
662,1909.929,52.657,52.657,34.811,34.421,34.811,0.000,0.000
663,1912.784,48.844,48.844,35.284,35.004,35.284,0.000,0.000
664,1915.640,57.031,57.031,35.786,35.587,35.786,0.000,0.000
665,1918.495,44.782,44.782,36.311,36.170,36.311,0.000,0.000
666,1921.349,45.000,45.000,36.853,36.754,36.853,0.000,0.000
667,1924.203,58.969,58.969,37.406,37.337,37.406,0.000,0.000
668,1927.058,49.219,49.219,37.968,37.920,37.968,0.000,0.000
669,1929.911,44.031,44.031,38.536,38.503,38.536,0.000,0.000
670,1932.765,44.000,44.000,39.109,39.087,39.109,0.000,0.000
671,1935.618,50.844,50.844,39.685,39.670,39.685,0.000,0.000
672,1938.471,41.657,41.657,40.264,40.253,40.264,0.000,0.000
673,1941.323,60.813,60.813,40.843,40.836,40.843,0.000,0.000
674,1944.176,48.782,48.782,41.424,41.420,41.424,0.000,0.000
675,1947.028,59.532,59.532,42.006,42.003,42.006,0.000,0.000
676,1949.879,44.969,44.969,42.588,42.586,42.588,0.000,0.000
677,1952.731,46.938,46.938,43.171,43.169,43.171,0.000,0.000
678,1955.582,39.281,39.281,43.753,43.753,43.753,0.000,0.000
679,1958.433,50.750,50.750,44.336,44.336,44.336,0.000,0.000
680,1961.284,58.500,58.500,44.919,44.919,44.919,0.000,0.000
681,1964.134,56.688,56.688,45.503,45.502,45.503,0.000,0.000
682,1966.984,49.594,49.594,46.086,46.086,46.086,0.000,0.000
683,1969.834,44.844,44.844,46.669,46.669,46.669,0.000,0.000
684,1972.683,45.719,45.719,47.252,47.252,47.252,0.000,0.000
685,1975.532,51.782,51.782,47.835,47.835,47.835,0.000,0.000
686,1978.381,51.782,51.782,48.419,48.419,48.419,0.000,0.000
687,1981.230,54.907,54.907,49.002,49.002,49.002,0.000,0.000
688,1984.078,41.844,41.844,49.585,49.585,49.585,0.000,0.000
689,1986.926,38.844,38.844,48.672,48.672,48.672,0.000,0.000
690,1989.774,43.750,43.750,47.759,47.759,47.759,0.000,0.000
691,1992.622,38.407,38.407,46.846,46.846,46.846,0.000,0.000
692,1995.469,39.875,39.875,45.934,45.934,45.934,0.000,0.000
693,1998.316,34.719,34.719,45.021,45.021,45.021,0.000,0.000
694,2001.163,44.031,44.031,44.108,44.108,44.108,0.000,0.000
695,2004.009,43.875,43.875,43.195,43.195,43.195,0.000,0.000
696,2006.855,51.875,51.875,42.282,42.282,42.282,0.000,0.000
697,2009.701,36.063,36.063,41.369,41.369,41.369,0.000,0.000
698,2012.547,36.031,36.031,40.457,40.457,40.457,0.000,0.000
699,2015.392,31.750,31.750,39.544,39.544,39.544,0.000,0.000
700,2018.237,34.657,34.657,38.631,38.631,38.631,0.000,0.000
701,2021.082,26.657,26.657,37.718,37.718,37.718,0.000,0.000
702,2023.926,41.875,41.875,36.805,36.805,36.805,0.000,0.000
703,2026.770,37.532,37.532,35.892,35.892,35.892,0.000,0.000
704,2029.614,27.094,27.094,34.979,34.979,34.979,0.000,0.000
705,2032.458,36.594,36.594,34.067,34.067,34.067,0.000,0.000
706,2035.301,28.375,28.375,33.154,33.154,33.154,0.000,0.000
707,2038.145,24.813,24.813,32.241,32.241,32.241,0.000,0.000
708,2040.987,34.875,34.875,31.328,31.328,31.328,0.000,0.000
709,2043.830,28.594,28.594,30.415,30.415,30.415,0.000,0.000
710,2046.672,35.407,35.407,29.502,29.502,29.502,0.000,0.000
711,2049.514,30.563,30.563,28.589,28.589,28.589,0.000,0.000
712,2052.356,23.844,23.844,27.677,27.677,0.000,0.000,27.677
713,2055.198,21.500,21.500,26.764,26.764,0.000,0.000,26.764
714,2058.039,29.657,29.657,25.851,25.851,0.000,0.000,25.851
715,2060.880,21.719,21.719,24.938,24.938,0.000,0.000,24.938
