ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,continuum
63,188.099,187816.583,187816.583,191923.158,158510.890,83548.691,108374.468,0.000
64,190.849,203883.052,203883.052,193965.127,160341.467,84528.671,109436.455,0.000
65,193.601,215174.958,215174.958,195933.573,162172.043,85513.267,110420.306,0.000
66,196.354,223979.115,223979.115,197834.254,164002.619,86505.332,111328.922,0.000
67,199.107,228955.270,228955.270,199680.811,165833.195,87504.830,112175.980,0.000
68,201.862,230812.301,230812.301,201489.260,167663.771,88510.170,112979.090,0.000
69,204.618,223078.957,223078.957,203273.857,169494.347,89520.342,113753.515,0.000
70,207.376,215197.551,215197.551,205045.825,171324.923,90536.742,114509.083,0.000
71,210.134,205459.988,205459.988,206814.364,173155.499,91563.667,115250.697,0.000
72,212.893,192034.332,192034.332,198647.025,165045.119,87878.835,110768.190,0.000
73,215.654,181115.706,181115.706,190492.502,156934.739,84203.147,106289.355,0.000
74,218.415,172246.894,172246.894,182355.993,148824.358,80538.030,101817.962,0.000
75,221.178,162305.206,162305.206,174237.928,140713.978,76879.370,97358.558,0.000
76,223.942,154632.269,154632.269,166132.977,132603.598,73217.629,92915.348,0.000
77,226.707,151205.269,151205.269,158031.294,124493.217,69540.036,88491.258,0.000
78,229.473,147721.519,147721.519,149921.742,116382.837,65834.118,84087.624,0.000
79,232.240,143797.987,143797.987,141795.795,108272.457,62091.347,79704.448,0.000
80,235.008,142310.018,142310.018,139903.459,106414.916,61313.556,78589.902,0.000
81,237.777,140065.644,140065.644,137995.930,104557.375,60508.965,77486.965,0.000
82,240.547,140377.144,140377.144,136083.165,102699.834,59688.146,76395.020,0.000
83,243.319,136824.894,136824.894,134178.401,100842.293,58864.333,75314.069,0.000
84,246.091,133743.926,133743.926,132294.720,98984.752,58049.814,74244.906,0.000
85,248.865,134736.176,134736.176,130441.715,97127.211,57252.675,73189.040,0.000
86,251.639,129863.144,129863.144,128623.038,95269.670,56474.702,72148.337,0.000
87,254.414,126416.112,126416.112,126835.342,93412.129,55710.923,71124.419,0.000
88,257.191,125253.954,125253.954,125068.815,91554.588,54950.866,70117.949,0.000
89,259.969,120585.798,120585.798,121716.878,88104.732,53408.096,68308.783,0.000
90,262.747,117533.704,117533.704,118356.130,84654.877,51840.998,66515.133,0.000
91,265.527,114346.923,114346.923,114972.674,81205.022,50240.176,64732.498,0.000
92,268.307,110567.829,110567.829,111557.181,77755.166,48601.731,62955.450,0.000
93,271.089,106358.827,106358.827,108106.518,74305.311,46927.653,61178.865,0.000
94,273.872,104843.015,104843.015,104624.023,70855.456,45224.637,59399.386,0.000
95,276.655,101157.796,101157.796,101118.602,67405.601,43501.866,57616.736,0.000
96,279.440,98070.608,98070.608,97603.058,63955.745,41768.553,55834.505,0.000
97,282.226,97672.952,97672.952,94092.147,60505.890,40032.038,54060.109,0.000
98,285.012,94207.389,94207.389,93349.875,59805.223,39646.212,53703.662,0.000
99,287.800,93883.796,93883.796,92640.256,59104.556,39267.046,53373.210,0.000
100,290.589,91341.264,91341.264,91973.448,58403.889,38894.520,53078.928,0.000
101,293.378,91271.233,91271.233,91355.404,57703.222,38527.643,52827.761,0.000
102,296.169,89848.170,89848.170,90787.111,57002.555,38165.233,52621.878,0.000
103,298.960,88916.264,88916.264,90264.412,56301.888,37806.326,52458.087,0.000
104,301.753,87887.232,87887.232,89778.549,55601.220,37450.270,52328.279,0.000
105,304.546,87801.326,87801.326,89317.379,54900.553,37096.667,52220.712,0.000
106,307.340,87554.919,87554.919,88866.975,54199.886,36745.347,52121.628,0.000
107,310.136,86472.201,86472.201,88413.111,53499.219,36396.448,52016.663,0.000
108,312.932,86655.106,86655.106,86952.921,51809.370,35558.068,51394.854,0.000
109,315.729,86246.513,86246.513,85462.325,50119.520,34722.223,50740.102,0.000
110,318.527,85250.075,85250.075,83927.412,48429.671,33890.455,50036.957,0.000
111,321.326,85049.230,85049.230,82332.025,46739.821,33064.434,49267.590,0.000
112,324.126,85128.575,85128.575,80656.334,45049.972,32245.448,48410.886,0.000
113,326.927,82229.886,82229.886,78876.359,43360.123,31433.832,47442.527,0.000
114,329.729,81776.480,81776.480,76965.004,41670.273,30628.552,46336.452,0.000
