ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
0,-7.971,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.137,0.000,0.000,0.283,0.283,0.083,0.200
2,-2.302,0.000,0.000,0.566,0.566,0.165,0.401
3,0.534,0.000,0.000,0.849,0.849,0.248,0.601
4,3.370,0.000,0.000,1.132,1.132,0.330,0.802
5,6.208,13.333,13.333,1.415,1.415,0.413,1.002
6,9.046,62.199,62.199,1.698,1.698,0.495,1.203
7,11.885,375.363,375.363,1.981,1.981,0.578,1.403
8,14.726,1060.392,1060.392,612.019,612.019,178.522,433.496
9,17.566,1951.020,1951.020,1222.056,1222.056,356.467,865.589
10,20.408,2903.481,2903.481,1832.094,1832.094,534.411,1297.682
11,23.251,3473.411,3473.411,2442.131,2442.131,712.356,1729.775
12,26.094,3664.375,3664.375,3052.168,3052.168,890.300,2161.868
13,28.939,3678.907,3678.907,3662.206,3662.206,1068.245,2593.961
14,31.784,3840.973,3840.973,4272.243,4272.243,1246.189,3026.054
15,34.630,3726.171,3726.171,4203.454,4203.454,1226.124,2977.331
16,37.476,3795.936,3795.936,4134.666,4134.666,1206.058,2928.607
17,40.324,3883.867,3883.867,4065.877,4065.877,1185.993,2879.884
18,43.173,3902.730,3902.730,3997.088,3997.088,1165.928,2831.160
19,46.022,3938.859,3938.859,3928.299,3928.299,1145.862,2782.436
20,48.872,4032.889,4032.889,3859.510,3859.510,1125.797,2733.713
21,51.723,3982.816,3982.816,3790.721,3790.721,1105.732,2684.989
22,54.575,3933.178,3933.178,3921.829,3921.829,1143.975,2777.854
23,57.427,4026.871,4026.871,4052.937,4052.937,1182.219,2870.719
24,60.281,4232.463,4232.463,4184.046,4184.046,1220.462,2963.583
25,63.135,4158.022,4158.022,4315.155,4315.154,1258.706,3056.449
26,65.990,4174.380,4174.380,4446.281,4446.262,1296.953,3149.328
27,68.846,4341.640,4341.640,4577.588,4577.370,1335.233,3242.356
28,71.702,4462.629,4462.629,4710.302,4708.478,1373.766,3336.535
29,74.560,4679.322,4679.322,4468.402,4457.147,1302.138,3166.264
30,77.418,4473.419,4473.419,4257.372,4205.815,1235.902,3021.470
31,80.277,4512.585,4512.585,4131.057,3954.483,1184.068,2946.989
32,83.137,4596.152,4596.152,4161.117,3703.151,1157.641,3003.476
33,85.998,4636.685,4636.685,4369.545,3451.819,1157.515,3212.030
34,88.859,4841.751,4841.751,4664.155,3200.487,1164.934,3499.220
35,91.721,4847.219,4847.219,4884.114,2949.155,1152.480,3731.633
36,94.584,4662.687,4662.687,5188.711,2960.650,1183.436,4005.275
37,97.448,4891.089,4891.089,5323.324,2972.145,1187.862,4135.462
38,100.313,4962.225,4962.225,5353.772,2983.640,1180.572,4173.200
39,103.178,5005.058,5005.058,5340.012,2995.136,1172.712,4167.300
40,106.045,5339.328,5339.328,5320.720,3006.631,1169.567,4151.153
41,108.912,5333.527,5333.527,5317.420,3018.126,1172.409,4145.011
42,111.779,5573.861,5573.861,5332.268,3029.621,1179.885,4152.383
43,114.648,5657.628,5657.628,5481.773,3169.966,1228.051,4253.722
44,117.517,5644.931,5644.931,5626.958,3310.311,1278.727,4348.231
45,120.388,5681.733,5681.733,5767.668,3450.657,1334.034,4433.635
46,123.259,5922.334,5922.334,5906.477,3591.002,1395.875,4510.602
47,126.130,6100.534,6100.534,6042.543,3731.347,1462.762,4579.781
48,129.003,6039.770,6039.770,6174.515,3871.693,1529.031,4645.484
49,131.876,6088.440,6088.440,6306.165,4012.038,1587.809,4718.356
50,134.750,6350.472,6350.472,6278.284,3982.150,1585.036,4693.248
51,137.625,6375.043,6375.043,6275.165,3952.262,1574.627,4700.537
52,140.500,6474.710,6474.710,6303.470,3922.374,1563.717,4739.753
53,143.377,6471.145,6471.145,6353.331,3892.486,1557.599,4795.732
54,146.254,6441.181,6441.181,6401.009,3862.599,1555.764,4845.245
