ch,keV,net,fit,model,continuum_raw,Cs-137,continuum
0,-2.951,0.000,0.000,0.000,0.000,0.000,0.000
1,-0.214,0.000,0.000,0.000,0.000,0.000,0.000
2,2.524,0.000,0.000,0.000,0.000,0.000,0.000
3,5.264,0.000,0.000,0.000,0.000,0.000,0.000
4,8.005,0.000,0.000,0.018,0.000,0.018,0.000
5,10.748,2.125,2.125,2.964,0.000,2.964,0.000
6,13.492,59.625,59.625,118.199,0.000,118.199,0.000
7,16.238,473.250,473.250,1223.626,0.000,1223.626,0.000
8,18.986,2065.344,2065.344,6161.832,1960.478,6161.832,0.000
9,21.734,5730.031,5730.031,11021.977,3920.956,11021.977,0.000
10,24.485,19605.969,19605.969,17470.367,5881.434,17470.367,0.000
11,27.236,48326.156,48326.156,38827.646,7841.912,38827.646,0.000
12,29.989,84482.438,84482.438,73520.281,9802.390,73520.281,0.000
13,32.744,92776.469,92776.469,87882.287,11762.868,87882.287,0.000
14,35.500,84337.000,84337.000,69992.943,13723.346,69992.943,0.000
15,38.258,49661.000,49661.000,42875.585,13536.132,42875.585,0.000
16,41.017,28589.750,28589.750,27288.446,13348.917,27288.446,0.000
17,43.777,18846.344,18846.344,21622.577,13161.703,21622.577,0.000
18,46.539,15873.875,15873.875,19688.974,12974.489,19688.974,0.000
19,49.302,15191.594,15191.594,18267.262,12787.274,18267.262,0.000
20,52.067,15027.969,15027.969,16433.813,12600.060,16433.813,0.000
21,54.833,14729.313,14729.313,14446.399,12412.845,14446.399,0.000
22,57.600,15152.657,15152.657,13821.367,13067.281,13821.367,0.000
23,60.369,15229.250,15229.250,13907.485,13721.717,13907.485,0.000
24,63.139,15376.625,15376.625,14405.551,14376.153,14405.551,0.000
25,65.911,15576.313,15576.313,15033.511,15030.589,15033.511,0.000
26,68.684,15566.344,15566.344,15685.213,15685.025,15685.213,0.000
27,71.458,15716.344,15716.344,16339.545,16339.461,16339.545,0.000
28,74.234,16206.500,16206.500,16994.449,16993.896,16994.449,0.000
29,77.011,16043.563,16043.563,16575.261,16572.048,16575.261,0.000
30,79.789,16096.282,16096.282,16165.456,16150.200,16165.456,0.000
31,82.569,16300.125,16300.125,15787.750,15728.351,15787.750,0.000
32,85.350,16182.907,16182.907,15496.984,15306.503,15496.984,0.000
33,88.133,16203.375,16203.375,15390.563,14884.655,15390.563,0.000
34,90.917,16705.938,16705.938,15583.544,14462.806,15583.544,0.000
35,93.702,16338.719,16338.719,16131.386,14040.958,16131.386,0.000
36,96.488,16566.532,16566.532,16936.368,13610.871,16936.368,0.000
37,99.276,16768.532,16768.532,17773.066,13180.785,17773.066,0.000
38,102.065,17296.657,17296.657,18385.481,12750.699,18385.481,0.000
39,104.856,17296.313,17296.313,18640.776,12320.612,18640.776,0.000
40,107.648,17727.907,17727.907,18569.103,11890.526,18569.103,0.000
41,110.441,17631.657,17631.657,18288.085,11460.439,18288.085,0.000
42,113.235,18889.563,18889.563,17909.246,11030.353,17909.246,0.000
43,116.031,18828.157,18828.157,18387.980,11489.866,18387.980,0.000
44,118.828,19536.344,19536.344,18861.787,11949.380,18861.787,0.000
45,121.626,19949.125,19949.125,19337.027,12408.893,19337.027,0.000
46,124.425,20154.969,20154.969,19811.163,12868.406,19811.163,0.000
47,127.226,20338.250,20338.250,20279.592,13327.920,20279.592,0.000
48,130.028,20819.813,20819.813,20740.440,13787.433,20740.440,0.000
49,132.831,21203.000,21203.000,21196.578,14246.946,21196.578,0.000
50,135.636,21227.219,21227.219,21405.648,14457.878,21405.648,0.000
51,138.442,21300.750,21300.750,21622.871,14668.810,21622.871,0.000
52,141.249,21719.125,21719.125,21852.884,14879.742,21852.884,0.000
53,144.057,21461.875,21461.875,22096.847,15090.674,22096.847,0.000
54,146.867,22067.375,22067.375,22351.672,15301.607,22351.672,0.000
55,149.677,22810.094,22810.094,22610.390,15512.539,22610.390,0.000
56,152.489,23083.563,23083.563,22864.468,15723.471,22864.468,0.000
57,155.302,23490.532,23490.532,23495.227,16322.092,23495.227,0.000
58,158.117,24324.938,24324.938,24113.619,16920.713,24113.619,0.000
59,160.932,24661.688,24661.688,24723.567,17519.335,24723.567,0.000
60,163.749,25385.375,25385.375,25332.634,18117.956,25332.634,0.000
61,166.567,26326.438,26326.438,25950.106,18716.577,25950.106,0.000
62,169.386,27268.907,27268.907,26585.208,19315.199,26585.208,0.000
63,172.207,28386.563,28386.563,27244.891,19913.820,27244.891,0.000
64,175.028,29991.032,29991.032,30365.551,22946.798,30365.551,0.000
65,177.851,31938.938,31938.938,33508.103,25979.776,33508.103,0.000
66,180.675,34598.094,34598.094,36661.342,29012.754,36661.342,0.000
67,183.500,38163.250,38163.250,39810.477,32045.732,39810.477,0.000
68,186.326,41846.282,41846.282,42941.654,35078.710,42941.654,0.000
69,189.153,45077.938,45077.938,46046.153,38111.689,46046.153,0.000
70,191.982,48656.532,48656.532,49122.376,41144.667,49122.376,0.000
71,194.812,51179.969,51179.969,48753.417,40756.172,48753.417,0.000
72,197.642,52839.313,52839.313,48368.321,40367.677,48368.321,0.000
73,200.474,52730.688,52730.688,47974.038,39979.182,47974.038,0.000
74,203.307,52305.875,52305.875,47574.489,39590.686,47574.489,0.000
75,206.142,50129.188,50129.188,47170.132,39202.191,47170.132,0.000
76,208.977,48101.250,48101.250,46759.204,38813.696,46759.204,0.000
77,211.813,45090.250,45090.250,46339.691,38425.201,46339.691,0.000
78,214.651,42673.500,42673.500,43158.417,35284.086,43158.417,0.000
79,217.490,38445.969,38445.969,39969.779,32142.970,39969.779,0.000
80,220.329,35730.000,35730.000,36777.731,29001.854,36777.731,0.000
81,223.170,32108.625,32108.625,33587.336,25860.739,33587.336,0.000
82,226.012,29892.125,29892.125,30403.130,22719.623,30403.130,0.000
83,228.855,27521.875,27521.875,27227.567,19578.507,27227.567,0.000
84,231.699,25436.907,25436.907,24060.265,16437.392,24060.265,0.000
85,234.544,24012.157,24012.157,23238.270,15636.025,23238.270,0.000
86,237.391,22592.125,22592.125,22418.397,14834.659,22418.397,0.000
87,240.238,21503.094,21503.094,21598.331,14033.292,21598.331,0.000
88,243.086,20416.938,20416.938,20778.061,13231.926,20778.061,0.000
89,245.936,19177.782,19177.782,19959.900,12430.559,19959.900,0.000
90,248.786,19075.688,19075.688,19147.481,11629.192,19147.481,0.000
91,251.638,18644.907,18644.907,18344.304,10827.826,18344.304,0.000
92,254.490,17669.813,17669.813,17552.428,10026.459,17552.428,0.000
93,257.344,17427.813,17427.813,17296.364,9749.744,17296.364,0.000
94,260.199,17068.000,17068.000,17048.982,9473.030,17048.982,0.000
95,263.054,16789.782,16789.782,16805.909,9196.315,16805.909,0.000
96,265.911,16590.594,16590.594,16561.712,8919.600,16561.712,0.000
97,268.769,16155.938,16155.938,16310.930,8642.885,16310.930,0.000
98,271.628,15820.375,15820.375,16049.100,8366.170,16049.100,0.000
99,274.487,15967.782,15967.782,15773.566,8089.455,15773.566,0.000
100,277.348,15666.250,15666.250,15483.882,7812.740,15483.882,0.000
101,280.210,15180.219,15180.219,15361.857,7716.146,15361.857,0.000
102,283.073,15266.157,15266.157,15230.672,7619.553,15230.672,0.000
103,285.936,15081.250,15081.250,15094.437,7522.959,15094.437,0.000
104,288.801,14828.219,14828.219,14957.255,7426.365,14957.255,0.000
105,291.667,14890.313,14890.313,14822.610,7329.771,14822.610,0.000
106,294.533,14910.907,14910.907,14693.076,7233.178,14693.076,0.000
107,297.401,14481.188,14481.188,14570.317,7136.584,14570.317,0.000
108,300.270,14659.094,14659.094,14455.235,7039.990,14455.235,0.000
109,303.139,14137.500,14137.500,14348.137,6943.396,14348.137,0.000
110,306.010,14440.063,14440.063,14242.150,6840.121,14242.150,0.000
111,308.881,13913.219,13913.219,14143.312,6736.846,14143.312,0.000
112,311.754,14127.563,14127.563,14050.564,6633.571,14050.564,0.000
113,314.627,13827.875,13827.875,13962.509,6530.296,13962.509,0.000
114,317.501,13977.469,13977.469,13877.527,6427.021,13877.527,0.000
115,320.376,13658.313,13658.313,13793.924,6323.746,13793.924,0.000
116,323.253,13822.469,13822.469,13710.058,6220.471,13710.058,0.000
117,326.130,13724.281,13724.281,13624.443,6117.196,13624.443,0.000
118,329.008,13741.750,13741.750,13535.821,6013.921,13535.821,0.000
119,331.887,13299.719,13299.719,13505.531,5972.959,13505.531,0.000
120,334.766,13601.344,13601.344,13470.609,5931.997,13470.609,0.000
121,337.647,13333.875,13333.875,13430.752,5891.036,13430.752,0.000
122,340.529,13488.719,13488.719,13386.009,5850.074,13386.009,0.000
123,343.411,13152.375,13152.375,13336.771,5809.113,13336.771,0.000
124,346.295,13061.906,13061.906,13283.743,5768.151,13283.743,0.000
125,349.179,13136.688,13136.688,13227.913,5727.190,13227.913,0.000
126,352.064,13224.156,13224.156,13170.491,5686.228,13170.491,0.000
127,354.950,13293.250,13293.250,13112.813,5645.267,13112.813,0.000
128,357.837,12888.406,12888.406,13056.198,5604.305,13056.198,0.000
129,360.725,13165.250,13165.250,13031.015,5592.573,13031.015,0.000
130,363.614,12919.500,12919.500,13008.866,5580.841,13008.866,0.000
131,366.503,12999.438,12999.438,12990.221,5569.109,12990.221,0.000
132,369.394,13224.531,13224.531,12975.246,5557.376,12975.246,0.000
133,372.285,12809.344,12809.344,12963.940,5545.644,12963.940,0.000
134,375.177,13346.438,13346.438,12956.305,5533.912,12956.305,0.000
135,378.070,12778.188,12778.188,12952.465,5522.180,12952.465,0.000
136,380.964,13058.594,13058.594,12952.691,5510.448,12952.691,0.000
137,383.858,12889.594,12889.594,12957.319,5498.715,12957.319,0.000
138,386.754,13079.844,13079.844,12966.618,5486.983,12966.618,0.000
139,389.650,13253.719,13253.719,12980.657,5475.251,12980.657,0.000
140,392.547,13066.281,13066.281,13071.266,5535.531,13071.266,0.000
141,395.445,13242.281,13242.281,13166.025,5595.810,13166.025,0.000
142,398.344,12938.281,12938.281,13264.405,5656.090,13264.405,0.000
143,401.243,13449.656,13449.656,13365.887,5716.370,13365.887,0.000
144,404.144,13290.000,13290.000,13470.059,5776.649,13470.059,0.000
145,407.045,13552.063,13552.063,13576.667,5836.929,13576.667,0.000
146,409.947,13422.875,13422.875,13685.601,5897.209,13685.601,0.000
147,412.849,13325.719,13325.719,13796.836,5957.488,13796.836,0.000
148,415.753,13713.500,13713.500,13910.360,6017.768,13910.360,0.000
149,418.657,13736.938,13736.938,14026.102,6078.047,14026.102,0.000
150,421.562,13844.500,13844.500,14143.868,6138.327,14143.868,0.000
151,424.468,13965.406,13965.406,14008.576,5943.926,14008.576,0.000
152,427.374,14029.969,14029.969,13874.192,5749.525,13874.192,0.000
153,430.282,13995.625,13995.625,13739.531,5555.125,13739.531,0.000
154,433.190,13938.344,13938.344,13602.739,5360.724,13602.739,0.000
155,436.099,14130.250,14130.250,13461.079,5166.323,13461.079,0.000
156,439.008,13940.250,13940.250,13310.737,4971.922,13310.737,0.000
157,441.919,13902.375,13902.375,13146.719,4777.521,13146.719,0.000
158,444.830,13657.000,13657.000,12962.887,4583.120,12962.887,0.000
159,447.741,13177.406,13177.406,12752.190,4388.720,12752.190,0.000
160,450.654,13028.750,13028.750,12507.111,4194.319,12507.111,0.000
161,453.567,12684.219,12684.219,12220.318,3999.918,12220.318,0.000
162,456.481,12268.094,12268.094,11885.466,3805.517,11885.466,0.000
163,459.396,11528.094,11528.094,11437.672,3550.741,11437.672,0.000
164,462.311,10408.688,10408.688,10935.422,3295.964,10935.422,0.000
165,465.228,10069.813,10069.813,10380.008,3041.188,10380.008,0.000
166,468.145,8967.219,8967.219,9776.140,2786.411,9776.140,0.000
167,471.062,8443.875,8443.875,9131.778,2531.635,9131.778,0.000
168,473.980,7689.438,7689.438,8457.554,2276.858,8457.554,0.000
169,476.899,6755.625,6755.625,7765.852,2022.082,7765.852,0.000
170,479.819,6408.656,6408.656,7069.675,1767.306,7069.675,0.000
171,482.739,5952.625,5952.625,6381.475,1512.529,6381.475,0.000
172,485.660,5247.188,5247.188,5712.114,1257.753,5712.114,0.000
173,488.582,4977.625,4977.625,5070.100,1002.976,5070.100,0.000
174,491.504,4533.531,4533.531,4461.185,748.200,4461.185,0.000
175,494.427,4108.719,4108.719,4135.288,740.380,4135.288,0.000
176,497.351,4035.375,4035.375,3845.907,732.560,3845.907,0.000
177,500.276,3722.844,3722.844,3591.503,724.740,3591.503,0.000
178,503.201,3474.281,3474.281,3369.148,716.921,3369.148,0.000
179,506.126,3293.094,3293.094,3175.135,709.101,3175.135,0.000
180,509.053,3157.438,3157.438,3005.502,701.281,3005.502,0.000
181,511.980,2956.906,2956.906,2856.415,693.461,2856.415,0.000
182,514.907,2810.844,2810.844,2724.418,685.642,2724.418,0.000
183,517.835,2720.250,2720.250,2606.558,677.822,2606.558,0.000
184,520.764,2574.500,2574.500,2500.416,670.002,2500.416,0.000
185,523.694,2452.219,2452.219,2404.075,662.182,2404.075,0.000
186,526.624,2312.625,2312.625,2316.072,654.362,2316.072,0.000
187,529.555,2155.750,2155.750,2235.329,646.543,2235.329,0.000
188,532.486,2089.313,2089.313,2152.802,630.439,2152.802,0.000
189,535.418,1995.719,1995.719,2076.275,614.335,2076.275,0.000
190,538.351,1990.094,1990.094,2005.439,598.231,2005.439,0.000
191,541.284,1792.938,1792.938,1940.117,582.127,1940.117,0.000
192,544.218,1819.438,1819.438,1880.196,566.023,1880.196,0.000
193,547.152,1771.031,1771.031,1825.568,549.920,1825.568,0.000
194,550.087,1774.156,1774.156,1776.074,533.816,1776.074,0.000
195,553.023,1704.500,1704.500,1731.464,517.712,1731.464,0.000
196,555.959,1747.500,1747.500,1691.381,501.608,1691.381,0.000
197,558.896,1728.813,1728.813,1655.361,485.504,1655.361,0.000
198,561.833,1735.125,1735.125,1622.863,469.401,1622.863,0.000
199,564.771,1727.563,1727.563,1593.320,453.297,1593.320,0.000
200,567.710,1705.219,1705.219,1566.217,437.193,1566.217,0.000
201,570.649,1751.844,1751.844,1686.150,566.058,1686.150,0.000
202,573.588,1761.469,1761.469,1808.048,694.923,1808.048,0.000
203,576.528,1795.094,1795.094,1932.237,823.788,1932.237,0.000
204,579.469,1890.469,1890.469,2059.678,952.653,2059.678,0.000
205,582.410,2064.938,2064.938,2192.259,1081.518,2192.259,0.000
206,585.352,2236.094,2236.094,2333.196,1210.383,2333.196,0.000
207,588.295,2290.469,2290.469,2487.596,1339.248,2487.596,0.000
208,591.238,2500.563,2500.563,2663.219,1468.113,2663.219,0.000
209,594.181,2776.656,2776.656,2871.483,1596.978,2871.483,0.000
210,597.125,3339.688,3339.688,3128.719,1725.842,3128.719,0.000
211,600.069,4005.750,4005.750,3457.651,1854.707,3457.651,0.000
212,603.014,4789.656,4789.656,3889.004,1983.572,3889.004,0.000
213,605.960,5884.063,5884.063,4463.036,2112.437,4463.036,0.000
214,608.906,7354.406,7354.406,5230.718,2241.302,5230.718,0.000
215,611.853,9616.750,9616.750,8879.375,4995.413,8879.375,0.000
216,614.800,12186.313,12186.313,12856.089,7749.523,12856.089,0.000
217,617.747,15788.000,15788.000,17240.793,10503.634,17240.793,0.000
218,620.695,19867.125,19867.125,22116.188,13257.744,22116.188,0.000
