ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
0,-16.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-13.762,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-10.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-7.852,0.000,0.000,0.004,0.004,0.002,0.001,0.000,0.000,0.000,0.000
4,-4.897,0.000,0.000,1.751,1.751,0.960,0.581,0.138,0.050,0.021,0.001
5,-1.943,4.700,4.700,15.823,15.823,8.680,5.246,1.246,0.454,0.190,0.008
6,1.012,29.100,29.100,27.020,27.020,14.822,8.958,2.128,0.775,0.324,0.013
7,3.968,97.433,97.433,26.281,26.281,14.416,8.713,2.070,0.753,0.315,0.013
8,6.923,282.533,282.533,182.948,182.935,100.348,60.651,14.421,5.244,2.193,0.090
9,9.878,511.933,511.933,338.969,338.282,185.563,112.155,27.331,9.697,4.055,0.166
10,12.833,787.367,787.367,510.139,495.238,271.661,164.193,53.906,14.197,5.936,0.242
11,15.789,889.933,889.933,757.631,646.388,354.595,214.319,162.117,18.531,7.748,0.316
12,18.744,1057.033,1057.033,1089.870,794.485,436.031,263.539,357.590,22.787,9.527,0.389
13,21.700,1136.233,1136.233,1350.736,946.482,520.064,314.329,477.330,27.178,11.363,0.464
14,24.656,1307.733,1307.733,1573.842,1102.648,606.853,366.785,554.680,31.714,13.260,0.541
15,27.612,1617.333,1617.333,1609.818,998.819,550.749,332.876,684.878,28.782,12.034,0.491
16,30.567,1901.467,1901.467,1830.947,895.110,494.781,299.071,999.979,25.857,10.811,0.441
17,33.523,2246.700,2246.700,2114.052,791.404,439.241,265.872,1375.999,22.948,9.595,0.392
18,36.480,2136.567,2136.567,2227.355,687.698,386.969,239.463,1572.140,20.053,8.382,0.342
19,39.436,1941.233,1941.233,2152.790,583.992,392.564,296.423,1439.056,17.283,7.164,0.292
20,42.392,1705.100,1705.100,1864.808,480.287,660.036,575.710,607.250,15.598,5.958,0.242
21,45.348,1452.200,1452.200,1448.098,376.581,734.348,533.944,160.547,14.261,4.795,0.191
22,48.305,1564.967,1564.967,1500.393,661.046,857.261,519.725,90.023,24.458,8.577,0.336
23,51.261,1838.267,1838.267,1684.992,945.511,991.055,560.449,84.594,35.670,12.729,0.483
24,54.218,2075.633,2075.633,1959.177,1229.976,1155.753,642.992,94.551,47.638,17.598,0.630
25,57.175,2473.700,2473.700,2456.412,1514.441,1485.097,777.005,111.035,59.060,23.418,0.778
26,60.131,3354.533,3354.533,3636.405,1798.906,2392.548,1008.658,134.236,69.492,30.522,0.928
27,63.088,5591.267,5591.267,6163.063,2083.371,4513.135,1364.169,163.031,80.567,41.053,1.083
28,66.045,9884.033,9884.033,10056.700,2367.836,7966.078,1739.782,188.679,96.936,63.943,1.253
29,69.002,14243.267,14243.267,13221.710,2113.604,11073.058,1747.670,175.106,110.050,114.642,1.157
30,71.960,15610.067,15610.067,14058.283,1859.371,12014.809,1521.836,152.436,142.048,226.056,1.071
31,74.917,12897.600,12897.600,12206.212,1605.138,10278.868,1231.714,130.690,182.606,381.328,0.982
32,77.874,8613.533,8613.533,9358.171,1350.906,7532.742,1018.197,113.682,203.198,489.456,0.876
33,80.832,6428.367,6428.367,7078.967,1096.673,5471.585,861.522,99.065,185.335,460.686,0.757
34,83.789,5673.033,5673.033,5447.127,842.441,4201.189,701.907,84.361,143.625,315.392,0.638
35,86.747,4427.500,4427.500,3908.219,588.208,3044.086,532.415,68.777,104.906,157.487,0.536
36,89.705,2760.167,2760.167,2677.981,610.237,1961.616,496.860,70.884,88.290,59.667,0.651
37,92.662,1706.833,1706.833,1789.970,632.266,1137.116,483.181,72.742,76.637,19.513,0.769
38,95.620,1231.667,1231.667,1352.189,654.294,718.847,484.576,74.344,65.249,8.298,0.863
39,98.578,1182.733,1182.733,1217.007,676.323,586.065,492.460,75.831,55.628,6.086,0.924
40,101.536,1238.467,1238.467,1216.285,698.352,580.555,502.144,77.367,49.527,5.719,0.959
41,104.495,1318.867,1318.867,1261.361,720.381,617.331,512.069,78.978,46.252,5.736,0.982
42,107.453,1303.000,1303.000,1311.298,742.410,657.241,522.052,80.566,44.277,6.150,0.999
43,110.411,1577.433,1577.433,1483.488,909.083,735.730,598.301,91.958,48.231,8.132,1.120
44,113.370,1565.533,1565.533,1620.960,1075.756,776.645,675.216,103.342,52.659,11.841,1.241
45,116.328,1742.033,1742.033,1735.087,1242.429,790.112,752.631,114.830,57.706,18.425,1.363
46,119.287,1815.233,1815.233,1850.561,1409.103,800.890,830.106,126.483,63.311,28.263,1.486
47,122.246,1986.300,1986.300,1983.709,1575.776,827.921,907.169,138.260,69.224,39.502,1.609
48,125.204,2135.500,2135.500,2133.347,1742.449,874.890,983.502,150.040,75.229,47.933,1.730
49,128.163,2180.600,2180.600,2289.284,1909.122,936.006,1059.012,161.678,81.258,49.455,1.848
50,131.122,2168.867,2168.867,2137.671,1769.091,872.258,993.689,152.102,75.740,42.118,1.738
51,134.081,2040.300,2040.300,1985.131,1629.059,812.042,928.014,142.350,70.329,30.744,1.629
52,137.040,1892.333,1892.333,1835.049,1489.028,753.642,862.302,132.511,65.051,20.001,1.521
53,140.000,1684.800,1684.800,1689.576,1348.996,696.164,796.693,122.643,59.891,12.750,1.416
54,142.959,1573.433,1573.433,1548.354,1208.965,638.907,731.162,112.744,54.812,9.398,1.312
55,145.919,1482.833,1482.833,1410.209,1068.934,581.371,665.790,102.816,49.784,9.221,1.210
56,148.878,1279.867,1279.867,1274.734,928.902,523.402,600.921,92.923,44.792,11.573,1.107
57,151.838,1250.267,1250.267,1263.099,910.016,517.628,592.126,91.406,44.442,16.389,1.093
58,154.797,1204.933,1204.933,1253.380,891.130,511.748,584.149,90.031,44.113,22.243,1.081
59,157.757,1200.533,1200.533,1243.691,872.243,505.945,576.742,88.766,43.789,27.363,1.070
60,160.717,1174.533,1174.533,1232.100,853.357,500.511,569.724,87.558,43.465,29.764,1.063
61,163.677,1240.900,1240.900,1217.927,834.471,495.824,563.119,86.377,43.159,28.377,1.058
62,166.637,1156.700,1156.700,1202.111,815.585,492.149,557.017,85.224,42.895,23.758,1.055
63,169.597,1241.967,1241.967,1186.385,796.699,489.430,551.379,84.114,42.686,17.710,1.052
64,172.558,1311.167,1311.167,1219.715,825.471,508.030,567.668,86.307,44.343,12.271,1.083
65,175.518,1271.267,1271.267,1254.766,854.243,526.851,583.800,88.577,46.019,8.395,1.111
66,178.478,1252.533,1252.533,1291.350,883.015,545.911,599.448,90.933,47.699,6.210,1.134
67,181.439,1304.167,1304.167,1329.600,911.787,565.887,614.446,93.360,49.410,5.328,1.153
68,184.400,1327.200,1327.200,1370.337,940.560,587.985,628.753,95.814,51.227,5.374,1.169
69,187.360,1395.167,1395.167,1414.703,969.332,613.396,642.364,98.219,53.256,6.269,1.183
70,190.321,1334.100,1334.100,1463.381,998.104,642.506,655.299,100.508,55.585,8.270,1.196
71,193.282,1344.467,1344.467,1380.855,891.851,615.456,606.220,93.494,53.055,11.503,1.112
72,196.243,1378.633,1378.633,1300.446,785.598,588.743,556.801,86.358,50.724,16.779,1.028
73,199.204,1401.767,1401.767,1220.760,679.345,560.749,507.312,79.136,48.406,24.199,0.945
74,202.165,1374.600,1374.600,1144.675,573.092,534.785,457.970,71.860,46.065,33.120,0.863
75,205.126,1356.867,1356.867,1086.006,466.839,525.547,408.890,64.553,44.254,41.967,0.784
76,208.088,1300.733,1300.733,1078.094,360.585,566.746,360.088,57.232,44.781,48.530,0.707
77,211.049,1247.033,1247.033,1181.326,254.332,717.040,311.495,49.919,51.454,50.778,0.632
