ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI
0,-8.028,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.174,0.000,0.000,0.023,0.023,0.023,0.000
2,-2.319,0.000,0.000,0.075,0.075,0.074,0.000
3,0.536,0.000,0.000,0.271,0.271,0.270,0.002
4,3.392,0.000,0.000,0.525,0.525,0.521,0.004
5,6.249,80.700,80.700,0.788,0.788,0.783,0.005
6,9.106,522.100,522.100,0.446,0.441,0.444,0.003
7,11.964,1719.433,1719.433,1.383,0.349,1.381,0.002
8,14.823,3240.533,3240.533,2655.468,2611.910,2638.031,17.436
9,17.683,5607.933,5607.933,5727.686,5223.477,5692.815,34.871
10,20.543,8867.366,8867.366,10030.706,7835.084,9978.393,52.313
11,23.404,12943.933,12943.933,15415.752,10446.704,15345.960,69.793
12,26.266,21792.033,21792.033,21766.511,13058.333,21679.150,87.361
13,29.129,55207.233,55207.233,44337.319,15669.967,44232.233,105.086
14,31.992,149757.733,149757.733,134534.318,18281.601,134410.733,123.585
15,34.856,291123.333,291123.333,285769.575,16129.092,285656.870,112.704
16,37.721,342379.466,342379.466,347338.227,13976.584,347232.292,105.935
17,40.587,262071.699,262071.699,259536.704,11824.075,259436.604,100.101
18,43.453,149481.566,149481.566,152222.935,9671.566,152133.265,89.671
19,46.320,85705.233,85705.233,82257.738,7519.058,82183.985,73.753
20,49.188,39867.099,39867.099,36362.032,5366.549,36307.742,54.290
21,52.056,15083.199,15083.199,13778.550,3214.041,13745.596,32.954
22,54.925,9491.966,9491.966,9280.878,4329.927,9236.188,44.690
23,57.795,8583.266,8583.266,9047.361,5445.816,8990.483,56.879
24,60.666,8357.632,8357.632,9079.829,6561.708,9008.978,70.851
25,63.537,8486.699,8486.699,9022.419,7677.601,8933.290,89.130
26,66.409,8829.532,8829.532,9303.993,8793.492,9189.699,114.294
27,69.282,9855.266,9855.266,10069.022,9909.379,9921.825,147.197
28,72.155,10617.032,10617.032,11117.782,11025.265,10928.983,188.799
29,75.030,12177.266,12177.266,11720.269,11588.414,11475.880,244.389
30,77.904,14239.065,14239.065,12426.113,12151.564,12057.653,368.460
31,80.780,17582.599,17582.599,13419.412,12714.716,12719.918,699.495
32,83.656,21729.532,21729.532,15061.900,13277.869,13595.533,1466.367
33,86.533,25118.366,25118.366,17631.510,13841.020,14869.599,2761.911
34,89.411,25411.032,25411.032,20790.468,14404.164,16629.497,4160.970
35,92.289,23124.499,23124.499,23500.736,14967.301,18706.223,4794.514
36,95.168,20213.166,20213.166,22218.173,12829.107,18067.619,4150.554
37,98.048,17956.832,17956.832,19910.891,10690.915,17211.674,2699.218
38,100.928,16811.666,16811.666,17796.427,8552.728,16476.716,1319.712
39,103.810,16187.733,16187.733,17587.210,6414.545,17099.391,487.819
40,106.691,17192.466,17192.466,21846.093,4276.363,21707.474,138.618
41,109.574,20908.866,20908.866,34113.076,2138.181,34080.942,32.134
42,112.457,33180.999,33180.999,56489.267,0.000,56481.910,7.358
43,115.341,61256.432,61256.432,89399.307,2369.506,89393.957,5.350
44,118.226,104552.532,104552.532,116300.289,4739.012,116293.437,6.852
45,121.111,147743.032,147743.032,123900.356,7108.518,123891.352,9.005
46,123.997,162536.232,162536.232,108705.520,9478.024,108694.057,11.462
47,126.884,135315.299,135315.299,80375.247,11847.530,80361.108,14.140
48,129.771,85240.499,85240.499,53217.662,14217.036,53200.760,16.902
49,132.659,45216.599,45216.599,35726.932,16586.542,35707.304,19.628
50,135.548,25130.866,25130.866,25003.814,15821.883,24984.584,19.230
51,138.437,16949.299,16949.299,20437.195,15057.224,20418.442,18.753
52,141.327,15415.332,15415.332,18593.959,14292.564,18575.720,18.239
53,144.218,15104.799,15104.799,17682.016,13527.905,17664.316,17.700
54,147.109,15814.432,15814.432,17079.148,12763.246,17062.011,17.137
55,150.001,16336.832,16336.832,16657.013,11998.587,16640.463,16.550
56,152.894,17755.866,17755.866,16406.417,11233.927,16390.479,15.938
57,155.787,17665.266,17665.266,17240.019,11428.225,17223.787,16.232
58,158.681,19166.932,19166.932,18068.397,11622.522,18051.906,16.491
59,161.576,18860.532,18860.532,18711.489,11816.819,18694.782,16.707
60,164.471,19295.532,19295.532,19030.778,12011.117,19013.898,16.880
61,167.367,19974.899,19974.899,19009.711,12205.414,18992.689,17.021
62,170.264,19587.699,19587.699,18757.788,12399.711,18740.630,17.158
63,173.161,18633.966,18633.966,18438.455,12594.008,18421.131,17.324
64,176.059,17070.166,17070.166,17312.781,11918.484,17296.101,16.680
65,178.958,15558.266,15558.266,16306.082,11242.959,16290.022,16.060
66,181.857,14519.532,14519.532,15408.086,10567.435,15392.645,15.441
67,184.757,13836.166,13836.166,14577.628,9891.910,14562.773,14.855
68,187.658,13018.199,13018.199,13774.739,9216.386,13760.247,14.492
69,190.559,12977.166,12977.166,12977.652,8540.861,12962.850,14.802
70,193.461,12704.099,12704.099,12184.825,7865.337,12168.247,16.578
71,196.363,12690.466,12690.466,12429.460,8211.839,12407.530,21.929
72,199.266,12888.632,12888.632,12702.857,8558.342,12671.861,30.996
73,202.170,13036.766,13036.766,13012.072,8904.845,12967.726,44.346
74,205.074,13487.599,13487.599,13354.609,9251.348,13293.430,61.179
75,207.980,13597.866,13597.866,13721.634,9597.851,13642.783,78.851
76,210.885,13781.732,13781.732,14107.813,9944.354,14014.541,93.272
77,213.792,14447.032,14447.032,14526.651,10290.857,14426.303,100.348
78,216.699,14196.132,14196.132,14230.583,9839.914,14133.364,97.219
79,219.606,14634.366,14634.366,14116.405,9388.972,14031.140,85.265
80,222.514,14674.966,14674.966,14330.472,8938.029,14262.684,67.788
81,225.423,14920.632,14920.632,15034.596,8487.087,14985.474,49.122
