ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
0,-20.654,0.000,0.000,0.000,0.000,0.000,0.000
1,-17.859,0.000,0.000,0.130,0.130,0.129,0.002
2,-15.063,0.000,0.000,0.261,0.261,0.258,0.003
3,-12.265,0.000,0.000,0.391,0.391,0.386,0.005
4,-9.465,0.000,0.000,0.521,0.521,0.515,0.006
5,-6.664,0.922,0.922,0.669,0.669,0.661,0.008
6,-3.862,29.306,29.306,3.887,3.887,3.841,0.047
7,-1.058,217.612,217.612,72.881,72.881,72.008,0.873
8,1.747,803.799,803.799,1258.784,1258.784,1243.704,15.080
9,4.554,1525.021,1525.021,2338.954,2338.954,2310.934,28.020
10,7.363,3393.390,3393.390,3322.567,3322.567,3282.764,39.803
11,10.173,4703.764,4703.764,4315.345,4315.345,4263.649,51.696
12,12.984,6059.486,6059.486,5290.580,5290.580,5227.202,63.379
13,15.797,6695.524,6695.524,6288.133,6288.133,6212.804,75.329
14,18.612,7257.018,7257.018,7276.935,7276.935,7189.761,87.174
15,21.428,7302.018,7302.018,7276.199,7276.199,7189.033,87.165
16,24.245,7075.478,7075.478,7286.220,7286.220,7198.934,87.285
17,27.064,7034.049,7034.049,7280.860,7280.860,7193.639,87.221
18,29.884,7002.704,7002.704,7273.031,7273.031,7185.903,87.127
19,32.706,7454.589,7454.589,7274.785,7274.785,7187.637,87.148
20,35.529,7508.051,7508.051,7278.614,7278.614,7191.420,87.194
21,38.354,7510.314,7510.314,7279.954,7279.954,7192.743,87.210
22,41.180,7587.041,7587.041,7432.912,7432.912,7343.870,89.043
23,44.007,7585.612,7585.612,7584.082,7584.082,7493.229,90.854
24,46.836,7493.074,7493.074,7739.008,7739.008,7646.298,92.710
25,49.667,7518.761,7518.761,7895.254,7895.254,7800.672,94.581
26,52.498,7448.103,7448.103,8052.991,8052.991,7956.520,96.471
27,55.331,7710.942,7710.942,8212.287,8212.278,8113.907,98.379
28,58.166,8355.510,8355.510,8371.814,8371.716,8271.522,100.292
29,61.002,8435.658,8435.658,8257.480,8256.647,8158.548,98.932
30,63.839,8566.544,8566.544,8146.447,8141.015,8048.785,97.663
31,66.678,8557.351,8557.351,8050.235,8022.881,7953.435,96.801
32,69.518,8823.850,8823.850,8005.774,7898.878,7908.452,97.322
33,72.359,8825.124,8825.124,8088.881,7761.968,7987.658,101.223
34,75.202,9006.049,9006.049,8394.108,7602.732,8283.137,110.971
35,78.046,8896.315,8896.315,8957.662,7416.917,8830.236,127.426
36,80.892,9195.084,9195.084,9492.880,7025.933,9347.321,145.559
37,83.739,9192.548,9192.548,9988.477,6640.376,9826.285,162.192
38,86.587,9395.399,9395.399,10277.818,6277.864,10104.850,172.968
39,89.437,9756.975,9756.975,10323.966,5941.086,10146.804,177.163
40,92.287,9744.475,9744.475,10191.198,5622.013,10014.431,176.768
41,95.140,9805.935,9805.935,9962.338,5311.486,9788.154,174.184
42,97.993,10223.890,10223.890,9692.119,5003.992,9521.185,170.935
43,100.848,10388.622,10388.622,10032.835,5324.940,9857.854,174.981
44,103.704,10617.085,10617.085,10364.263,5646.051,10185.444,178.819
45,106.562,10724.351,10724.351,10686.927,5967.186,10504.613,182.314
46,109.421,11229.391,11229.391,11000.526,6288.325,10814.991,185.534
47,112.281,11352.577,11352.577,11306.742,6609.463,11118.004,188.737
48,115.142,11560.806,11560.806,11608.246,6930.602,11416.075,192.171
49,118.005,11552.805,11552.805,11906.281,7251.741,11710.342,195.939
50,120.869,12053.610,12053.610,11947.417,7319.296,11750.382,197.035
51,123.734,11907.032,11907.032,11987.129,7386.852,11788.827,198.302
52,126.600,12297.494,12297.494,12030.139,7454.407,11830.555,199.584
53,129.468,11764.651,11764.651,12081.572,7521.963,11880.841,200.731
54,132.337,12113.802,12113.802,12143.820,7589.518,11942.176,201.644
55,135.207,12295.920,12295.920,12215.827,7657.074,12013.510,202.318
56,138.079,12255.730,12255.730,12294.711,7724.629,12091.833,202.879
57,140.952,12733.459,12733.459,12448.467,7863.215,12244.086,204.381
58,143.826,12328.728,12328.728,12603.471,8001.801,12397.206,206.265
59,146.701,12736.348,12736.348,12758.033,8140.387,12549.314,208.718
60,149.577,13085.963,13085.963,12912.353,8278.973,12700.580,211.773
61,152.455,12932.576,12932.576,13068.810,8417.560,12853.546,215.263
62,155.334,13335.153,13335.153,13230.440,8556.146,13011.593,218.847
63,158.214,13678.962,13678.962,13398.545,8694.732,13176.436,222.109
64,161.095,13684.307,13684.307,13782.443,9044.241,13555.344,227.099
65,163.978,14007.960,14007.960,14167.962,9393.751,13936.699,231.263
66,166.861,14563.688,14563.688,14553.228,9743.261,14318.550,234.678
67,169.746,14770.041,14770.041,14940.212,10092.770,14702.632,237.580
68,172.632,14766.848,14766.848,15334.394,10442.280,15094.138,240.256
69,175.520,16028.656,16028.656,15741.462,10791.790,15498.529,242.933
70,178.408,16398.156,16398.156,16163.266,11141.299,15917.535,245.732
71,181.298,17522.391,17522.391,17354.261,12249.321,17097.134,257.127
72,184.188,18526.118,18526.118,18547.063,13357.342,18278.485,268.578
73,187.080,19510.277,19510.277,19731.413,14465.363,19451.384,280.029
74,189.973,20920.508,20920.508,20899.480,15573.384,20608.031,291.449
75,192.868,21951.357,21951.357,22048.240,16681.406,21745.407,302.833
76,195.763,22946.202,22946.202,23179.573,17789.427,22865.375,314.198
77,198.659,23743.202,23743.202,24298.433,18897.448,23972.877,325.556
78,201.557,24214.510,24214.510,24290.824,18886.035,23966.216,324.608
79,204.456,24759.087,24759.087,24280.038,18874.622,23956.357,323.681
80,207.356,24966.126,24966.126,24267.574,18863.209,23944.825,322.748
81,210.257,24702.432,24702.432,24253.062,18851.796,23931.274,321.788
82,213.159,24921.816,24921.816,24235.382,18840.383,23914.587,320.795
83,216.062,24058.740,24058.740,24213.642,18828.970,23893.860,319.782
84,218.966,23638.082,23638.082,24187.674,18817.557,23868.898,318.776
85,221.872,23169.390,23169.390,23386.880,18034.881,23077.413,309.467
86,224.778,22569.048,22569.048,22584.042,17252.205,22283.772,300.270
87,227.686,21603.009,21603.009,21781.492,16469.529,21490.272,291.220
88,230.595,20828.674,20828.674,20982.098,15686.853,20699.750,282.348
89,233.505,20490.946,20490.946,20188.579,14904.177,19914.904,273.674
90,236.415,19352.366,19352.366,19402.522,14121.501,19137.323,265.199
91,239.327,18661.100,18661.100,18623.538,13338.826,18366.648,256.890
