ch,keV,net,fit,model,continuum_raw,Am-241,continuum
0,-14.711,0.000,0.000,0.000,0.000,0.000,0.000
1,-11.724,0.000,0.000,0.000,0.000,0.000,0.000
2,-8.737,0.000,0.000,0.001,0.000,0.001,0.000
3,-5.749,0.000,0.000,1.373,0.000,1.373,0.000
4,-2.762,0.000,0.000,155.395,0.000,155.395,0.000
5,0.225,9.119,9.119,983.808,0.000,983.808,0.000
6,3.212,319.616,319.616,1613.101,0.000,1613.101,0.000
7,6.199,2286.232,2286.232,1862.507,0.000,1862.507,0.000
8,9.186,8147.301,8147.301,5333.608,0.000,5333.608,0.000
9,12.173,23941.949,23941.949,23608.157,0.000,23608.157,0.000
10,15.160,58497.816,58497.816,63109.933,0.000,63109.933,0.000
11,18.148,82965.953,82965.953,99424.384,0.000,99424.384,0.000
12,21.135,92234.192,92234.192,108691.468,0.000,108691.468,0.000
13,24.122,67129.223,67129.223,76810.833,0.000,76810.833,0.000
14,27.109,41770.726,41770.726,31741.854,0.000,31741.854,0.000
15,30.096,15124.726,15124.726,13316.499,5667.191,13316.499,0.000
16,33.083,8273.468,8273.468,13935.229,11334.382,13935.229,0.000
17,36.070,12232.034,12232.034,20140.074,17001.573,20140.074,0.000
18,39.057,22242.568,22242.568,28000.667,22668.763,28000.667,0.000
19,42.045,42073.292,42073.292,40906.883,28335.954,40906.883,0.000
20,45.032,85203.669,85203.669,75032.391,34003.145,75032.391,0.000
21,48.019,202688.983,202688.983,172149.623,39670.336,172149.623,0.000
22,51.006,424918.310,424918.310,363695.462,34011.396,363695.462,0.000
23,53.993,615229.875,615229.875,598325.648,28352.457,598325.648,0.000
24,56.980,621241.253,621241.253,679813.178,22693.517,679813.178,0.000
25,59.967,522249.913,522249.913,512819.079,17034.577,512819.079,0.000
26,62.954,313122.925,313122.925,253591.953,11375.638,253591.953,0.000
27,65.941,115903.893,115903.893,81824.087,5716.698,81824.087,0.000
28,68.929,19923.006,19923.006,15368.398,57.758,15368.398,0.000
29,71.916,1830.043,1830.043,2065.892,99.734,2065.892,0.000
30,74.903,304.767,304.767,302.605,141.709,302.605,0.000
31,77.890,245.609,245.609,192.069,183.685,192.069,0.000
32,80.877,218.383,218.383,225.939,225.660,225.939,0.000
33,83.864,204.874,204.874,267.642,267.636,267.642,0.000
34,86.851,281.446,281.446,309.612,309.612,309.612,0.000
35,89.838,260.213,260.213,351.587,351.587,351.587,0.000
36,92.826,401.025,401.025,359.350,359.350,359.350,0.000
37,95.813,495.037,495.037,367.113,367.113,367.113,0.000
38,98.800,668.182,668.182,374.876,374.876,374.876,0.000
39,101.787,740.836,740.836,382.639,382.639,0.000,382.639
40,104.774,655.428,655.428,390.402,390.402,0.000,390.402
41,107.761,532.170,532.170,398.165,398.165,0.000,398.165
42,110.748,308.050,308.050,405.928,405.928,0.000,405.928
43,113.735,178.647,178.647,368.505,368.505,0.000,368.505
