ch,keV,net,fit,model,continuum_raw,Y-88
0,-11.936,0.000,0.000,0.000,0.000,0.000
1,-9.095,0.000,0.000,0.000,0.000,0.000
2,-6.253,0.000,0.000,0.000,0.000,0.000
3,-3.410,0.000,0.000,0.000,0.000,0.000
4,-0.566,0.000,0.000,0.000,0.000,0.000
5,2.279,0.000,-3.333,0.000,0.000,0.000
6,5.125,0.000,-0.600,0.000,0.000,0.000
7,7.971,0.000,-21.267,0.000,0.000,0.000
8,10.819,0.000,-13.200,0.000,0.000,0.000
9,13.667,0.000,-21.933,0.000,0.000,0.000
10,16.516,0.000,-17.000,0.000,0.000,0.000
11,19.366,0.000,-19.133,0.000,0.000,0.000
12,22.217,42.800,42.800,0.000,0.000,0.000
13,25.069,8.867,8.867,0.000,0.000,0.000
14,27.921,10.000,10.000,0.000,0.000,0.000
15,30.774,0.000,-1.600,0.000,0.000,0.000
16,33.628,0.000,-14.067,0.000,0.000,0.000
17,36.483,0.000,-21.200,0.000,0.000,0.000
18,39.339,0.000,-35.467,0.000,0.000,0.000
19,42.196,0.000,-15.200,0.000,0.000,0.000
20,45.053,0.000,-41.133,0.000,0.000,0.000
21,47.912,0.000,-26.267,0.000,0.000,0.000
22,50.771,5.467,5.467,0.000,0.000,0.000
23,53.631,6.867,6.867,0.000,0.000,0.000
24,56.491,0.000,-35.933,0.000,0.000,0.000
25,59.353,0.000,-52.800,0.000,0.000,0.000
26,62.215,0.000,-126.066,0.000,0.000,0.000
27,65.079,0.000,-57.533,0.000,0.000,0.000
28,67.943,0.000,-35.533,0.000,0.000,0.000
29,70.807,0.000,-130.133,0.003,0.000,0.003
30,73.673,0.000,-113.933,0.019,0.000,0.019
31,76.540,0.000,-126.600,0.095,0.000,0.095
32,79.407,0.000,-89.466,0.349,0.000,0.349
33,82.275,0.000,-111.400,0.981,0.000,0.981
34,85.144,0.000,-123.266,2.133,0.000,2.133
35,88.013,0.000,-46.333,3.662,0.000,3.662
36,90.884,0.000,-45.400,5.116,0.000,5.116
37,93.755,0.000,-72.600,6.049,0.000,6.049
38,96.627,0.000,-85.333,6.359,0.000,6.359
39,99.500,0.000,-62.666,6.287,0.000,6.287
40,102.374,0.000,-23.133,6.180,0.000,6.180
41,105.248,0.000,-80.733,6.301,0.000,6.301
42,108.123,0.000,-102.066,6.733,0.000,6.733
43,110.999,0.000,-132.533,7.352,0.000,7.352
44,113.876,9.067,9.067,7.912,0.000,7.912
45,116.754,0.000,-37.333,8.217,0.000,8.217
46,119.632,0.000,-29.133,8.232,0.000,8.232
47,122.511,0.000,-61.733,8.045,0.000,8.045
48,125.391,0.000,-81.266,7.775,0.000,7.775
49,128.272,0.000,-38.933,7.525,0.000,7.525
50,131.153,0.000,-40.866,7.381,0.000,7.381
51,134.035,0.000,-49.733,7.376,0.000,7.376
52,136.918,0.000,-40.400,7.469,0.000,7.469
53,139.802,0.000,-39.533,7.567,0.000,7.567
54,142.687,33.534,33.534,7.594,0.000,7.594
55,145.572,12.600,12.600,7.544,0.000,7.544
56,148.458,30.467,30.467,7.459,0.000,7.459
57,151.345,0.000,-25.200,7.394,0.000,7.394
58,154.232,0.000,-8.466,7.375,0.000,7.375
59,157.121,0.000,-1.133,7.396,0.000,7.396
60,160.010,0.000,-6.267,7.428,0.000,7.428
61,162.900,73.667,73.667,7.436,0.000,7.436
62,165.790,0.000,-51.000,7.401,0.000,7.401
63,168.682,0.000,-34.200,7.329,0.000,7.329
64,171.574,52.400,52.400,8.858,1.615,8.858
65,174.466,28.333,28.333,10.390,3.230,10.390
66,177.360,47.200,47.200,11.933,4.845,11.933
67,180.254,0.000,-1.533,13.491,6.460,13.491
68,183.149,4.467,4.467,15.078,8.075,15.078
69,186.045,43.267,43.267,16.726,9.690,16.726
70,188.942,13.133,13.133,18.454,11.306,18.454
71,191.839,0.000,-12.933,17.999,10.663,17.999
72,194.737,37.000,37.000,17.581,10.021,17.581
73,197.636,0.000,-10.000,17.148,9.378,17.148
74,200.535,2.867,2.867,16.664,8.736,16.664
75,203.435,55.133,55.133,16.118,8.094,16.118
76,206.336,22.467,22.467,15.524,7.451,15.524
77,209.238,0.000,-8.533,14.905,6.809,14.905
78,212.140,18.867,18.867,18.520,10.405,18.520
79,215.043,52.200,52.200,22.142,14.001,22.142
80,217.947,11.267,11.267,25.783,17.598,25.783
81,220.852,25.533,25.533,29.453,21.194,29.453
82,223.757,17.400,17.400,33.159,24.790,33.159
83,226.663,67.200,67.200,36.893,28.387,36.893
84,229.570,0.000,-10.467,40.637,31.983,40.637
85,232.477,8.600,8.600,38.771,29.989,38.771
86,235.385,72.600,72.600,36.863,27.994,36.863
87,238.294,44.533,44.533,34.901,26.000,34.901
88,241.203,95.267,95.267,32.888,24.006,32.888
89,244.114,52.133,52.133,30.834,22.011,30.834
90,247.025,36.800,36.800,28.754,20.017,28.754
91,249.936,0.000,-32.467,26.662,18.023,26.662
92,252.848,24.000,24.000,25.041,16.501,25.041
93,255.761,45.200,45.200,23.422,14.979,23.422
94,258.675,18.667,18.667,21.809,13.458,21.809
95,261.589,0.000,-7.667,20.201,11.936,20.201
96,264.505,25.733,25.733,18.599,10.415,18.599
97,267.420,58.667,58.667,17.006,8.893,17.006
98,270.337,28.133,28.133,15.425,7.371,15.425
99,273.254,0.000,-8.533,15.927,7.915,15.927
100,276.172,9.867,9.867,16.450,8.458,16.450
101,279.090,0.000,-12.067,16.993,9.002,16.993
102,282.009,34.533,34.533,17.556,9.546,17.556
103,284.929,17.600,17.600,18.134,10.089,18.134
104,287.850,26.933,26.933,18.724,10.633,18.724
105,290.771,11.000,11.000,19.325,11.176,19.325
106,293.693,0.000,-1.800,19.936,11.720,19.936
107,296.615,56.467,56.467,21.144,12.853,21.144
108,299.538,36.400,36.400,22.357,13.986,22.357
109,302.462,25.667,25.667,23.564,15.119,23.564
110,305.387,0.800,0.800,24.757,16.252,24.757
111,308.312,30.467,30.467,25.927,17.385,25.927
112,311.238,35.867,35.867,27.067,18.518,27.067
113,314.164,31.400,31.400,28.178,19.651,28.178
114,317.092,4.133,4.133,29.265,20.784,29.265
115,320.019,49.067,49.067,26.602,18.186,26.602
116,322.948,3.067,3.067,23.928,15.588,23.928
117,325.877,55.467,55.467,21.248,12.990,21.248
118,328.807,21.933,21.933,18.570,10.392,18.570
119,331.737,0.000,-0.933,15.900,7.794,15.900
120,334.668,22.800,22.800,13.241,5.196,13.241
121,337.600,9.267,9.267,10.598,2.598,10.598
122,340.532,24.333,24.333,7.973,0.000,7.973
123,343.465,4.800,4.800,10.680,2.714,10.680
124,346.399,11.200,11.200,13.406,5.428,13.406
125,349.333,3.600,3.600,16.149,8.143,16.149
126,352.268,29.867,29.867,18.908,10.857,18.908
127,355.204,6.333,6.333,21.679,13.571,21.679
128,358.140,4.800,4.800,24.456,16.285,24.456
129,361.077,15.000,15.000,27.233,18.999,27.233
130,364.014,41.733,41.733,30.005,21.713,30.005
131,366.952,65.867,65.867,32.766,24.428,32.766
132,369.891,51.933,51.933,32.610,24.238,32.610
133,372.830,27.733,27.733,32.443,24.049,32.443
134,375.770,10.867,10.867,32.268,23.860,32.268
135,378.711,41.733,41.733,32.091,23.670,32.091
136,381.652,26.333,26.333,31.916,23.481,31.916
137,384.594,28.400,28.400,31.747,23.292,31.747
138,387.536,7.000,7.000,31.581,23.103,31.581
139,390.479,28.000,28.000,31.416,22.913,31.416
140,393.423,34.933,34.933,31.246,22.724,31.246
141,396.367,19.333,19.333,31.267,22.733,31.267
142,399.312,38.600,38.600,31.279,22.743,31.279
143,402.257,17.200,17.200,31.282,22.753,31.282
144,405.203,72.800,72.800,31.279,22.762,31.279
145,408.150,54.933,54.933,31.271,22.772,31.271
146,411.097,40.467,40.467,31.258,22.781,31.258
147,414.045,46.333,46.333,31.238,22.791,31.238
148,416.993,41.333,41.333,31.208,22.800,31.208
149,419.942,23.867,23.867,31.162,22.810,31.162
150,422.892,25.067,25.067,31.099,22.819,31.099
151,425.842,20.467,20.467,29.459,21.270,29.459
152,428.793,21.533,21.533,27.807,19.721,27.807
153,431.744,9.800,9.800,26.147,18.172,26.147
154,434.696,27.133,27.133,24.488,16.623,24.488
155,437.649,11.133,11.133,22.840,15.074,22.840
156,440.602,13.667,13.667,21.210,13.525,21.210
