ch,keV,net,fit,model,continuum_raw,Cs-137,continuum
166,58.063,2093.465,2093.465,2128.994,2128.994,2128.994,0.000
167,58.439,2106.689,2106.689,2155.936,2155.936,2155.936,0.000
168,58.816,2151.997,2151.997,2182.877,2182.877,2182.877,0.000
169,59.192,2333.903,2333.903,2209.819,2209.819,2209.819,0.000
170,59.569,2236.744,2236.744,2236.761,2236.761,2236.761,0.000
171,59.945,2172.888,2172.888,2263.703,2263.703,2263.703,0.000
172,60.322,2284.848,2284.848,2290.645,2290.645,2290.645,0.000
173,60.698,2397.719,2397.719,2317.587,2317.587,2317.587,0.000
174,61.074,2445.894,2445.894,2344.529,2344.529,2344.529,0.000
175,61.451,2476.056,2476.056,2371.471,2371.471,2371.471,0.000
176,61.827,2424.151,2424.151,2398.413,2398.413,2398.413,0.000
177,62.203,2554.174,2554.174,2425.355,2425.355,2425.355,0.000
178,62.579,2604.498,2604.498,2452.297,2452.297,2452.297,0.000
179,62.956,2485.006,2485.006,2479.239,2479.239,2479.239,0.000
180,63.332,2494.792,2494.792,2506.181,2506.181,2506.181,0.000
181,63.708,2621.849,2621.849,2533.123,2533.123,2533.123,0.000
182,64.084,2629.804,2629.804,2560.065,2560.065,2560.065,0.000
183,64.460,2740.494,2740.494,2587.007,2587.007,2587.007,0.000
184,64.836,2641.333,2641.333,2613.949,2613.949,2613.949,0.000
185,65.212,2731.252,2731.252,2640.891,2640.891,2640.891,0.000
186,65.588,2580.327,2580.327,2667.833,2667.833,2667.833,0.000
187,65.964,2510.832,2510.832,2694.775,2694.775,2694.775,0.000
188,66.339,2470.457,2470.457,2721.717,2721.717,2721.717,0.000
189,66.715,2638.104,2638.104,2748.659,2748.659,2748.659,0.000
190,67.091,2882.221,2882.221,2771.489,2771.489,2771.489,0.000
191,67.467,2656.211,2656.211,2794.318,2794.318,2794.318,0.000
192,67.842,2730.784,2730.784,2817.148,2817.148,2817.148,0.000
193,68.218,2716.966,2716.966,2839.977,2839.977,2839.977,0.000
194,68.594,2820.770,2820.770,2862.807,2862.807,2862.807,0.000
195,68.969,2882.454,2882.454,2885.637,2885.637,2885.637,0.000
196,69.345,2887.135,2887.135,2908.466,2908.466,2908.466,0.000
197,69.720,2962.563,2962.563,2931.296,2931.296,2931.296,0.000
198,70.096,2931.398,2931.398,2954.125,2954.125,2954.125,0.000
199,70.471,2990.803,2990.803,2976.955,2976.955,2976.955,0.000
200,70.847,3011.126,3011.126,2999.785,2999.785,2999.785,0.000
201,71.222,2894.829,2894.829,3022.614,3022.614,3022.614,0.000
202,71.597,3176.537,3176.537,3045.444,3045.444,3045.444,0.000
203,71.973,3124.815,3124.815,3068.273,3068.273,3068.273,0.000
204,72.348,3264.139,3264.139,3091.103,3091.103,3091.103,0.000
205,72.723,3220.499,3220.499,3113.933,3113.933,3113.933,0.000
206,73.098,3160.782,3160.782,3136.762,3136.762,3136.762,0.000
207,73.473,3371.086,3371.086,3159.592,3159.592,3159.592,0.000
208,73.849,3396.324,3396.324,3182.421,3182.421,3182.421,0.000
