ch,keV,net,fit,model,continuum_raw,Cs-137,continuum
406,147.487,4307.453,4307.453,4360.590,4275.927,4360.590,0.000
407,147.856,4399.084,4399.084,4352.840,4268.229,4352.840,0.000
408,148.225,4397.083,4397.083,4345.091,4260.531,4345.091,0.000
409,148.594,4305.738,4305.738,4337.342,4252.833,4337.342,0.000
410,148.963,4338.622,4338.622,4329.593,4245.135,4329.593,0.000
411,149.332,4312.979,4312.979,4321.846,4237.437,4321.846,0.000
412,149.701,4251.010,4251.010,4314.100,4229.740,4314.100,0.000
413,150.070,4225.194,4225.194,4306.356,4222.042,4306.356,0.000
414,150.439,4385.975,4385.975,4298.614,4214.344,4298.614,0.000
415,150.807,4433.759,4433.759,4290.875,4206.646,4290.875,0.000
416,151.176,4279.689,4279.689,4283.139,4198.948,4283.139,0.000
417,151.545,4227.037,4227.037,4275.406,4191.250,4275.406,0.000
418,151.914,4298.504,4298.504,4267.677,4183.553,4267.677,0.000
419,152.282,4251.079,4251.079,4259.951,4175.855,4259.951,0.000
420,152.651,4237.377,4237.377,4252.229,4168.157,4252.229,0.000
421,153.019,4471.662,4471.662,4244.512,4160.459,4244.512,0.000
422,153.388,4339.474,4339.474,4236.800,4152.761,4236.800,0.000
423,153.757,4326.914,4326.914,4229.091,4145.063,4229.091,0.000
424,154.125,4168.119,4168.119,4221.388,4137.366,4221.388,0.000
425,154.494,4259.404,4259.404,4213.689,4129.668,4213.689,0.000
426,154.862,4347.541,4347.541,4205.996,4121.970,4205.996,0.000
427,155.231,4333.560,4333.560,4198.307,4114.272,4198.307,0.000
428,155.599,4179.757,4179.757,4190.623,4106.574,4190.623,0.000
429,155.968,4286.303,4286.303,4182.943,4098.876,4182.943,0.000
430,156.336,4152.445,4152.445,4175.268,4091.178,4175.268,0.000
431,156.704,4266.339,4266.339,4167.597,4083.481,4167.597,0.000
432,157.073,4318.086,4318.086,4159.930,4075.783,4159.930,0.000
433,157.441,4266.157,4266.157,4152.267,4068.085,4152.267,0.000
434,157.809,4174.498,4174.498,4144.607,4060.387,4144.607,0.000
435,158.178,4284.421,4284.421,4136.949,4052.689,4136.949,0.000
436,158.546,4357.395,4357.395,4129.294,4044.991,4129.294,0.000
437,158.914,4159.323,4159.323,4121.641,4037.294,4121.641,0.000
438,159.282,4120.764,4120.764,4113.990,4029.596,4113.990,0.000
439,159.650,4079.057,4079.057,4106.339,4021.898,4106.339,0.000
440,160.019,4220.123,4220.123,4098.688,4014.200,4098.688,0.000
441,160.387,4242.277,4242.277,4091.038,4006.502,4091.038,0.000
442,160.755,4189.876,4189.876,4096.201,4011.620,4096.201,0.000
443,161.123,4022.811,4022.811,4101.364,4016.738,4101.364,0.000
444,161.491,4235.773,4235.773,4106.525,4021.855,4106.525,0.000
445,161.859,4270.867,4270.867,4111.683,4026.973,4111.683,0.000
446,162.227,4175.565,4175.565,4116.839,4032.091,4116.839,0.000
447,162.595,4186.414,4186.414,4121.991,4037.208,4121.991,0.000
448,162.963,4154.169,4154.169,4127.140,4042.326,4127.140,0.000
449,163.331,4225.274,4225.274,4132.286,4047.444,4132.286,0.000
450,163.699,4183.041,4183.041,4137.427,4052.562,4137.427,0.000
451,164.066,4086.176,4086.176,4142.565,4057.679,4142.565,0.000
452,164.434,4157.687,4157.687,4147.698,4062.797,4147.698,0.000
453,164.802,4120.898,4120.898,4152.828,4067.915,4152.828,0.000
454,165.170,4144.027,4144.027,4157.953,4073.032,4157.953,0.000
455,165.538,4176.724,4176.724,4163.075,4078.150,4163.075,0.000
456,165.905,4116.497,4116.497,4168.194,4083.268,4168.194,0.000
457,166.273,4194.449,4194.449,4173.310,4088.386,4173.310,0.000
458,166.641,3991.106,3991.106,4178.423,4093.503,4178.423,0.000
459,167.009,4263.279,4263.279,4183.534,4098.621,4183.534,0.000
460,167.376,4059.900,4059.900,4188.643,4103.739,4188.643,0.000
461,167.744,4179.695,4179.695,4193.751,4108.856,4193.751,0.000
462,168.111,4043.951,4043.951,4198.859,4113.974,4198.859,0.000
463,168.479,4108.052,4108.052,4203.967,4119.092,4203.967,0.000
464,168.847,4112.961,4112.961,4209.077,4124.209,4209.077,0.000
465,169.214,4295.447,4295.447,4214.187,4129.327,4214.187,0.000
466,169.582,4143.620,4143.620,4219.301,4134.445,4219.301,0.000
467,169.949,4234.283,4234.283,4224.417,4139.563,4224.417,0.000
468,170.317,4239.441,4239.441,4229.537,4144.680,4229.537,0.000
469,170.684,4159.042,4159.042,4234.662,4149.798,4234.662,0.000
470,171.051,4172.744,4172.744,4239.792,4154.916,4239.792,0.000
471,171.419,4128.895,4128.895,4244.929,4160.033,4244.929,0.000
472,171.786,4104.951,4104.951,4250.072,4165.151,4250.072,0.000
473,172.153,4041.653,4041.653,4255.222,4170.269,4255.222,0.000
474,172.521,4083.429,4083.429,4260.380,4175.386,4260.380,0.000
475,172.888,4057.339,4057.339,4265.548,4180.504,4265.548,0.000
476,173.255,4149.174,4149.174,4270.724,4185.622,4270.724,0.000
