ch,keV,net,fit,model,continuum_raw,Cs-137
0,-2.381,0.000,0.000,0.000,0.000,0.000
1,0.371,0.000,0.000,0.000,0.000,0.000
2,3.126,0.000,0.000,0.000,0.000,0.000
3,5.882,0.000,0.000,0.002,0.000,0.002
4,8.640,0.000,0.000,0.297,0.000,0.297
5,11.400,0.000,-1.087,13.480,0.000,13.480
6,14.162,8.064,8.064,157.393,0.000,157.393
7,16.925,64.854,64.854,629.565,0.000,629.565
8,19.690,362.130,362.130,1461.274,304.466,1461.274
9,22.458,973.948,973.948,1876.806,608.932,1876.806
10,25.227,3396.772,3396.772,2797.931,913.398,2797.931
11,27.997,8404.628,8404.628,5950.020,1217.864,5950.020
12,30.770,12409.818,12409.818,10365.262,1522.330,10365.262
13,33.544,11233.269,11233.269,11665.486,1826.796,11665.486
14,36.320,9981.939,9981.939,9138.134,2131.262,9138.134
15,39.098,6903.893,6903.893,5800.793,2139.399,5800.793
16,41.878,4308.925,4308.925,3970.657,2147.536,3970.657
17,44.659,3093.798,3093.798,3336.378,2155.672,3336.378
18,47.442,2790.277,2790.277,3133.968,2163.809,3133.968
19,50.227,2681.641,2681.641,2958.560,2171.946,2958.560
20,53.013,2466.877,2466.877,2704.695,2180.083,2704.695
21,55.802,2455.953,2455.953,2451.138,2188.220,2451.138
22,58.592,2615.570,2615.570,2409.103,2314.044,2409.103
23,61.383,2794.752,2794.752,2464.089,2439.867,2464.089
24,64.177,2775.897,2775.897,2569.944,2565.691,2569.944
25,66.972,2894.345,2894.345,2692.017,2691.514,2692.017
26,69.768,2722.675,2722.675,2817.380,2817.338,2817.380
27,72.567,2781.941,2781.941,2943.188,2943.161,2943.188
28,75.367,2888.583,2888.583,3069.152,3068.985,3069.152
29,78.168,2836.012,2836.012,3033.325,3032.422,3033.325
30,80.972,3024.478,3024.478,2999.825,2995.859,2999.825
31,83.777,3163.583,3163.583,2973.577,2959.297,2973.577
32,86.583,3180.132,3180.132,2965.125,2922.734,2965.125
33,89.391,3204.651,3204.651,2990.657,2886.172,2990.657
34,92.201,3115.352,3115.352,3065.671,2849.609,3065.671
35,95.013,3199.463,3199.463,3193.234,2813.046,3193.234
36,97.826,3163.545,3163.545,3311.811,2731.636,3311.811
37,100.640,3243.380,3243.380,3436.485,2650.225,3436.485
38,103.456,3449.985,3449.985,3540.314,2568.814,3540.314
39,106.274,3473.304,3473.304,3608.783,2487.404,3608.783
40,109.093,3612.978,3612.978,3636.787,2405.993,3636.787
41,111.914,3569.954,3569.954,3622.077,2324.582,3622.077
42,114.737,3681.981,3681.981,3564.249,2243.172,3564.249
43,117.561,3751.770,3751.770,3679.278,2373.543,3679.278
44,120.386,3751.242,3751.242,3765.098,2503.914,3765.098
45,123.213,3968.434,3968.434,3835.318,2634.285,3835.318
46,126.042,3924.255,3924.255,3905.116,2764.657,3905.116
47,128.872,4009.763,4009.763,3988.287,2895.028,3988.287
48,131.704,4141.441,4141.441,4093.520,3025.399,4093.520
49,134.537,4010.101,4010.101,4222.108,3155.770,4222.108
50,137.371,4225.147,4225.147,4229.340,3146.215,4229.340
51,140.207,4289.287,4289.287,4248.097,3136.659,4248.097
52,143.045,4221.769,4221.769,4272.074,3127.103,4272.074
53,145.884,4424.630,4424.630,4296.172,3117.547,4296.172
54,148.725,4454.575,4454.575,4315.816,3107.991,4315.816
55,151.566,4300.624,4300.624,4327.505,3098.436,4327.505
56,154.410,4251.522,4251.522,4330.940,3088.880,4330.940
57,157.255,4368.003,4368.003,4374.241,3123.077,4374.241
58,160.101,4375.769,4375.769,4420.989,3157.274,4420.989
59,162.949,4535.066,4535.066,4476.813,3191.471,4476.813
60,165.798,4456.203,4456.203,4541.239,3225.668,4541.239
61,168.649,4643.940,4643.940,4607.174,3259.865,4607.174
62,171.501,4513.761,4513.761,4664.994,3294.063,4664.994
63,174.354,4834.714,4834.714,4708.298,3328.260,4708.298
64,177.209,4842.452,4842.452,4893.732,3518.893,4893.732
65,180.065,5106.268,5106.268,5070.804,3709.525,5070.804
66,182.922,5202.318,5202.318,5247.344,3900.158,5247.344
67,185.781,5501.121,5501.121,5429.176,4090.791,5429.176
68,188.642,5803.684,5803.684,5618.354,4281.424,5618.354
69,191.503,5755.230,5755.230,5813.834,4472.057,5813.834
70,194.366,5878.302,5878.302,6013.411,4662.690,6013.411
71,197.231,5786.343,5786.343,5903.340,4541.233,5903.340
72,200.096,5835.521,5835.521,5795.159,4419.777,5795.159
73,202.963,5825.185,5825.185,5688.789,4298.320,5688.789
74,205.832,5649.956,5649.956,5583.491,4176.864,5583.491
75,208.701,5431.263,5431.263,5477.144,4055.407,5477.144
76,211.572,5404.400,5404.400,5366.546,3933.951,5366.546
77,214.445,5247.817,5247.817,5248.644,3812.494,5248.644
78,217.318,5143.721,5143.721,5152.458,3721.509,5152.458
79,220.193,4741.600,4741.600,5048.447,3630.524,5048.447
80,223.069,5022.880,5022.880,4939.635,3539.538,4939.635
81,225.947,4936.068,4936.068,4830.021,3448.553,4830.021
82,228.826,4722.605,4722.605,4723.329,3357.567,4723.329
83,231.706,4599.958,4599.958,4622.213,3266.582,4622.213
84,234.587,4570.807,4570.807,4528.077,3175.597,4528.077
85,237.469,4528.004,4528.004,4441.283,3084.611,4441.283
86,240.353,4392.348,4392.348,4396.430,3028.682,4396.430
87,243.238,4360.435,4360.435,4357.263,2972.752,4357.263
88,246.124,4237.828,4237.828,4321.834,2916.823,4321.834
89,249.012,4245.461,4245.461,4287.560,2860.894,4287.560
90,251.900,4131.841,4131.841,4251.580,2804.964,4251.580
91,254.790,4215.119,4215.119,4211.273,2749.035,4211.273
92,257.681,4153.958,4153.958,4164.759,2693.105,4164.759
93,260.573,4143.870,4143.870,4111.181,2637.176,4111.181
94,263.467,4197.993,4197.993,4128.723,2659.259,4128.723
95,266.361,4153.658,4153.658,4140.362,2681.342,4140.362
96,269.257,4207.735,4207.735,4147.590,2703.425,4147.590
97,272.154,4148.680,4148.680,4152.077,2725.508,4152.077
98,275.052,4126.001,4126.001,4155.363,2747.591,4155.363
99,277.952,4148.469,4148.469,4158.591,2769.674,4158.591
100,280.852,4192.593,4192.593,4162.326,2791.757,4162.326
101,283.754,4140.382,4140.382,4166.530,2813.840,4166.530
102,286.657,4140.198,4140.198,4170.720,2835.923,4170.720
103,289.560,4136.707,4136.707,4142.665,2826.378,4142.665
