ch,keV,net,fit,model,continuum_raw,Y-88
668,1990.075,3.222,3.222,0.616,0.602,0.616
669,1993.095,2.133,2.133,0.643,0.633,0.643
670,1996.115,1.356,1.356,0.672,0.665,0.672
671,1999.135,5.111,5.111,0.701,0.697,0.701
672,2002.154,0.400,0.400,0.731,0.728,0.731
673,2005.173,1.156,1.156,0.762,0.760,0.762
674,2008.192,2.333,2.333,0.793,0.792,0.793
675,2011.211,2.533,2.533,0.824,0.823,0.824
676,2014.229,0.511,0.511,0.856,0.855,0.856
677,2017.247,0.200,0.200,0.849,0.849,0.849
678,2020.265,0.267,0.267,0.843,0.842,0.843
679,2023.282,0.356,0.356,0.836,0.836,0.836
680,2026.299,3.200,3.200,0.830,0.830,0.830
681,2029.316,1.222,1.222,0.824,0.824,0.824
682,2032.333,0.311,0.311,0.817,0.817,0.817
683,2035.349,1.422,1.422,0.811,0.811,0.811
684,2038.365,0.422,0.422,0.805,0.805,0.805
685,2041.380,0.511,0.511,0.798,0.798,0.798
686,2044.396,0.000,-0.600,0.792,0.792,0.792
687,2047.411,0.000,-0.911,0.786,0.786,0.786
688,2050.425,1.222,1.222,0.779,0.779,0.779
689,2053.440,2.222,2.222,0.773,0.773,0.773
690,2056.454,0.000,-0.667,0.767,0.767,0.767
691,2059.468,1.533,1.533,0.760,0.760,0.760
692,2062.481,0.156,0.156,0.754,0.754,0.754
693,2065.494,0.356,0.356,0.748,0.748,0.748
694,2068.507,3.378,3.378,0.741,0.741,0.741
695,2071.519,2.244,2.244,0.735,0.735,0.735
696,2074.532,2.444,2.444,0.729,0.729,0.729
697,2077.544,3.111,3.111,0.722,0.722,0.722
698,2080.555,1.178,1.178,0.716,0.716,0.716
699,2083.566,5.089,5.089,0.710,0.710,0.710
700,2086.577,0.289,0.289,0.703,0.703,0.703
701,2089.588,1.156,1.156,0.697,0.697,0.697
702,2092.598,0.378,0.378,0.691,0.691,0.691
703,2095.608,0.111,0.111,0.684,0.684,0.684
704,2098.617,2.356,2.356,0.678,0.678,0.678
705,2101.626,2.111,2.111,0.683,0.683,0.683
706,2104.635,1.244,1.244,0.687,0.687,0.687
707,2107.644,0.244,0.244,0.692,0.692,0.692
708,2110.652,0.000,-1.044,0.696,0.696,0.696
709,2113.660,1.022,1.022,0.701,0.701,0.701
710,2116.667,0.089,0.089,0.705,0.705,0.705
711,2119.675,1.222,1.222,0.710,0.710,0.710
712,2122.681,1.933,1.933,0.714,0.714,0.714
713,2125.688,4.733,4.733,0.719,0.719,0.719
714,2128.694,1.156,1.156,0.724,0.724,0.724
715,2131.700,2.133,2.133,0.728,0.728,0.728
716,2134.705,1.244,1.244,0.733,0.733,0.733
717,2137.710,1.067,1.067,0.737,0.737,0.737
718,2140.715,2.178,2.178,0.742,0.742,0.742
719,2143.719,2.156,2.156,0.746,0.746,0.746
720,2146.723,0.200,0.200,0.751,0.751,0.751
721,2149.727,0.378,0.378,0.755,0.755,0.755
722,2152.730,1.956,1.956,0.760,0.760,0.760
723,2155.733,0.000,-0.822,0.764,0.764,0.764
724,2158.736,1.289,1.289,0.769,0.769,0.769
725,2161.738,0.778,0.778,0.773,0.773,0.773
726,2164.740,2.133,2.133,0.778,0.778,0.778
727,2167.741,3.289,3.289,0.783,0.783,0.783
728,2170.742,0.000,0.000,0.787,0.787,0.787
729,2173.743,2.178,2.178,0.792,0.792,0.792
730,2176.743,3.378,3.378,0.796,0.796,0.796
731,2179.743,1.222,1.222,0.801,0.801,0.801
732,2182.743,2.200,2.200,0.805,0.805,0.805
733,2185.742,0.156,0.156,0.810,0.810,0.810
734,2188.741,1.089,1.089,0.796,0.796,0.796
735,2191.739,0.000,-0.867,0.782,0.782,0.782
736,2194.737,0.511,0.511,0.768,0.768,0.768
737,2197.735,2.244,2.244,0.754,0.754,0.754
738,2200.732,0.000,-0.844,0.740,0.740,0.740
739,2203.729,1.200,1.200,0.726,0.726,0.726
740,2206.726,2.044,2.044,0.712,0.712,0.712
741,2209.722,0.089,0.089,0.699,0.699,0.699
742,2212.717,1.133,1.133,0.685,0.685,0.685
743,2215.713,1.222,1.222,0.671,0.671,0.671
744,2218.708,0.200,0.200,0.657,0.657,0.657
745,2221.702,2.378,2.378,0.643,0.643,0.643
746,2224.696,1.133,1.133,0.629,0.629,0.629
747,2227.690,1.422,1.422,0.615,0.615,0.615
748,2230.683,1.333,1.333,0.601,0.601,0.601
749,2233.676,0.444,0.444,0.587,0.587,0.587
750,2236.669,1.289,1.289,0.574,0.574,0.574
751,2239.661,2.111,2.111,0.560,0.560,0.560
752,2242.653,2.289,2.289,0.546,0.546,0.546
753,2245.644,0.000,-0.689,0.532,0.532,0.532
754,2248.635,2.400,2.400,0.518,0.518,0.518
755,2251.625,1.356,1.356,0.504,0.504,0.504
756,2254.615,1.333,1.333,0.490,0.490,0.490
757,2257.605,0.000,-0.622,0.476,0.476,0.476
758,2260.594,3.422,3.422,0.462,0.462,0.462
759,2263.583,0.289,0.289,0.448,0.448,0.448
760,2266.572,2.244,2.244,0.435,0.435,0.435
761,2269.560,0.178,0.178,0.421,0.421,0.421
762,2272.547,1.511,1.511,0.407,0.407,0.407
763,2275.534,0.511,0.511,0.393,0.393,0.393
764,2278.521,0.000,-0.489,0.402,0.402,0.402
765,2281.507,0.000,-0.800,0.411,0.411,0.411
766,2284.493,0.200,0.200,0.419,0.419,0.419
767,2287.478,0.356,0.356,0.428,0.428,0.428
768,2290.463,0.444,0.444,0.437,0.437,0.437
769,2293.448,0.244,0.244,0.446,0.446,0.446
770,2296.432,0.489,0.489,0.455,0.455,0.455
771,2299.416,0.533,0.533,0.464,0.464,0.464
772,2302.399,1.556,1.556,0.473,0.473,0.473
773,2305.382,1.444,1.444,0.482,0.482,0.482
774,2308.364,1.267,1.267,0.491,0.491,0.491
775,2311.346,1.489,1.489,0.499,0.499,0.499
776,2314.327,0.000,-0.711,0.508,0.508,0.508
777,2317.308,2.378,2.378,0.517,0.517,0.517
778,2320.289,0.400,0.400,0.526,0.526,0.526
779,2323.269,0.467,0.467,0.535,0.535,0.535
780,2326.249,0.422,0.422,0.544,0.544,0.544
781,2329.228,2.311,2.311,0.553,0.553,0.553
782,2332.207,2.400,2.400,0.562,0.562,0.562
783,2335.185,1.422,1.422,0.570,0.570,0.570
784,2338.163,0.000,-0.578,0.579,0.579,0.579
785,2341.140,0.000,-0.400,0.588,0.588,0.588
786,2344.117,0.000,-0.467,0.597,0.597,0.597
