ch,keV,net,fit,model,continuum_raw,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220
539,1596.288,278.215,278.215,306.117,24.265,260.377,0.000,45.740,0.000,0.000,0.000
540,1599.293,287.962,287.962,306.417,22.916,258.174,0.000,48.243,0.000,0.000,0.000
541,1602.298,282.275,282.275,305.696,21.566,255.152,0.000,50.544,0.000,0.000,0.000
542,1605.303,279.998,279.998,303.963,20.216,251.374,0.000,52.589,0.000,0.000,0.000
543,1608.307,328.661,328.661,301.248,18.867,246.920,0.000,54.328,0.000,0.000,0.000
544,1611.311,287.950,287.950,297.597,17.517,241.880,0.000,55.718,0.000,0.000,0.000
545,1614.316,303.058,303.058,293.074,16.168,236.353,0.000,56.721,0.000,0.000,0.000
546,1617.320,276.673,276.673,287.756,14.818,230.444,0.000,57.312,0.000,0.000,0.000
547,1620.324,262.131,262.131,281.731,13.468,224.258,0.000,57.473,0.000,0.000,0.000
548,1623.327,282.805,282.805,275.095,12.119,217.899,0.000,57.196,0.000,0.000,0.000
549,1626.331,230.070,230.070,267.952,10.769,211.466,0.000,56.486,0.000,0.000,0.000
550,1629.335,271.661,271.661,260.405,9.419,205.048,0.000,55.356,0.000,0.000,0.000
551,1632.338,244.986,244.986,252.559,8.070,198.728,0.000,53.832,0.000,0.000,0.000
552,1635.341,254.866,254.866,244.519,6.720,192.574,0.000,51.944,0.000,0.000,0.000
553,1638.344,228.805,228.805,238.492,7.483,188.741,0.000,49.752,0.000,0.000,0.000
554,1641.347,232.335,232.335,232.459,8.246,185.178,0.000,47.281,0.000,0.000,0.000
555,1644.350,243.986,243.986,226.501,9.008,181.917,0.000,44.584,0.000,0.000,0.000
556,1647.352,211.456,211.456,220.692,9.771,178.979,0.000,41.713,0.000,0.000,0.000
557,1650.355,238.384,238.384,215.094,10.534,176.370,0.000,38.724,0.000,0.000,0.000
558,1653.357,199.107,199.107,209.759,11.297,174.089,0.000,35.670,0.000,0.000,0.000
559,1656.359,225.782,225.782,204.728,12.059,172.127,0.000,32.601,0.000,0.000,0.000
560,1659.362,207.649,207.649,200.031,12.822,170.466,0.000,29.565,0.000,0.000,0.000
561,1662.363,181.384,181.384,195.689,13.585,169.084,0.000,26.605,0.000,0.000,0.000
562,1665.365,205.793,205.793,191.714,14.347,167.958,0.000,23.756,0.000,0.000,0.000
563,1668.367,207.035,207.035,188.109,15.110,167.060,0.000,21.048,0.000,0.000,0.000
564,1671.368,193.396,193.396,184.870,15.873,166.364,0.000,18.506,0.000,0.000,0.000
565,1674.370,221.649,221.649,181.991,16.636,165.845,0.000,16.147,0.000,0.000,0.000
566,1677.371,195.384,195.384,179.459,17.398,165.478,0.000,13.981,0.000,0.000,0.000
567,1680.372,184.505,184.505,177.257,18.161,165.244,0.000,12.014,0.000,0.000,0.000
568,1683.373,159.468,159.468,175.371,18.924,165.125,0.000,10.246,0.000,0.000,0.000
569,1686.374,181.552,181.552,173.782,19.687,165.108,0.000,8.674,0.000,0.000,0.000
570,1689.375,180.938,180.938,172.475,20.449,165.184,0.000,7.290,0.000,0.000,0.000
571,1692.376,159.312,159.312,171.432,21.212,165.348,0.000,6.084,0.000,0.000,0.000
572,1695.376,181.589,181.589,170.639,21.975,165.595,0.000,5.044,0.000,0.000,0.000
573,1698.376,167.866,167.866,170.084,22.737,165.929,0.000,4.156,0.000,0.000,0.000
574,1701.377,190.589,190.589,169.756,23.500,166.351,0.000,3.405,0.000,0.000,0.000
575,1704.377,148.938,148.938,169.644,24.263,166.865,0.000,2.779,0.000,0.000,0.000
576,1707.377,177.335,177.335,169.740,25.026,167.479,0.000,2.261,0.000,0.000,0.000
577,1710.377,188.878,188.878,170.037,25.788,168.197,0.000,1.840,0.000,0.000,0.000
578,1713.377,168.673,168.673,170.527,26.551,169.025,0.000,1.502,0.000,0.000,0.000
579,1716.376,164.817,164.817,170.061,26.172,168.826,0.000,1.235,0.000,0.000,0.000
580,1719.376,171.962,171.962,169.773,25.792,168.743,0.000,1.030,0.000,0.000,0.000
581,1722.375,167.757,167.757,169.655,25.412,168.777,0.000,0.878,0.000,0.000,0.000
582,1725.374,152.901,152.901,169.697,25.033,168.926,0.000,0.771,0.000,0.000,0.000
583,1728.374,164.757,164.757,169.888,24.653,169.184,0.000,0.703,0.000,0.000,0.000
584,1731.373,169.769,169.769,170.213,24.274,169.545,0.000,0.668,0.000,0.000,0.000
585,1734.372,156.624,156.624,170.660,23.894,169.998,0.000,0.661,0.000,0.000,0.000
586,1737.371,183.624,183.624,171.210,23.515,170.531,0.000,0.679,0.000,0.000,0.000
587,1740.369,176.576,176.576,171.848,23.135,171.129,0.000,0.718,0.000,0.000,0.000
588,1743.368,147.781,147.781,172.553,22.756,171.776,0.000,0.776,0.000,0.000,0.000
589,1746.367,168.829,168.829,173.305,22.376,172.455,0.000,0.851,0.000,0.000,0.000
590,1749.365,151.985,151.985,174.085,21.996,173.146,0.000,0.940,0.000,0.000,0.000
591,1752.363,192.841,192.841,174.873,21.617,173.831,0.000,1.041,0.000,0.000,0.000
592,1755.362,181.516,181.516,175.647,21.237,174.492,0.000,1.154,0.000,0.000,0.000
593,1758.360,170.841,170.841,176.388,20.858,175.111,0.000,1.277,0.000,0.000,0.000
594,1761.358,195.227,195.227,177.077,20.478,175.670,0.000,1.407,0.000,0.000,0.000
595,1764.356,171.250,171.250,177.699,20.099,176.155,0.000,1.543,0.000,0.000,0.000
596,1767.354,169.925,169.925,178.235,19.719,176.551,0.000,1.684,0.000,0.000,0.000
597,1770.351,169.323,169.323,178.673,19.340,176.846,0.000,1.826,0.000,0.000,0.000
598,1773.349,156.323,156.323,179.000,18.960,177.031,0.000,1.969,0.000,0.000,0.000
599,1776.347,169.648,169.648,179.206,18.581,177.096,0.000,2.109,0.000,0.000,0.000
600,1779.344,190.985,190.985,179.282,18.201,177.037,0.000,2.245,0.000,0.000,0.000
601,1782.341,168.636,168.636,179.223,17.821,176.848,0.000,2.374,0.000,0.000,0.000
602,1785.339,177.178,177.178,179.023,17.442,176.529,0.000,2.494,0.000,0.000,0.000
603,1788.336,161.347,161.347,178.682,17.062,176.079,0.000,2.603,0.000,0.000,0.000
604,1791.333,168.287,168.287,178.199,16.683,175.501,0.000,2.698,0.000,0.000,0.000
605,1794.330,180.359,180.359,177.575,16.303,174.797,0.000,2.778,0.000,0.000,0.000
606,1797.327,180.431,180.431,178.227,17.337,175.385,0.000,2.843,0.000,0.000,0.000
607,1800.324,183.805,183.805,178.748,18.370,175.859,0.000,2.889,0.000,0.000,0.000
608,1803.321,184.468,184.468,179.145,19.404,176.229,0.000,2.916,0.000,0.000,0.000
609,1806.318,206.335,206.335,179.426,20.437,176.503,0.000,2.923,0.000,0.000,0.000
610,1809.314,189.275,189.275,179.601,21.471,176.690,0.000,2.911,0.000,0.000,0.000
611,1812.311,196.372,196.372,179.683,22.504,176.804,0.000,2.879,0.000,0.000,0.000
612,1815.307,192.974,192.974,179.683,23.538,176.855,0.000,2.828,0.000,0.000,0.000
613,1818.304,177.047,177.047,179.615,24.571,176.856,0.000,2.759,0.000,0.000,0.000
614,1821.300,175.335,175.335,179.493,25.604,176.820,0.000,2.674,0.000,0.000,0.000
615,1824.297,181.986,181.986,179.333,26.638,176.760,0.000,2.573,0.000,0.000,0.000
616,1827.293,190.553,190.553,179.150,27.671,176.690,0.000,2.460,0.000,0.000,0.000
617,1830.289,155.770,155.770,178.959,28.705,176.623,0.000,2.335,0.000,0.000,0.000
618,1833.285,193.505,193.505,178.774,29.738,176.572,0.000,2.202,0.000,0.000,0.000
619,1836.281,198.951,198.951,178.612,30.772,176.549,0.000,2.063,0.000,0.000,0.000
620,1839.277,191.963,191.963,178.485,31.805,176.566,0.000,1.919,0.000,0.000,0.000
621,1842.273,166.890,166.890,178.406,32.839,176.633,0.000,1.773,0.000,0.000,0.000
622,1845.269,164.697,164.697,178.386,33.872,176.759,0.000,1.627,0.000,0.000,0.000
623,1848.265,182.023,182.023,178.437,34.906,176.954,0.000,1.483,0.000,0.000,0.000
624,1851.261,167.360,167.360,178.566,35.939,177.224,0.000,1.342,0.000,0.000,0.000
625,1854.257,187.818,187.818,178.781,36.973,177.574,0.000,1.207,0.000,0.000,0.000
626,1857.252,188.601,188.601,179.086,38.006,178.008,0.000,1.078,0.000,0.000,0.000
627,1860.248,221.686,221.686,179.485,39.040,178.529,0.000,0.956,0.000,0.000,0.000
628,1863.244,196.071,196.071,179.979,40.073,179.136,0.000,0.842,0.000,0.000,0.000
629,1866.239,194.529,194.529,180.567,41.107,179.830,0.000,0.737,0.000,0.000,0.000
630,1869.235,175.095,175.095,181.248,42.140,180.607,0.000,0.640,0.000,0.000,0.000
631,1872.230,202.601,202.601,182.017,43.173,181.464,0.000,0.553,0.000,0.000,0.000
632,1875.226,178.878,178.878,182.870,44.207,182.396,0.000,0.474,0.000,0.000,0.000
633,1878.221,197.746,197.746,183.800,45.240,183.396,0.000,0.404,0.000,0.000,0.000
634,1881.217,166.746,166.746,183.364,44.840,183.023,0.000,0.341,0.000,0.000,0.000
635,1884.212,176.746,176.746,182.989,44.439,182.703,0.000,0.287,0.000,0.000,0.000
636,1887.207,181.746,181.746,182.666,44.038,182.427,0.000,0.239,0.000,0.000,0.000
637,1890.203,158.397,158.397,182.385,43.637,182.187,0.000,0.198,0.000,0.000,0.000
638,1893.198,178.083,178.083,182.136,43.237,181.973,0.000,0.163,0.000,0.000,0.000
639,1896.193,160.481,160.481,181.911,42.836,181.778,0.000,0.133,0.000,0.000,0.000
640,1899.189,196.409,196.409,181.700,42.435,181.592,0.000,0.108,0.000,0.000,0.000
641,1902.184,163.734,163.734,181.496,42.034,181.408,0.000,0.087,0.000,0.000,0.000
642,1905.179,180.529,180.529,181.290,41.634,181.220,0.000,0.070,0.000,0.000,0.000
643,1908.174,195.613,195.613,181.076,41.233,181.021,0.000,0.056,0.000,0.000,0.000
644,1911.170,184.927,184.927,180.850,40.832,180.806,0.000,0.044,0.000,0.000,0.000
645,1914.165,158.939,158.939,180.609,40.431,180.574,0.000,0.034,0.000,0.000,0.000
646,1917.160,180.818,180.818,180.349,40.031,180.322,0.000,0.027,0.000,0.000,0.000
647,1920.155,177.397,177.397,180.071,39.630,180.050,0.000,0.021,0.000,0.000,0.000
648,1923.151,194.192,194.192,179.775,39.229,179.759,0.000,0.016,0.000,0.000,0.000
649,1926.146,161.083,161.083,179.465,38.828,179.453,0.000,0.012,0.000,0.000,0.000
650,1929.141,193.601,193.601,179.144,38.428,179.135,0.000,0.009,0.000,0.000,0.000
651,1932.136,190.915,190.915,178.817,38.027,178.810,0.000,0.007,0.000,0.000,0.000
652,1935.132,195.794,195.794,178.491,37.626,178.486,0.000,0.005,0.000,0.000,0.000
653,1938.127,164.132,164.132,178.172,37.225,178.168,0.000,0.004,0.000,0.000,0.000
654,1941.122,156.867,156.867,177.869,36.825,177.866,0.000,0.003,0.000,0.000,0.000
655,1944.117,168.529,168.529,177.590,36.424,177.588,0.000,0.002,0.000,0.000,0.000
656,1947.113,163.204,163.204,177.343,36.023,177.341,0.000,0.002,0.000,0.000,0.000
