ch,keV,net,fit,model,continuum_raw,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220
763,2268.308,267.722,267.722,234.990,24.042,234.990,0.000,0.000,0.000,0.000,0.000
764,2271.323,231.324,231.324,234.514,23.396,234.514,0.000,0.000,0.000,0.000,0.000
765,2274.338,233.059,233.059,234.033,22.750,234.033,0.000,0.000,0.000,0.000,0.000
766,2277.353,248.517,248.517,233.540,22.104,233.540,0.000,0.000,0.000,0.000,0.000
767,2280.369,228.048,228.048,233.031,21.459,233.031,0.000,0.000,0.000,0.000,0.000
768,2283.385,247.782,247.782,232.497,20.813,232.497,0.000,0.000,0.000,0.000,0.000
769,2286.402,237.457,237.457,231.931,20.167,231.931,0.000,0.000,0.000,0.000,0.000
770,2289.419,244.445,244.445,231.322,19.521,231.322,0.000,0.000,0.000,0.000,0.000
771,2292.436,224.264,224.264,230.662,18.875,230.662,0.000,0.000,0.000,0.000,0.000
772,2295.454,244.108,244.108,229.939,18.229,229.939,0.000,0.000,0.000,0.000,0.000
773,2298.472,224.048,224.048,229.142,17.584,229.142,0.000,0.000,0.000,0.000,0.000
774,2301.491,229.915,229.915,228.258,16.938,228.258,0.000,0.000,0.000,0.000,0.000
775,2304.510,260.445,260.445,227.275,16.292,227.275,0.000,0.000,0.000,0.000,0.000
776,2307.529,203.240,203.240,226.182,15.646,226.182,0.000,0.000,0.000,0.000,0.000
777,2310.549,243.578,243.578,224.966,15.000,224.966,0.000,0.000,0.000,0.000,0.000
778,2313.570,243.457,243.457,223.615,14.355,223.615,0.000,0.000,0.000,0.000,0.000
779,2316.590,228.855,228.855,222.119,13.709,222.119,0.000,0.000,0.000,0.000,0.000
780,2319.612,204.324,204.324,220.466,13.063,220.466,0.000,0.000,0.000,0.000,0.000
781,2322.633,254.710,254.710,218.648,12.417,218.648,0.000,0.000,0.000,0.000,0.000
782,2325.655,209.313,209.313,216.657,11.771,216.657,0.000,0.000,0.000,0.000,0.000
783,2328.678,199.771,199.771,214.486,11.125,214.486,0.000,0.000,0.000,0.000,0.000
784,2331.701,242.445,242.445,212.129,10.480,212.129,0.000,0.000,0.000,0.000,0.000
785,2334.724,208.578,208.578,209.582,9.834,209.582,0.000,0.000,0.000,0.000,0.000
786,2337.748,222.782,222.782,207.730,10.075,207.730,0.000,0.000,0.000,0.000,0.000
787,2340.772,219.301,219.301,205.686,10.317,205.686,0.000,0.000,0.000,0.000,0.000
788,2343.797,211.373,211.373,203.451,10.558,203.451,0.000,0.000,0.000,0.000,0.000
789,2346.822,197.373,197.373,201.027,10.800,201.027,0.000,0.000,0.000,0.000,0.000
790,2349.848,212.240,212.240,198.420,11.041,198.420,0.000,0.000,0.000,0.000,0.000
791,2352.875,179.036,179.036,195.635,11.283,195.635,0.000,0.000,0.000,0.000,0.000
792,2355.901,167.108,167.108,192.679,11.524,192.679,0.000,0.000,0.000,0.000,0.000
793,2358.929,206.168,206.168,189.563,11.765,189.563,0.000,0.000,0.000,0.000,0.000
794,2361.956,163.373,163.373,186.297,12.007,186.297,0.000,0.000,0.000,0.000,0.000
795,2364.985,213.168,213.168,182.892,12.248,182.892,0.000,0.000,0.000,0.000,0.000
796,2368.013,171.433,171.433,179.362,12.490,179.362,0.000,0.000,0.000,0.000,0.000
797,2371.043,182.240,182.240,175.719,12.731,175.719,0.000,0.000,0.000,0.000,0.000
798,2374.072,144.975,144.975,171.977,12.973,171.977,0.000,0.000,0.000,0.000,0.000
799,2377.103,179.229,179.229,168.153,13.214,168.153,0.000,0.000,0.000,0.000,0.000
800,2380.133,174.373,174.373,164.259,13.456,164.259,0.000,0.000,0.000,0.000,0.000
801,2383.165,138.963,138.963,160.312,13.697,160.312,0.000,0.000,0.000,0.000,0.000
802,2386.197,141.505,141.505,156.326,13.939,156.326,0.000,0.000,0.000,0.000,0.000
803,2389.229,131.036,131.036,152.315,14.180,152.315,0.000,0.000,0.000,0.000,0.000
804,2392.262,135.915,135.915,148.294,14.421,148.294,0.000,0.000,0.000,0.000,0.000
805,2395.296,141.578,141.578,144.276,14.663,144.276,0.000,0.000,0.000,0.000,0.000
806,2398.330,143.566,143.566,140.273,14.904,140.273,0.000,0.000,0.000,0.000,0.000
807,2401.364,123.433,123.433,136.297,15.146,136.297,0.000,0.000,0.000,0.000,0.000
808,2404.400,119.759,119.759,132.361,15.387,132.361,0.000,0.000,0.000,0.000,0.000
809,2407.435,124.626,124.626,128.473,15.629,128.473,0.000,0.000,0.000,0.000,0.000
810,2410.472,129.505,129.505,124.643,15.870,124.643,0.000,0.000,0.000,0.000,0.000
811,2413.509,107.566,107.566,120.880,16.112,120.880,0.000,0.000,0.000,0.000,0.000
812,2416.546,103.831,103.831,117.192,16.353,117.192,0.000,0.000,0.000,0.000,0.000
813,2419.584,107.494,107.494,113.586,16.595,113.586,0.000,0.000,0.000,0.000,0.000
814,2422.623,101.433,101.433,110.068,16.836,110.068,0.000,0.000,0.000,0.000,0.000
815,2425.662,105.301,105.301,106.646,17.078,106.646,0.000,0.000,0.000,0.000,0.000
816,2428.702,96.096,96.096,103.324,17.319,103.324,0.000,0.000,0.000,0.000,0.000
817,2431.743,121.229,121.229,100.110,17.560,100.110,0.000,0.000,0.000,0.000,0.000
818,2434.784,79.554,79.554,97.008,17.802,97.008,0.000,0.000,0.000,0.000,0.000
819,2437.826,98.433,98.433,94.239,18.255,94.239,0.000,0.000,0.000,0.000,0.000
820,2440.868,81.301,81.301,91.596,18.707,91.596,0.000,0.000,0.000,0.000,0.000
821,2443.911,83.096,83.096,89.089,19.160,89.089,0.000,0.000,0.000,0.000,0.000
822,2446.955,91.903,91.903,86.726,19.613,86.726,0.000,0.000,0.000,0.000,0.000
823,2449.999,94.505,94.505,84.520,20.065,84.520,0.000,0.000,0.000,0.000,0.000
824,2453.044,91.566,91.566,82.481,20.518,82.481,0.000,0.000,0.000,0.000,0.000
825,2456.089,82.566,82.566,80.625,20.971,80.625,0.000,0.000,0.000,0.000,0.000
826,2459.136,79.963,79.963,78.968,21.424,78.968,0.000,0.000,0.000,0.000,0.000
827,2462.182,83.891,83.891,77.530,21.876,77.530,0.000,0.000,0.000,0.000,0.000
828,2465.230,71.156,71.156,76.332,22.329,76.332,0.000,0.000,0.000,0.000,0.000
829,2468.278,99.024,99.024,75.399,22.782,75.399,0.000,0.000,0.000,0.000,0.000
830,2471.327,75.156,75.156,74.761,23.234,74.761,0.000,0.000,0.000,0.000,0.000
831,2474.377,71.301,71.301,74.450,23.687,74.450,0.000,0.000,0.000,0.000,0.000
832,2477.427,77.566,77.566,74.500,24.140,74.500,0.000,0.000,0.000,0.000,0.000
833,2480.478,91.421,91.421,74.953,24.592,74.953,0.000,0.000,0.000,0.000,0.000
834,2483.529,87.096,87.096,75.851,25.045,75.851,0.000,0.000,0.000,0.000,0.000
835,2486.582,76.891,76.891,77.242,25.498,77.242,0.000,0.000,0.000,0.000,0.000
836,2489.635,98.229,98.229,79.178,25.951,79.178,0.000,0.000,0.000,0.000,0.000
837,2492.688,94.626,94.626,81.715,26.403,81.715,0.000,0.000,0.000,0.000,0.000
838,2495.743,117.759,117.759,84.910,26.856,84.910,0.000,0.000,0.000,0.000,0.000
839,2498.798,84.831,84.831,88.825,27.309,88.825,0.000,0.000,0.000,0.000,0.000
840,2501.854,105.096,105.096,93.523,27.761,93.523,0.000,0.000,0.000,0.000,0.000
841,2504.910,133.759,133.759,99.070,28.214,99.070,0.000,0.000,0.000,0.000,0.000
842,2507.968,129.096,129.096,105.530,28.667,105.530,0.000,0.000,0.000,0.000,0.000
843,2511.026,117.578,117.578,112.968,29.119,112.968,0.000,0.000,0.000,0.000,0.000
844,2514.085,122.566,122.566,121.447,29.572,121.447,0.000,0.000,0.000,0.000,0.000
845,2517.144,144.698,144.698,131.024,30.025,131.024,0.000,0.000,0.000,0.000,0.000
846,2520.205,135.433,135.433,141.753,30.478,141.753,0.000,0.000,0.000,0.000,0.000
847,2523.266,148.698,148.698,153.680,30.930,153.680,0.000,0.000,0.000,0.000,0.000
848,2526.328,165.168,165.168,166.842,31.383,166.842,0.000,0.000,0.000,0.000,0.000
849,2529.390,209.036,209.036,181.266,31.836,181.266,0.000,0.000,0.000,0.000,0.000
850,2532.454,195.963,195.963,196.963,32.288,196.963,0.000,0.000,0.000,0.000,0.000
851,2535.518,188.036,188.036,213.932,32.741,213.932,0.000,0.000,0.000,0.000,0.000
852,2538.583,276.361,276.361,232.155,33.194,232.155,0.000,0.000,0.000,0.000,0.000
853,2541.649,258.638,258.638,251.709,33.762,251.709,0.000,0.000,0.000,0.000,0.000
854,2544.715,266.445,266.445,272.422,34.330,272.422,0.000,0.000,0.000,0.000,0.000
855,2547.783,305.048,305.048,294.217,34.898,294.217,0.000,0.000,0.000,0.000,0.000
856,2550.851,291.108,291.108,316.993,35.467,316.993,0.000,0.000,0.000,0.000,0.000
857,2553.920,319.975,319.975,340.629,36.035,340.629,0.000,0.000,0.000,0.000,0.000
858,2556.990,306.313,306.313,364.980,36.603,364.980,0.000,0.000,0.000,0.000,0.000
859,2560.061,354.048,354.048,389.881,37.171,389.881,0.000,0.000,0.000,0.000,0.000
860,2563.132,367.252,367.252,415.148,37.740,415.148,0.000,0.000,0.000,0.000,0.000
861,2566.205,392.662,392.662,440.575,38.308,440.575,0.000,0.000,0.000,0.000,0.000
862,2569.278,473.927,473.927,465.943,38.876,465.943,0.000,0.000,0.000,0.000,0.000
863,2572.352,497.794,497.794,491.018,39.444,491.018,0.000,0.000,0.000,0.000,0.000
864,2575.427,468.987,468.987,515.556,40.013,515.556,0.000,0.000,0.000,0.000,0.000
865,2578.503,486.457,486.457,539.308,40.581,539.308,0.000,0.000,0.000,0.000,0.000
866,2581.579,532.722,532.722,562.021,41.149,562.021,0.000,0.000,0.000,0.000,0.000
867,2584.657,555.794,555.794,583.444,41.717,583.444,0.000,0.000,0.000,0.000,0.000
868,2587.735,567.192,567.192,603.335,42.285,603.335,0.000,0.000,0.000,0.000,0.000
869,2590.815,585.999,585.999,621.461,42.854,621.461,0.000,0.000,0.000,0.000,0.000
870,2593.895,572.939,572.939,637.604,43.422,637.604,0.000,0.000,0.000,0.000,0.000
871,2596.976,551.144,551.144,651.569,43.990,651.569,0.000,0.000,0.000,0.000,0.000
872,2600.058,568.625,568.625,663.182,44.558,663.182,0.000,0.000,0.000,0.000,0.000
873,2603.141,630.348,630.348,672.299,45.127,672.299,0.000,0.000,0.000,0.000,0.000
874,2606.225,621.878,621.878,678.804,45.695,678.804,0.000,0.000,0.000,0.000,0.000
875,2609.309,623.264,623.264,682.618,46.263,682.618,0.000,0.000,0.000,0.000,0.000
876,2612.395,679.481,679.481,683.693,46.831,683.693,0.000,0.000,0.000,0.000,0.000
877,2615.482,645.336,645.336,682.019,47.400,682.019,0.000,0.000,0.000,0.000,0.000
878,2618.569,646.144,646.144,677.622,47.968,677.622,0.000,0.000,0.000,0.000,0.000
879,2621.658,623.842,623.842,670.562,48.536,670.562,0.000,0.000,0.000,0.000,0.000
880,2624.747,626.625,626.625,660.935,49.104,660.935,0.000,0.000,0.000,0.000,0.000
881,2627.838,637.011,637.011,648.869,49.672,648.869,0.000,0.000,0.000,0.000,0.000
882,2630.929,570.011,570.011,634.520,50.241,634.520,0.000,0.000,0.000,0.000,0.000
883,2634.021,573.144,573.144,618.071,50.809,618.071,0.000,0.000,0.000,0.000,0.000
884,2637.115,588.397,588.397,599.728,51.377,599.728,0.000,0.000,0.000,0.000,0.000
885,2640.209,581.216,581.216,579.714,51.945,579.714,0.000,0.000,0.000,0.000,0.000
886,2643.304,553.662,553.662,558.266,52.514,558.266,0.000,0.000,0.000,0.000,0.000
887,2646.400,523.348,523.348,535.631,53.082,535.631,0.000,0.000,0.000,0.000,0.000
888,2649.498,468.469,468.469,510.110,51.701,510.110,0.000,0.000,0.000,0.000,0.000
889,2652.596,481.264,481.264,483.903,50.320,483.903,0.000,0.000,0.000,0.000,0.000
890,2655.695,448.806,448.806,457.256,48.939,457.256,0.000,0.000,0.000,0.000,0.000
891,2658.796,413.746,413.746,430.410,47.558,430.410,0.000,0.000,0.000,0.000,0.000
892,2661.897,427.059,427.059,403.589,46.177,403.589,0.000,0.000,0.000,0.000,0.000
893,2664.999,395.313,395.313,377.007,44.796,377.007,0.000,0.000,0.000,0.000,0.000
894,2668.103,361.180,361.180,350.858,43.415,350.858,0.000,0.000,0.000,0.000,0.000
895,2671.207,361.650,361.650,325.316,42.034,325.316,0.000,0.000,0.000,0.000,0.000
896,2674.313,340.048,340.048,300.537,40.653,300.537,0.000,0.000,0.000,0.000,0.000
897,2677.419,281.445,281.445,276.652,39.272,276.652,0.000,0.000,0.000,0.000,0.000
898,2680.527,252.120,252.120,253.772,37.891,253.772,0.000,0.000,0.000,0.000,0.000
899,2683.635,259.252,259.252,231.983,36.510,231.983,0.000,0.000,0.000,0.000,0.000
900,2686.745,237.578,237.578,211.353,35.129,211.353,0.000,0.000,0.000,0.000,0.000
901,2689.856,215.638,215.638,191.926,33.748,191.926,0.000,0.000,0.000,0.000,0.000
902,2692.968,204.361,204.361,173.728,32.367,173.728,0.000,0.000,0.000,0.000,0.000
903,2696.081,188.843,188.843,156.768,30.986,156.768,0.000,0.000,0.000,0.000,0.000
904,2699.195,162.361,162.361,141.037,29.605,141.037,0.000,0.000,0.000,0.000,0.000
905,2702.310,151.229,151.229,126.513,28.224,126.513,0.000,0.000,0.000,0.000,0.000
906,2705.426,137.494,137.494,113.162,26.843,113.162,0.000,0.000,0.000,0.000,0.000
907,2708.544,107.024,107.024,100.938,25.462,100.938,0.000,0.000,0.000,0.000,0.000
908,2711.662,110.626,110.626,89.788,24.081,89.788,0.000,0.000,0.000,0.000,0.000
909,2714.782,86.024,86.024,79.653,22.700,79.653,0.000,0.000,0.000,0.000,0.000
910,2717.903,72.554,72.554,70.470,21.319,70.470,0.000,0.000,0.000,0.000,0.000
911,2721.025,81.421,81.421,62.170,19.938,62.170,0.000,0.000,0.000,0.000,0.000
912,2724.148,70.819,70.819,54.686,18.557,54.686,0.000,0.000,0.000,0.000,0.000
913,2727.272,44.542,44.542,47.950,17.176,47.950,0.000,0.000,0.000,0.000,0.000
914,2730.397,49.614,49.614,41.893,15.795,41.893,0.000,0.000,0.000,0.000,0.000
915,2733.524,31.879,31.879,36.450,14.414,36.450,0.000,0.000,0.000,0.000,0.000
916,2736.652,38.144,38.144,31.558,13.033,31.558,0.000,0.000,0.000,0.000,0.000
917,2739.781,33.144,33.144,27.157,11.652,27.157,0.000,0.000,0.000,0.000,0.000
918,2742.911,18.952,18.952,23.193,10.271,23.193,0.000,0.000,0.000,0.000,0.000
919,2746.042,25.879,25.879,19.611,8.891,19.611,0.000,0.000,0.000,0.000,0.000
920,2749.175,22.614,22.614,16.366,7.510,16.366,0.000,0.000,0.000,0.000,0.000
921,2752.308,13.144,13.144,13.413,6.129,13.413,0.000,0.000,0.000,0.000,0.000
922,2755.443,17.807,17.807,10.713,4.748,10.713,0.000,0.000,0.000,0.000,0.000
923,2758.580,11.807,11.807,9.503,4.639,9.503,0.000,0.000,0.000,0.000,0.000
924,2761.717,10.879,10.879,8.480,4.531,8.480,0.000,0.000,0.000,0.000,0.000
925,2764.856,17.144,17.144,7.615,4.423,7.615,0.000,0.000,0.000,0.000,0.000
926,2767.995,6.144,6.144,6.883,4.315,6.883,0.000,0.000,0.000,0.000,0.000
927,2771.137,9.807,9.807,6.265,4.207,6.265,0.000,0.000,0.000,0.000,0.000
928,2774.279,6.410,6.410,5.740,4.099,5.740,0.000,0.000,0.000,0.000,0.000
929,2777.423,9.542,9.542,5.295,3.991,5.295,0.000,0.000,0.000,0.000,0.000
930,2780.567,2.277,2.277,4.914,3.883,4.914,0.000,0.000,0.000,0.000,0.000
931,2783.714,6.205,6.205,4.586,3.775,4.586,0.000,0.000,0.000,0.000,0.000
932,2786.861,2.807,2.807,4.303,3.667,4.303,0.000,0.000,0.000,0.000,0.000
933,2790.010,2.879,2.879,4.055,3.558,4.055,0.000,0.000,0.000,0.000,0.000
934,2793.160,6.675,6.675,3.836,3.450,3.836,0.000,0.000,0.000,0.000,0.000
935,2796.311,7.675,7.675,3.641,3.342,3.641,0.000,0.000,0.000,0.000,0.000
936,2799.464,2.940,2.940,3.464,3.234,3.464,0.000,0.000,0.000,0.000,0.000
937,2802.618,2.542,2.542,3.302,3.126,3.302,0.000,0.000,0.000,0.000,0.000
938,2805.773,4.072,4.072,3.153,3.018,3.153,0.000,0.000,0.000,0.000,0.000
939,2808.930,3.542,3.542,3.012,2.910,3.012,0.000,0.000,0.000,0.000,0.000
940,2812.088,0.000,-0.121,2.879,2.802,2.879,0.000,0.000,0.000,0.000,0.000
941,2815.247,0.879,0.879,2.752,2.694,2.752,0.000,0.000,0.000,0.000,0.000
942,2818.408,0.000,-0.325,2.629,2.586,2.629,0.000,0.000,0.000,0.000,0.000
943,2821.569,1.277,1.277,2.510,2.477,2.510,0.000,0.000,0.000,0.000,0.000
944,2824.733,2.144,2.144,2.394,2.369,2.394,0.000,0.000,0.000,0.000,0.000
945,2827.898,0.000,-0.325,2.279,2.261,2.279,0.000,0.000,0.000,0.000,0.000
946,2831.064,1.410,1.410,2.166,2.153,2.166,0.000,0.000,0.000,0.000,0.000
947,2834.231,4.675,4.675,2.055,2.045,2.055,0.000,0.000,0.000,0.000,0.000
948,2837.400,4.072,4.072,1.944,1.937,1.944,0.000,0.000,0.000,0.000,0.000
949,2840.570,2.940,2.940,1.834,1.829,1.834,0.000,0.000,0.000,0.000,0.000
950,2843.742,0.000,-0.253,1.725,1.721,1.725,0.000,0.000,0.000,0.000,0.000
951,2846.915,1.205,1.205,1.615,1.613,1.615,0.000,0.000,0.000,0.000,0.000
952,2850.090,0.410,0.410,1.507,1.505,1.507,0.000,0.000,0.000,0.000,0.000
953,2853.266,3.807,3.807,1.398,1.396,1.398,0.000,0.000,0.000,0.000,0.000
954,2856.443,0.410,0.410,1.289,1.288,1.289,0.000,0.000,0.000,0.000,0.000
955,2859.622,1.542,1.542,1.181,1.180,1.181,0.000,0.000,0.000,0.000,0.000
956,2862.802,4.205,4.205,1.073,1.072,1.073,0.000,0.000,0.000,0.000,0.000
957,2865.984,1.205,1.205,0.964,0.964,0.964,0.000,0.000,0.000,0.000,0.000
958,2869.167,0.940,0.940,0.856,0.856,0.856,0.000,0.000,0.000,0.000,0.000
959,2872.352,0.144,0.144,0.835,0.834,0.835,0.000,0.000,0.000,0.000,0.000
960,2875.538,0.277,0.277,0.813,0.812,0.813,0.000,0.000,0.000,0.000,0.000
961,2878.725,2.144,2.144,0.791,0.791,0.791,0.000,0.000,0.000,0.000,0.000
962,2881.914,1.675,1.675,0.769,0.769,0.769,0.000,0.000,0.000,0.000,0.000
963,2885.105,0.807,0.807,0.748,0.747,0.748,0.000,0.000,0.000,0.000,0.000
964,2888.297,1.542,1.542,0.726,0.725,0.726,0.000,0.000,0.000,0.000,0.000
965,2891.491,0.940,0.940,0.704,0.704,0.704,0.000,0.000,0.000,0.000,0.000
966,2894.686,0.144,0.144,0.683,0.682,0.683,0.000,0.000,0.000,0.000,0.000
967,2897.883,1.940,1.940,0.661,0.660,0.661,0.000,0.000,0.000,0.000,0.000
968,2901.081,3.807,3.807,0.639,0.638,0.639,0.000,0.000,0.000,0.000,0.000
969,2904.281,0.410,0.410,0.618,0.617,0.618,0.000,0.000,0.000,0.000,0.000
970,2907.482,1.807,1.807,0.596,0.595,0.596,0.000,0.000,0.000,0.000,0.000
971,2910.685,1.675,1.675,0.575,0.573,0.575,0.000,0.000,0.000,0.000,0.000
972,2913.889,3.337,3.337,0.554,0.551,0.554,0.000,0.000,0.000,0.000,0.000
973,2917.095,3.940,3.940,0.533,0.530,0.533,0.000,0.000,0.000,0.000,0.000
974,2920.303,2.205,2.205,0.511,0.508,0.511,0.000,0.000,0.000,0.000,0.000
975,2923.512,1.072,1.072,0.490,0.486,0.490,0.000,0.000,0.000,0.000,0.000
976,2926.723,4.337,4.337,0.470,0.464,0.470,0.000,0.000,0.000,0.000,0.000
977,2929.935,0.940,0.940,0.449,0.443,0.449,0.000,0.000,0.000,0.000,0.000
978,2933.149,2.410,2.410,0.428,0.421,0.428,0.000,0.000,0.000,0.000,0.000
979,2936.365,0.000,-1.723,0.408,0.399,0.408,0.000,0.000,0.000,0.000,0.000
980,2939.582,0.542,0.542,0.388,0.377,0.388,0.000,0.000,0.000,0.000,0.000
981,2942.801,2.205,2.205,0.368,0.356,0.368,0.000,0.000,0.000,0.000,0.000
982,2946.021,0.205,0.205,0.349,0.334,0.349,0.000,0.000,0.000,0.000,0.000
983,2949.243,0.940,0.940,0.330,0.312,0.330,0.000,0.000,0.000,0.000,0.000
984,2952.467,0.807,0.807,0.312,0.290,0.312,0.000,0.000,0.000,0.000,0.000
985,2955.692,1.205,1.205,0.294,0.269,0.294,0.000,0.000,0.000,0.000,0.000
986,2958.920,2.940,2.940,0.276,0.247,0.276,0.000,0.000,0.000,0.000,0.000
987,2962.148,1.337,1.337,0.259,0.225,0.259,0.000,0.000,0.000,0.000,0.000
988,2965.379,2.205,2.205,0.243,0.203,0.243,0.000,0.000,0.000,0.000,0.000
989,2968.611,0.807,0.807,0.228,0.182,0.228,0.000,0.000,0.000,0.000,0.000
990,2971.845,2.277,2.277,0.213,0.160,0.213,0.000,0.000,0.000,0.000,0.000
991,2975.080,2.470,2.470,0.200,0.138,0.200,0.000,0.000,0.000,0.000,0.000
992,2978.318,0.000,-0.590,0.187,0.116,0.187,0.000,0.000,0.000,0.000,0.000
993,2981.557,0.000,-0.795,0.175,0.095,0.175,0.000,0.000,0.000,0.000,0.000
994,2984.797,0.675,0.675,0.165,0.073,0.165,0.000,0.000,0.000,0.000,0.000
995,2988.040,3.940,3.940,0.155,0.051,0.155,0.000,0.000,0.000,0.000,0.000
996,2991.284,0.000,-1.193,0.167,0.049,0.167,0.000,0.000,0.000,0.000,0.000
997,2994.530,4.205,4.205,0.180,0.048,0.180,0.000,0.000,0.000,0.000,0.000
998,2997.778,0.000,-1.518,0.195,0.046,0.195,0.000,0.000,0.000,0.000,0.000
999,3001.027,0.000,-0.723,0.211,0.044,0.211,0.000,0.000,0.000,0.000,0.000
1000,3004.279,0.542,0.542,0.228,0.042,0.228,0.000,0.000,0.000,0.000,0.000
1001,3007.532,0.675,0.675,0.247,0.040,0.247,0.000,0.000,0.000,0.000,0.000
1002,3010.787,0.807,0.807,0.267,0.038,0.267,0.000,0.000,0.000,0.000,0.000
1003,3014.043,0.807,0.807,0.289,0.037,0.289,0.000,0.000,0.000,0.000,0.000
1004,3017.302,0.000,-0.325,0.312,0.035,0.312,0.000,0.000,0.000,0.000,0.000
1005,3020.562,0.000,-1.060,0.337,0.033,0.337,0.000,0.000,0.000,0.000,0.000
1006,3023.824,0.807,0.807,0.363,0.031,0.363,0.000,0.000,0.000,0.000,0.000
1007,3027.088,0.205,0.205,0.390,0.029,0.390,0.000,0.000,0.000,0.000,0.000
1008,3030.354,2.470,2.470,0.418,0.027,0.418,0.000,0.000,0.000,0.000,0.000
1009,3033.622,0.000,-0.193,0.447,0.026,0.447,0.000,0.000,0.000,0.000,0.000
1010,3036.891,0.000,-0.723,0.478,0.024,0.478,0.000,0.000,0.000,0.000,0.000
1011,3040.163,1.675,1.675,0.509,0.022,0.509,0.000,0.000,0.000,0.000,0.000
1012,3043.436,0.012,0.012,0.540,0.020,0.540,0.000,0.000,0.000,0.000,0.000
1013,3046.711,0.470,0.470,0.572,0.018,0.572,0.000,0.000,0.000,0.000,0.000
1014,3049.988,0.000,-0.988,0.603,0.016,0.603,0.000,0.000,0.000,0.000,0.000
1015,3053.267,0.000,-0.458,0.635,0.015,0.635,0.000,0.000,0.000,0.000,0.000
1016,3056.548,0.602,0.602,0.666,0.013,0.666,0.000,0.000,0.000,0.000,0.000
1017,3059.830,0.072,0.072,0.696,0.011,0.696,0.000,0.000,0.000,0.000,0.000
1018,3063.115,0.000,-1.193,0.726,0.009,0.726,0.000,0.000,0.000,0.000,0.000
1019,3066.402,0.000,-1.458,0.754,0.007,0.754,0.000,0.000,0.000,0.000,0.000
1020,3069.690,2.542,2.542,0.781,0.005,0.781,0.000,0.000,0.000,0.000,0.000
1021,3072.981,0.410,0.410,0.805,0.004,0.805,0.000,0.000,0.000,0.000,0.000
1022,3076.273,0.000,-1.193,0.828,0.002,0.828,0.000,0.000,0.000,0.000,0.000
1023,3079.568,0.807,0.807,0.849,0.000,0.849,0.000,0.000,0.000,0.000,0.000
