ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI
0,1.345,0.000,0.000,0.000,0.000,0.000,0.000
1,4.082,0.000,0.000,0.006,0.006,0.006,0.000
2,6.821,0.000,0.000,0.258,0.258,0.250,0.008
3,9.561,0.000,0.000,0.884,0.884,0.856,0.028
4,12.302,0.000,0.000,1.653,1.653,1.601,0.052
5,15.045,4.125,4.125,6.308,6.308,6.111,0.198
6,17.790,82.625,82.625,18.072,18.072,17.506,0.566
7,20.536,661.250,661.250,35.754,35.752,34.632,1.122
8,23.283,3009.343,3009.343,6228.839,6228.748,6033.622,195.217
9,26.032,7185.030,7185.030,12397.805,12395.645,12007.331,390.474
10,28.782,16037.966,16037.966,18589.562,18562.823,17981.317,608.245
11,31.534,23570.152,23570.152,24910.535,24741.761,23966.746,943.789
12,34.288,32680.433,32680.433,31463.776,30924.833,29956.582,1507.194
13,37.042,37247.464,37247.464,38040.023,37106.879,35946.793,2093.230
14,39.799,44764.994,44764.994,44643.251,43288.899,41939.506,2703.745
15,42.556,54908.994,54908.994,41900.957,38025.798,36851.875,5049.082
16,45.315,77821.744,77821.744,46734.045,32763.358,31824.779,14909.266
17,48.076,98373.337,98373.337,64334.477,27501.081,27124.174,37210.303
18,50.838,102995.869,102995.869,87614.487,22238.823,23596.039,64018.448
19,53.601,87210.588,87210.588,96941.044,16976.566,22777.396,74163.648
20,56.366,70933.963,70933.963,85123.709,11714.309,25631.922,59491.787
21,59.132,67032.306,67032.306,67293.758,6452.053,30491.646,36802.112
22,61.900,75042.649,75042.649,71316.933,15447.512,48144.930,23172.003
23,64.669,86188.242,86188.242,82901.850,24442.971,64901.840,18000.009
24,67.439,104134.617,104134.617,105438.617,33438.430,91657.206,13781.411
25,70.211,143755.304,143755.304,161862.546,42433.889,153591.157,8271.389
26,72.984,237740.335,237740.335,286222.102,51429.348,282599.683,3622.419
27,75.758,437299.335,437299.335,486614.131,60424.807,485469.907,1144.223
28,78.534,721097.490,721097.490,704796.984,69420.267,704536.075,260.909
29,81.312,901172.552,901172.552,815943.596,60301.799,815900.709,42.887
30,84.090,873699.271,873699.271,774440.036,51183.331,774434.953,5.083
31,86.870,661660.115,661660.115,622381.487,42064.864,622381.054,0.433
32,89.651,456141.896,456141.896,455308.424,32946.396,455308.398,0.027
33,92.434,336115.365,336115.365,328696.556,23827.928,328696.555,0.001
34,95.218,273079.928,273079.928,238061.214,14709.460,238061.214,0.000
35,98.003,194040.709,194040.709,162927.861,5590.993,162927.861,0.000
36,100.790,111819.521,111819.521,108251.810,6885.928,108251.810,0.000
37,103.578,56901.521,56901.521,68361.982,8180.864,68361.982,0.000
38,106.367,35931.647,35931.647,45058.579,9475.799,45058.579,0.000
39,109.158,30773.303,30773.303,34467.683,10770.734,34467.683,0.000
40,111.950,30034.897,30034.897,31064.984,12065.670,31064.984,0.000
41,114.743,31252.646,31252.646,30835.791,13360.605,30835.791,0.000
42,117.538,32210.552,32210.552,31750.020,14655.540,31750.020,0.000
43,120.333,33060.146,33060.146,32305.566,15241.323,32305.566,0.000
44,123.130,33199.334,33199.334,32945.902,15827.105,32945.902,0.000
45,125.929,33780.115,33780.115,33585.135,16412.887,33585.135,0.000
46,128.728,34608.958,34608.958,34203.115,16998.669,34203.115,0.000
47,131.529,34885.239,34885.239,34804.799,17584.451,34804.799,0.000
48,134.332,35020.801,35020.801,35394.040,18170.234,35394.040,0.000
49,137.135,35930.989,35930.989,35964.278,18756.016,35964.278,0.000
50,139.940,36639.207,36639.207,36472.405,19308.234,36472.405,0.000
51,142.746,36451.739,36451.739,36949.294,19860.452,36949.294,0.000
52,145.553,37419.114,37419.114,37402.429,20412.670,37402.429,0.000
53,148.361,37898.864,37898.864,37847.521,20964.888,37847.521,0.000
54,151.171,38220.364,38220.364,38303.898,21517.107,38303.898,0.000
55,153.982,39383.083,39383.083,38788.436,22069.325,38788.436,0.000
56,156.794,39933.552,39933.552,39310.317,22621.543,39310.317,0.000
57,159.607,41429.520,41429.520,41208.291,24512.449,41208.291,0.000
58,162.422,42860.926,42860.926,43137.934,26403.354,43137.934,0.000
59,165.237,43655.677,43655.677,45093.638,28294.260,45093.638,0.000
60,168.054,45074.364,45074.364,47074.899,30185.166,47074.899,0.000
61,170.872,47602.426,47602.426,49087.657,32076.072,49087.657,0.000
62,173.692,50090.895,50090.895,51141.219,33966.977,51141.219,0.000
63,176.512,53927.552,53927.552,53241.962,35857.883,53241.962,0.000
64,179.334,57143.020,57143.020,57071.412,39433.591,57071.412,0.000
65,182.157,62886.926,62886.926,60928.327,43009.299,60928.327,0.000
66,184.981,67285.082,67285.082,64785.315,46585.007,64785.315,0.000
67,187.806,71970.239,71970.239,68611.457,50160.714,68611.457,0.000
68,190.632,75018.270,75018.270,72381.610,53736.422,72381.610,0.000
69,193.460,75767.927,75767.927,76083.534,57312.130,76083.534,0.000
70,196.289,77610.521,77610.521,79720.365,60887.838,79720.365,0.000
71,199.118,76345.958,76345.958,77147.523,58302.818,77147.523,0.000
72,201.949,74954.302,74954.302,74549.107,55717.798,74549.107,0.000
73,204.781,71251.677,71251.677,71948.450,53132.778,71948.450,0.000
74,207.615,69779.865,69779.865,69362.030,50547.759,69362.030,0.000
75,210.449,66139.178,66139.178,66794.971,47962.739,66794.971,0.000
76,213.284,64130.240,64130.240,64240.432,45377.719,64240.432,0.000
77,216.121,61994.240,61994.240,61683.338,42792.699,61683.338,0.000
78,218.959,60112.490,60112.490,60037.704,41138.214,60037.704,0.000
79,221.798,58224.959,58224.959,58362.063,39483.730,58362.063,0.000
80,224.637,56722.990,56722.990,56655.329,37829.245,56655.329,0.000
81,227.478,54950.615,54950.615,54926.118,36174.760,54926.118,0.000
82,230.321,53408.115,53408.115,53188.686,34520.276,53188.686,0.000
83,233.164,51774.865,51774.865,51457.159,32865.791,51457.159,0.000
84,236.008,50027.896,50027.896,49740.651,31211.306,49740.651,0.000
85,238.853,48107.146,48107.146,48041.001,29556.821,48041.001,0.000
86,241.700,46295.115,46295.115,46251.972,27800.901,46251.972,0.000
87,244.547,44168.084,44168.084,44466.235,26044.980,44466.235,0.000
88,247.396,42183.928,42183.928,42674.434,24289.059,42674.434,0.000
89,250.245,40990.772,40990.772,40869.584,22533.138,40869.584,0.000
90,253.096,38845.678,38845.678,39048.981,20777.217,39048.981,0.000
91,255.948,36708.897,36708.897,37214.831,19021.296,37214.831,0.000
92,258.800,35842.804,35842.804,35373.660,17265.375,35373.660,0.000
93,261.654,34247.805,34247.805,33534.699,15509.455,33534.699,0.000
94,264.509,33255.992,33255.992,32740.248,14786.170,32740.248,0.000
95,267.365,32042.773,32042.773,31965.372,14062.885,31965.372,0.000
96,270.222,30840.586,30840.586,31213.912,13339.600,31213.912,0.000
97,273.079,30043.930,30043.930,30484.950,12616.316,30484.950,0.000
98,275.938,29367.367,29367.367,29773.147,11893.031,29773.147,0.000
99,278.798,29015.774,29015.774,29070.161,11169.746,29070.161,0.000
100,281.659,28119.243,28119.243,28366.724,10446.462,28366.724,0.000
101,284.521,27573.211,27573.211,27654.801,9723.177,27654.801,0.000
102,287.384,27630.149,27630.149,26929.311,8999.892,26929.311,0.000
103,290.248,26767.243,26767.243,26625.104,8712.695,26625.104,0.000
104,293.113,26392.212,26392.212,26308.589,8425.497,26308.589,0.000
105,295.979,25914.305,25914.305,25984.985,8138.300,25984.985,0.000
106,298.845,25753.899,25753.899,25660.692,7851.102,25660.692,0.000
107,301.713,25344.180,25344.180,25341.698,7563.905,25341.698,0.000
108,304.582,25145.087,25145.087,25032.429,7276.707,25032.429,0.000
109,307.452,24567.493,24567.493,24735.257,6989.510,24735.257,0.000
110,310.322,24696.056,24696.056,24450.625,6702.312,24450.625,0.000
111,313.194,24188.212,24188.212,24177.536,6415.115,24177.536,0.000
112,316.066,24511.556,24511.556,24116.395,6330.240,24116.395,0.000
113,318.940,23740.869,23740.869,24062.460,6245.366,24062.460,0.000
114,321.814,24323.463,24323.463,24013.127,6160.492,24013.127,0.000
115,324.690,23836.306,23836.306,23965.974,6075.618,23965.974,0.000
116,327.566,23654.463,23654.463,23919.295,5990.744,23919.295,0.000
117,330.443,23508.275,23508.275,23872.751,5905.870,23872.751,0.000
118,333.322,23288.744,23288.744,23827.958,5820.995,23827.958,0.000
119,336.201,23837.713,23837.713,23788.709,5736.121,23788.709,0.000
120,339.081,23503.338,23503.338,23760.616,5651.247,23760.616,0.000
121,341.961,23552.869,23552.869,23750.102,5566.373,23750.102,0.000
122,344.843,23588.713,23588.713,23592.717,5311.279,23592.717,0.000
123,347.726,23857.369,23857.369,23462.201,5056.186,23462.201,0.000
124,350.610,23290.900,23290.900,23358.505,4801.092,23358.505,0.000
125,353.494,23947.682,23947.682,23277.243,4545.998,23277.243,0.000
126,356.379,23604.151,23604.151,23209.592,4290.905,23209.592,0.000
127,359.266,23500.244,23500.244,23142.753,4035.811,23142.753,0.000
128,362.153,23213.401,23213.401,23060.757,3780.717,23060.757,0.000
129,365.041,23599.245,23599.245,22945.409,3525.624,22945.409,0.000
130,367.929,23413.495,23413.495,22777.282,3270.530,22777.282,0.000
131,370.819,22801.432,22801.432,22536.784,3015.436,22536.784,0.000
132,373.710,22112.526,22112.526,22198.534,2753.424,22198.534,0.000
133,376.601,21776.339,21776.339,21753.716,2491.411,21753.716,0.000
134,379.493,20732.433,20732.433,21191.200,2229.398,21191.200,0.000
135,382.386,19860.183,19860.183,20506.349,1967.385,20506.349,0.000
136,385.280,18505.589,18505.589,19702.543,1705.372,19702.543,0.000
137,388.175,17828.589,17828.589,18791.883,1443.359,18791.883,0.000
138,391.071,17062.839,17062.839,17794.741,1181.346,17794.741,0.000
139,393.967,15739.715,15739.715,16738.063,919.334,16738.063,0.000
140,396.864,15321.277,15321.277,15652.624,657.321,15652.624,0.000
141,399.762,14220.277,14220.277,14569.682,395.308,14569.682,0.000
142,402.661,13659.277,13659.277,13517.646,133.295,13517.646,0.000
143,405.561,13184.652,13184.652,12903.060,255.000,12903.060,0.000
144,408.461,12454.996,12454.996,12357.758,376.706,12357.758,0.000
145,411.363,12090.058,12090.058,11889.545,498.411,11889.545,0.000
146,414.265,11919.871,11919.871,11499.157,620.116,11499.157,0.000
147,417.167,11468.715,11468.715,11181.766,741.822,11181.766,0.000
148,420.071,11228.496,11228.496,10928.931,863.527,10928.931,0.000
149,422.976,11081.934,11081.934,10730.549,985.232,10730.549,0.000
150,425.881,10727.496,10727.496,10576.515,1106.937,10576.515,0.000
151,428.787,10638.402,10638.402,10457.886,1228.643,10457.886,0.000
152,431.693,10314.965,10314.965,10367.503,1350.348,10367.503,0.000
153,434.601,10145.621,10145.621,10300.141,1472.053,10300.141,0.000
154,437.509,10029.340,10029.340,10097.589,1439.039,10097.589,0.000
155,440.418,9702.246,9702.246,9912.398,1406.024,9912.398,0.000
156,443.328,9584.246,9584.246,9743.248,1373.009,9743.248,0.000
