ch,keV,net,fit,model,continuum_raw,Co-60
437,1281.396,7656.625,7656.625,7898.482,449.334,7898.482
438,1284.386,8582.531,8582.531,8998.450,490.183,8998.450
439,1287.375,9743.375,9743.375,10175.691,531.032,10175.691
440,1290.364,11169.594,11169.594,11417.580,571.880,11417.580
441,1293.354,12227.812,12227.812,12708.210,612.729,12708.210
442,1296.343,13433.937,13433.937,14028.498,653.577,14028.498
443,1299.332,14787.656,14787.656,15356.482,694.426,15356.482
444,1302.321,16200.375,16200.375,16667.806,735.275,16667.806
445,1305.309,17186.594,17186.594,17936.381,776.123,17936.381
446,1308.298,18997.281,18997.281,19135.206,816.972,19135.206
447,1311.286,19995.812,19995.812,20237.301,857.820,20237.301
448,1314.275,20662.812,20662.812,21216.720,898.669,21216.720
449,1317.263,22327.469,22327.469,22049.582,939.517,22049.582
450,1320.251,22160.469,22160.469,22637.827,903.137,22637.827
451,1323.239,23607.437,23607.437,23041.809,866.756,23041.809
452,1326.227,23561.250,23561.250,23249.351,830.375,23249.351
453,1329.215,23610.531,23610.531,23253.517,793.994,23253.517
454,1332.202,23915.281,23915.281,23052.937,757.613,23052.937
455,1335.190,23014.437,23014.437,22651.867,721.232,22651.867
456,1338.177,23506.375,23506.375,22059.999,684.852,22059.999
457,1341.164,21738.719,21738.719,21292.022,648.471,21292.022
458,1344.151,21366.687,21366.687,20366.969,612.090,20366.969
459,1347.138,20366.469,20366.469,19307.389,575.709,19307.389
460,1350.124,18348.844,18348.844,18138.389,539.328,18138.389
461,1353.111,17855.969,17855.969,16886.607,502.947,16886.607
462,1356.097,16058.969,16058.969,15579.178,466.567,15579.178
463,1359.084,15078.094,15078.094,14242.739,430.186,14242.739
464,1362.070,13654.031,13654.031,12902.531,393.805,12902.531
465,1365.056,11302.969,11302.969,11581.636,357.424,11581.636
466,1368.042,10533.094,10533.094,10300.373,321.043,10300.373
467,1371.027,8962.656,8962.656,9075.877,284.662,9075.877
468,1374.013,8016.250,8016.250,7921.854,248.282,7921.854
469,1376.998,6804.375,6804.375,6848.520,211.901,6848.520
470,1379.983,5685.531,5685.531,5862.690,175.520,5862.690
471,1382.968,4819.969,4819.969,4968.004,139.139,4968.004
472,1385.953,3944.250,3944.250,4165.254,102.758,4165.254
473,1388.938,3276.656,3276.656,3452.786,66.377,3452.786
474,1391.922,2760.187,2760.187,2869.622,72.675,2869.622
475,1394.906,2228.250,2228.250,2367.873,78.973,2367.873
476,1397.890,1812.187,1812.187,1941.224,85.271,1941.224
477,1400.874,1517.000,1517.000,1582.661,91.569,1582.661
478,1403.858,1220.031,1220.031,1284.835,97.867,1284.835
479,1406.842,957.375,957.375,1040.369,104.165,1040.369
480,1409.825,815.750,815.750,842.104,110.463,842.104
481,1412.809,605.562,605.562,683.290,116.761,683.290
482,1415.792,537.062,537.062,557.712,123.058,557.712
483,1418.774,517.125,517.125,459.771,129.356,459.771
484,1421.757,385.312,385.312,384.524,135.654,384.524
485,1424.740,345.437,345.437,327.681,141.952,327.681
486,1427.722,302.750,302.750,285.586,148.250,285.586
487,1430.704,307.781,307.781,255.168,154.548,255.168
488,1433.686,282.312,282.312,233.889,160.846,233.889
489,1436.668,235.625,235.625,219.681,167.144,219.681
490,1439.650,264.031,264.031,210.883,173.441,210.883
491,1442.631,255.156,255.156,206.178,179.739,206.178
492,1445.612,245.125,245.125,204.534,186.037,204.534
493,1448.593,226.969,226.969,205.158,192.335,205.158
494,1451.574,251.156,251.156,207.440,198.633,207.440
495,1454.554,221.625,221.625,210.925,204.931,210.925
496,1457.535,227.875,227.875,215.270,211.229,215.270
497,1460.515,221.875,221.875,220.227,217.527,220.227
498,1463.495,252.031,252.031,225.612,223.824,225.612
499,1466.475,201.687,201.687,224.000,222.827,224.000
500,1469.454,199.750,199.750,222.592,221.830,222.592
501,1472.434,209.406,209.406,221.323,220.832,221.323
502,1475.413,219.969,219.969,220.148,219.835,220.148
503,1478.392,187.875,187.875,219.035,218.838,219.035
504,1481.371,184.500,184.500,217.964,217.840,217.964
505,1484.349,199.000,199.000,216.920,216.843,216.920
506,1487.328,198.719,198.719,215.893,215.845,215.893
507,1490.306,198.562,198.562,214.877,214.848,214.877
508,1493.284,197.594,197.594,213.868,213.851,213.868
509,1496.261,195.375,195.375,212.864,212.853,212.864
510,1499.239,186.094,186.094,211.862,211.856,211.862
511,1502.216,210.344,210.344,210.862,210.858,210.862
512,1505.193,188.281,188.281,209.863,209.861,209.863
513,1508.170,200.000,200.000,208.865,208.864,208.865
514,1511.146,194.500,194.500,207.867,207.866,207.867
515,1514.123,191.437,191.437,206.869,206.869,206.869
516,1517.099,191.062,191.062,205.872,205.872,205.872
517,1520.075,198.250,198.250,204.874,204.874,204.874
518,1523.051,208.594,208.594,203.877,203.877,203.877
519,1526.026,194.344,194.344,202.879,202.879,202.879
520,1529.001,211.281,211.281,201.882,201.882,201.882
521,1531.976,175.562,175.562,200.885,200.885,200.885
522,1534.951,213.312,213.312,199.887,199.887,199.887
523,1537.926,190.125,190.125,198.890,198.890,198.890
524,1540.900,178.719,178.719,198.177,198.177,198.177
525,1543.874,189.000,189.000,197.464,197.464,197.464
526,1546.848,197.531,197.531,196.752,196.752,196.752
527,1549.821,202.344,202.344,196.039,196.039,196.039
528,1552.795,215.562,215.562,195.326,195.326,195.326
529,1555.768,227.469,227.469,194.614,194.614,194.614
530,1558.741,201.344,201.344,193.901,193.901,193.901
531,1561.714,219.281,219.281,193.188,193.188,193.188
532,1564.686,234.750,234.750,192.476,192.476,192.476
533,1567.658,201.562,201.562,191.763,191.763,191.763
534,1570.630,219.594,219.594,191.050,191.050,191.050
535,1573.602,224.719,224.719,190.338,190.338,190.338
536,1576.573,201.500,201.500,189.625,189.625,189.625
537,1579.544,180.656,180.656,188.912,188.912,188.912
538,1582.515,203.937,203.937,188.200,188.200,188.200
539,1585.486,201.437,201.437,187.487,187.487,187.487
540,1588.456,204.844,204.844,186.774,186.774,186.774
541,1591.427,205.625,205.625,186.062,186.062,186.062
542,1594.397,209.250,209.250,185.349,185.349,185.349
543,1597.366,234.687,234.687,184.636,184.636,184.636
544,1600.336,158.031,158.031,183.924,183.924,183.924
545,1603.305,188.625,188.625,183.211,183.211,183.211
546,1606.274,192.906,192.906,182.498,182.498,182.498
547,1609.243,204.844,204.844,181.786,181.786,181.786
548,1612.211,197.156,197.156,181.073,181.073,181.073
549,1615.179,190.000,190.000,180.360,180.360,180.360
550,1618.147,171.812,171.812,177.968,177.968,177.968
551,1621.115,164.937,164.937,175.577,175.577,175.577
552,1624.082,156.750,156.750,173.185,173.185,173.185
553,1627.049,147.531,147.531,170.793,170.793,170.793
554,1630.016,161.031,161.031,168.401,168.401,168.401
555,1632.983,134.219,134.219,166.009,166.009,166.009
556,1635.949,160.250,160.250,163.617,163.617,163.617
557,1638.915,140.062,140.062,161.225,161.225,161.225
558,1641.881,166.812,166.812,158.833,158.833,158.833
559,1644.847,166.906,166.906,156.442,156.442,156.442
560,1647.812,145.125,145.125,154.050,154.050,154.050
561,1650.777,152.594,152.594,151.658,151.658,151.658
562,1653.742,130.094,130.094,149.266,149.266,149.266
563,1656.706,144.187,144.187,146.874,146.874,146.874
564,1659.670,134.406,134.406,144.482,144.482,144.482
565,1662.634,119.531,119.531,142.090,142.090,142.090
566,1665.598,125.812,125.812,139.698,139.698,139.698
567,1668.561,140.156,140.156,137.306,137.306,137.306
568,1671.525,128.156,128.156,134.915,134.915,134.915
569,1674.487,122.031,122.031,132.523,132.523,132.523
570,1677.450,117.969,117.969,130.131,130.131,130.131
571,1680.412,111.094,111.094,127.739,127.739,127.739
572,1683.374,128.844,128.844,125.347,125.347,125.347
573,1686.336,126.656,126.656,122.955,122.955,122.955
574,1689.298,135.562,135.562,120.563,120.563,120.563
575,1692.259,124.125,124.125,118.171,118.171,118.171
576,1695.220,128.875,128.875,115.779,115.779,115.779
577,1698.181,122.687,122.687,115.713,115.713,115.713
578,1701.141,132.781,132.781,115.647,115.647,115.647
579,1704.101,126.875,126.875,115.581,115.581,115.581
580,1707.061,113.687,113.687,115.515,115.515,115.515
581,1710.020,114.375,114.375,115.449,115.449,115.449
582,1712.980,115.031,115.031,115.383,115.383,115.383
583,1715.939,123.031,123.031,115.317,115.317,115.317
584,1718.897,132.562,132.562,115.251,115.251,115.251
585,1721.856,122.031,122.031,115.185,115.185,115.185
586,1724.814,103.844,103.844,115.119,115.119,115.119
587,1727.772,109.875,109.875,115.053,115.053,115.053
588,1730.730,113.656,113.656,114.987,114.987,114.987
589,1733.687,126.000,126.000,114.921,114.921,114.921
590,1736.644,113.250,113.250,114.855,114.855,114.855
591,1739.601,111.937,111.937,114.789,114.789,114.789
592,1742.557,127.719,127.719,114.722,114.722,114.722
593,1745.513,104.437,104.437,114.656,114.656,114.656
594,1748.469,125.719,125.719,114.590,114.590,114.590
595,1751.425,134.375,134.375,114.524,114.524,114.524
596,1754.380,114.750,114.750,114.458,114.458,114.458
597,1757.335,103.969,103.969,114.392,114.392,114.392
598,1760.290,111.125,111.125,114.326,114.326,114.326
599,1763.244,139.812,139.812,114.260,114.260,114.260
600,1766.199,129.125,129.125,114.194,114.194,114.194
601,1769.152,106.812,106.812,114.128,114.128,114.128
602,1772.106,117.906,117.906,114.062,114.062,114.062
603,1775.059,116.812,116.812,113.996,113.996,113.996
604,1778.012,107.750,107.750,113.930,113.930,113.930
605,1780.965,109.187,109.187,113.393,113.393,113.393
606,1783.918,112.875,112.875,112.857,112.857,112.857
607,1786.870,97.250,97.250,112.320,112.320,112.320
608,1789.822,97.656,97.656,111.784,111.784,111.784
609,1792.773,111.594,111.594,111.247,111.247,111.247
610,1795.724,111.406,111.406,110.711,110.711,110.711
611,1798.675,118.437,118.437,110.174,110.174,110.174
612,1801.626,119.219,119.219,109.638,109.638,109.638
613,1804.576,112.156,112.156,109.101,109.101,109.101
614,1807.527,113.344,113.344,108.565,108.565,108.565
615,1810.476,101.625,101.625,108.028,108.028,108.028
616,1813.426,96.156,96.156,107.492,107.492,107.492
617,1816.375,116.250,116.250,106.955,106.955,106.955
618,1819.324,101.469,101.469,106.419,106.419,106.419
619,1822.273,103.656,103.656,105.882,105.882,105.882
620,1825.221,103.844,103.844,105.346,105.346,105.346
