ch,keV,net,fit,model,continuum_raw,Am-241,Esc-NaI,continuum
0,-13.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-10.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-7.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.475,0.000,0.000,0.007,0.007,0.002,0.005,0.000
4,-1.620,0.000,0.000,3.684,3.664,1.088,2.596,0.000
5,1.234,32.783,32.783,34.846,33.896,10.816,24.031,0.000
6,4.090,283.517,283.517,52.013,45.871,19.087,32.926,0.000
7,6.946,1530.239,1530.239,37.450,27.666,15.117,22.333,0.000
8,9.803,3567.256,3567.256,22.807,5.573,12.173,10.634,0.000
9,12.661,8357.989,8357.989,44.285,0.078,29.431,14.854,0.000
10,15.520,14496.561,14496.561,406.848,0.000,156.747,250.101,0.000
11,18.379,21450.655,21450.655,3178.983,0.000,403.813,2775.170,0.000
12,21.239,21305.505,21305.505,10874.678,0.000,478.355,10396.323,0.000
13,24.100,15017.705,15017.705,14932.162,0.000,475.950,14456.212,0.000
14,26.961,5485.455,5485.455,7507.302,0.000,349.846,7157.456,0.000
15,29.824,1388.889,1388.889,3291.884,1997.063,1964.335,1327.549,0.000
16,32.687,1514.078,1514.078,4086.014,3994.125,4000.769,85.245,0.000
17,35.550,2486.783,2486.783,6000.695,5991.188,5998.309,2.387,0.000
18,38.415,4675.428,4675.428,7999.232,7988.250,7999.199,0.034,0.000
19,41.280,8091.872,8091.872,10002.984,9985.313,10002.984,0.000,0.000
20,44.146,16416.683,16416.683,12013.159,11982.375,12013.159,0.000,0.000
21,47.012,39629.866,39629.866,14057.678,13979.438,14057.678,0.000,0.000
22,49.880,86576.661,86576.661,12256.195,11982.375,12256.195,0.000,0.000
23,52.748,136969.044,136969.044,10866.952,9985.313,10866.952,0.000,0.000
24,55.616,146482.439,146482.439,10031.173,7988.250,10031.173,0.000,0.000
25,58.486,93554.450,93554.450,9139.487,5991.188,9139.487,0.000,0.000
26,61.356,29319.255,29319.255,7155.931,3994.125,7155.931,0.000,0.000
27,64.227,4331.378,4331.378,4051.259,1997.063,4051.259,0.000,0.000
28,67.098,327.172,327.172,855.943,0.000,855.943,0.000,0.000
29,69.971,51.877,51.877,238.128,12.078,238.128,0.000,0.000
30,72.844,49.677,49.677,61.524,24.156,61.524,0.000,0.000
31,75.717,51.433,51.433,40.060,36.234,40.060,0.000,0.000
32,78.592,54.922,54.922,48.553,48.312,48.553,0.000,0.000
33,81.467,55.561,55.561,60.399,60.390,60.399,0.000,0.000
34,84.343,49.839,49.839,72.468,72.468,72.468,0.000,0.000
35,87.219,61.250,61.250,84.546,84.546,84.546,0.000,0.000
36,90.096,108.694,108.694,82.100,82.100,82.100,0.000,0.000
37,92.974,121.139,121.139,79.654,79.654,79.654,0.000,0.000
38,95.853,170.944,170.944,77.208,77.208,77.208,0.000,0.000
39,98.732,151.789,151.789,74.762,74.762,74.762,0.000,0.000
40,101.612,131.578,131.578,72.315,72.315,0.000,0.000,72.315
41,104.493,63.978,63.978,69.869,69.869,0.000,0.000,69.869
42,107.374,42.333,42.333,67.423,67.423,0.000,0.000,67.423
43,110.256,40.572,40.572,61.072,61.072,0.000,0.000,61.072
44,113.139,46.255,46.255,54.720,54.720,0.000,0.000,54.720
45,116.022,62.172,62.172,48.368,48.368,0.000,0.000,48.368
46,118.906,95.039,95.039,42.017,42.017,0.000,0.000,42.017
47,121.791,80.050,80.050,35.665,35.665,0.000,0.000,35.665
48,124.677,58.583,58.583,29.314,29.314,0.000,0.000,29.314
49,127.563,40.766,40.766,22.962,22.962,0.000,0.000,22.962
50,130.449,16.311,16.311,19.682,19.682,0.000,0.000,19.682
51,133.337,6.716,6.716,16.402,16.402,0.000,0.000,16.402
52,136.225,6.389,6.389,13.121,13.121,0.000,0.000,13.121
53,139.114,10.800,10.800,9.841,9.841,0.000,0.000,9.841
54,142.003,1.072,1.072,6.561,6.561,0.000,0.000,6.561
55,144.894,0.000,-1.861,3.280,3.280,0.000,0.000,3.280
56,147.784,1.978,1.978,0.000,0.000,0.000,0.000,0.000
57,150.676,3.378,3.378,0.000,0.000,0.000,0.000,0.000
58,153.568,4.989,4.989,0.000,0.000,0.000,0.000,0.000
59,156.461,4.422,4.422,0.000,0.000,0.000,0.000,0.000
60,159.354,1.255,1.255,0.000,0.000,0.000,0.000,0.000
61,162.248,7.316,7.316,0.000,0.000,0.000,0.000,0.000
62,165.143,1.783,1.783,0.000,0.000,0.000,0.000,0.000
63,168.039,3.328,3.328,0.000,0.000,0.000,0.000,0.000
64,170.935,0.000,-3.306,0.000,0.000,0.000,0.000,0.000
65,173.831,0.000,-1.289,0.000,0.000,0.000,0.000,0.000
66,176.729,0.000,-0.578,0.000,0.000,0.000,0.000,0.000
67,179.627,0.000,-6.473,0.000,0.000,0.000,0.000,0.000
68,182.526,0.700,0.700,0.000,0.000,0.000,0.000,0.000
69,185.425,7.028,7.028,0.000,0.000,0.000,0.000,0.000
70,188.325,2.183,2.183,0.000,0.000,0.000,0.000,0.000
71,191.226,1.244,1.244,0.000,0.000,0.000,0.000,0.000
72,194.127,0.000,-2.895,0.000,0.000,0.000,0.000,0.000
73,197.029,2.461,2.461,0.000,0.000,0.000,0.000,0.000
74,199.931,0.000,-0.734,0.000,0.000,0.000,0.000,0.000
75,202.834,0.000,-1.522,0.000,0.000,0.000,0.000,0.000
76,205.738,0.000,-0.545,0.000,0.000,0.000,0.000,0.000
77,208.643,1.672,1.672,0.000,0.000,0.000,0.000,0.000
78,211.548,0.000,-1.811,0.000,0.000,0.000,0.000,0.000
79,214.454,1.228,1.228,0.000,0.000,0.000,0.000,0.000
80,217.360,3.994,3.994,0.000,0.000,0.000,0.000,0.000
81,220.267,0.000,-2.895,0.000,0.000,0.000,0.000,0.000
82,223.174,0.000,-1.128,0.000,0.000,0.000,0.000,0.000
83,226.083,1.461,1.461,0.000,0.000,0.000,0.000,0.000
84,228.992,0.000,-0.211,0.000,0.000,0.000,0.000,0.000
85,231.901,0.000,-7.334,0.000,0.000,0.000,0.000,0.000
86,234.811,3.816,3.816,0.000,0.000,0.000,0.000,0.000
87,237.722,1.666,1.666,0.000,0.000,0.000,0.000,0.000
88,240.633,5.233,5.233,0.000,0.000,0.000,0.000,0.000
89,243.545,0.000,-4.172,0.000,0.000,0.000,0.000,0.000
90,246.458,5.983,5.983,0.000,0.000,0.000,0.000,0.000
91,249.371,0.000,-3.828,0.000,0.000,0.000,0.000,0.000
92,252.285,2.355,2.355,0.054,0.054,0.000,0.000,0.054
93,255.199,0.000,-1.261,0.109,0.109,0.000,0.000,0.109
94,258.114,0.689,0.689,0.163,0.163,0.000,0.000,0.163
95,261.030,1.039,1.039,0.218,0.218,0.000,0.000,0.218
96,263.946,0.000,-2.261,0.272,0.272,0.000,0.000,0.272
97,266.863,0.000,-0.056,0.327,0.327,0.000,0.000,0.327
98,269.780,5.116,5.116,0.381,0.381,0.000,0.000,0.381
99,272.698,0.000,-0.067,0.333,0.333,0.000,0.000,0.333
100,275.617,0.572,0.572,0.286,0.286,0.000,0.000,0.286
101,278.536,0.000,-0.784,0.238,0.238,0.000,0.000,0.238
102,281.456,2.344,2.344,0.191,0.191,0.000,0.000,0.191
103,284.376,0.161,0.161,0.143,0.143,0.000,0.000,0.143
104,287.297,0.428,0.428,0.095,0.095,0.000,0.000,0.095
105,290.219,0.000,-1.772,0.048,0.048,0.000,0.000,0.048
106,293.141,0.000,-1.734,0.000,0.000,0.000,0.000,0.000
107,296.064,0.000,-1.522,0.000,0.000,0.000,0.000,0.000
108,298.987,4.511,4.511,0.000,0.000,0.000,0.000,0.000
109,301.911,0.000,-0.256,0.000,0.000,0.000,0.000,0.000
110,304.835,5.855,5.855,0.000,0.000,0.000,0.000,0.000
111,307.760,2.016,2.016,0.000,0.000,0.000,0.000,0.000
112,310.686,0.000,-2.934,0.000,0.000,0.000,0.000,0.000
113,313.612,2.172,2.172,0.000,0.000,0.000,0.000,0.000
114,316.539,0.183,0.183,0.000,0.000,0.000,0.000,0.000
115,319.467,6.311,6.311,0.000,0.000,0.000,0.000,0.000
116,322.395,0.155,0.155,0.000,0.000,0.000,0.000,0.000
117,325.323,7.122,7.122,0.000,0.000,0.000,0.000,0.000
118,328.252,0.000,-4.067,0.000,0.000,0.000,0.000,0.000
119,331.182,0.000,-0.739,0.000,0.000,0.000,0.000,0.000
120,334.112,1.139,1.139,0.000,0.000,0.000,0.000,0.000
121,337.043,0.000,-2.722,0.000,0.000,0.000,0.000,0.000
122,339.974,0.244,0.244,0.000,0.000,0.000,0.000,0.000
123,342.906,0.000,-0.639,0.000,0.000,0.000,0.000,0.000
124,345.839,0.066,0.066,0.000,0.000,0.000,0.000,0.000
125,348.772,0.000,-2.828,0.000,0.000,0.000,0.000,0.000
126,351.706,2.083,2.083,0.000,0.000,0.000,0.000,0.000
127,354.640,0.683,0.683,0.000,0.000,0.000,0.000,0.000
128,357.574,0.067,0.067,0.000,0.000,0.000,0.000,0.000
129,360.510,1.944,1.944,0.000,0.000,0.000,0.000,0.000
130,363.446,0.000,-0.683,0.000,0.000,0.000,0.000,0.000
131,366.382,0.000,-2.817,0.000,0.000,0.000,0.000,0.000
132,369.319,1.517,1.517,0.000,0.000,0.000,0.000,0.000
133,372.256,0.000,-1.578,0.000,0.000,0.000,0.000,0.000
134,375.195,0.000,-0.545,0.000,0.000,0.000,0.000,0.000
135,378.133,0.000,-2.600,0.000,0.000,0.000,0.000,0.000
136,381.072,0.000,-1.200,0.000,0.000,0.000,0.000,0.000
137,384.012,0.000,-0.483,0.000,0.000,0.000,0.000,0.000
138,386.952,0.000,-1.145,0.000,0.000,0.000,0.000,0.000
139,389.893,0.000,-0.322,0.000,0.000,0.000,0.000,0.000
140,392.834,3.822,3.822,0.000,0.000,0.000,0.000,0.000
141,395.776,0.000,-0.933,0.000,0.000,0.000,0.000,0.000
142,398.718,1.933,1.933,0.000,0.000,0.000,0.000,0.000
143,401.661,0.000,-1.233,0.000,0.000,0.000,0.000,0.000
144,404.605,0.878,0.878,0.000,0.000,0.000,0.000,0.000
145,407.549,6.111,6.111,0.000,0.000,0.000,0.000,0.000
146,410.493,3.072,3.072,0.000,0.000,0.000,0.000,0.000
147,413.438,0.000,-2.006,0.000,0.000,0.000,0.000,0.000
148,416.384,0.000,-3.900,0.000,0.000,0.000,0.000,0.000
149,419.330,3.111,3.111,0.000,0.000,0.000,0.000,0.000
150,422.276,0.000,-1.178,0.000,0.000,0.000,0.000,0.000
151,425.223,1.428,1.428,0.000,0.000,0.000,0.000,0.000
152,428.171,0.000,-0.683,0.000,0.000,0.000,0.000,0.000
153,431.119,0.000,-0.995,0.000,0.000,0.000,0.000,0.000
154,434.068,1.039,1.039,0.000,0.000,0.000,0.000,0.000
155,437.017,0.000,-0.556,0.000,0.000,0.000,0.000,0.000
156,439.967,0.000,-2.861,0.000,0.000,0.000,0.000,0.000
157,442.917,0.589,0.589,0.000,0.000,0.000,0.000,0.000
158,445.867,0.000,-1.533,0.000,0.000,0.000,0.000,0.000
159,448.819,3.317,3.317,0.000,0.000,0.000,0.000,0.000
160,451.770,0.239,0.239,0.000,0.000,0.000,0.000,0.000
161,454.723,0.000,-1.639,0.000,0.000,0.000,0.000,0.000
162,457.675,0.000,-0.545,0.000,0.000,0.000,0.000,0.000
163,460.629,0.000,-2.328,0.000,0.000,0.000,0.000,0.000
164,463.582,0.000,-0.372,0.000,0.000,0.000,0.000,0.000
165,466.536,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
166,469.491,0.000,-2.539,0.000,0.000,0.000,0.000,0.000
167,472.446,1.483,1.483,0.000,0.000,0.000,0.000,0.000
168,475.402,0.600,0.600,0.000,0.000,0.000,0.000,0.000
169,478.358,0.000,-2.622,0.000,0.000,0.000,0.000,0.000
