ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511,continuum
156,442.637,46.905,46.905,47.609,8.565,45.591,2.018,0.000
157,445.585,56.351,56.351,47.486,8.395,45.463,2.024,0.000
158,448.533,43.466,43.466,47.374,8.226,45.325,2.048,0.000
159,451.483,41.236,41.236,47.287,8.057,45.183,2.104,0.000
160,454.432,52.632,52.632,47.252,7.887,45.041,2.211,0.000
161,457.383,38.171,38.171,47.042,7.458,44.665,2.377,0.000
162,460.334,56.028,56.028,46.966,7.029,44.300,2.666,0.000
163,463.286,46.179,46.179,47.088,6.600,43.949,3.139,0.000
164,466.239,62.711,62.711,47.493,6.171,43.613,3.880,0.000
165,469.193,56.006,56.006,48.290,5.742,43.292,4.998,0.000
166,472.147,39.171,39.171,49.606,5.313,42.981,6.625,0.000
167,475.102,60.776,60.776,51.588,4.884,42.675,8.913,0.000
168,478.058,36.272,36.272,54.386,4.455,42.367,12.019,0.000
169,481.014,57.790,57.790,58.136,4.026,42.051,16.085,0.000
170,483.971,68.675,68.675,62.930,3.597,41.722,21.208,0.000
171,486.929,69.639,69.639,68.789,3.168,41.379,27.410,0.000
172,489.887,91.287,91.287,75.626,2.739,41.019,34.607,0.000
173,492.846,73.488,73.488,84.360,3.442,41.695,42.666,0.000
174,495.806,105.531,105.531,93.512,4.144,42.364,51.149,0.000
175,498.767,103.596,103.596,102.611,4.847,43.032,59.579,0.000
176,501.728,93.200,93.200,111.100,5.550,43.705,67.395,0.000
177,504.690,108.193,108.193,118.395,6.252,44.388,74.007,0.000
178,507.652,114.092,114.092,123.958,6.955,45.088,78.870,0.000
179,510.615,150.481,150.481,127.364,7.658,45.808,81.557,0.000
180,513.579,132.574,132.574,128.368,8.360,46.548,81.820,0.000
181,516.544,137.963,137.963,126.937,9.063,47.309,79.628,0.000
182,519.509,131.891,131.891,123.258,9.766,48.087,75.171,0.000
183,522.475,125.510,125.510,117.707,10.468,48.875,68.832,0.000
184,525.441,110.949,110.949,110.797,11.171,49.666,61.131,0.000
185,528.408,82.625,82.625,103.108,11.874,50.451,52.658,0.000
186,531.376,101.395,101.395,94.195,11.559,50.217,43.978,0.000
187,534.344,84.085,84.085,85.580,11.244,49.956,35.624,0.000
188,537.313,71.884,71.884,77.653,10.928,49.667,27.987,0.000
189,540.283,61.503,61.503,70.673,10.613,49.349,21.324,0.000
190,543.253,75.783,75.783,64.765,10.298,49.007,15.758,0.000
191,546.224,66.603,66.603,59.941,9.983,48.648,11.293,0.000
192,549.195,65.481,65.481,56.128,9.668,48.279,7.849,0.000
193,552.167,49.165,49.165,53.198,9.353,47.908,5.291,0.000
194,555.140,54.309,54.309,51.001,9.038,47.543,3.458,0.000
195,558.113,48.402,48.402,49.382,8.723,47.189,2.192,0.000
196,561.087,46.553,46.553,48.199,8.408,46.851,1.348,0.000
197,564.061,50.913,50.913,47.335,8.093,46.531,0.804,0.000
198,567.036,43.970,43.970,46.693,7.778,46.229,0.465,0.000
199,570.012,43.625,43.625,46.593,7.853,46.333,0.261,0.000
200,572.988,36.078,36.078,46.594,7.927,46.453,0.142,0.000
201,575.965,46.798,46.798,46.662,8.001,46.587,0.075,0.000
202,578.942,53.064,53.064,46.773,8.076,46.735,0.038,0.000
203,581.920,64.934,64.934,46.914,8.150,46.895,0.019,0.000
204,584.898,42.366,42.366,47.078,8.224,47.068,0.009,0.000
205,587.877,38.906,38.906,47.258,8.299,47.254,0.004,0.000
206,590.857,50.237,50.237,47.455,8.373,47.453,0.002,0.000
207,593.837,57.517,57.517,47.665,8.447,47.665,0.001,0.000
208,596.817,40.474,40.474,47.889,8.522,47.889,0.000,0.000
209,599.799,70.582,70.582,48.125,8.596,48.125,0.000,0.000
210,602.780,36.467,36.467,48.371,8.670,48.371,0.000,0.000
211,605.763,49.690,49.690,48.624,8.745,48.624,0.000,0.000
212,608.745,51.733,51.733,48.883,8.819,48.883,0.000,0.000
213,611.729,50.201,50.201,48.804,8.553,48.804,0.000,0.000
214,614.712,49.596,49.596,48.724,8.288,48.724,0.000,0.000
215,617.697,57.992,57.992,48.640,8.022,48.640,0.000,0.000
216,620.682,30.337,30.337,48.551,7.757,48.551,0.000,0.000
217,623.667,48.129,48.129,48.455,7.491,48.455,0.000,0.000
218,626.653,46.575,46.575,48.349,7.226,48.349,0.000,0.000
219,629.639,53.395,53.395,48.234,6.960,48.234,0.000,0.000
220,632.626,52.107,52.107,48.108,6.695,48.108,0.000,0.000
221,635.613,48.899,48.899,47.972,6.429,47.972,0.000,0.000
222,638.601,38.323,38.323,47.827,6.164,47.827,0.000,0.000
223,641.590,68.294,68.294,47.672,5.898,47.672,0.000,0.000
224,644.579,52.265,52.265,47.509,5.633,47.509,0.000,0.000
225,647.568,48.474,48.474,47.337,5.367,47.337,0.000,0.000
226,650.558,51.366,51.366,47.159,5.102,47.159,0.000,0.000
227,653.548,43.122,43.122,47.368,5.229,47.368,0.000,0.000
228,656.539,61.150,61.150,47.571,5.357,47.571,0.000,0.000
229,659.530,62.582,62.582,47.772,5.485,47.772,0.000,0.000
230,662.522,28.265,28.265,47.969,5.612,47.969,0.000,0.000
231,665.514,44.546,44.546,48.165,5.740,48.165,0.000,0.000
232,668.506,33.373,33.373,48.361,5.867,48.361,0.000,0.000
233,671.499,60.690,60.690,48.558,5.995,48.558,0.000,0.000
234,674.493,48.086,48.086,48.757,6.123,48.757,0.000,0.000
235,677.487,46.337,46.337,48.958,6.250,48.958,0.000,0.000
236,680.481,53.553,53.553,49.163,6.378,49.163,0.000,0.000
237,683.476,53.812,53.812,49.372,6.506,49.372,0.000,0.000
238,686.471,49.273,49.273,49.586,6.633,49.586,0.000,0.000
239,689.467,54.093,54.093,49.805,6.761,49.805,0.000,0.000
240,692.463,45.265,45.265,50.031,6.889,50.031,0.000,0.000
241,695.460,57.345,57.345,50.265,7.016,50.265,0.000,0.000
242,698.456,51.834,51.834,50.388,7.024,50.388,0.000,0.000
243,701.454,49.762,49.762,50.520,7.032,50.520,0.000,0.000
244,704.452,50.258,50.258,50.663,7.039,50.663,0.000,0.000
