ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511,continuum
404,1187.182,9.259,9.259,14.959,3.698,14.959,0.000,0.000
405,1190.206,10.870,10.870,10.940,2.465,10.940,0.000,0.000
406,1193.230,6.259,6.259,7.535,1.233,7.535,0.000,0.000
407,1196.254,1.410,1.410,4.631,0.000,4.631,0.000,0.000
408,1199.278,4.870,4.870,3.363,0.000,3.363,0.000,0.000
409,1202.302,10.021,10.021,2.413,0.000,2.413,0.000,0.000
410,1205.325,0.165,0.165,1.711,0.000,1.711,0.000,0.000
411,1208.349,5.877,5.877,1.199,0.000,1.199,0.000,0.000
412,1211.373,0.798,0.798,0.830,0.000,0.830,0.000,0.000
413,1214.396,0.000,-2.302,0.568,0.000,0.568,0.000,0.000
414,1217.420,1.266,1.266,0.384,0.000,0.384,0.000,0.000
415,1220.443,0.050,0.050,0.257,0.000,0.257,0.000,0.000
416,1223.467,3.734,3.734,0.169,0.000,0.169,0.000,0.000
417,1226.490,0.021,0.021,0.111,0.000,0.111,0.000,0.000
418,1229.513,0.000,-0.763,0.071,0.000,0.071,0.000,0.000
419,1232.536,2.201,2.201,0.045,0.000,0.045,0.000,0.000
420,1235.559,0.000,-0.986,0.029,0.000,0.029,0.000,0.000
421,1238.582,0.000,-2.410,0.018,0.000,0.018,0.000,0.000
422,1241.605,0.000,-1.943,0.011,0.000,0.011,0.000,0.000
423,1244.628,0.446,0.446,0.007,0.000,0.007,0.000,0.000
424,1247.651,0.000,-3.619,0.004,0.000,0.004,0.000,0.000
425,1250.674,0.000,-0.619,0.002,0.000,0.002,0.000,0.000
426,1253.696,0.000,-1.159,0.001,0.000,0.001,0.000,0.000
427,1256.719,0.000,-2.727,0.001,0.000,0.001,0.000,0.000
428,1259.741,0.777,0.777,0.000,0.000,0.000,0.000,0.000
429,1262.764,0.000,-1.511,0.000,0.000,0.000,0.000,0.000
430,1265.786,0.000,-0.900,0.000,0.000,0.000,0.000,0.000
431,1268.808,4.345,4.345,0.000,0.000,0.000,0.000,0.000
432,1271.830,0.000,-0.583,0.000,0.000,0.000,0.000,0.000
433,1274.852,0.000,-1.079,0.000,0.000,0.000,0.000,0.000
434,1277.874,2.352,2.352,0.000,0.000,0.000,0.000,0.000
435,1280.895,3.345,3.345,0.000,0.000,0.000,0.000,0.000
436,1283.917,0.000,-0.123,0.000,0.000,0.000,0.000,0.000
437,1286.939,0.000,-2.187,0.000,0.000,0.000,0.000,0.000
438,1289.960,1.856,1.856,0.000,0.000,0.000,0.000,0.000
439,1292.981,0.000,-2.324,0.000,0.000,0.000,0.000,0.000
440,1296.002,0.000,-1.374,0.000,0.000,0.000,0.000,0.000
441,1299.023,3.029,3.029,0.000,0.000,0.000,0.000,0.000
442,1302.044,4.172,4.172,0.000,0.000,0.000,0.000,0.000
443,1305.065,0.000,-1.151,0.000,0.000,0.000,0.000,0.000
444,1308.086,2.525,2.525,0.000,0.000,0.000,0.000,0.000
445,1311.106,1.777,1.777,0.000,0.000,0.000,0.000,0.000
446,1314.127,2.568,2.568,0.000,0.000,0.000,0.000,0.000
447,1317.147,0.000,-0.971,0.000,0.000,0.000,0.000,0.000
448,1320.167,0.000,-0.971,0.000,0.000,0.000,0.000,0.000
449,1323.187,0.000,-0.216,0.000,0.000,0.000,0.000,0.000
450,1326.207,4.784,4.784,0.000,0.000,0.000,0.000,0.000
451,1329.227,0.000,-0.252,0.000,0.000,0.000,0.000,0.000
452,1332.247,0.000,-0.468,0.000,0.000,0.000,0.000,0.000
453,1335.266,0.000,-4.144,0.000,0.000,0.000,0.000,0.000
454,1338.286,4.568,4.568,0.000,0.000,0.000,0.000,0.000
455,1341.305,0.000,-1.403,0.000,0.000,0.000,0.000,0.000
456,1344.324,0.000,-3.475,0.000,0.000,0.000,0.000,0.000
457,1347.343,0.000,-1.079,0.000,0.000,0.000,0.000,0.000
458,1350.362,0.000,-1.964,0.000,0.000,0.000,0.000,0.000
459,1353.381,0.000,-4.367,0.000,0.000,0.000,0.000,0.000
460,1356.399,0.000,-0.935,0.000,0.000,0.000,0.000,0.000
461,1359.417,2.208,2.208,0.000,0.000,0.000,0.000,0.000
462,1362.436,2.208,2.208,0.000,0.000,0.000,0.000,0.000
463,1365.454,0.000,-4.648,0.000,0.000,0.000,0.000,0.000
464,1368.472,2.129,2.129,0.000,0.000,0.000,0.000,0.000
465,1371.489,0.000,-3.943,0.000,0.000,0.000,0.000,0.000
466,1374.507,0.201,0.201,0.000,0.000,0.000,0.000,0.000
467,1377.524,0.000,-3.151,0.000,0.000,0.000,0.000,0.000
468,1380.542,6.381,6.381,0.000,0.000,0.000,0.000,0.000
469,1383.559,2.525,2.525,0.000,0.000,0.000,0.000,0.000
470,1386.576,0.000,-5.446,0.000,0.000,0.000,0.000,0.000
471,1389.592,3.057,3.057,0.000,0.000,0.000,0.000,0.000
472,1392.609,0.381,0.381,0.000,0.000,0.000,0.000,0.000
