ch,keV,net,fit,model,continuum_raw,Lu-176,Xray-Lu,continuum
0,-8.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-8.538,0.000,0.000,0.020,0.020,0.019,0.001,0.000
2,-8.153,0.000,0.000,0.040,0.040,0.038,0.002,0.000
3,-7.768,0.000,0.000,0.061,0.061,0.058,0.003,0.000
4,-7.383,0.000,0.000,0.081,0.081,0.077,0.004,0.000
5,-6.998,0.000,-0.082,0.101,0.101,0.096,0.005,0.000
6,-6.613,0.000,-0.163,0.121,0.121,0.115,0.006,0.000
7,-6.228,0.000,-0.130,0.142,0.142,0.135,0.007,0.000
8,-5.843,0.000,-0.196,0.162,0.162,0.154,0.008,0.000
9,-5.458,0.000,-0.196,0.184,0.184,0.175,0.009,0.000
10,-5.073,0.000,-0.277,0.207,0.207,0.196,0.010,0.000
11,-4.687,0.000,-0.261,0.233,0.233,0.222,0.011,0.000
12,-4.302,0.000,-0.245,0.267,0.267,0.254,0.013,0.000
13,-3.917,0.592,0.592,0.316,0.316,0.300,0.015,0.000
14,-3.532,0.000,-0.408,0.390,0.390,0.371,0.019,0.000
15,-3.147,0.000,-0.310,0.506,0.506,0.481,0.025,0.000
16,-2.762,0.000,-0.571,0.684,0.684,0.651,0.033,0.000
17,-2.377,0.641,0.641,0.948,0.948,0.901,0.046,0.000
18,-1.992,0.000,-0.375,1.316,1.316,1.252,0.064,0.000
19,-1.607,0.000,-0.261,1.798,1.798,1.711,0.087,0.000
20,-1.222,0.000,-0.473,2.388,2.388,2.272,0.116,0.000
21,-0.837,0.674,0.674,3.060,3.060,2.911,0.149,0.000
22,-0.452,0.000,-0.391,3.771,3.771,3.588,0.183,0.000
23,-0.067,0.000,-0.440,4.470,4.470,4.253,0.218,0.000
24,0.318,0.413,0.413,5.111,5.111,4.862,0.249,0.000
25,0.703,1.332,1.332,5.659,5.659,5.384,0.275,0.000
26,1.088,6.957,6.957,6.102,6.102,5.806,0.297,0.000
27,1.473,2.288,2.288,6.445,6.445,6.131,0.314,0.000
28,1.858,8.701,8.701,6.702,6.702,6.376,0.326,0.000
29,2.243,11.441,11.441,6.894,6.894,6.559,0.335,0.000
30,2.628,8.691,8.691,7.038,7.038,6.695,0.342,0.000
31,3.013,11.511,11.511,7.145,7.145,6.798,0.348,0.000
32,3.398,12.185,12.185,7.226,7.226,6.874,0.352,0.000
33,3.784,13.664,13.664,7.286,7.286,6.931,0.354,0.000
34,4.169,15.533,15.533,7.332,7.332,6.975,0.357,0.000
35,4.554,18.946,18.946,7.370,7.370,7.011,0.359,0.000
36,4.939,12.832,12.832,7.407,7.407,7.046,0.360,0.000
37,5.324,29.441,29.441,7.446,7.446,7.084,0.362,0.000
38,5.709,17.392,17.392,7.491,7.491,7.127,0.364,0.000
39,6.094,23.229,23.229,7.544,7.544,7.177,0.367,0.000
40,6.479,17.213,17.213,7.606,7.606,7.236,0.370,0.000
41,6.864,23.463,23.463,7.680,7.680,7.306,0.374,0.000
42,7.249,14.941,14.941,7.766,7.766,7.388,0.378,0.000
43,7.634,26.430,26.430,7.869,7.869,7.486,0.383,0.000
44,8.019,23.485,23.485,7.990,7.990,7.601,0.389,0.000
45,8.404,21.957,21.957,8.134,8.134,7.738,0.396,0.000
46,8.789,26.794,26.794,8.304,8.304,7.900,0.404,0.000
47,9.174,34.615,34.615,8.506,8.506,8.092,0.414,0.000
48,9.559,16.403,16.403,8.744,8.744,8.318,0.425,0.000
49,9.944,15.441,15.441,9.024,9.024,8.585,0.439,0.000
50,10.329,25.093,25.093,9.352,9.352,8.897,0.455,0.000
51,10.714,15.947,15.947,9.736,9.736,9.263,0.474,0.000
52,11.099,9.669,9.669,10.183,10.183,9.687,0.495,0.000
53,11.484,16.881,16.881,10.700,10.700,10.179,0.521,0.000
