ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
0,-8.460,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.725,0.000,0.000,0.141,0.141,0.036,0.106
2,-2.988,0.000,0.000,0.282,0.282,0.071,0.211
3,-0.249,0.000,0.000,0.424,0.424,0.107,0.317
4,2.491,0.000,0.000,0.565,0.565,0.142,0.423
5,5.233,1.063,1.063,0.706,0.706,0.178,0.528
6,7.978,35.348,35.348,0.847,0.847,0.213,0.634
7,10.724,290.945,290.945,0.988,0.988,0.249,0.740
8,13.471,1420.508,1420.508,1800.030,1800.030,452.809,1347.221
9,16.221,3043.736,3043.736,3599.071,3599.071,905.369,2693.702
10,18.972,5908.069,5908.069,5398.113,5398.113,1357.930,4040.183
11,21.725,8299.701,8299.701,7197.154,7197.154,1810.490,5386.664
12,24.480,10809.014,10809.014,8996.196,8996.196,2263.050,6733.145
13,27.237,10632.450,10632.450,10795.237,10795.237,2715.611,8079.627
14,29.995,11549.874,11549.874,12594.279,12594.279,3168.171,9426.108
15,32.755,12401.760,12401.760,12601.487,12601.487,3169.984,9431.503
16,35.517,12814.934,12814.934,12608.696,12608.696,3171.798,9436.898
17,38.281,12722.987,12722.987,12615.904,12615.904,3173.611,9442.293
18,41.046,13079.117,13079.117,12623.113,12623.113,3175.425,9447.688
19,43.813,12607.428,12607.428,12630.321,12630.321,3177.238,9453.084
20,46.582,12292.044,12292.044,12637.530,12637.530,3179.051,9458.479
21,49.353,12773.601,12773.601,12644.738,12644.738,3180.865,9463.874
22,52.125,13121.950,13121.950,13059.358,13059.358,3285.165,9774.193
23,54.899,13647.677,13647.677,13473.978,13473.977,3389.465,10084.513
24,57.674,13794.813,13794.813,13888.599,13888.597,3493.765,10394.834
25,60.451,14137.518,14137.518,14303.243,14303.216,3598.070,10705.173
26,63.230,13892.049,13892.049,14718.069,14717.836,3702.403,11015.666
27,66.011,13971.045,13971.045,15134.091,15132.455,3806.923,11327.168
28,68.793,14856.669,14856.669,15556.272,15547.075,3912.390,11643.882
29,71.577,15229.140,15229.140,14966.074,14924.474,3760.672,11205.402
30,74.362,15647.267,15647.267,14453.924,14301.874,3620.380,10833.544
31,77.149,16290.499,16290.499,14130.760,13679.274,3506.872,10623.888
32,79.938,16051.126,16051.126,14153.269,13056.674,3440.287,10712.982
33,82.728,15997.390,15997.390,14633.278,12434.074,3431.753,11201.525
34,85.520,15906.176,15906.176,15501.641,11811.473,3465.381,12036.259
35,88.313,16268.451,16268.451,16467.014,11188.873,3496.490,12970.525
36,91.109,16953.158,16953.158,17769.257,11169.283,3628.636,14140.622
37,93.905,17673.995,17673.995,18594.651,11149.693,3689.177,14905.474
38,96.703,17866.322,17866.322,18966.517,11130.103,3691.907,15274.610
39,99.503,17954.375,17954.375,19041.781,11110.514,3666.560,15375.221
40,102.305,18767.342,18767.342,18979.643,11090.924,3638.061,15341.582
41,105.108,18705.004,18705.004,18888.397,11071.334,3619.400,15268.997
42,107.912,18980.885,18980.885,18824.949,11051.744,3614.120,15210.828
43,110.718,19724.545,19724.545,19294.786,11526.149,3746.549,15548.236
44,113.526,20313.758,20313.758,19784.563,12000.555,3888.723,15895.840
45,116.335,20521.990,20521.990,20270.977,12474.960,4040.685,16230.292
46,119.145,21070.824,21070.824,20744.710,12949.366,4205.008,16539.701
47,121.957,21055.629,21055.629,21207.612,13423.772,4382.693,16824.920
48,124.771,21209.014,21209.014,21663.682,13898.177,4568.553,17095.128
49,127.586,21412.978,21412.978,22119.425,14372.583,4751.003,17368.422
50,130.402,22066.155,22066.155,22088.828,14344.885,4788.351,17300.477
51,133.220,22353.105,22353.105,22100.605,14317.187,4804.367,17296.237
52,136.040,22541.903,22541.903,22179.455,14289.489,4804.192,17375.263
53,138.861,22661.684,22661.684,22328.512,14261.791,4799.180,17529.332
54,141.683,22442.047,22442.047,22518.853,14234.093,4798.480,17720.372
55,144.507,22660.642,22660.642,22700.575,14206.395,4803.421,17897.154
56,147.332,23245.953,23245.953,22830.064,14178.697,4808.976,18021.088
57,150.159,24025.813,24025.813,23811.096,15068.741,5049.038,18762.058
58,152.987,24309.010,24309.010,24744.072,15958.786,5285.722,19458.350
59,155.817,25107.412,25107.412,25660.818,16848.830,5524.447,20136.371
60,158.648,25662.944,25662.944,26582.939,17738.875,5771.332,20811.607
61,161.480,26948.322,26948.322,27509.847,18628.920,6028.453,21481.394
62,164.314,27835.156,27835.156,28425.175,19518.964,6292.262,22132.914
63,167.149,29413.229,29413.229,29313.772,20409.009,6555.465,22758.308
64,169.986,29581.607,29581.607,29208.173,20332.050,6555.582,22652.591
65,172.824,30160.148,30160.148,29090.509,20255.090,6541.261,22549.249
66,175.663,29911.681,29911.681,28981.635,20178.131,6510.993,22470.642
67,178.504,29955.281,29955.281,28896.566,20101.172,6467.298,22429.268
68,181.346,29691.786,29691.786,28839.113,20024.212,6416.118,22422.994
69,184.190,28813.994,28813.994,28803.687,19947.253,6365.251,22438.435
70,187.034,28718.116,28718.116,28779.905,19870.294,6322.014,22457.891
71,189.880,27955.938,27955.938,28410.157,19447.781,6198.823,22211.334
72,192.728,27878.354,27878.354,28027.412,19025.269,6088.599,21938.813
73,195.577,27162.674,27162.674,27619.988,18602.756,5989.820,21630.167
74,198.427,26906.100,26906.100,27180.304,18180.244,5900.317,21279.987
75,201.278,26170.088,26170.088,26708.600,17757.731,5818.757,20889.843
76,204.131,26321.557,26321.557,26214.194,17335.218,5744.671,20469.523
77,206.985,25707.007,25707.007,25712.412,16912.706,5677.252,20035.159
78,209.840,25796.422,25796.422,25462.993,16734.979,5680.329,19782.663
79,212.697,25633.499,25633.499,25229.542,16557.253,5683.541,19546.000
80,215.554,25174.543,25174.543,25011.388,16379.526,5681.860,19329.528
81,218.414,25132.294,25132.294,24801.200,16201.800,5671.556,19129.644
82,221.274,24221.792,24221.792,24590.476,16024.073,5651.805,18938.671
83,224.136,24288.769,24288.769,24374.645,15846.347,5624.970,18749.675
84,226.998,24264.484,24264.484,24154.972,15668.620,5595.314,18559.657
85,229.863,23838.946,23838.946,23921.360,15475.405,5562.554,18358.806
86,232.728,23481.400,23481.400,23695.392,15282.191,5532.548,18162.844
87,235.595,23909.274,23909.274,23481.282,15088.976,5503.731,17977.551
88,238.462,22875.323,22875.323,23280.991,14895.761,5472.037,17808.955
89,241.331,22974.468,22974.468,23095.439,14702.546,5432.727,17662.712
90,244.202,22940.452,22940.452,22925.616,14509.331,5382.438,17543.177
91,247.073,23153.746,23153.746,22772.295,14316.116,5320.494,17451.802
92,249.946,22999.938,22999.938,22634.508,14122.901,5248.995,17385.513
93,252.820,22092.127,22092.127,22448.644,13870.271,5155.393,17293.251
94,255.695,22251.718,22251.718,22266.678,13617.641,5060.464,17206.215
95,258.571,22053.975,22053.975,22079.793,13365.011,4967.846,17111.947
96,261.448,21550.389,21550.389,21880.783,13112.381,4879.934,17000.849
97,264.327,21724.689,21724.689,21666.718,12859.750,4797.913,16868.804
98,267.206,21429.554,21429.554,21439.991,12607.120,4722.041,16717.951
99,270.087,21123.411,21123.411,21207.312,12354.490,4651.877,16555.435
100,272.969,21254.815,21254.815,20977.150,12101.860,4586.373,16390.777
101,275.852,20789.475,20789.475,20769.559,11862.029,4527.522,16242.037
102,278.737,20482.079,20482.079,20575.562,11622.198,4469.779,16105.782
103,281.622,20396.695,20396.695,20394.778,11382.367,4411.257,15983.521
104,284.508,20071.509,20071.509,20223.355,11142.536,4350.663,15872.692
105,287.396,20262.153,20262.153,20055.624,10902.705,4287.683,15767.941
106,290.285,19938.133,19938.133,19885.870,10662.874,4223.022,15662.848
107,293.175,19831.441,19831.441,19709.486,10423.043,4158.062,15551.425
108,296.065,19427.836,19427.836,19523.138,10183.213,4094.290,15428.848
109,298.957,18738.969,18738.969,19323.965,9943.382,4032.746,15291.220
110,301.851,18783.284,18783.284,18928.780,9524.086,3922.148,15006.631
111,304.745,18505.703,18505.703,18511.182,9104.790,3813.406,14697.776
112,307.640,18245.678,18245.678,18062.542,8685.495,3705.709,14356.833
113,310.536,17890.220,17890.220,17571.891,8266.199,3598.249,13973.642
114,313.434,17409.180,17409.180,17027.451,7846.904,3490.504,13536.946
115,316.332,16296.575,16296.575,16418.986,7427.608,3382.330,13036.656
116,319.231,15769.408,15769.408,15740.403,7008.312,3273.852,12466.551
117,322.132,15208.966,15208.966,14991.892,6589.017,3165.277,11826.615
118,325.033,14424.069,14424.069,14180.994,6169.721,3056.717,11124.276
119,327.936,13890.670,13890.670,13604.061,6032.274,3030.774,10573.287
120,330.839,12878.251,12878.251,12998.886,5894.828,3004.794,9994.093
121,333.744,12202.666,12202.666,12387.385,5757.381,2978.349,9409.036
122,336.650,11478.433,11478.433,11790.524,5619.935,2950.946,8839.579
123,339.556,10938.117,10938.117,11225.488,5482.488,2922.046,8303.443
124,342.464,10420.212,10420.212,10703.812,5345.041,2891.058,7812.755
125,345.372,9965.224,9965.224,10230.767,5207.595,2857.316,7373.452
126,348.282,9714.338,9714.338,9805.915,5070.148,2820.083,6985.832
127,351.192,9483.989,9483.989,9424.507,4932.702,2778.621,6645.886
128,354.104,8996.700,8996.700,9079.273,4795.255,2732.316,6346.957
129,357.016,9188.727,9188.727,8867.365,4762.988,2711.895,6155.470
130,359.930,8818.753,8818.753,8676.272,4730.720,2686.450,5989.822
131,362.844,8625.472,8625.472,8500.339,4698.453,2656.690,5843.649
132,365.759,8505.013,8505.013,8336.089,4666.186,2623.909,5712.180
133,368.676,8226.411,8226.411,8182.264,4633.918,2589.866,5592.397
134,371.593,8226.411,8226.411,8039.493,4601.651,2556.583,5482.910
135,374.511,7928.173,7928.173,7909.664,4569.384,2526.060,5383.604
136,377.430,7592.517,7592.517,7795.100,4537.117,2499.996,5295.104
137,380.350,8018.410,8018.410,7697.684,4504.849,2479.542,5218.142
138,383.271,7697.287,7697.287,7618.080,4472.582,2465.158,5152.922
139,386.193,7404.374,7404.374,7524.875,4409.973,2447.642,5077.234
140,389.115,7222.370,7222.370,7445.474,4347.364,2435.012,5010.462
141,392.039,7611.745,7611.745,7375.373,4284.755,2425.883,4949.490
142,394.963,7056.145,7056.145,7309.170,4222.146,2418.640,4890.530
143,397.889,7003.856,7003.856,7241.445,4159.537,2411.686,4829.760
144,400.815,7298.243,7298.243,7167.637,4096.928,2403.644,4763.993
145,403.742,7046.603,7046.603,7084.722,4034.319,2393.498,4691.223
146,406.670,6869.421,6869.421,6991.548,3971.711,2380.635,4610.914
147,409.599,6890.040,6890.040,6888.807,3909.102,2364.821,4523.986
148,412.529,6866.886,6866.886,6778.681,3846.493,2346.141,4432.541
149,415.459,6777.460,6777.460,6664.314,3783.884,2324.912,4339.402
150,418.391,6661.475,6661.475,6631.829,3803.865,2325.796,4306.033
151,421.323,6516.700,6516.700,6602.081,3823.846,2325.221,4276.860
152,424.256,6537.412,6537.412,6578.105,3843.827,2323.909,4254.196
153,427.190,6597.795,6597.795,6562.410,3863.808,2322.633,4239.778
154,430.124,6690.174,6690.174,6557.087,3883.789,2322.146,4234.941
155,433.060,6532.771,6532.771,6564.133,3903.770,2323.085,4241.049
156,435.996,6630.759,6630.759,6586.064,3923.751,2325.858,4260.206
157,438.933,6622.968,6622.968,6626.891,3943.731,2330.566,4296.325
158,441.871,6699.878,6699.878,6693.616,3963.712,2336.966,4356.650
159,444.810,6929.253,6929.253,6798.423,3983.693,2344.514,4453.909
160,447.750,7142.142,7142.142,6961.744,4003.674,2352.469,4609.276
161,450.690,7863.996,7863.996,7715.455,4522.802,2504.994,5210.461
162,453.631,8272.126,8272.126,8610.361,5041.929,2656.369,5953.992
163,456.573,9489.082,9489.082,9719.012,5561.057,2806.305,6912.707
