ch,keV,net,fit,model,continuum_raw,Eu-152,continuum
72,197.536,113963.513,113963.513,112740.407,73138.854,112740.407,0.000
73,200.395,114215.329,114215.329,114908.840,76051.473,114908.840,0.000
74,203.256,117316.763,117316.763,117298.893,78964.092,117298.893,0.000
75,206.117,118925.118,118925.118,119937.365,81876.711,119937.365,0.000
76,208.980,121906.947,121906.947,122848.465,84789.331,122848.465,0.000
77,211.844,124736.947,124736.947,126113.523,87701.950,126113.523,0.000
78,214.709,127038.526,127038.526,125213.579,85871.573,125213.579,0.000
79,217.575,128385.612,128385.612,125340.544,84041.196,125340.544,0.000
80,220.443,129487.684,129487.684,127202.688,82210.819,127202.688,0.000
81,223.311,132361.500,132361.500,131699.408,80380.442,131699.408,0.000
82,226.181,137634.342,137634.342,139703.347,78550.065,139703.347,0.000
83,229.051,147235.079,147235.079,151691.288,76719.688,151691.288,0.000
84,231.923,164058.204,164058.204,167309.301,74889.311,167309.301,0.000
85,234.796,183306.783,183306.783,185716.136,73721.028,185716.136,0.000
86,237.669,204152.658,204152.658,203613.762,72552.744,203613.762,0.000
87,240.544,222088.585,222088.585,217718.962,71384.460,217718.962,0.000
88,243.420,231253.750,231253.750,224979.311,70216.176,224979.311,0.000
89,246.297,232488.019,232488.019,223536.262,69047.892,223536.262,0.000
90,249.176,224544.171,224544.171,213360.933,67879.608,213360.933,0.000
91,252.055,202851.309,202851.309,196266.807,66711.324,196266.807,0.000
92,254.935,178225.092,178225.092,175293.636,65543.041,175293.636,0.000
93,257.816,149750.987,149750.987,150004.952,60628.883,150004.952,0.000
94,260.699,123680.105,123680.105,126841.686,55714.725,126841.686,0.000
95,263.582,103165.230,103165.230,107387.580,50800.567,107387.580,0.000
96,266.466,87291.796,87291.796,92086.638,45886.409,92086.638,0.000
97,269.352,74957.223,74957.223,80550.341,40972.252,80550.341,0.000
98,272.238,68127.237,68127.237,71976.826,36058.094,71976.826,0.000
99,275.126,64390.546,64390.546,65497.658,31143.936,65497.658,0.000
100,278.014,62250.263,62250.263,60371.446,26229.778,60371.446,0.000
101,280.904,60984.559,60984.559,60038.845,25316.798,60038.845,0.000
102,283.794,60471.046,60471.046,60092.482,24403.818,60092.482,0.000
103,286.686,60506.579,60506.579,60233.362,23490.837,60233.362,0.000
104,289.578,60546.454,60546.454,60238.225,22577.857,60238.225,0.000
105,292.472,60916.355,60916.355,59954.335,21664.877,59954.335,0.000
106,295.366,59901.414,59901.414,59314.430,20751.896,59314.430,0.000
107,298.262,59929.066,59929.066,58360.447,19838.916,58360.447,0.000
108,301.158,58148.480,58148.480,57267.499,18925.936,57267.499,0.000
109,304.055,58012.473,58012.473,56365.543,18012.956,56365.543,0.000
110,306.954,57214.723,57214.723,57749.377,18689.388,57749.377,0.000
111,309.853,58861.033,58861.033,60528.623,19365.821,60528.623,0.000
112,312.753,62577.566,62577.566,65601.000,20042.254,65601.000,0.000
113,315.654,68210.184,68210.184,74031.064,20718.686,74031.064,0.000
114,318.557,80248.243,80248.243,86949.621,21395.119,86949.621,0.000
115,321.460,101906.250,101906.250,105358.624,22071.552,105358.624,0.000
116,324.364,124918.612,124918.612,129842.423,22747.984,129842.423,0.000
117,327.269,158489.809,158489.809,160230.639,23424.417,160230.639,0.000
118,330.175,198937.895,198937.895,195305.955,24100.850,195305.955,0.000
119,333.081,237772.506,237772.506,232590.064,24689.171,232590.064,0.000
120,335.989,279699.954,279699.954,268754.973,25277.492,268754.973,0.000
121,338.898,312469.868,312469.868,299818.365,25865.813,299818.365,0.000
122,341.807,336231.822,336231.822,321939.792,26454.134,321939.792,0.000
123,344.718,350907.026,350907.026,332209.457,27042.455,332209.457,0.000
124,347.629,350956.256,350956.256,329294.134,27630.776,329294.134,0.000
125,350.542,335311.381,335311.381,313740.543,28219.097,313740.543,0.000
126,353.455,306624.467,306624.467,287838.530,28807.418,287838.530,0.000
127,356.369,267003.684,267003.684,255088.410,29395.739,255088.410,0.000
128,359.284,225285.677,225285.677,219441.068,29984.061,219441.068,0.000
129,362.200,183789.631,183789.631,182033.948,28069.702,182033.948,0.000
130,365.116,143989.526,143989.526,148135.049,26155.343,148135.049,0.000
131,368.034,112996.381,112996.381,119375.801,24240.985,119375.801,0.000
132,370.952,86710.230,86710.230,96296.533,22326.626,96296.533,0.000
133,373.871,70191.480,70191.480,78602.059,20412.268,78602.059,0.000
134,376.792,57491.645,57491.645,65505.062,18497.909,65505.062,0.000
135,379.713,51787.381,51787.381,56045.696,16583.551,56045.696,0.000
136,382.634,45975.006,45975.006,49319.380,14669.192,49319.380,0.000
137,385.557,43920.006,43920.006,44593.890,12754.834,44593.890,0.000
138,388.481,43816.585,43816.585,41333.335,10840.475,41333.335,0.000
139,391.405,42777.243,42777.243,41167.137,10929.494,41167.137,0.000
140,394.330,44244.914,44244.914,41822.310,11018.512,41822.310,0.000
141,397.256,43879.230,43879.230,43079.042,11107.531,43079.042,0.000
142,400.183,46081.230,46081.230,44730.518,11196.549,44730.518,0.000
143,403.110,47008.099,47008.099,46568.679,11285.568,46568.679,0.000
144,406.039,48956.895,48956.895,48390.297,11374.586,48390.297,0.000
145,408.968,49965.724,49965.724,50016.724,11463.605,50016.724,0.000
146,411.898,51341.921,51341.921,51318.298,11552.623,51318.298,0.000
147,414.829,51660.191,51660.191,52234.014,11641.642,52234.014,0.000
148,417.761,53355.052,53355.052,52778.708,11730.660,52778.708,0.000
149,420.693,52223.697,52223.697,53033.662,11819.679,53033.662,0.000
150,423.626,52891.368,52891.368,52914.529,11701.793,52914.529,0.000
151,426.560,52754.467,52754.467,52756.818,11583.908,52756.818,0.000
152,429.495,52141.454,52141.454,52658.929,11466.022,52658.929,0.000
153,432.430,52377.974,52377.974,52661.483,11348.136,52661.483,0.000
154,435.367,52385.954,52385.954,52735.828,11230.251,52735.828,0.000
155,438.304,52529.421,52529.421,52791.485,11112.365,52791.485,0.000
156,441.242,53200.421,53200.421,52700.090,10994.479,52700.090,0.000
157,444.180,52681.342,52681.342,52328.930,10876.594,52328.930,0.000
158,447.119,52432.526,52432.526,51574.956,10758.708,51574.956,0.000
159,450.059,50685.099,50685.099,50390.587,10640.822,50390.587,0.000
160,453.000,49548.895,49548.895,48795.466,10522.937,48795.466,0.000
161,455.942,46865.980,46865.980,46809.122,10341.699,46809.122,0.000
162,458.884,45224.691,45224.691,44623.743,10160.461,44623.743,0.000
163,461.827,42407.006,42407.006,42388.947,9979.223,42388.947,0.000
164,464.771,40093.066,40093.066,40248.620,9797.985,40248.620,0.000
165,467.715,37201.671,37201.671,38318.885,9616.748,38318.885,0.000
166,470.660,35516.980,35516.980,36674.352,9435.510,36674.352,0.000
167,473.606,33853.184,33853.184,35343.894,9254.272,35343.894,0.000
168,476.553,33215.171,33215.171,34314.913,9073.034,34314.913,0.000
169,479.500,32720.237,32720.237,33543.547,8891.796,33543.547,0.000
170,482.448,31584.993,31584.993,32967.716,8710.558,32967.716,0.000
171,485.397,32399.921,32399.921,32520.115,8529.321,32520.115,0.000
172,488.346,31508.224,31508.224,32139.041,8348.083,32139.041,0.000
173,491.296,32678.605,32678.605,31936.791,8327.808,31936.791,0.000
174,494.247,31631.704,31631.704,31720.474,8307.533,31720.474,0.000
175,497.198,32702.822,32702.822,31475.196,8287.258,31475.196,0.000
176,500.150,32435.026,32435.026,31200.758,8266.984,31200.758,0.000
177,503.103,32018.059,32018.059,30907.662,8246.709,30907.662,0.000
178,506.056,31749.809,31749.809,30612.488,8226.434,30612.488,0.000
179,509.010,30677.638,30677.638,30333.519,8206.159,30333.519,0.000
180,511.965,31262.803,31262.803,30087.292,8185.884,30087.292,0.000
181,514.920,30487.572,30487.572,29886.398,8165.609,29886.398,0.000
182,517.876,30379.428,30379.428,29738.614,8145.335,29738.614,0.000
183,520.833,30234.684,30234.684,29647.135,8125.060,29647.135,0.000
184,523.790,29818.579,29818.579,29611.561,8104.785,29611.561,0.000
185,526.748,28899.928,28899.928,29629.175,8084.510,29629.175,0.000
186,529.707,29093.500,29093.500,29575.333,7943.425,29575.333,0.000
187,532.666,29067.842,29067.842,29566.721,7802.340,29566.721,0.000
188,535.626,28324.460,28324.460,29599.242,7661.254,29599.242,0.000
189,538.586,29231.717,29231.717,29668.661,7520.169,29668.661,0.000
190,541.547,29388.270,29388.270,29770.086,7379.084,29770.086,0.000
191,544.509,29747.908,29747.908,29897.303,7237.998,29897.303,0.000
192,547.471,29849.697,29849.697,30042.190,7096.913,30042.190,0.000
193,550.434,30128.072,30128.072,30194.412,6955.828,30194.412,0.000
194,553.397,29656.362,29656.362,30341.503,6814.743,30341.503,0.000
195,556.361,30471.526,30471.526,30469.374,6673.657,30469.374,0.000
196,559.326,31232.842,31232.842,30563.191,6532.572,30563.191,0.000
197,562.291,30649.566,30649.566,30608.483,6391.487,30608.483,0.000
198,565.257,30547.658,30547.658,30592.314,6250.402,30592.314,0.000
199,568.224,30546.987,30546.987,30522.142,6127.117,30522.142,0.000
200,571.191,30643.875,30643.875,30373.226,6003.832,30373.226,0.000
201,574.158,30249.322,30249.322,30142.497,5880.547,30142.497,0.000
202,577.126,30162.822,30162.822,29830.880,5757.262,29830.880,0.000
203,580.095,29634.585,29634.585,29443.094,5633.977,29443.094,0.000
204,583.064,29070.454,29070.454,28987.202,5510.692,28987.202,0.000
205,586.034,28556.539,28556.539,28474.005,5387.407,28474.005,0.000
206,589.004,27728.217,27728.217,27916.335,5264.122,27916.335,0.000
207,591.975,27274.770,27274.770,27328.299,5140.837,27328.299,0.000
208,594.947,26649.671,26649.671,26724.519,5017.552,26724.519,0.000
209,597.919,25939.888,25939.888,26119.375,4894.267,26119.375,0.000
210,600.891,25844.645,25844.645,25526.288,4770.982,25526.288,0.000
211,603.864,25025.105,25025.105,24957.078,4647.697,24957.078,0.000
212,606.838,24608.204,24608.204,24421.450,4524.412,24421.450,0.000
213,609.812,24269.145,24269.145,24060.716,4535.191,24060.716,0.000
214,612.786,23767.941,23767.941,23745.491,4545.971,23745.491,0.000
215,615.762,23180.737,23180.737,23478.002,4556.750,23478.002,0.000
216,618.737,23151.408,23151.408,23258.370,4567.529,23258.370,0.000
217,621.713,22998.000,22998.000,23085.133,4578.308,23085.133,0.000
218,624.690,22836.921,22836.921,22955.867,4589.087,22955.867,0.000
219,627.667,22867.559,22867.559,22867.837,4599.866,22867.837,0.000
220,630.645,22470.980,22470.980,22818.563,4610.646,22818.563,0.000
221,633.623,22528.572,22528.572,22806.271,4621.425,22806.271,0.000
222,636.602,23287.414,23287.414,22830.133,4632.204,22830.133,0.000
223,639.581,22500.368,22500.368,22890.316,4642.983,22890.316,0.000
224,642.561,22932.322,22932.322,22987.792,4653.762,22987.792,0.000
225,645.541,23518.730,23518.730,23123.972,4664.541,23123.972,0.000
226,648.521,23239.513,23239.513,23300.158,4675.321,23300.158,0.000
227,651.502,23549.033,23549.033,23589.428,4758.626,23589.428,0.000
228,654.484,24207.079,24207.079,23918.367,4841.932,23918.367,0.000
229,657.466,23839.947,23839.947,24283.996,4925.237,24283.996,0.000
230,660.448,25085.322,25085.322,24680.736,5008.543,24680.736,0.000
231,663.431,25465.875,25465.875,25100.108,5091.848,25100.108,0.000
232,666.415,25518.539,25518.539,25530.748,5175.154,25530.748,0.000
233,669.398,25765.164,25765.164,25958.764,5258.459,25958.764,0.000
234,672.383,26874.960,26874.960,26368.469,5341.765,26368.469,0.000
235,675.367,26295.467,26295.467,26743.436,5425.070,26743.436,0.000
236,678.353,27072.901,27072.901,27067.799,5508.376,27067.799,0.000
237,681.338,27717.434,27717.434,27327.646,5591.681,27327.646,0.000
238,684.324,27203.349,27203.349,27512.365,5674.987,27512.365,0.000
239,687.311,27303.987,27303.987,27615.767,5758.292,27615.767,0.000
240,690.297,27658.322,27658.322,27636.844,5841.598,27636.844,0.000
241,693.285,27062.493,27062.493,27580.083,5924.903,27580.083,0.000
242,696.272,26843.454,26843.454,27348.209,5901.097,27348.209,0.000
243,699.261,27151.309,27151.309,27062.952,5877.292,27062.952,0.000
244,702.249,27031.296,27031.296,26742.859,5853.486,26742.859,0.000
245,705.238,26484.204,26484.204,26409.408,5829.680,26409.408,0.000
246,708.227,26102.829,26102.829,26086.054,5805.874,26086.054,0.000
247,711.217,25940.072,25940.072,25797.449,5782.068,25797.449,0.000
248,714.207,26044.289,26044.289,25568.961,5758.263,25568.961,0.000
249,717.198,25675.796,25675.796,25426.485,5734.457,25426.485,0.000
250,720.189,25154.158,25154.158,25396.520,5710.651,25396.520,0.000
251,723.180,25970.145,25970.145,25506.347,5686.845,25506.347,0.000
252,726.172,26141.217,26141.217,25784.133,5663.039,25784.133,0.000
253,729.164,26278.099,26278.099,26258.703,5639.234,26258.703,0.000
254,732.156,27240.132,27240.132,26958.782,5615.428,26958.782,0.000
