[g4cf] WARNING: key "vacuum" NOT given - the arbiter world is AIR.
RESULT decays=8000000
RESULT any=861465 eps_total=1.076831e-01
RESULT window=911.204 counts=300976 eps=3.762200e-02
HISTBEGIN bins=912 bin_kev=1.000000 decays=8000000
HIST 0 191
HIST 1 472
HIST 2 557
HIST 3 531
HIST 4 566
HIST 5 710
HIST 6 643
HIST 7 660
HIST 8 651
HIST 9 618
HIST 10 609
HIST 11 687
HIST 12 703
HIST 13 613
HIST 14 623
HIST 15 657
HIST 16 646
HIST 17 719
HIST 18 596
HIST 19 696
HIST 20 643
HIST 21 667
HIST 22 653
HIST 23 680
HIST 24 687
HIST 25 688
HIST 26 647
HIST 27 652
HIST 28 688
HIST 29 649
HIST 30 638
HIST 31 684
HIST 32 1022
HIST 33 994
HIST 34 671
HIST 35 606
HIST 36 753
HIST 37 717
HIST 38 747
HIST 39 659
HIST 40 664
HIST 41 649
HIST 42 663
HIST 43 665
HIST 44 699
HIST 45 650
HIST 46 652
HIST 47 594
HIST 48 652
HIST 49 653
HIST 50 664
HIST 51 674
HIST 52 696
HIST 53 657
HIST 54 639
HIST 55 668
HIST 56 637
HIST 57 653
HIST 58 641
HIST 59 665
HIST 60 636
HIST 61 644
HIST 62 750
HIST 63 678
HIST 64 624
HIST 65 767
HIST 66 672
HIST 67 644
HIST 68 613
HIST 69 671
HIST 70 638
HIST 71 642
HIST 72 672
HIST 73 633
HIST 74 631
HIST 75 681
HIST 76 660
HIST 77 680
HIST 78 742
HIST 79 681
HIST 80 637
HIST 81 627
HIST 82 703
HIST 83 659
HIST 84 718
HIST 85 707
HIST 86 637
HIST 87 665
HIST 88 731
HIST 89 645
HIST 90 2027
HIST 91 716
HIST 92 703
HIST 93 677
HIST 94 3146
HIST 95 717
HIST 96 639
HIST 97 646
HIST 98 664
HIST 99 665
HIST 100 716
HIST 101 627
HIST 102 670
HIST 103 713
HIST 104 692
HIST 105 1019
HIST 106 1382
HIST 107 723
HIST 108 686
HIST 109 979
HIST 110 761
HIST 111 620
HIST 112 679
HIST 113 682
HIST 114 657
HIST 115 671
HIST 116 705
HIST 117 646
HIST 118 624
HIST 119 667
HIST 120 636
HIST 121 680
HIST 122 676
HIST 123 697
HIST 124 672
HIST 125 748
HIST 126 761
HIST 127 670
HIST 128 684
HIST 129 683
HIST 130 750
HIST 131 697
HIST 132 748
HIST 133 696
HIST 134 701
HIST 135 681
HIST 136 713
HIST 137 726
HIST 138 734
HIST 139 716
HIST 140 756
HIST 141 722
HIST 142 722
HIST 143 732
HIST 144 765
HIST 145 768
HIST 146 751
HIST 147 760
HIST 148 702
HIST 149 728
HIST 150 738
HIST 151 740
HIST 152 743
HIST 153 782
HIST 154 708
HIST 155 716
HIST 156 738
HIST 157 703
HIST 158 780
HIST 159 685
HIST 160 775
HIST 161 712
HIST 162 771
HIST 163 738
HIST 164 730
HIST 165 743
HIST 166 733
HIST 167 753
HIST 168 765
HIST 169 721
HIST 170 727
HIST 171 743
HIST 172 752
HIST 173 785
HIST 174 783
HIST 175 725
HIST 176 765
HIST 177 791
HIST 178 751
HIST 179 801
HIST 180 708
HIST 181 747
HIST 182 765
HIST 183 750
HIST 184 786
HIST 185 772
HIST 186 743
HIST 187 768
HIST 188 785
HIST 189 747
HIST 190 762
HIST 191 767
HIST 192 790
HIST 193 755
HIST 194 792
HIST 195 750
HIST 196 841
HIST 197 748
HIST 198 866
HIST 199 846
HIST 200 913
HIST 201 888
HIST 202 932
HIST 203 946
HIST 204 982
HIST 205 989
HIST 206 946
HIST 207 1006
HIST 208 985
HIST 209 994
HIST 210 997
HIST 211 1004
HIST 212 958
HIST 213 969
HIST 214 1016
HIST 215 985
HIST 216 1025
HIST 217 1036
HIST 218 1041
HIST 219 1025
HIST 220 1014
HIST 221 1069
HIST 222 1090
HIST 223 1053
HIST 224 1009
HIST 225 1041
HIST 226 1004
HIST 227 1035
HIST 228 1095
HIST 229 1090
HIST 230 1048
HIST 231 1102
HIST 232 1071
HIST 233 1093
HIST 234 1064
HIST 235 1104
HIST 236 1118
HIST 237 1057
HIST 238 1009
HIST 239 1043
HIST 240 1065
HIST 241 1053
HIST 242 1046
HIST 243 1093
HIST 244 1058
HIST 245 1099
HIST 246 1047
HIST 247 1020
HIST 248 1060
HIST 249 1082
HIST 250 1048
HIST 251 1072
HIST 252 979
HIST 253 1025
HIST 254 993
HIST 255 1054
HIST 256 1047
HIST 257 1001
HIST 258 1043
HIST 259 1032
HIST 260 938
HIST 261 1026
HIST 262 1025
HIST 263 1008
HIST 264 1044
HIST 265 1042
HIST 266 1030
HIST 267 968
HIST 268 1052
HIST 269 966
HIST 270 956
HIST 271 1013
HIST 272 1006
HIST 273 1015
HIST 274 989
HIST 275 998
HIST 276 1008
HIST 277 973
HIST 278 983
HIST 279 996
HIST 280 977
HIST 281 953
HIST 282 983
HIST 283 982
HIST 284 891
HIST 285 922
HIST 286 1002
HIST 287 939
HIST 288 986
HIST 289 919
HIST 290 904
HIST 291 976
HIST 292 940
HIST 293 943
HIST 294 891
HIST 295 977
HIST 296 901
HIST 297 923
HIST 298 941
HIST 299 934
HIST 300 896
HIST 301 903
HIST 302 954
HIST 303 994
HIST 304 945
HIST 305 926
HIST 306 910
HIST 307 931
HIST 308 936
HIST 309 881
HIST 310 903
HIST 311 911
HIST 312 885
HIST 313 886
HIST 314 871
HIST 315 853
HIST 316 856
HIST 317 904
HIST 318 873
HIST 319 858
HIST 320 911
HIST 321 894
HIST 322 866
HIST 323 826
HIST 324 817
HIST 325 891
HIST 326 890
HIST 327 870
HIST 328 809
HIST 329 839
HIST 330 920
HIST 331 880
HIST 332 800
HIST 333 832
HIST 334 873
HIST 335 877
HIST 336 787
HIST 337 841
HIST 338 796
HIST 339 878
HIST 340 775
HIST 341 820
HIST 342 878
HIST 343 798
HIST 344 793
HIST 345 792
HIST 346 835
HIST 347 822
HIST 348 805
HIST 349 804
HIST 350 799
HIST 351 805
HIST 352 792
HIST 353 791
HIST 354 838
HIST 355 793
HIST 356 804
HIST 357 841
HIST 358 783
HIST 359 818
HIST 360 772
HIST 361 741
HIST 362 803
HIST 363 688
HIST 364 751
HIST 365 759
HIST 366 772
HIST 367 807
HIST 368 786
HIST 369 767
HIST 370 757
HIST 371 738
HIST 372 771
HIST 373 750
HIST 374 715
HIST 375 732
HIST 376 705
HIST 377 735
HIST 378 758
HIST 379 741
HIST 380 761
HIST 381 705
HIST 382 717
HIST 383 730
HIST 384 746
HIST 385 780
HIST 386 750
HIST 387 728
HIST 388 742
HIST 389 747
HIST 390 726
HIST 391 733
HIST 392 733
HIST 393 722
HIST 394 733
HIST 395 744
HIST 396 766
HIST 397 707
HIST 398 730
HIST 399 676
HIST 400 687
HIST 401 721
HIST 402 730
HIST 403 687
HIST 404 705
HIST 405 730
HIST 406 675
HIST 407 715
HIST 408 660
HIST 409 681
HIST 410 726
HIST 411 648
HIST 412 707
HIST 413 684
HIST 414 703
HIST 415 681
HIST 416 708
HIST 417 663
HIST 418 683
HIST 419 730
HIST 420 672
HIST 421 713
HIST 422 701
HIST 423 669
HIST 424 696
HIST 425 684
HIST 426 649
HIST 427 766
HIST 428 674
HIST 429 638
HIST 430 727
HIST 431 682
HIST 432 685
HIST 433 696
HIST 434 674
HIST 435 663
HIST 436 665
HIST 437 675
HIST 438 699
HIST 439 671
HIST 440 675
HIST 441 655
HIST 442 644
HIST 443 665
HIST 444 624
HIST 445 667
HIST 446 668
HIST 447 742
HIST 448 708
HIST 449 643
HIST 450 664
HIST 451 642
HIST 452 621
HIST 453 633
HIST 454 660
HIST 455 665
HIST 456 670
HIST 457 672
HIST 458 668
HIST 459 643
HIST 460 631
HIST 461 667
HIST 462 623
HIST 463 604
HIST 464 635
HIST 465 653
HIST 466 625
HIST 467 703
HIST 468 687
HIST 469 684
HIST 470 683
HIST 471 668
HIST 472 614
HIST 473 644
HIST 474 652
HIST 475 701
HIST 476 645
HIST 477 657
HIST 478 635
HIST 479 660
HIST 480 644
HIST 481 637
HIST 482 678
HIST 483 614
HIST 484 632
HIST 485 641
HIST 486 623
HIST 487 657
HIST 488 619
HIST 489 655
HIST 490 651
HIST 491 632
HIST 492 659
HIST 493 645
HIST 494 645
HIST 495 642
HIST 496 644
HIST 497 635
HIST 498 631
HIST 499 662
HIST 500 605
HIST 501 648
HIST 502 645
HIST 503 671
HIST 504 669
HIST 505 674
HIST 506 649
HIST 507 694
HIST 508 673
HIST 509 642
HIST 510 653
HIST 511 614
HIST 512 646
HIST 513 670
HIST 514 596
HIST 515 620
HIST 516 643
HIST 517 599
HIST 518 633
HIST 519 664
HIST 520 624
HIST 521 596
HIST 522 648
HIST 523 588
HIST 524 602
HIST 525 653
HIST 526 619
HIST 527 642
HIST 528 622
HIST 529 606
HIST 530 574
HIST 531 565
HIST 532 565
HIST 533 687
HIST 534 621
HIST 535 596
HIST 536 642
HIST 537 628
HIST 538 693
HIST 539 687
HIST 540 645
HIST 541 616
HIST 542 573
HIST 543 625
HIST 544 638
HIST 545 626
HIST 546 617
HIST 547 620
HIST 548 677
HIST 549 645
HIST 550 627
HIST 551 634
HIST 552 605
HIST 553 601
HIST 554 603
HIST 555 597
HIST 556 620
HIST 557 558
HIST 558 611
HIST 559 584
HIST 560 645
HIST 561 618
HIST 562 631
HIST 563 643
HIST 564 594
HIST 565 613
HIST 566 590
HIST 567 585
HIST 568 608
HIST 569 588
HIST 570 609
HIST 571 615
HIST 572 623
HIST 573 600
HIST 574 624
HIST 575 641
HIST 576 628
HIST 577 642
HIST 578 588
HIST 579 617
HIST 580 617
HIST 581 627
HIST 582 600
HIST 583 599
HIST 584 643
HIST 585 639
HIST 586 597
HIST 587 627
HIST 588 619
HIST 589 574
HIST 590 634
HIST 591 623
HIST 592 575
HIST 593 650
HIST 594 639
HIST 595 627
HIST 596 620
HIST 597 630
HIST 598 616
HIST 599 667
HIST 600 648
HIST 601 597
HIST 602 626
HIST 603 617
HIST 604 677
HIST 605 613
HIST 606 644
HIST 607 628
HIST 608 635
HIST 609 604
HIST 610 621
HIST 611 683
HIST 612 601
HIST 613 608
HIST 614 629
HIST 615 631
HIST 616 640
HIST 617 631
HIST 618 649
HIST 619 661
HIST 620 637
HIST 621 615
HIST 622 648
HIST 623 665
HIST 624 637
HIST 625 624
HIST 626 609
HIST 627 628
HIST 628 634
HIST 629 639
HIST 630 649
HIST 631 685
HIST 632 618
HIST 633 681
HIST 634 604
HIST 635 649
HIST 636 656
HIST 637 637
HIST 638 613
HIST 639 616
HIST 640 670
HIST 641 660
HIST 642 637
HIST 643 679
HIST 644 669
HIST 645 651
HIST 646 647
HIST 647 649
HIST 648 654
HIST 649 666
HIST 650 624
HIST 651 719
HIST 652 657
HIST 653 656
HIST 654 662
HIST 655 667
HIST 656 633
HIST 657 660
HIST 658 634
HIST 659 688
HIST 660 681
HIST 661 699
HIST 662 664
HIST 663 698
HIST 664 689
HIST 665 707
HIST 666 704
HIST 667 706
HIST 668 681
HIST 669 684
HIST 670 724
HIST 671 741
HIST 672 687
HIST 673 696
HIST 674 662
HIST 675 704
HIST 676 687
HIST 677 676
HIST 678 683
HIST 679 719
HIST 680 720
HIST 681 711
HIST 682 726
HIST 683 683
HIST 684 747
HIST 685 729
HIST 686 717
HIST 687 677
HIST 688 757
HIST 689 721
HIST 690 732
HIST 691 729
HIST 692 707
HIST 693 743
HIST 694 720
HIST 695 689
HIST 696 748
HIST 697 719
HIST 698 773
HIST 699 791
HIST 700 742
HIST 701 734
HIST 702 755
HIST 703 709
HIST 704 771
HIST 705 708
HIST 706 704
HIST 707 693
HIST 708 698
HIST 709 686
HIST 710 677
HIST 711 623
HIST 712 522
HIST 713 477
HIST 714 443
HIST 715 414
HIST 716 414
HIST 717 360
HIST 718 380
HIST 719 342
HIST 720 344
HIST 721 324
HIST 722 324
HIST 723 349
HIST 724 307
HIST 725 333
HIST 726 301
HIST 727 270
HIST 728 268
HIST 729 286
HIST 730 270
HIST 731 275
HIST 732 262
HIST 733 267
HIST 734 254
HIST 735 279
HIST 736 220
HIST 737 262
HIST 738 230
HIST 739 244
HIST 740 217
HIST 741 198
HIST 742 225
HIST 743 231
HIST 744 240
HIST 745 231
HIST 746 207
HIST 747 207
HIST 748 200
HIST 749 194
HIST 750 187
HIST 751 179
HIST 752 193
HIST 753 201
HIST 754 206
HIST 755 200
HIST 756 201
HIST 757 179
HIST 758 188
HIST 759 189
HIST 760 195
HIST 761 185
HIST 762 174
HIST 763 181
HIST 764 178
HIST 765 167
HIST 766 163
HIST 767 163
HIST 768 155
HIST 769 147
HIST 770 133
HIST 771 137
HIST 772 171
HIST 773 159
HIST 774 138
HIST 775 161
HIST 776 168
HIST 777 143
HIST 778 158
HIST 779 142
HIST 780 161
HIST 781 130
HIST 782 157
HIST 783 156
HIST 784 128
HIST 785 121
HIST 786 117
HIST 787 150
HIST 788 127
HIST 789 109
HIST 790 111
HIST 791 125
HIST 792 129
HIST 793 104
HIST 794 124
HIST 795 123
HIST 796 115
HIST 797 141
HIST 798 129
HIST 799 135
HIST 800 138
HIST 801 133
HIST 802 113
HIST 803 123
HIST 804 118
HIST 805 127
HIST 806 103
HIST 807 111
HIST 808 137
HIST 809 96
HIST 810 92
HIST 811 101
HIST 812 94
HIST 813 106
HIST 814 126
HIST 815 101
HIST 816 103
HIST 817 98
HIST 818 105
HIST 819 111
HIST 820 109
HIST 821 116
HIST 822 114
HIST 823 128
HIST 824 104
HIST 825 111
HIST 826 111
HIST 827 110
HIST 828 78
HIST 829 109
HIST 830 112
HIST 831 91
HIST 832 107
HIST 833 112
HIST 834 104
HIST 835 100
HIST 836 106
HIST 837 104
HIST 838 92
HIST 839 78
HIST 840 86
HIST 841 95
HIST 842 96
HIST 843 90
HIST 844 101
HIST 845 90
HIST 846 80
HIST 847 84
HIST 848 90
HIST 849 87
HIST 850 104
HIST 851 84
HIST 852 97
HIST 853 79
HIST 854 94
HIST 855 81
HIST 856 73
HIST 857 68
HIST 858 95
HIST 859 71
HIST 860 91
HIST 861 92
HIST 862 101
HIST 863 84
HIST 864 92
HIST 865 74
HIST 866 86
HIST 867 90
HIST 868 76
HIST 869 74
HIST 870 88
HIST 871 107
HIST 872 78
HIST 873 63
HIST 874 69
HIST 875 65
HIST 876 72
HIST 877 71
HIST 878 120
HIST 879 286
HIST 880 77
HIST 881 63
HIST 882 78
HIST 883 730
HIST 884 79
HIST 885 69
HIST 886 68
HIST 887 60
HIST 888 73
HIST 889 69
HIST 890 78
HIST 891 59
HIST 892 64
HIST 893 75
HIST 894 75
HIST 895 85
HIST 896 59
HIST 897 69
HIST 898 53
HIST 899 74
HIST 900 74
HIST 901 59
HIST 902 65
HIST 903 69
HIST 904 70
HIST 905 64
HIST 906 67
HIST 907 63
HIST 908 55
HIST 909 69
HIST 910 64
HIST 911 300986
HISTEND
