spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S16_Am241_P25,G1S16,known,Am-241,single,99.975,141.99,1.2570,1.1608E+005,88806.4,3.7556E+002,7.5783E+002,,,0,100.000
G1S16_Ba133_P25,G1S16,known,Ba-133,single,99.995,176.15,1.6358,2.4861E+004,309761.1,6.4696E+001,1.3083E+002,,,0,100.000
G1S16_Cd109_P25,G1S16,known,Cd-109,single,99.776,62.78,1.1599,6.8111E+003,14540.2,2.5003E+001,5.2928E+001,,,0,100.000
G1S16_Ce139_P25,G1S16,known,Ce-139,single,99.384,65.22,1.0913,1.8546E+003,15380.0,2.8014E+001,5.6586E+001,,,0,100.000
G1S16_Co60_P25,G1S16,known,Co-60,single,99.999,251.69,1.3254,3.6633E+004,112476.8,3.4213E+001,6.9949E+001,,,0,100.000
G1S16_Cs137_P25,G1S16,known,Cs-137,single,99.999,280.93,1.3995,7.4359E+004,186773.7,5.5679E+001,1.1380E+002,,,0,100.000
G1S16_Eu152_P25,G1S16,known,Eu-152,single,99.587,188.18,1.8642,2.8697E+004,626968.8,1.0072E+002,2.0271E+002,,,0,99.510
G1S16_Eu152_P25,G1S16,known,Esc-NaI,nuisance,0.411,3.59,1.8642,4.5879E+004,3087.6,,,,,0,0.490
G1S16_Mn54_P25,G1S16,known,Mn-54,single,99.994,190.76,1.2568,2.8246E+004,55795.6,6.0538E+001,1.2302E+002,,,0,100.000
G1S16_Na22_P25,G1S16,known,Na-22,single,29.897,154.17,2.0905,6.5489E+004,88231.3,1.2998E+002,2.6693E+002,,,0,16.880
G1S16_Na22_P25,G1S16,known,Ann-511,nuisance,70.102,233.46,2.0905,1.3825E+005,434474.5,,,,,0,83.120
G1S16_Th228_P25,G1S16,known,Th-228,single,0.882,90.61,1.0887,2.3080E+003,474.2,2.9139E+001,5.8655E+001,,,0,1.198
G1S16_Th228_P25,G1S16,known,Ra-224,single,2.730,90.61,1.0887,2.3080E+003,1229.0,,,,,0,3.105
G1S16_Th228_P25,G1S16,known,Rn-220,single,0.060,90.61,1.0887,2.3080E+003,15.4,,,,,0,0.039
G1S16_Th228_P25,G1S16,known,Po-216,single,0.001,90.61,1.0887,2.3080E+003,0.2,,,,,0,0.001
G1S16_Th228_P25,G1S16,known,Pb-212,single,46.350,90.61,1.0887,2.3080E+003,22687.0,,,,,0,57.308
G1S16_Th228_P25,G1S16,known,Bi-212,single,8.158,90.61,1.0887,2.3080E+003,3284.6,,,,,0,8.297
G1S16_Th228_P25,G1S16,known,Tl-208,single,41.819,90.61,1.0887,2.3080E+003,11897.4,,,,,0,30.053
G1S16_Y88_P25,G1S16,known,Y-88,single,100.000,47.68,1.0346,6.0145E+002,3642.9,1.3533E+001,2.7477E+001,,,0,100.000
G1S16_Am241_P5,G1S16,known,Am-241,single,99.874,226.15,1.6422,9.1375E+004,620595.8,7.2011E+001,1.4546E+002,,,0,100.000
G1S16_Ba133_P5,G1S16,known,Ba-133,single,99.990,172.47,3.3928,2.0877E+004,4031644.1,4.4053E+001,8.8819E+001,,,0,100.000
G1S16_Cd109_P5,G1S16,known,Cd-109,single,99.879,77.69,1.8877,6.0569E+003,215307.0,9.4499E+000,1.9342E+001,,,0,100.000
G1S16_Ce139_P5,G1S16,known,Ce-139,single,98.933,124.14,1.8124,1.5520E+003,212644.8,3.0118E+000,6.1657E+000,,,0,99.283
G1S16_Ce139_P5,G1S16,known,Esc-NaI,nuisance,0.753,7.55,1.8124,2.3615E+003,1536.0,,,,,0,0.717
G1S16_Co57_P5,G1S16,known,Co-57,single,97.751,61.34,1.0033,6.3028E+001,6474.5,6.1937E-001,1.2691E+000,,,0,100.000
