spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S16_Am241_P25,G1S16,known,1.5801,1.2570,0.869904,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,2,3,29,31,,0,,3.7500,,17.211,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.86990, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.92 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.20027 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S16_Ba133_P25,G1S16,known,2.6759,1.6358,1.000853,-0.465,0,0,0,1,"НАЙДЕНА, применена",1,1,1,10,3,60,47,,0,,15.1015,,20.487,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-1.364,"опор 3; усиление 1.00085, ноль -1.36 кэВ (-0.465 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.15 кэВ калибровки, свет -2.61 кэВ (по съёмке: опор 4 из 6 (32.3…358.1 кэВ), нуль света кан 0.92), растяжение 1.00659 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S16_Cd109_P25,G1S16,known,1.3454,1.1599,0.991307,-0.047,0,0,0,1,"НАЙДЕНА, применена",1,1,1,5,3,39,31,,0,,2.4737,,31.835,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-0.140,"опор 2; усиление 0.99131, ноль -0.14 кэВ (-0.047 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.87 кэВ калибровки, свет -0.39 кэВ (по съёмке: опор 2 из 2 (24.0…91.6 кэВ), нуль света кан 0.14), растяжение 1.05064 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S16_Ce139_P25,G1S16,known,1.1909,1.0913,1.007033,-0.569,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,3,43,47,,0,,1.5583,,21.232,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.682,"опор 2; усиление 1.00703, ноль -1.68 кэВ (-0.569 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.11 кэВ калибровки, свет -0.95 кэВ (по съёмке: опор 2 из 2 (36.7…169.2 кэВ), нуль света кан 0.34), растяжение 1.02492 по 165.9 кэВ",NaI:Tl,1.0000,line
G1S16_Co60_P25,G1S16,known,1.7567,1.3254,1.003240,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,7,84,78,,0,,2.1277,,5.460,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00324, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 0.95 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 0.99929 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S16_Cs137_P25,G1S16,known,1.9586,1.3995,1.001523,-0.382,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,2,39,47,,0,,2.9070,,6.893,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.125,"опор 2; усиление 1.00152, ноль -1.12 кэВ (-0.382 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.05 кэВ калибровки, свет -2.13 кэВ (по съёмке: опор 2 из 2 (34.6…661.9 кэВ), нуль света кан 0.74), растяжение 1.00289 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S16_Eu152_P25,G1S16,known,3.4751,1.8642,1.007150,-0.086,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,10,279,266,,0,,17.9881,,15.020,sample,"распад 1, атомных 2, линий 43; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1408, DE-1408, SE-1299, DE-1299, SE-1213, DE-1213",1,0,0,2,6,-0.255,"опор 6; усиление 1.00715, ноль -0.25 кэВ (-0.086 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.62 кэВ калибровки, свет -1.58 кэВ (по съёмке: опор 4 из 15 (42.9…346.3 кэВ), нуль света кан 0.56), растяжение 1.00414 по 1457.6 кэВ",NaI:Tl,1.0000,line
G1S16_Mn54_P25,G1S16,known,1.5796,1.2568,0.999727,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,7,2,56,63,,0,,1.8994,,7.857,sample,"распад 1, атомных 1, линий 4; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.99973, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.96 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 1, нехватка), растяжение 1.01433 по 834.8 кэВ",NaI:Tl,1.0000,line
G1S16_Na22_P25,G1S16,known,4.3704,2.0905,1.003188,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,5,68,188,,0,,9.1249,,7.689,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,0.000,"опор 2; усиление 1.00319, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.97 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.00625 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S16_Th228_P25,G1S16,known,1.1852,1.0887,1.008227,-0.945,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,8,121,125,,0,,1.3846,,12.501,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,7,-2.801,"опор 7; усиление 1.00823, ноль -2.80 кэВ (-0.945 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.92 кэВ калибровки, свет -6.30 кэВ (по съёмке: опор 5 из 10 (80.1…584.6 кэВ), нуль света кан 2.18), растяжение 1.00100 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S16_Y88_P25,G1S16,known,1.0705,1.0346,1.007127,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,5,92,94,,0,,1.2749,,26.885,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,1,2,0.000,"опор 2; усиление 1.00713, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.94 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00650 по 1836.1 кэВ",NaI:Tl,1.0000,line
G1S16_Am241_P5,G1S16,known,2.6969,1.6422,0.864396,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,3,3,29,31,,0,,18.6385,,16.417,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.86440, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.03 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.21888 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S16_Ba133_P5,G1S16,known,11.5114,3.3928,0.993150,-0.468,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,3,52,47,,0,,296.6642,,25.365,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-1.360,"опор 3; усиление 0.99315, ноль -1.36 кэВ (-0.468 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.84 кэВ калибровки, свет -2.43 кэВ (по съёмке: опор 4 из 6 (32.3…358.0 кэВ), нуль света кан 0.86), растяжение 1.00623 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S16_Cd109_P5,G1S16,known,3.5634,1.8877,1.000125,-0.371,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,24,31,,0,,32.2312,,36.262,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.102,"опор 2; усиление 1.00013, ноль -1.10 кэВ (-0.371 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.35 кэВ калибровки, свет -0.81 кэВ (по съёмке: опор 2 из 2 (24.1…91.8 кэВ), нуль света кан 0.29), растяжение 1.06246 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S16_Ce139_P5,G1S16,known,3.2848,1.8124,1.006292,-0.480,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,3,32,31,,0,,14.9579,,23.966,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,2,2,-1.420,"опор 2; усиление 1.00629, ноль -1.42 кэВ (-0.480 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.89 кэВ калибровки, свет -0.50 кэВ (по съёмке: опор 2 из 2 (36.2…169.1 кэВ), нуль света кан 0.18), растяжение 1.03241 по 165.9 кэВ",NaI:Tl,1.0000,line
G1S16_Co57_P5,G1S16,known,1.0066,1.0033,0.995966,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,52,47,,0,,1.2347,,17.467,sample,"распад 1, атомных 2, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.99597, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.36 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 1, нехватка), растяжение 1.05394 по 136.5 кэВ",NaI:Tl,1.0000,line
G1S16_Co60_P5,G1S16,known,9.6069,3.0995,1.003848,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,7,66,63,,0,,57.0621,,13.983,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00385, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.06 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00980 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S16_Cs137_P5,G1S16,known,8.2573,2.8735,0.993565,0.383,0,0,0,1,"НАЙДЕНА, применена",1,1,1,5,2,40,47,,0,,51.4948,,10.171,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,1.135,"опор 2; усиление 0.99357, ноль 1.14 кэВ (0.383 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -10.86 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.01641 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S16_Eu152_P5,G1S16,known,14.3702,3.7908,1.007247,-0.062,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,10,251,250,,0,,223.2477,,21.167,sample,"распад 1, атомных 2, линий 43; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1408, DE-1408, SE-1299, DE-1299, SE-1213, DE-1213",1,0,0,2,4,-0.185,"опор 4; усиление 1.00725, ноль -0.19 кэВ (-0.062 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.03 кэВ калибровки, свет -1.67 кэВ (по съёмке: опор 4 из 15 (42.9…346.4 кэВ), нуль света кан 0.59), растяжение 1.00435 по 1457.6 кэВ",NaI:Tl,1.0000,line
G1S16_Mn54_P5,G1S16,known,2.8640,1.6923,1.005570,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,6,2,39,47,,0,,5.6517,,8.489,sample,"распад 1, атомных 1, линий 4; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 1.00557, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -43.75 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 1, нехватка), растяжение 1.05240 по 834.8 кэВ",NaI:Tl,1.0000,line
G1S16_Na22_P5,G1S16,known,13.7339,3.7059,0.988765,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,5,59,47,,0,,71.1555,,11.698,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,0.000,"опор 2; усиление 0.98877, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 6.94 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 0.99455 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S16_Th228_P5,G1S16,known,4.4665,2.1134,1.016349,-0.751,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,8,121,125,,0,,14.3087,,19.358,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,4,-2.253,"опор 4; усиление 1.01635, ноль -2.25 кэВ (-0.751 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -16.72 кэВ калибровки, свет -7.55 кэВ (по съёмке: опор 5 из 14 (80.3…584.8 кэВ), нуль света кан 2.60), растяжение 1.00350 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S16_Y88_P5,G1S16,known,1.3388,1.1571,1.008714,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,5,80,78,,0,,1.5438,,11.082,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,2,2,0.000,"опор 2; усиление 1.00871, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.08 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00712 по 1836.1 кэВ",NaI:Tl,1.0000,line
