состояние,чего_нет,спектр,группа,часть,истина,каналов,живое_с,отсчётов,ПШПВ_662_%,фон,калибровка,геометрия,тип_источника,сосуд,проба,ρ_пробы,кристалл,матрица,узел_кривой,исходник
✅,,G1S16_Cs137_Mar_2,G1S16,known,137CS,1024,3600.0,542243,6.64,фон пустая защита_15.xml,affine/grp,G1S_mar1l_oisn16_166_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.66 г/см³, вплотную",ОИСН-16,1.66,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_166_p16,LSRM поверки\Поверка 2016\Маринелли\Cs137_420-7-15_Маринелли.xml
✅,,G1S16_K40_Mar,G1S16,known,40K,1024,3600.0,68917,6.64,фон пустая защита_15.xml,ref-cal(G1S16_Ra226_Mar),G1S_mar1l_oisn06_066_p16,MARINELLI,"Маринелли, набивка ОИСН-06 0.66 г/см³, вплотную",ОИСН-06,0.66,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_066_p16,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-20_Маринелли_0cm.xml
✅,,G1S16_K40_Mar_2,G1S16,known,40K,1024,3600.0,119600,6.64,фон пустая защита_15.xml,affine/grp,G1S_mar1l_oisn16_155_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.55 г/см³, вплотную",ОИСН-16,1.55,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_155_p16,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-21_Маринелли.xml
✅,,G1S16_Ra226_Mar,G1S16,known,Ra-226,1024,3600.0,749487,6.64,фон пустая защита_15.xml,affine/grp,G1S_mar1l_oisn06_062_p16,MARINELLI,"Маринелли, набивка ОИСН-06 0.62 г/см³, вплотную",ОИСН-06,0.62,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_062_p16,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-18_Маринелли_0cm.xml
✅,,G1S16_Ra226_Mar_2,G1S16,known,Ra-226,1024,3600.0,1894016,6.64,фон пустая защита_15.xml,poly2/grp,G1S_mar1l_oisn16_167_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.67 г/см³, вплотную",ОИСН-16,1.67,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_167_p16,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-19_Маринелли.xml
✅,геометрии нет — потому и непонятная,G1S16_Th232_Mar,G1S16,unknown,Th-232,1024,3600.0,834878,6.64,фон пустая защита_15.xml,affine,—,,,,,,—,нет,LSRM поверки\Поверка 2016\Маринелли\Th-232 #420_13036_Маринелли.xml
✅,,G1S16_Th232_Mar_2,G1S16,known,Th-232,1024,3600.0,1115851,6.64,фон пустая защита_15.xml,gain,G1S_mar1l_oisn06_055_p16,MARINELLI,"Маринелли, набивка ОИСН-06 0.55 г/см³, вплотную",ОИСН-06,0.55,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_055_p16,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-16_Маринелли_0cm.xml
✅,,G1S16_Th232_Mar_3,G1S16,known,Th-232,1024,3600.2,2704428,6.64,фон пустая защита_15.xml,affine,G1S_mar1l_oisn16_160_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.6 г/см³, вплотную",ОИСН-16,1.6,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_160_p16,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-17_Маринелли.xml
✅,,G1S16_Mix_Petri,G1S16,known,241AM;44TI;152EU;137CS,1024,3600.0,422990,6.64,фон пустая защита_15.xml,gain/grp,G1S_petri60_risn379_100_p16,CYLINDER,"Петри-60, набивка РИСН-379 1 г/см³, вплотную",РИСН-379,1,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_risn379_100_p16,LSRM поверки\Поверка 2016\Чашка Петри 60мл\РИСН №379_Am-Ti-Eu-Cs_Петри-60.xml
✅,,G1S16_Th232_Petri,G1S16,known,Th-232,1024,3600.0,91288,6.64,фон пустая защита_15.xml,poly2/grp,G1S_petri60_oisn10_100_p16,CYLINDER,"Петри-60, набивка ОИСН-10 1 г/см³, вплотную",ОИСН-10,1,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn10_100_p16,LSRM поверки\Поверка 2016\Чашка Петри 60мл\Th-232 #420_13036 Петри-60_Петри-60.xml
