spectrum,det,part,geometry,why
ASN16_Th232,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_Charoite,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_UGlass,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_Granite,ASN16,unknown,,форма и положение пробы не записаны нигде
AS80_Th232_v2,AS80x80,unknown,,форма и положение пробы не записаны нигде
AS80_UGlass,AS80x80,unknown,,форма и положение пробы не записаны нигде
AS80_Charoite,AS80x80,unknown,,форма и положение пробы не записаны нигде
HPGE_Uranium,HPGE,excluded,,германий — вне работы по приказу Amber 08.08.2026
GS4000_Ra226,GS4000,unknown,,форма и положение пробы не записаны нигде
GS4000_Th232,GS4000,unknown,,форма и положение пробы не записаны нигде
GS4000_U,GS4000,unknown,,форма и положение пробы не записаны нигде
GS4000_Lu176,GS4000,unknown,,форма и положение пробы не записаны нигде
ASN3_Tile,ASN3,unknown,,форма и положение пробы не записаны нигде
ASN8_Th232_1024,ASN8_1024,unknown,,форма и положение пробы не записаны нигде
ASN8_Th232_2048,ASN8_2048,unknown,,форма и положение пробы не записаны нигде
ASN8_Th232_3000,ASN8_3000,unknown,,форма и положение пробы не записаны нигде
ASN8_Th232_4096,ASN8_4096,unknown,,форма и положение пробы не записаны нигде
ASN8_Th232_8192,ASN8_8192,unknown,,форма и положение пробы не записаны нигде
ASN8_UGlass,ASN8_8192,unknown,,форма и положение пробы не записаны нигде
ASN8_Am241,ASN8_8192,unknown,,форма и положение пробы не записаны нигде
OBS_UGlass,OBS,unknown,,форма и положение пробы не записаны нигде
RC101_I131,RC101,unknown,,форма и положение пробы не записаны нигде
AS1Pro_Ra226,AS1PRO,unknown,,форма и положение пробы не записаны нигде
ASN16_Charoite_v2,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_Th232_Am241,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_Am241,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_Cs137,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_Cs137_10cm,ASN16,unknown,,форма и положение пробы не записаны нигде
ASN16_BrazilNuts,ASN16,unknown,,форма и положение пробы не записаны нигде
RC103_Th232WT20,RC103,unknown,,форма и положение пробы не записаны нигде
AS80_Th232Medal,AS80x80,unknown,,форма и положение пробы не записаны нигде
AS80_Onyx,AS80x80,unknown,,форма и положение пробы не записаны нигде
AS80_K40,AS80x80,unknown,,форма и положение пробы не записаны нигде
AS80_Th232WT20,AS80x80,unknown,,форма и положение пробы не записаны нигде
RC103_K40,RC103,known,RC103_marinelli05_kcl,"маринелли 0.5 л (поставка ЛСРМ, размеры не восстановлены — взяты из шаблона)"
AS80_Cs137_0cm,AS80x80,known,AS80_point0,"точечный источник, вплотную к торцу"
RC103_Cs137_0cm,RC103,known,RC103_point0,"точечный источник, вплотную к торцу"
ASN16_Lu176,ASN16,known,ASN16_lu_side,"банка 50 мл Ø40×h15, СБОКУ у широкой грани"
ASN16_Lu176_P0,ASN16,known,ASN16_lu_side,"та же банка 50 мл Ø40×h15 сбоку, что у ASN16_Lu176 (исходный файл «Lu176 банка 50 мл d40-h15.xml»); отдельное измерение 04.12.2022, 573 с. Возвращён в known 02.09.2026 решением Amber по B19: у Lu-176 на ASN16 съёмка была ТОЛЬКО сбоку, значит геометрия та же"
AS80_Lu176,AS80x80,known,AS80_lu_front,"банка 50 мл Ø40×h15, ВПРИТЫК к торцу"
RC103_K40Village,RC103,unknown,,форма и положение пробы не записаны нигде
RC103_Th232Village,RC103,unknown,,форма и положение пробы не записаны нигде
RC103_Charoite,RC103,unknown,,форма и положение пробы не записаны нигде
RC103_Lu176,RC103,known,RC103_lu_front,"банка 50 мл Ø40×h15, ВПРИТЫК к торцу"
HPGeGMX_Th232,HPGE_GMX,excluded,,германий — вне работы по приказу Amber 08.08.2026
HPGeGMX_Th228,HPGE_GMX,excluded,,германий — вне работы по приказу Amber 08.08.2026
HPGeGMX_Eu152,HPGE_GMX,excluded,,германий — вне работы по приказу Amber 08.08.2026
HPGeGMX_Background,HPGE_GMX,excluded,,германий — вне работы по приказу Amber 08.08.2026
HPGeGEM_Th232,HPGE_GEM,excluded,,германий — вне работы по приказу Amber 08.08.2026
HPGeGEM_Ra226,HPGE_GEM,excluded,,германий — вне работы по приказу Amber 08.08.2026
HPGeGEM_K40,HPGE_GEM,excluded,,германий — вне работы по приказу Amber 08.08.2026
LaBrBril_Th228,LABR_BRIL,unknown,,форма и положение пробы не записаны нигде
LaBrBril_Eu152,LABR_BRIL,unknown,,форма и положение пробы не записаны нигде
G1S16_Th232_Mar,G1S16,unknown,,форма и положение пробы не записаны нигде
G1S16_Mix_Denta100,G1S16,known,G1S_denta100_risn379_100_p16,"Дента-100, набивка РИСН-379 1 г/см³, вплотную"
G1S16_Th232_Denta100,G1S16,known,G1S_denta100_oisn10_100_p16,"Дента-100, набивка ОИСН-10 1 г/см³, вплотную"
G1S16_Mix_Mar,G1S16,known,G1S_mar1l_risn379_100_p16,"Маринелли, набивка РИСН-379 1 г/см³, вплотную"
G1S16_Cs137_Mar,G1S16,known,G1S_mar1l_oisn06_057_p16,"Маринелли, набивка ОИСН-06 0.57 г/см³, вплотную"
G1S16_Cs137_Mar_2,G1S16,known,G1S_mar1l_oisn16_166_p16,"Маринелли, набивка ОИСН-16 1.66 г/см³, вплотную"
G1S16_K40_Mar,G1S16,known,G1S_mar1l_oisn06_066_p16,"Маринелли, набивка ОИСН-06 0.66 г/см³, вплотную"
G1S16_K40_Mar_2,G1S16,known,G1S_mar1l_oisn16_155_p16,"Маринелли, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S16_Ra226_Mar,G1S16,known,G1S_mar1l_oisn06_062_p16,"Маринелли, набивка ОИСН-06 0.62 г/см³, вплотную"
G1S16_Ra226_Mar_2,G1S16,known,G1S_mar1l_oisn16_167_p16,"Маринелли, набивка ОИСН-16 1.67 г/см³, вплотную"
G1S16_Th232_Mar_2,G1S16,known,G1S_mar1l_oisn06_055_p16,"Маринелли, набивка ОИСН-06 0.55 г/см³, вплотную"
G1S16_Th232_Mar_3,G1S16,known,G1S_mar1l_oisn16_160_p16,"Маринелли, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S16_Mix_Petri,G1S16,known,G1S_petri60_risn379_100_p16,"Петри-60, набивка РИСН-379 1 г/см³, вплотную"
