spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
ASN16_Lu176_P0,photon,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,367.50,28.61,1,370.026,366.463,366.492,-3.563,367.26,359.18,-8.09,71.61,200.61,2.8015,0.8456,338.89,396.11
ASN16_Lu176_P0,photon,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,367.50,28.61,2,369.666,365.959,366.228,-3.708,367.26,359.18,-8.09,70.99,194.59,2.7411,0.7962,337.85,395.08
ASN16_Lu176_P0,photon,307+88,395.23,400.04,29.98,1,390.294,397.026,396.004,6.732,370.34,370.73,0.39,52.99,150.87,2.8473,0.9874,370.06,430.03
ASN16_Lu176_P0,photon,307+88,395.23,400.04,29.98,2,387.905,394.036,393.018,6.131,367.26,367.26,0.00,58.90,155.73,2.6441,0.9895,367.04,427.01
ASN16_Lu176_P0,photon,88+55+307;307+88+56,450.43,459.29,32.36,1,484.525,463.537,469.382,-20.988,491.63,491.63,0.00,40.44,67.31,1.6646,0.9809,426.93,491.66
ASN16_Lu176_P0,photon,88+55+307;307+88+56,450.43,459.29,32.36,2,488.550,469.107,475.754,-19.443,495.87,495.87,0.00,66.58,73.87,1.1094,0.9896,431.17,495.90
ASN16_Lu176_P0,photon,307+202,508.70,513.24,34.42,1,512.701,511.417,510.947,-1.284,512.81,507.81,-5.01,507.42,313.64,0.6181,0.9977,478.82,547.67
ASN16_Lu176_P0,photon,307+202,508.70,513.24,34.42,2,512.471,510.529,510.300,-1.942,512.81,507.81,-5.01,507.18,311.46,0.6141,0.9979,477.00,545.84
ASN16_Lu176_P0,photon,307+202+55;307+202+56;307+202+63,564.99,573.78,36.62,1,549.201,569.032,552.813,19.830,537.45,537.45,0.00,27.72,25.90,0.9343,0.9119,537.16,610.40
ASN16_Lu176_P0,photon,307+202+55;307+202+56;307+202+63,564.99,573.78,36.62,2,542.141,563.152,544.906,21.011,532.45,532.83,0.39,49.90,31.82,0.6377,0.9463,532.41,605.65
ASN16_Lu176_P0,photon,202+88+307;401+202,599.22,606.96,37.78,1,598.529,606.768,609.256,8.238,599.45,642.19,42.74,4.29,9.82,2.2902,0.7907,569.17,644.74
ASN16_Lu176_P0,photon,202+88+307;401+202,599.22,606.96,37.78,2,598.351,606.743,609.054,8.392,599.45,642.19,42.74,4.31,9.87,2.2879,0.7886,568.98,644.55
ASN16_Lu176_P0,photon,401+307,707.98,713.08,41.33,1,711.006,709.151,-,-1.855,710.72,674.14,-36.58,1.17,-2.13,-1.8264,0.9966,671.74,754.41
ASN16_Lu176_P0,photon,401+307,707.98,713.08,41.33,2,710.549,705.164,-,-5.385,710.72,674.14,-36.58,1.17,-1.65,-1.4152,0.9966,667.82,750.48
ASN16_Lu176_P0,photon,307+202+401,909.80,919.63,47.64,1,-,918.285,917.197,-,872.06,925.58,53.52,0.00,17.26,,0.0000,871.99,967.28
ASN16_Lu176_P0,photon,307+202+401,909.80,919.63,47.64,2,-,917.267,917.019,-,870.90,925.58,54.68,0.00,17.33,,0.0000,870.64,965.93
