spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
G1S24_Y88_P5,electron,898+14;898+16,913.03,915.01,57.27,1,916.658,914.665,914.375,-1.993,916.18,916.18,0.00,165.19,8606.25,52.0999,0.0003,857.74,972.28
G1S24_Y88_P5,electron,898+14;898+16,913.03,915.01,57.27,2,916.658,914.665,914.375,-1.993,916.18,916.18,0.00,165.19,8606.25,52.0999,0.0003,857.39,971.94
G1S24_Y88_P5,electron,898+1836;898+1836+14;898+1836+16,2734.11,2735.82,112.82,1,2751.975,2755.755,2755.865,3.780,2755.40,2761.29,5.89,3955.90,4267.44,1.0788,0.9006,2623.01,2848.64
G1S24_Y88_P5,electron,898+1836;898+1836+14;898+1836+16,2734.11,2735.82,112.82,2,2754.553,2758.534,2758.534,3.982,2755.40,2761.29,5.89,3999.39,4329.48,1.0825,0.9146,2642.94,2868.57
G1S24_Y88_P5,photon,898+14;898+16,913.03,914.31,57.24,1,916.658,914.671,914.394,-1.987,916.18,916.18,0.00,165.19,8597.86,52.0493,0.0003,857.07,971.56
G1S24_Y88_P5,photon,898+14;898+16,913.03,914.31,57.24,2,916.658,914.671,914.394,-1.987,916.18,916.18,0.00,165.19,8597.86,52.0493,0.0003,857.43,971.91
G1S24_Y88_P5,photon,898+1836;898+1836+14;898+1836+16,2734.11,2740.46,112.95,1,2756.226,2756.593,2756.593,0.367,2758.34,2761.29,2.95,3966.32,4303.91,1.0851,0.9020,2627.52,2853.41
G1S24_Y88_P5,photon,898+1836;898+1836+14;898+1836+16,2734.11,2740.46,112.95,2,2758.290,2758.818,2758.818,0.528,2758.34,2761.29,2.95,3993.25,4315.79,1.0808,0.9162,2643.65,2869.54
