key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.34,0,-6.51,16.00,2,2,33.1001,21.93,249221972.4,17719913.3,8569254.4,1147513.4,7421741.0,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,0,-6.51,20.00,3,3,21.3480,22.58,45553353.9,531567.0,267556.2,131160.0,136396.2,126097.9
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,12.97,0,-5.01,20.00,2,0,8.4982,54.26,7652685.9,-56187.7,296033.5,0.0,296033.5,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,0,-4.82,30.00,0,0,3.8249,18.21,4359770.1,198742.4,157756.6,154799.4,2957.2,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,0.32,0,-8.92,30.00,0,0,0.3411,0.00,34951.8,1939.4,1700.8,1693.7,7.1,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,0,-7.62,30.00,0,0,5.7329,86.95,771320.0,-53194.9,54.1,0.0,54.1,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,2.28,0,-11.92,20.00,3,1,1.6512,17.24,94246.7,12984.5,13136.7,1200.5,11936.2,2634.6
G1S16_Ba133_P25,G1S16,known,30.00,20.00,8.92,0,-5.15,20.00,3,1,2.6867,20.49,379354.2,65808.7,67893.5,11.6,67881.9,53.5
G1S16_Cd109_P25,G1S16,known,30.00,20.00,9.36,0,-4.87,20.00,6,4,1.4335,32.31,16365.2,12884.7,12772.4,0.3,12772.1,12763.7
G1S16_Ce139_P25,G1S16,known,30.00,20.00,9.05,0,-5.11,20.00,2,0,1.2902,20.60,18116.3,1763.7,1697.2,101.2,1596.0,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,0,0.95,20.00,2,0,1.7297,5.04,430170.2,1321.8,762.2,762.2,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,10.07,0,-4.05,20.00,2,0,2.2817,7.83,452832.7,13191.7,13247.0,504.6,12742.4,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,6.60,0,-7.62,20.00,2,0,3.3893,14.80,864447.8,19563.2,17348.9,9243.4,8105.6,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,0,-11.96,20.00,2,0,1.6709,7.98,184435.3,2925.6,2182.3,2182.3,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,0,-7.97,20.00,2,0,4.1228,7.67,1445830.2,17182.5,12122.4,12122.4,0.0,0.0
G1S16_Th228_P25,G1S16,known,30.00,20.00,5.29,0,-8.92,20.00,2,0,1.2600,11.72,60416.6,723.2,589.4,400.4,189.1,0.0
G1S16_Y88_P25,G1S16,known,30.00,20.00,5.12,0,-11.94,20.00,2,0,1.2120,25.43,6894.6,-34.8,0.0,0.0,0.0,0.0
G1S16_Am241_P5,G1S16,known,30.00,20.00,1.23,0,-13.03,20.00,3,1,2.2910,16.35,664962.7,92916.6,93351.9,7227.4,86124.5,17691.7
G1S16_Ba133_P5,G1S16,known,30.00,20.00,9.12,0,-4.84,20.00,3,1,11.0185,25.17,4673220.2,903240.0,961424.7,7.4,961417.2,0.0
G1S16_Cd109_P5,G1S16,known,30.00,20.00,7.94,0,-6.35,20.00,6,4,3.0572,36.68,240792.8,181626.0,179396.1,0.0,179396.1,179270.0
G1S16_Ce139_P5,G1S16,known,30.00,20.00,8.34,0,-5.89,20.00,2,0,3.1057,23.93,249576.7,25758.0,25157.5,1117.4,24040.1,0.0
G1S16_Co57_P5,G1S16,known,30.00,20.00,6.88,0,-7.36,20.00,2,0,1.0356,14.79,8186.8,40.3,44.0,44.0,0.0,0.0
G1S16_Co60_P5,G1S16,known,30.00,20.00,1.24,0,-13.06,20.00,2,0,9.3200,13.99,2911373.2,34623.2,28433.5,28433.5,0.0,0.0
G1S16_Cs137_P5,G1S16,known,30.00,20.00,3.39,0,-10.86,20.00,2,0,8.0358,10.04,4955835.8,352756.0,369243.3,6.7,369236.6,0.0
G1S16_Eu152_P5,G1S16,known,30.00,20.00,6.25,0,-8.03,20.00,2,0,12.2090,20.70,5019321.6,109981.3,101250.9,47254.2,53996.7,0.0
G1S16_Mn54_P5,G1S16,known,30.00,20.00,1.06,0,-43.75,20.00,2,0,3.2083,9.52,656470.7,27129.8,25661.0,25661.0,0.0,0.0
G1S16_Na22_P5,G1S16,known,30.00,20.00,20.80,0,6.94,20.00,2,0,12.3277,11.93,5185070.6,6440.6,2121.6,2121.6,0.0,0.0
G1S16_Th228_P5,G1S16,known,30.00,20.00,1.01,0,-16.72,20.00,2,0,4.3214,18.84,365610.8,7721.3,6681.0,4281.7,2399.3,0.0
