spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
AS80_Lu176,photon,88+55+202;202+88+56;307+55;307+56;307+63,363.12,367.26,29.56,2,368.000,360.573,363.794,-7.427,367.46,361.15,-6.31,1220.74,1210.41,0.9915,0.0620,332.84,391.95
AS80_Lu176,photon,307+88,395.23,399.46,31.22,1,389.393,393.566,-,4.172,368.57,368.94,0.37,1016.99,-6.26,-0.0062,0.0721,368.24,430.69
AS80_Lu176,photon,307+88,395.23,399.46,31.22,2,384.980,382.730,350.968,-2.249,367.46,362.63,-4.82,1212.17,416.19,0.3433,0.0802,362.34,424.79
AS80_Lu176,photon,88+55+307;307+88+56,450.44,458.74,34.19,1,484.811,466.651,471.561,-18.160,492.90,492.90,0.00,1209.67,1535.34,1.2692,0.1203,424.56,492.93
AS80_Lu176,photon,88+55+307;307+88+56,450.44,458.74,34.19,2,491.843,479.066,481.340,-12.777,500.75,500.75,0.00,2587.03,2674.34,1.0337,0.2319,432.47,500.84
AS80_Lu176,photon,307+202,508.70,512.65,36.78,1,512.835,516.617,516.587,3.782,512.71,519.06,6.36,11382.61,13412.03,1.1783,0.5979,475.87,549.43
AS80_Lu176,photon,307+202,508.70,512.65,36.78,2,513.294,516.812,516.573,3.518,512.71,519.06,6.36,11348.07,13299.64,1.1720,0.6010,479.83,553.40
AS80_Lu176,photon,307+202+55;307+202+56;307+202+63,564.99,573.17,39.60,1,544.314,554.297,543.541,9.983,533.65,533.65,0.00,1174.31,1247.31,1.0622,0.1597,533.57,612.77
AS80_Lu176,photon,307+202+55;307+202+56;307+202+63,564.99,573.17,39.60,2,527.080,528.103,523.699,1.023,514.95,518.31,3.37,5286.05,7167.69,1.3560,0.4375,514.70,593.90
AS80_Lu176,photon,202+88+307;401+202,599.53,606.16,41.10,1,598.116,608.207,649.092,10.091,565.11,607.89,42.78,114.26,208.12,1.8215,0.0211,565.06,647.26
AS80_Lu176,photon,202+88+307;401+202,599.53,606.16,41.10,2,599.621,610.073,636.785,10.452,567.36,607.89,40.53,109.83,219.33,1.9969,0.0206,567.11,649.31
AS80_Lu176,photon,401+307,707.98,712.71,45.79,1,713.787,717.644,739.822,3.857,714.11,748.51,34.40,39.46,320.17,8.1131,0.0164,666.93,758.50
AS80_Lu176,photon,401+307,707.98,712.71,45.79,2,714.430,720.234,733.457,5.804,714.11,748.51,34.40,39.35,380.38,9.6673,0.0171,671.86,763.43
AS80_Lu176,photon,307+202+401,909.80,918.97,54.33,1,920.872,916.007,906.516,-4.865,921.02,891.27,-29.74,2.25,391.69,174.0700,0.0013,864.64,973.29
AS80_Lu176,photon,307+202+401,909.80,918.97,54.33,2,920.521,914.189,909.099,-6.333,921.02,891.27,-29.74,2.25,401.89,178.9469,0.0013,861.68,970.33
