spectrum,arm,pairs,E_plain,E_app,fwhm_keV,pass,c_model,c_data,c_data_signed,d_centre,max_model,max_data,d_max,A_model,A_data,ratio,S_share,lo,hi
ASN16_Lu176,lossjoint,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,366.73,28.38,1,369.098,367.425,367.425,-1.673,366.12,367.27,1.15,9059.98,25689.93,2.8355,0.2040,338.35,395.10
ASN16_Lu176,lossjoint,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,366.73,28.38,2,369.446,367.609,367.609,-1.836,366.12,367.27,1.15,9140.98,25729.09,2.8147,0.2076,339.05,395.80
ASN16_Lu176,lossjoint,307+88,395.23,398.71,29.64,1,388.471,381.170,377.757,-7.301,369.18,369.18,0.00,6512.13,11592.16,1.7801,0.1884,369.07,428.36
ASN16_Lu176,lossjoint,307+88,395.23,398.71,29.64,2,376.573,371.440,371.368,-5.133,366.12,366.50,0.38,9809.15,24396.05,2.4871,0.2342,351.53,410.81
ASN16_Lu176,lossjoint,88+55+307;307+88+56,450.43,457.31,31.87,1,482.231,480.409,496.846,-1.822,488.95,488.95,0.00,4345.18,3394.80,0.7813,0.1920,425.45,489.18
ASN16_Lu176,lossjoint,88+55+307;307+88+56,450.43,457.31,31.87,2,500.291,500.592,500.977,0.300,510.67,512.22,1.55,35236.90,38196.81,1.0840,0.7166,448.54,512.27
ASN16_Lu176,lossjoint,307+202,508.70,511.66,33.82,1,510.757,513.374,513.374,2.618,510.67,514.16,3.49,62885.79,80203.11,1.2754,0.8689,477.84,545.48
ASN16_Lu176,lossjoint,307+202,508.70,511.66,33.82,2,510.949,513.598,513.598,2.649,510.67,514.16,3.49,62786.59,80087.49,1.2756,0.8712,479.55,547.20
ASN16_Lu176,lossjoint,307+202+55;307+202+56;307+202+63,564.99,571.32,35.88,1,547.260,543.268,539.766,-3.993,535.54,535.54,0.00,3214.21,4348.42,1.3529,0.3876,535.44,607.20
ASN16_Lu176,lossjoint,307+202+55;307+202+56;307+202+63,564.99,571.32,35.88,2,520.329,521.106,520.827,0.778,510.67,513.77,3.11,38005.37,54272.05,1.4280,0.8484,507.39,579.15
ASN16_Lu176,lossjoint,202+88+307;401+202,599.22,604.24,36.98,1,596.817,605.860,633.574,9.043,598.78,608.18,9.40,527.80,130.06,0.2464,0.1460,567.26,641.22
ASN16_Lu176,lossjoint,202+88+307;401+202,599.22,604.24,36.98,2,597.589,607.003,625.078,9.414,598.78,608.18,9.40,515.73,156.02,0.3025,0.1473,568.88,642.84
ASN16_Lu176,lossjoint,401+307,707.98,710.43,40.38,1,708.012,709.101,709.372,1.089,707.79,711.35,3.56,144.46,476.28,3.2970,0.8677,670.05,750.81
ASN16_Lu176,lossjoint,401+307,707.98,710.43,40.38,2,707.868,708.651,709.141,0.783,707.79,711.35,3.56,144.61,477.73,3.3037,0.8664,668.72,749.48
ASN16_Lu176,lossjoint,307+202+401,909.80,914.88,46.44,1,-,917.438,920.506,-,868.81,949.41,80.60,0.00,194.24,,0.0000,868.44,961.32
ASN16_Lu176,lossjoint,307+202+401,909.80,914.88,46.44,2,-,919.501,918.642,-,871.22,949.41,78.19,0.00,196.34,,0.0000,871.00,963.88
ASN16_Lu176,both,88+55;88+56,143.72,147.83,17.87,1,148.287,144.460,138.470,-3.827,148.50,144.75,-3.74,544.47,7076.79,12.9977,0.0023,129.96,165.70
ASN16_Lu176,both,88+55;88+56,143.72,147.83,17.87,2,147.790,143.603,142.258,-4.187,148.50,144.75,-3.74,534.81,9146.09,17.1014,0.0024,126.59,162.33
ASN16_Lu176,both,202+55;202+56;202+63;202+65,258.23,262.16,23.86,1,264.489,263.855,-,-0.635,261.81,285.70,23.89,9280.50,-146.37,-0.0158,0.0508,238.31,286.02
ASN16_Lu176,both,202+55;202+56;202+63;202+65,258.23,262.16,23.86,2,265.509,267.737,292.113,2.228,261.81,287.60,25.78,9595.60,962.87,0.1003,0.0475,240.00,287.71
ASN16_Lu176,both,202+88,290.17,294.73,25.34,1,288.910,292.287,-,3.377,269.77,292.91,23.15,7361.80,-33842.50,-4.5970,0.0068,269.39,320.06
ASN16_Lu176,both,202+88,290.17,294.73,25.34,2,286.990,291.576,-,4.586,267.11,292.91,25.80,8017.91,-27870.63,-3.4760,0.0077,266.95,317.62
ASN16_Lu176,both,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,367.50,28.41,1,369.562,367.512,367.512,-2.050,366.50,367.27,0.77,8947.58,25700.09,2.8723,0.2040,339.09,395.91
ASN16_Lu176,both,88+55+202;202+88+56;307+55;307+56;307+63;307+65,363.25,367.50,28.41,2,369.562,367.512,367.512,-2.050,366.50,367.27,0.77,8947.58,25700.09,2.8723,0.2040,339.10,395.92
ASN16_Lu176,both,307+88,395.23,400.04,29.70,1,390.460,382.212,377.823,-8.248,370.71,370.71,0.00,6320.09,10130.79,1.6030,0.1850,370.35,429.74
ASN16_Lu176,both,307+88,395.23,400.04,29.70,2,377.605,371.674,371.568,-5.931,366.50,366.50,0.00,9708.82,23786.43,2.4500,0.2331,352.52,411.91
ASN16_Lu176,both,88+55+307;307+88+56,450.43,459.29,31.94,1,484.134,482.492,496.113,-1.642,490.89,490.89,0.00,4350.34,4297.07,0.9878,0.1926,427.35,491.23
ASN16_Lu176,both,88+55+307;307+88+56,450.43,459.29,31.94,2,502.231,502.011,502.296,-0.219,512.61,514.16,1.55,35228.15,42454.07,1.2051,0.7177,450.55,514.43
ASN16_Lu176,both,307+202,508.70,513.24,33.88,1,512.702,513.607,513.607,0.906,512.61,514.16,1.55,63060.03,79842.49,1.2661,0.8687,479.37,547.12
ASN16_Lu176,both,307+202,508.70,513.24,33.88,2,512.749,513.652,513.652,0.903,512.61,514.16,1.55,63049.75,79820.80,1.2660,0.8693,479.73,547.49
ASN16_Lu176,both,307+202+55;307+202+56;307+202+63,564.99,573.78,35.96,1,549.965,546.333,540.291,-3.633,537.88,537.88,0.00,3118.37,2741.15,0.8790,0.3787,537.82,609.75
ASN16_Lu176,both,307+202+55;307+202+56;307+202+63,564.99,573.78,35.96,2,523.029,522.728,522.370,-0.302,512.61,513.77,1.16,36165.30,47597.92,1.3161,0.8421,510.37,582.30
ASN16_Lu176,both,202+88+307;401+202,599.22,606.96,37.07,1,599.107,608.644,672.375,9.537,600.34,613.66,13.32,531.48,65.51,0.1233,0.1503,569.89,644.03
ASN16_Lu176,both,202+88+307;401+202,599.22,606.96,37.07,2,599.851,608.818,643.097,8.967,600.34,613.66,13.32,519.45,86.83,0.1672,0.1520,571.57,645.71
ASN16_Lu176,both,401+307,707.98,713.08,40.46,1,711.837,710.915,710.516,-0.922,711.75,711.35,-0.40,145.08,523.39,3.6077,0.9974,672.61,753.54
ASN16_Lu176,both,401+307,707.98,713.08,40.46,2,711.578,709.156,709.004,-2.422,711.75,711.35,-0.40,145.02,505.45,3.4854,0.9974,670.45,751.38
ASN16_Lu176,both,307+202+401,909.80,919.63,46.58,1,917.164,920.806,920.558,3.642,916.70,949.41,32.71,7.15,194.27,27.1777,0.9970,873.06,966.21
ASN16_Lu176,both,307+202+401,909.80,919.63,46.58,2,917.313,921.751,922.020,4.438,916.70,949.41,32.71,7.14,202.56,28.3719,0.9970,874.23,967.38
