спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S16_Y88_P5                 known        1.3025     1.3015   -0.077  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
G1S24_Am241_P5               known        5.7484     5.7506   +0.038  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Ba133_P5               known       17.3537    17.3558   +0.012  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Bi207_P5               known       22.9602    22.9973   +0.162  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cd109_P5               known        3.2314     3.2313   -0.003  anchor_note, chi2ndf, chi2ndf_pois, dt_decay_s, dt_decay_s, gain
G1S24_Co60_P5                known       11.7622    11.7765   +0.122  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Cs137_Denta120         known        1.0753     1.0748   -0.046  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Denta120_2       known        1.6113     1.6184   +0.441  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Mar              known        2.2242     2.2127   -0.517  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Mar_2            known        3.6873     3.7153   +0.759  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_P25              known        3.1402     3.1361   -0.131  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_P5               known       13.6891    13.7111   +0.161  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_Petri            known        1.1638     1.1646   +0.069  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Petri_2          known        1.5711     1.5669   -0.267  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Eu152_P5               known       30.3047    30.3754   +0.233  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_K40_Denta120           known        1.1222     1.1221   -0.009  anchor_note, chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s
G1S24_K40_Denta120_2         known        1.2277     1.2253   -0.195  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_K40_Mar                known        1.2814     1.2844   +0.234  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
