file,phys,histories,nodes,channels,noise_median,noise_worst,nodes_empty,cone,created,seconds,stamp,body_sha256,fingerprint
G1S_mar1l_oisn16_166_p16.rmx,22,3000000,142,6,1.2145,1.4313,33,0,2026-09-21 10:12,524.2,phys=22;bfbaf85583e71f424a68f4a17e280b0c1b7dacc8e12b576d4743b207616c82cf,b3a23a763e9676ea6013290bfafd564181c25153854ad34816ed7328317217b9,сходится
G1S_mar1l_oisn16_166_p24.rmx,22,3000000,142,6,1.2181,1.4532,33,0,2026-09-21 10:21,523.3,phys=22;5c94707e0d6171a04b788e2ca774d786856033bd453524060ada8bf0efabd966,58c67a3528151d29cb05e5f2aa1ec3af133d19d38cfb73e416c10a41f5aae637,сходится
G1S_mar1l_oisn16_167_p16.rmx,22,3000000,142,6,1.2160,1.4295,33,0,2026-09-21 10:30,524.5,phys=22;5d2d30b427ff567c7ff3f77bdaaa93d86b8debf570bb0a904488c0129a70b6eb,5fd7ed1044631aa4eebb347a1285d08aebde0db92acc04e1fb8674b28025a433,сходится
G1S_mar1l_oisn16_167_p24.rmx,22,3000000,142,6,1.2363,1.4547,33,0,2026-09-21 10:39,524.8,phys=22;146765c23ffe9646bfc5c67d7a2572e4e3483b3b9878f8c8fec31ac883bcdedc,c060b61a0cf3dfd26c42400e20b96f9e242f30c812f7c3f63eab2aa9a92b55c5,сходится
G1S_mar1l_risn379_100_p16.rmx,22,3000000,140,6,0.9412,1.4809,26,0,2026-09-21 10:47,529.4,phys=22;4fbb6c90b1d73ba1e115d2f2b53bdc64dc1c5ffa0f866c0b15c92f64f0233546,27cf68035a55006401287e99662e33dece7c5ccf5dd81770bbc14a42281bf479,сходится
G1S_petri60_oisn06_057_p24.rmx,22,3000000,142,6,0.8274,1.1164,26,0,2026-09-21 10:55,441.0,phys=22;ae4de471e0f0c7b5e46199677b65806efb8b9c61d1980c9a1892da2cd66c1373,0c4797706eccdcda25cf7b3d2209721bf5ee0fd683c360b9c52a8c16f41bfa47,сходится
G1S_petri60_oisn06_062_p24.rmx,22,3000000,142,6,0.8194,1.1171,26,0,2026-09-21 11:02,446.9,phys=22;00ee6f70777eb11b94d4051b1d95ebd3e3a618014d79c8b42e95309dfdc5c38d,62d8eca89641dd91a575213b8cad2e6bd5b01698d565a496d25274477c4aa237,сходится
G1S_petri60_oisn06_064_p24.rmx,22,3000000,142,6,0.8177,1.1167,26,0,2026-09-21 11:10,441.1,phys=22;44b63fcb4afc8c0eddde9c8fdd949ffc4a175b4f97307fdb8367b40e1af75b0a,ce14fcb3e84fd0594105ed926d7c6abbe64381e30394a809a55d8ba09a694458,сходится
G1S_petri60_oisn06_067_p24.rmx,22,3000000,142,6,0.8115,1.1142,26,0,2026-09-21 11:17,439.6,phys=22;9db51396a7b767bbd6ac33d877ee20790f686569901c227aada0570242393b5a,07870b2a4b473ebb79938aabbea09df5e085f27757ce8e2f7535f0e8387d62af,сходится
G1S_petri60_oisn10_100_p16.rmx,22,3000000,142,6,0.8234,1.0916,26,0,2026-09-21 11:24,445.3,phys=22;f477399391dcca7af01fb9d657fd2e46e85a8e9e92d851cec467c56eb48bbb82,939e63bc786fcd5bff887e452d97713c725d16f57dd22c1e0f1b5904b1e8736f,сходится
G1S_petri60_oisn16_155_p24.rmx,22,3000000,142,6,0.8509,1.0650,29,0,2026-09-21 11:32,444.5,phys=22;bf6d0e709d659eb060394e5aa96e186667936c11764ffd0105b00940119b744b,da65df066fe81089d29ee9d6be35b1e56e5deb38e3e31ed85963ecb337f69278,сходится
G1S_petri60_oisn16_160_p24.rmx,22,3000000,142,6,0.8548,1.0646,29,0,2026-09-21 11:39,444.4,phys=22;eabd09da39e892ddbc4cd32e37571c9332e7087b0d53eb91f5294aa84af5874a,2dd609963879e4845bb28f39fbfcaa06657f46efb8bbf90fad2094f65448334e,сходится
G1S_petri60_oisn16_167_p24.rmx,22,3000000,142,6,0.8567,1.0622,29,0,2026-09-21 11:47,481.1,phys=22;5d551d011909d52f04447db033dfea0f86229aa496aea443975630f041a90a05,3fd8f9208b20dac811d754a88dcc1231709875fdbcca23945adfa0b5b2c0901c,сходится
G1S_petri60_risn379_100_p16.rmx,22,3000000,140,6,0.7598,1.0981,24,0,2026-09-21 11:55,462.4,phys=22;e0b1f0b457765c5bb31c0ca510e224b4973f6518d8dbef9066e2dc94d78b9bb2,2307384a06f51be444c461ff4a169fea478143b1fc38cb9bbcc7e7b6c683e7ae,сходится
G1S_point25.rmx,22,6000000,140,6,4.7825,8.0150,23,0,2026-09-19 13:53,529.7,phys=22;a8febc5d8aa613ef9c58402b400d94b3e8becd61b6c31b6960886472e1938b2c,1721205347a675acc950159de46a362937292f73cc0b1cdcd16963f26589eb6a,сходится
G1S_point5.rmx,22,3000000,140,6,1.8926,2.9147,21,0,2026-09-21 12:01,378.6,phys=22;905f1bbc867a68d46a43c663b3aaee0204b08c0e85040dcf3090c3cc4e53602f,fa5421128107e39fed8efd4b0d3a3a24027404097eb6e65eba9ef612c824bcfa,сходится
RC103_lu_front.rmx,22,3000000,142,6,2.9611,4.3304,30,0,2026-09-21 12:07,334.6,phys=22;336218b67ac8233274081e0842326c9686a652dfc74177418cd16dc5b42d6206,1612d56923bde0d31321f19d7a2b6e1ce1ef9217f1676f710e29697adb104471,сходится
RC103_marinelli05_kcl.rmx,22,3000000,140,6,5.2421,8.7548,31,0,2026-09-21 12:13,373.6,phys=22;3a5dcb47c6a30166999812eb4a27af5e0c1a8093d509f9a3463cda3ef19d0e57,f1da5c9265ac7aead27c8db0afe956af904a9abc721534e277482ce2738d0ac2,сходится
RC103_point0.rmx,22,3000000,140,6,1.2911,2.0148,17,0,2026-09-21 12:16,179.5,phys=22;7e9055781a029966b10dfd901d0d253ee1885648ad6fa6c7523c0f545e0d044f,23ab6a32b51266b38444c46bdcbca37d0ee8a91b034f65db2be33ce94fc1468b,сходится
RC103_point50.rmx,22,6000000,140,6,5.9573,8.6650,19,0,2026-09-19 13:58,261.5,phys=22;903b9422ff7c496f361b496aa921c8d5d1c7b645827d584c5621e0a0a5ce1324,478431ef8f4610a7a5f909f9a51037e7c0ee8dfb4af8bdc87260293d95d35e2f,сходится
