=== RC103_point0_p55 2614.511: доли на историю ===
плечо                          [ 0.. 25%E)      0–50 кэВ     0–100 кэВ   100–200 кэВ     континуум
G4 def                          1.1327E-02    1.2667E-03    2.3707E-03    1.9238E-03    3.4269E-02
G4 fullcarry                    9.3916E-03    8.4185E-04    1.6107E-03    1.4302E-03    3.4294E-02
G4 killcarry                    8.8869E-03    1.0349E-03    1.8894E-03    1.4703E-03    2.8302E-02
G4 killesc                      1.1652E-02    1.4360E-03    2.6106E-03    1.9972E-03    3.4269E-02
G4 nodelta                      1.1324E-02    1.2635E-03    2.3659E-03    1.9192E-03    3.4257E-02
G4 nofluct                      1.1320E-02    1.1886E-03    2.2773E-03    1.9415E-03    3.4296E-02
наша elmix1                     1.1662E-02    1.3804E-03    2.5421E-03    1.9664E-03    3.4455E-02
наша elmix1_detour0             9.0460E-03    1.1585E-03    2.0625E-03    1.5024E-03    2.8364E-02
наша eltr194                    1.1648E-02    1.3709E-03    2.5302E-03    1.9701E-03    3.4462E-02
наша eltr1_detour094            9.0452E-03    1.1576E-03    2.0663E-03    1.4992E-03    2.8387E-02
наша off94                      1.0158E-02    1.0662E-03    1.9663E-03    1.6010E-03    3.3839E-02
наша off_detour094              9.2117E-03    1.2154E-03    2.1527E-03    1.5412E-03    2.8389E-02
наша ref55                      1.0158E-02    1.0662E-03    1.9663E-03    1.6010E-03    3.3839E-02

G4 «ни возврата, ни заноса» ≈ killesc + killcarry − def (без члена взаимодействия):
G4 neither≈                     9.2121E-03    1.2042E-03    2.1294E-03    1.5437E-03    2.8302E-02
G4 возврат (def−killesc)       -3.2510E-04   -1.6935E-04   -2.3997E-04   -7.3425E-05    2.0000E-07
G4 занос (def−killcarry)        2.4402E-03    2.3175E-04    4.8127E-04    4.5353E-04    5.9672E-03
наш возврат elmix1_detour0     -1.6565E-04   -5.6900E-05   -9.0150E-05   -3.8750E-05   -2.5250E-05
наш возврат eltr1_detour094    -1.6650E-04   -5.7800E-05   -8.6400E-05   -4.1900E-05   -2.0500E-06
наш занос elmix1                2.6156E-03    2.2197E-04    4.7953E-04    4.6397E-04    6.0913E-03
наш занос eltr194               2.6032E-03    2.1340E-04    4.6387E-04    4.7088E-04    6.0748E-03
