спектров всего: 59; изменилось: 38; не изменилось: 21
сумма сдвигов chi2/ndf: known -0.4665, unknown +0.0000

спектр                           до      после     дельта    часть      N  посл.кан     мед32 правило

=== ИЗМЕНИЛИСЬ ===
G1S24_Eu152_P5              64.5696    64.5056    -0.0640    known   1024         0       0.0 обычный
G1S24_Na22_P5               57.1844    57.1277    -0.0567    known   1024         1       1.0 обычный
G1S24_Bi207_P5              48.2617    48.2140    -0.0477    known   1024         0       0.0 обычный
G1S16_Ba133_P5              37.1633    37.1267    -0.0366    known   1024         0       0.0 обычный
G1S24_Ba133_P5              31.8066    31.7753    -0.0313    known   1024         1       0.0 обычный
G1S16_Eu152_P5              29.7926    29.7636    -0.0290    known   1024         1       0.0 обычный
G1S16_Cs137_P5              22.3603    22.3382    -0.0221    known   1024         0       0.0 обычный
G1S16_Na22_P5               18.9366    18.9178    -0.0188    known   1024         0       0.0 обычный
G1S24_Na22_P25              17.7601    17.7427    -0.0174    known   1024         0       0.0 обычный
G1S24_Cs137_P5              15.0170    15.0022    -0.0148    known   1024         0       0.0 обычный
G1S24_Co60_P5               13.1128    13.1001    -0.0127    known   1024         0       0.0 обычный
G1S24_Am241_P5              11.7467    11.7352    -0.0115    known   1024         0       0.0 обычный
G1S16_Co60_P5                9.8171     9.8074    -0.0097    known   1024         0       0.0 обычный
G1S24_Th228_P5              59.1188    59.1098    -0.0090    known   1024       127     196.5 обычный
G1S24_Y88_P5                13.3178    13.3089    -0.0089    known   1024         0       1.0 обычный
G1S16_Am241_P5               8.8071     8.7985    -0.0086    known   1024         0       0.0 обычный
G1S16_Ba133_P25              9.3813     9.3727    -0.0086    known   1024         1       0.0 обычный
G1S16_Eu152_P25              8.4930     8.4848    -0.0082    known   1024         0       0.5 обычный
G1S16_Ce139_P5               6.5653     6.5589    -0.0064    known   1024         0       0.0 обычный
G1S16_Cd109_P5               5.9925     5.9870    -0.0055    known   1024         1       0.0 обычный
G1S24_Th228_P25              4.7505     4.7458    -0.0047    known   1024         2       1.0 обычный
G1S16_Na22_P25               4.2236     4.2195    -0.0041    known   1024         0       0.0 обычный
G1S16_Mn54_P5                4.0757     4.0717    -0.0040    known   1024         0       0.0 обычный
G1S16_Cs137_P25              4.5559     4.5520    -0.0039    known   1024         1       0.0 обычный
G1S24_Cs137_P25              3.7965     3.7930    -0.0035    known   1024         0       0.0 обычный
G1S16_Th228_P5               4.2748     4.2716    -0.0032    known   1024         3       2.0 обычный
G1S16_Am241_P25              2.4145     2.4121    -0.0024    known   1024         0       0.0 обычный
G1S16_Cd109_P25              2.0816     2.0796    -0.0020    known   1024         0       0.0 обычный
G1S24_Y88_P25                2.0390     2.0371    -0.0019    known   1024         0       0.0 обычный
G1S16_Ce139_P25              1.9279     1.9261    -0.0018    known   1024         0       0.0 обычный
G1S16_Mn54_P25               1.6991     1.6975    -0.0016    known   1024         0       0.0 обычный
G1S16_Co60_P25               1.7093     1.7078    -0.0015    known   1024         0       0.0 обычный
G1S16_Co57_P5                1.1699     1.1688    -0.0011    known   1024         0       0.0 обычный
G1S16_Y88_P5                 1.2341     1.2330    -0.0011    known   1024         0       0.0 обычный
G1S16_Th228_P25              1.2733     1.2723    -0.0010    known   1024         0       1.0 обычный
G1S24_Zn65_P5                1.0992     1.0982    -0.0010    known   1024         0       0.0 обычный
G1S16_Y88_P25                1.2251     1.2242    -0.0009    known   1024         0       1.0 обычный
G1S24_Cd109_P5               3.4487     3.4494    +0.0007    known   1024         1       0.0 обычный

=== НЕ ИЗМЕНИЛИСЬ ===
AS80_Charoite                1.9377     1.9377    +0.0000  unknown   8192      1844       0.0 ПЕРЕПОЛНЕНИЕ
AS80_Cs137_0cm              10.2787    10.2787    +0.0000    known   8192     11085       0.0 ПЕРЕПОЛНЕНИЕ
AS80_K40                     5.4037     5.4037    +0.0000  unknown   8192    341684       8.0 ПЕРЕПОЛНЕНИЕ
AS80_Lu176                   5.8434     5.8434    +0.0000    known   8192      4160       0.0 ПЕРЕПОЛНЕНИЕ
AS80_Onyx                    4.8921     4.8921    +0.0000  unknown   8192    409738       9.0 ПЕРЕПОЛНЕНИЕ
AS80_Th232Medal             22.4687    22.4687    +0.0000  unknown   8192     83922      26.0 ПЕРЕПОЛНЕНИЕ
AS80_Th232WT20              23.0979    23.0979    +0.0000  unknown   8192    103466      52.0 ПЕРЕПОЛНЕНИЕ
AS80_Th232_v2                8.7523     8.7523    +0.0000  unknown   8192     22871       8.0 ПЕРЕПОЛНЕНИЕ
AS80_UGlass                  3.8746     3.8746    +0.0000  unknown   8192     25841       0.5 ПЕРЕПОЛНЕНИЕ
ASN16_Am241                  9.4458     9.4458    +0.0000  unknown   8192     24405       1.0 ПЕРЕПОЛНЕНИЕ
ASN16_BrazilNuts             2.2156     2.2156    +0.0000  unknown   8192     24944       1.0 ПЕРЕПОЛНЕНИЕ
ASN16_Charoite               4.9355     4.9355    +0.0000  unknown   8192     18421       1.0 ПЕРЕПОЛНЕНИЕ
ASN16_Charoite_v2            2.3330     2.3330    +0.0000  unknown   8192     34911       2.0 ПЕРЕПОЛНЕНИЕ
ASN16_Cs137                 48.5778    48.5778    +0.0000  unknown   8192     46658       2.0 ПЕРЕПОЛНЕНИЕ
ASN16_Cs137_10cm             0.5408     0.5408    +0.0000  unknown   8192       399       0.0 ПЕРЕПОЛНЕНИЕ
ASN16_Granite                1.7826     1.7826    +0.0000  unknown   8192     17919       1.0 ПЕРЕПОЛНЕНИЕ
ASN16_Lu176                  3.6637     3.6637    +0.0000    known   8192      3989       0.0 ПЕРЕПОЛНЕНИЕ
ASN16_Lu176_P0               0.3315     0.3315    +0.0000    known   8192        59       0.0 ПЕРЕПОЛНЕНИЕ
ASN16_Th232                 36.7423    36.7423    +0.0000  unknown   8192     44576       5.0 ПЕРЕПОЛНЕНИЕ
ASN16_Th232_Am241           23.3735    23.3735    +0.0000  unknown   8192     11591      11.0 ПЕРЕПОЛНЕНИЕ
ASN16_UGlass                 4.9528     4.9528    +0.0000  unknown   8192     11697       0.0 ПЕРЕПОЛНЕНИЕ

ПРОВЕРКА МЕХАНИЗМА:
  изменившихся, у которых крайний канал ПЕРЕПОЛНЕНИЕ (должно быть 0): 0 []
  не изменившихся, у которых крайний канал ОБЫЧНЫЙ (ожидаемо >0, канал добавлен, но фит не сдвинулся): 0
  
