плечо p0. Все числа — кэВ по калибровке КОРПУСА; окно общее для данных и модели; 
вершина — парабола по трём точкам над линейной подложкой, центроид — над той же подложкой.
spectrum          линия        таблица | дан.верш дан.цент | мод.верш мод.цент |     д−т     м−т     д−м
G1S16_Cs137_P5    Cs-137      661.66 |   661.86   658.95   -2.90 |   +0.20   -2.70 | принята 
G1S16_Eu152_P5    Eu-152       40.12 |    40.04    36.63   -3.40 |   -0.08   -3.48 | принята 
G1S16_Eu152_P5    Eu-152      121.78 |   121.92   123.91   +1.99 |   +0.14   +2.13 | отказ outlier
G1S16_Eu152_P5    Eu-152      344.28 |   344.15   346.29   +2.14 |   -0.13   +2.01 | отказ outlier
G1S16_Eu152_P5    Eu-152      964.06 |   964.14   965.40   +1.26 |   +0.08   +1.34 | принята 
G1S16_Eu152_P5    Eu-152     1112.08 |  1100.16  1102.45   +2.29 |  -11.91   -9.62 | принята 
G1S16_Eu152_P5    Eu-152     1408.01 |  1407.96  1412.22   +4.27 |   -0.06   +4.21 | принята 
G1S16_Mn54_P5     Mn-54       834.85 |   834.08   837.13   +3.06 |   -0.77   +2.28 | принята 
G1S16_Th228_P5    Th-228       77.11 |    76.46    72.34   -4.12 |   -0.65   -4.77 | принята 
G1S16_Th228_P5    Th-228      238.63 |   238.11   238.34   +0.23 |   -0.52   -0.29 | отказ outlier
G1S16_Th228_P5    Th-228      510.77 |   510.06   512.52   +2.46 |   -0.71   +1.75 | принята 
G1S16_Th228_P5    Th-228      583.19 |   584.09   585.49   +1.40 |   +0.90   +2.30 | принята 
G1S16_Th228_P5    Th-228      727.33 |   727.97   728.96   +0.98 |   +0.64   +1.62 | принята 
G1S16_Th228_P5    Th-228      860.56 |   860.16   862.73   +2.57 |   -0.39   +2.18 | принята 
G1S16_Th228_P5    Th-228     2614.51 |  2614.14  2614.58   +0.44 |   -0.37   +0.07 | отказ outlier
G1S24_Ba133_P5    Ba-133       30.97 |    29.99    27.09   -2.90 |   -0.98   -3.88 | принята 
G1S24_Ba133_P5    Ba-133       81.00 |    80.03    82.00   +1.97 |   -0.97   +1.00 | отказ outlier
G1S24_Ba133_P5    Ba-133      356.01 |   356.01   356.61   +0.60 |   -0.00   +0.60 | принята 
G1S24_Eu152_P5    Eu-152       40.12 |    39.97    39.03   -0.94 |   -0.15   -1.09 | принята 
G1S24_Eu152_P5    Eu-152      121.78 |   121.92   124.63   +2.71 |   +0.14   +2.85 | отказ outlier
G1S24_Eu152_P5    Eu-152      344.28 |   344.06   345.60   +1.54 |   -0.22   +1.32 | принята 
G1S24_Eu152_P5    Eu-152      964.06 |   963.94   965.54   +1.60 |   -0.12   +1.49 | принята 
G1S24_Eu152_P5    Eu-152     1112.08 |  1099.81  1101.84   +2.03 |  -12.27  -10.24 | принята 
G1S24_Eu152_P5    Eu-152     1408.01 |  1408.15  1411.36   +3.21 |   +0.14   +3.34 | принята 
G1S24_Th228_P5    Th-228       77.11 |    76.58    72.36   -4.22 |   -0.53   -4.75 | принята 
G1S24_Th228_P5    Th-228      238.63 |   238.04   235.07   -2.97 |   -0.59   -3.56 | принята 
G1S24_Th228_P5    Th-228      583.19 |   584.13   585.34   +1.21 |   +0.95   +2.16 | принята 
G1S24_Th228_P5    Th-228      727.33 |   727.96   730.98   +3.02 |   +0.63   +3.65 | принята 
G1S24_Th228_P5    Th-228     2614.51 |  2614.10  2637.64  +23.54 |   -0.41  +23.12 | принята 
